bridge_tag,signal_family,domain_name,similarity,atomic_signal_count,evidence_strength,sample_signals
LEARNING_ADAPTABILITY,"academic_confidence_signals","Learning Intelligence",0.2131,40,moderate,"Long Term Learning Confidence | Growth Mindset Learning Confidence | Problem Solving Confidence | Failure Recovery Learning Confidence | Analytical Learning Confidence"
LEARNING_ADAPTABILITY,"adaptive_learning_signals","Learning Intelligence",0.1930,40,moderate,"Meta Learning Adaptability | Cognitive Flexibility Under Pressure | Adaptive Learning Evolution | Adaptive Exam Preparation | Cognitive Strategy Switching"
LEARNING_ADAPTABILITY,"adaptability_behavior_signals","Behavioral Intelligence",0.1389,40,moderate,"Adaptive Execution Under Complexity | Ambiguity Response Stability | Adaptive Stress Response | Behavioral Resilience Under Change | Behavior Under Resource Constraints"
LEADERSHIP_READINESS,"professional_confidence_signals","Career Intelligence",0.2015,80,moderate,"Professional Identity Resilience | Professional Mastery Confidence | Professional Self Belief | Professional Identity Confidence | Crisis Management Confidence"
LEADERSHIP_READINESS,"adaptability_leadership_signals","Leadership Intelligence",0.1669,40,moderate,"Multidimensional Adaptability Synchronization | Ultimate Adaptability Leadership Intelligence | Adaptability Under Operational Pressure | Multidimensional Transition Execution | Ultimate Adaptability Synchronization Intelligence"
LEADERSHIP_READINESS,"employability_gap_signals","Employability Intelligence",0.1619,40,moderate,"Chronic Employability Instability | Employability Hopelessness Pattern | Technical Skill Deficiency | Analytical Reasoning Gap | Practical Experience Gap"
CLASSROOM_ENGAGEMENT,"learning_engagement_signals","Learning Intelligence",0.2069,40,moderate,"Resilient Learning Attention | Immersive Learning Focus | Self Initiated Learning Behavior | Cognitive Presence During Learning | Deep Topic Exploration"
CLASSROOM_ENGAGEMENT,"engagement_signals","Behavioral Intelligence",0.1536,40,moderate,"Intrinsic Motivation Activation | Deep Focus Involvement | Resilience Based Engagement | Persistence In Engagement | Mission Driven Involvement"
CLASSROOM_ENGAGEMENT,"participation_signals","Behavioral Intelligence",0.1444,40,moderate,"Strategic Participation Alignment | Resilient Participation Behavior | Execution Phase Engagement | Intellectual Participation Drive | Brainstorming Activity Presence"
INTERDISCIPLINARY_LEARNING,"comprehension_signals","Learning Intelligence",0.2073,40,moderate,"Advanced Theoretical Comprehension | Conceptual Abstraction Comprehension | Abstract Concept Comprehension | Conceptual Precision Understanding | Integrated Framework Comprehension"
INTERDISCIPLINARY_LEARNING,"conceptual_linking_signals","Creativity Intelligence",0.2031,40,moderate,"Transformational Concept Synthesis | Disruptive Systemic Association | Civilization Scale Association Modeling | Ultimate Transformational Conceptual Intelligence | Transformational Association Modeling"
