| **Domain**                                    | **Subdomain**                  | **Micro-Competencies (Assessable Traits)**                                                                                                                             |
| --------------------------------------------- | ------------------------------ | ---------------------------------------------------------------------------------------------------------------------------------------------------------------------- |
| Cognitive & Analytical Intelligence           | Numerical Aptitude             | Number sense, arithmetic accuracy, quantitative reasoning, estimation accuracy, proportional reasoning, financial numeracy, data sufficiency analysis, error detection |
| Cognitive & Analytical Intelligence           | Logical Reasoning              | Deductive reasoning, inductive reasoning, abductive reasoning, syllogistic reasoning, analogy mapping, sequence logic, pattern recognition, conditional reasoning      |
| Cognitive & Analytical Intelligence           | Critical Thinking              | Assumption identification, argument evaluation, bias detection, logical consistency, evidence validation, fallacy detection, counterfactual reasoning                  |
| Cognitive & Analytical Intelligence           | Analytical Thinking            | Problem decomposition, root cause analysis, variable isolation, structured thinking, prioritization, causal analysis                                                   |
| Cognitive & Analytical Intelligence           | Problem Solving                | Problem identification, hypothesis generation, solution ideation, alternative evaluation, feasibility analysis, iterative refinement                                   |
| Cognitive & Analytical Intelligence           | Decision Making                | Risk assessment, trade-off evaluation, cost-benefit analysis, probabilistic thinking, judgment accuracy, speed-quality balance                                         |
| Cognitive & Analytical Intelligence           | Systems Thinking               | Interdependency mapping, feedback loop understanding, holistic reasoning, complexity handling, system dynamics                                                         |
| Cognitive & Analytical Intelligence           | Conceptual Thinking            | Abstraction, generalization, theoretical modeling, principle application                                                                                               |
| Cognitive & Analytical Intelligence           | Research & Data Analysis       | Data sourcing, hypothesis testing, statistical reasoning, data interpretation, synthesis, insight extraction                                                           |
| Cognitive & Analytical Intelligence           | Creativity & Innovation        | Idea fluency, originality, divergent thinking, lateral thinking, recombination ability, experimentation mindset                                                        |
| Cognitive & Analytical Intelligence           | Spatial Intelligence           | Visualization, mental rotation, spatial reasoning, diagrammatic interpretation                                                                                         |
| Cognitive & Analytical Intelligence           | Mechanical Reasoning           | Cause-effect understanding, system functionality, physical reasoning, troubleshooting                                                                                  |
| Cognitive & Analytical Intelligence           | Metacognition                  | Self-monitoring, strategy selection, cognitive flexibility, error awareness, learning regulation                                                                       |
| Communication & Expression                    | Verbal Communication           | Clarity, articulation, fluency, pronunciation, tone modulation, vocabulary depth                                                                                       |
| Communication & Expression                    | Written Communication          | Grammar accuracy, syntax control, clarity, conciseness, coherence, structured writing                                                                                  |
| Communication & Expression                    | Business Communication         | Email etiquette, formal writing, professional tone, structured documentation, clarity of intent                                                                        |
| Communication & Expression                    | Presentation Skills            | Structuring content, audience engagement, storytelling, visual communication, delivery confidence                                                                      |
| Communication & Expression                    | Active Listening               | Attention, interpretation, paraphrasing, questioning, response relevance                                                                                               |
| Communication & Expression                    | Persuasion & Influence         | Argument framing, influencing strategies, objection handling, negotiation framing                                                                                      |
| Communication & Expression                    | Assertiveness                  | Boundary setting, confident communication, respectful disagreement                                                                                                     |
| Communication & Expression                    | Public Speaking                | Stage presence, voice control, audience interaction, confidence under pressure                                                                                         |
| Communication & Expression                    | Storytelling                   | Narrative structuring, emotional appeal, audience connection                                                                                                           |
| Communication & Expression                    | Cross-functional Communication | Adaptability across audiences, clarity in diverse teams                                                                                                                |
| Communication & Expression                    | Feedback Communication         | Constructive feedback delivery, receptiveness, feedback framing                                                                                                        |
| Communication & Expression                    | Digital Communication          | Email/chat clarity, asynchronous communication, brevity, tone appropriateness                                                                                          |
| Personal Effectiveness & Self-Management      | Self-Motivation                | Initiative, drive, goal orientation, proactiveness                                                                                                                     |
| Personal Effectiveness & Self-Management      | Discipline                     | Consistency, habit formation, focus maintenance, self-control                                                                                                          |
| Personal Effectiveness & Self-Management      | Resilience                     | Stress tolerance, recovery ability, persistence, adversity handling                                                                                                    |
| Personal Effectiveness & Self-Management      | Adaptability                   | Flexibility, openness to change, situational adjustment                                                                                                                |
| Personal Effectiveness & Self-Management      | Integrity & Ethics             | Honesty, ethical reasoning, transparency, fairness                                                                                                                     |
| Personal Effectiveness & Self-Management      | Accountability                 | Ownership, responsibility, follow-through, reliability                                                                                                                 |
| Personal Effectiveness & Self-Management      | Self-Awareness                 | Strength/weakness identification, reflective thinking, emotional awareness                                                                                             |
| Personal Effectiveness & Self-Management      | Emotional Regulation           | Emotional control, composure, impulse management                                                                                                                       |
| Personal Effectiveness & Self-Management      | Learning Agility               | Curiosity, speed of learning, knowledge transfer, experimentation                                                                                                      |
| Personal Effectiveness & Self-Management      | Growth Mindset                 | Openness to feedback, continuous improvement orientation                                                                                                               |
| Personal Effectiveness & Self-Management      | Energy Management              | Sustained performance, fatigue management, burnout prevention                                                                                                          |
