Item
1184
Search item…
Add Item
Code	Subdomain	Question	Type	Diff.	Actions
SDI_BEH_ALERT_001	SDI_BEH_ALERT	Brain feels fresher at 5 PM than it did at 9 AM?	standard	3	


SDI_BEH_ALERT_002	SDI_BEH_ALERT	Keep scrolling even when your eyes feel tired or dry?	standard	3	


SDI_BEH_ALERT_003	SDI_BEH_ALERT	Feel "phantom" vibrations when phone is away?	standard	3	


SDI_BEH_ALERT_004	SDI_BEH_ALERT	Reset energy with 5 mins screen-free breath?	standard	3	


SDI_BEH_ALERT_005	SDI_BEH_ALERT	Concentration drop significantly if topic is not "fun"?	standard	3	


SDI_BEH_ALERT_006	SDI_BEH_ALERT	Heart jump slightly when you hear specific alert sound?	standard	3	


SDI_BEH_ALERTNESS_001	SDI_BEH_ALERTNESS	Does a dry mouth make you lose focus on a conversation?	anchor	3	


SDI_BEH_ALERTNESS_002	SDI_BEH_ALERTNESS	Is your default mental state "calm focus" rather than "scattered search"?	standard	3	


SDI_BEH_ALERTNESS_003	SDI_BEH_ALERTNESS	Does your concentration drop significantly if the topic is not "fun"?	standard	3	


SDI_BEH_ALERTNESS_004	SDI_BEH_ALERTNESS	Does your brain feel "fresher" at 5 PM than it did at 9 AM?	standard	3	


SDI_BEH_ALERTNESS_005	SDI_BEH_ALERTNESS	Do you stay on your phone until the very moment you try to sleep?	standard	3	


SDI_BEH_ALERTNESS_006	SDI_BEH_ALERTNESS	Do you recognize the "low energy" feeling you get after a 2-hour binge?	standard	3	


SDI_BEH_ALERTNESS_007	SDI_BEH_ALERTNESS	Can you fall asleep within 15 minutes of putting down a screen?	standard	3	


SDI_BEH_ALERTNESS_008	SDI_BEH_ALERTNESS	Do you get distracted by everything when you are slightly tired?	anchor	3	


SDI_BEH_ALERTNESS_009	SDI_BEH_ALERTNESS	Do you know which hours of the day your brain is "sharpest"?	standard	3	


SDI_BEH_ALERTNESS_010	SDI_BEH_ALERTNESS	Do you keep scrolling even when your eyes feel tired or dry?	standard	3	


