recommended_group,member_count,avg_similarity,sample_members
"Emotional Family",40,0.836,"CONCERN_ACA_1731 | CONCERN_EXA_1667 | CONCERN_MOT_1964 | CONCERN_THI_2069 | CONCERN_COL_1114 | CONCERN_CON_1016"
"Decision Family",14,0.833,"CONCERN_ACA_2439 | CONCERN_CAR_212 | CONCERN_EXA_1813 | CONCERN_EXA_1965 | CONCERN_LEA_1671 | CONCERN_EXP_1513"
"Time Family",7,0.944,"CONCERN_COM_1801 | CONCERN_CON_1942 | CONCERN_DIS_1659 | CONCERN_DIS_2120 | CONCERN_CON_2282 | CONCERN_CON_2462"
"Career Family",6,1,"CONCERN_CON_516 | CONCERN_SEL_204 | CONCERN_EMO_679 | CONCERN_THI_389 | CONCERN_EXA_1833 | CONCERN_THI_1966"
"Asking Family",6,0.917,"CONCERN_ACA_1863 | CONCERN_MOT_1442 | CONCERN_ADJ_404 | CONCERN_EMO_668 | CONCERN_COM_1940 | CONCERN_CON_1653"
"Validation Family",6,0.762,"CONCERN_COG_1601 | CONCERN_PER_1530 | CONCERN_ACA_641 | CONCERN_CON_1842 | CONCERN_LEA_1480 | CONCERN_SEL_1624"
"Failure Family",5,0.875,"CONCERN_ACA_1734 | CONCERN_ACA_2132 | CONCERN_EMP_1393 | CONCERN_THI_103 | CONCERN_EXA_1832"
"Following Family",4,1,"CONCERN_ACA_1938 | CONCERN_COM_2485 | CONCERN_CON_1997 | CONCERN_SEL_1676"
"Academic Family 4",4,1,"CONCERN_DIS_1660 | CONCERN_LEA_1438 | CONCERN_MOT_1993 | CONCERN_MOT_2481"
"Failures Family",4,0.875,"CONCERN_CAR_479 | CONCERN_MOT_2395 | CONCERN_ACA_289 | CONCERN_CAR_1576"
"Subjects Family",3,1,"CONCERN_ACA_109 | CONCERN_COM_1684 | CONCERN_EXA_1972"
"Academic Family 2",3,1,"CONCERN_ACA_1974 | CONCERN_MOT_1992 | CONCERN_MOT_2480"
"Learning Family 5",3,1,"CONCERN_ADJ_1991 | CONCERN_COL_2148 | CONCERN_HOL_2479"
"Ownership Family",3,1,"CONCERN_COG_1525 | CONCERN_DEC_1436 | CONCERN_SEL_1545"
"Comprehension Family",3,1,"CONCERN_COM_1656 | CONCERN_MOT_1947 | CONCERN_SUB_1360"
"Participation Family",3,1,"CONCERN_COM_1955 | CONCERN_EXA_1668 | CONCERN_PAR_1363"
"Classroom Family 2",3,1,"CONCERN_COM_1976 | CONCERN_EXA_2269 | CONCERN_THI_1691"
"Professional Family 2",3,1,"CONCERN_EMO_1052 | CONCERN_MOT_1070 | CONCERN_SOC_658"
"Collaboration Family",3,1,"CONCERN_EMO_1074 | CONCERN_EMO_424 | CONCERN_WOR_582"
"Discussions Family",3,1,"CONCERN_EMO_366 | CONCERN_EXA_18 | CONCERN_THI_2026"
"Resilience Family",3,1,"CONCERN_PER_1411 | CONCERN_PER_1549 | CONCERN_SOC_1515"
"Accuracy Family",3,0.833,"CONCERN_ACA_1998 | CONCERN_CLA_2486 | CONCERN_MOT_102"
"Despite Family",3,0.833,"CONCERN_COG_1532 | CONCERN_IDE_1500 | CONCERN_SEL_1620"
"Information Family",3,0.833,"CONCERN_DIS_1994 | CONCERN_DIS_2482 | CONCERN_ACA_2210"
"Learning Family 7",3,0.833,"CONCERN_EMO_1428 | CONCERN_LEA_1603 | CONCERN_STU_1374"
"Industry Family",3,0.833,"CONCERN_EMO_274 | CONCERN_LIF_372 | CONCERN_COM_1320"
"Decline Family",2,1,"CONCERN_ACA_1217 | CONCERN_EMO_1255"
"Emotional Family 2",2,1,"CONCERN_ACA_1249 | CONCERN_MOT_1289"
"Focus Family",2,1,"CONCERN_ACA_146 | CONCERN_DIS_2208"
"Analytical Family",2,1,"CONCERN_ACA_1651 | CONCERN_THI_1934"
"Initiative Family",2,1,"CONCERN_ACA_1687 | CONCERN_DIS_1945"
"Mathematical Family",2,1,"CONCERN_ACA_1698 | CONCERN_COM_1950"
"Concepts Family",2,1,"CONCERN_ACA_1699 | CONCERN_THI_1952"
"Development Family",2,1,"CONCERN_ACA_1700 | CONCERN_ACA_1948"
"Confusion Family",2,1,"CONCERN_ACA_1822 | CONCERN_IDE_1517"
"Academic Family",2,1,"CONCERN_ACA_1931 | CONCERN_PUR_1647"
"Conceptual Family 2",2,1,"CONCERN_ACA_1932 | CONCERN_LEA_1263"
"Independent Family",2,1,"CONCERN_ACA_1959 | CONCERN_FOU_1797"
"Leadership Family",2,1,"CONCERN_ACA_1967 | CONCERN_EMO_740"
"Subjects Family 2",2,1,"CONCERN_ACA_1978 | CONCERN_COM_1703"
"Breaking Family",2,1,"CONCERN_ACA_1982 | CONCERN_ACA_2470"
"Academic Family 3",2,1,"CONCERN_ACA_1989 | CONCERN_ACA_2477"
"Materials Family",2,1,"CONCERN_ACA_1995 | CONCERN_ACA_2483"
"Thinking Family",2,1,"CONCERN_ACA_2469 | CONCERN_CON_1981"
"Workplace Family",2,1,"CONCERN_ACA_730 | CONCERN_WOR_1082"
"Accountability Family",2,1,"CONCERN_ADA_1479 | CONCERN_CON_1208"
"Learning Family 2",2,1,"CONCERN_ADJ_2222 | CONCERN_CLA_2154"
"Hidden Family",2,1,"CONCERN_BEH_1293 | CONCERN_DIS_2131"
"Career Family 9",2,1,"CONCERN_CAR_1384 | CONCERN_CAR_205"
"Interviews Family 2",2,1,"CONCERN_CAR_362 | CONCERN_LIF_30"
