bridge_tag,coverage_status,question_count,concern_count,runtime_remap_target,runtime_route,in_covered_set
EXAMINATION_READINESS,uncovered,0,54,EXAMINATION_STRESS,override,false
COLLABORATION_OWNERSHIP,uncovered,0,43,LEADERSHIP_OWNERSHIP,override,false
STRATEGIC_LEADERSHIP,uncovered,0,33,ADAPTIVE_LEADERSHIP,override,false
CAREER_TRANSITION,uncovered,0,10,CAREER_GROWTH,override,false
WORKPLACE_PERFORMANCE,uncovered,0,9,WORKPLACE_ADAPTATION,override,false
ADAPTIVE_LEARNING,uncovered,0,8,LEARNING_ADAPTABILITY,override,false
INTERDISCIPLINARY_LEARNING,uncovered,0,8,LEARNING_ADAPTABILITY,override,false
EMPLOYABILITY_FUTURE,uncovered,0,7,EMPLOYABILITY,keyword,false
ACADEMIC_PERFORMANCE,uncovered,0,6,ACADEMIC_COGNITIVE,override,false
INQUIRY_CURIOSITY,uncovered,0,5,THINKING_QUALITY,override,false
ACADEMIC_RISK,uncovered,0,4,ACADEMIC_COGNITIVE,keyword,false
ORGANIZATIONAL_DEVELOPMENT,uncovered,0,4,LEADERSHIP_OWNERSHIP,keyword,false
ORGANIZATIONAL_EFFECTIVENESS,uncovered,0,4,LEADERSHIP_OWNERSHIP,keyword,false
PERSONAL_DEVELOPMENT,uncovered,0,4,HOLISTIC_DEVELOPMENT,keyword,false
SELF_DISCOVERY,uncovered,0,4,SELF_PERCEPTION,keyword,false
SELF_EXPLORATION,uncovered,0,4,SELF_PERCEPTION,keyword,false
TRANSITION_CHANGE,uncovered,0,4,TRANSITION_READINESS,keyword,false
ACADEMIC_CAREER,uncovered,0,3,CAREER_READINESS,keyword,false
ACADEMIC_PLANNING,uncovered,0,3,ACADEMIC_COGNITIVE,keyword,false
ANALYTICAL_DEVELOPMENT,uncovered,0,3,THINKING_QUALITY,keyword,false
CAREER_DECISION,uncovered,0,3,CAREER_READINESS,keyword,false
EMOTIONAL_DEVELOPMENT,uncovered,0,3,EMOTIONAL_REGULATION,keyword,false
EMOTIONAL_REFLECTION,uncovered,0,3,EMOTIONAL_REGULATION,keyword,false
FACULTY_DEVELOPMENT,uncovered,0,3,INSTRUCTIONAL_QUALITY,keyword,false
FACULTY_EFFECTIVENESS,uncovered,0,3,INSTRUCTIONAL_QUALITY,keyword,false
FACULTY_SUSTAINABILITY,uncovered,0,3,INSTRUCTIONAL_QUALITY,keyword,false
HELP_SEEKING,uncovered,0,3,ADJUSTMENT_COPING,override,false
LEADERSHIP_TRANSITION,uncovered,0,3,LEADERSHIP_OWNERSHIP,keyword,false
PERSONAL_EFFECTIVENESS,uncovered,0,3,DISCIPLINE_HABITS,override,false
ACADEMIC_GROWTH,uncovered,0,2,ACADEMIC_COGNITIVE,keyword,false
ACADEMIC_OPERATIONS,uncovered,0,2,ACADEMIC_COGNITIVE,keyword,false
ACADEMIC_REFLECTION,uncovered,0,2,THINKING_QUALITY,keyword,false
ALTERNATIVE_CAREER,uncovered,0,2,CAREER_READINESS,keyword,false
BEHAVIORAL_STABILITY,uncovered,0,2,EMOTIONAL_REGULATION,keyword,false
CAREER_ALIGNMENT,uncovered,0,2,CAREER_READINESS,keyword,false
CAREER_BRANDING,uncovered,0,2,CAREER_READINESS,keyword,false
CAREER_EXECUTION,uncovered,0,2,CAREER_READINESS,keyword,false
CAREER_PLANNING,uncovered,0,2,CAREER_READINESS,keyword,false
CAREER_PREPAREDNESS,uncovered,0,2,CAREER_READINESS,keyword,false
CAREER_RECOVERY,uncovered,0,2,EMOTIONAL_REGULATION,keyword,false
CAREER_SUSTAINABILITY,uncovered,0,2,CAREER_READINESS,keyword,false
EMOTIONAL_MATURITY,uncovered,0,2,EMOTIONAL_REGULATION,keyword,false
EMPLOYABILITY_DEVELOPMENT,uncovered,0,2,EMPLOYABILITY,keyword,false
FINANCIAL_READINESS,uncovered,0,2,CAREER_READINESS,override,false
FUTURE_ORIENTATION,uncovered,0,2,PERSONAL_VISION,override,false
IDENTITY_FORMATION,uncovered,0,2,SELF_PERCEPTION,keyword,false
LEADERSHIP_DEVELOPMENT,uncovered,0,2,LEADERSHIP_OWNERSHIP,keyword,false
LEARNING_REFLECTION,uncovered,0,2,THINKING_QUALITY,keyword,false
MOTIVATION_MAPPING,uncovered,0,2,MOTIVATION_VALUES,keyword,false
PERSONAL_INSIGHT,uncovered,0,2,SELF_REFLECTION,override,false
PRODUCTIVITY_REFLECTION,uncovered,0,2,THINKING_QUALITY,keyword,false
REFLECTIVE_DEVELOPMENT,uncovered,0,2,THINKING_QUALITY,keyword,false
SELF_IDENTITY,uncovered,0,2,SELF_PERCEPTION,keyword,false
SELF_LEADERSHIP,uncovered,0,2,LEADERSHIP_OWNERSHIP,keyword,false
SELF_LEARNING,uncovered,0,2,LEARNING_ADAPTABILITY,keyword,false
SOCIAL_SELF,uncovered,0,2,SOCIAL_EMOTIONAL,keyword,false
STUDENT_BEHAVIOUR,uncovered,0,2,STUDENT_SUCCESS,keyword,false
STUDENT_ENGAGEMENT,uncovered,0,2,STUDENT_SUCCESS,keyword,false
STUDENT_PSYCHOLOGY,uncovered,0,2,STUDENT_SUCCESS,keyword,false
STUDENT_RISK,uncovered,0,2,STUDENT_SUCCESS,keyword,false
STUDENT_WELLNESS,uncovered,0,2,EMOTIONAL_REGULATION,keyword,false
TALENT_IDENTIFICATION,uncovered,0,2,COMPETENCY_DEVELOPMENT,keyword,false
