ID	Anchor	Domain	Sub-Domain	Dimension	Focus Area	Layer (1-12)	Dimension	Question (Self-Assessment)	Question	Response	A (1pt)	B (2pt)	C (3pt)	D (4pt)	E (5pt)	Polarity	Wt	Logic	Age Band	Stage 	Age
FSA-01	Yes	Cognitive	Endurance	Duration	Deep Cognitive	1: Duration	Sustained Focus	How long can you study one topic before needing a break?	How long can you study before a break?	<15m to 1h+	<15m	15-30m	30-45m	45-60m	1h+	(+)	1.5	Linear (1-5)	11-18	Curiosity	B, C
FSA-02	No	Behavioral	Inhibition	Digital Control	High-Impact Behavioral	3: Impulse	Digital Control	Do you check your phone the moment it lights up?	Check phone the moment it lights up?	Always to Never	Always	Often	Sometimes	Rarely	Never	(-)	1.2	Inverted (5-1)	11-18	Curiosity	B, C
FSA-03	No	Behavioral	Physiology	Restlessness	High-Impact Behavioral	2: Physical	Restlessness	Do you feel "fidgety" if you sit still for 10 mins?	Feel "fidgety" if you sit still for 10m?	Always to Never	Always	Often	Sometimes	Rarely	Never	(-)	1	Inverted (5-1)	11-14	Curiosity	B
FSA-04	No	Cognitive	Recovery	Recovery Speed	Deep Cognitive	4: Recovery	Recovery Speed	After a distraction, how quickly is your brain "back"?	How quickly is your brain "back" after distraction?	15m+ to <1m	15m+	10m	5m	2m	<1m	(+)	1.5	Linear (1-5)	15-18	Curiosity	C
FSA-05	No	Behavioral	Exec Function	Task Completion	High-Impact Behavioral	10: Exec	Task Completion	Do you have 3+ half-finished chapters right now?	Have 3+ half-finished chapters right now?	Yes / No	Yes (3+)	Yes (2)	Yes (1)	Not really	No	(-)	1.3	Yes=1, No=5	11-18	Curiosity	B, C
FSA-06	No	Cognitive	Endurance	Cognitive Fatigue	Deep Cognitive	1: Duration	Cognitive Fatigue	Does your brain feel "foggy" after 20 mins of reading?	Brain feel "foggy" after 20m of reading?	Always to Never	Always	Often	Sometimes	Rarely	Never	(-)	1.1	Inverted (5-1)	15-18	Curiosity	C
FSA-07	No	Cognitive	Internal Reg	Internal Drift	Deep Cognitive	2: Physical	Internal Drift	In silence, do your own thoughts pull you away?	In silence, do thoughts pull you away?	Daily to Never	Daily	Often	Sometimes	Rarely	Never	(-)	1.4	Inverted (5-1)	15-18	Curiosity	C
FSA-08	No	Behavioral	Environment	Sensory Control	High-Impact Behavioral	5: Sensory	Sensory Control	Does a small noise (fan/hum) stop you from working?	Does a small noise stop you from working?	Always to Never	Always	Often	Sometimes	Rarely	Never	(-)	1.2	Inverted (5-1)	11-14	Curiosity	B
FSA-09	No	Emotional	Anxiety	Focus Anxiety	Emotional/Anxiety	11: Meta	Focus Anxiety	Do you panic that you aren't finishing fast enough?	Panic that you aren't finishing fast enough?	Always to Never	Always	Often	Sometimes	Rarely	Never	(-)	1.1	Inverted (5-1)	15-18	Curiosity	C
FSA-10	Yes	Diagnostic	Profile	Hyper-focus	Hyper-focus Paradox	6: Diagnostic	Hyper-focus	Can you play games for 1hr but not study for 15m?	Play games for 1hr but not study for 15m?	Always to Never	Always	Often	Sometimes	Rarely	Never	(-)	1.6	Inverted (5-1)	11-18	Curiosity	B, C
