rank,bridge_tag,concern_count,question_count,classification,best_family,best_domain,best_similarity,candidate_signal_count,impact_score,relationship_path,candidate_examples
1,ACADEMIC_COGNITIVE,140,618,GREEN,"learning_processing_signals","Cognitive Intelligence",0.2932,120,41.048,"ACADEMIC_COGNITIVE -> domain:Cognitive Intelligence -> family:learning_processing_signals -> 40 atomic signals","Applied Learning Effectiveness | Conceptual Processing Depth | Stable Comprehension Under Complexity | Continuous Learning Optimization | Processing Stability Under Pressure | Cognitive Processing Consistency"
2,EXAMINATION_STRESS,119,650,GREEN,"learning_resilience_signals","Learning Intelligence",0.2667,160,31.737,"EXAMINATION_STRESS -> domain:Learning Intelligence -> family:learning_resilience_signals -> 40 atomic signals","Repeated Failure Endurance | Sustained Learning Grit | Growth After Academic Adversity | Long Term Learning Commitment | Academic Persistence Strength | Resilience Under Academic Pressure"
3,ACADEMIC_IDENTITY,87,225,GREEN,"direction_signals","Career Intelligence",0.2903,100,25.256,"ACADEMIC_IDENTITY -> domain:Career Intelligence -> family:direction_signals -> 40 atomic signals","Chronic Career Ambiguity | Lack Of Career Vision | Lack Of Professional Alignment | Fragmented Professional Identity | Lack Of Career Structure | Low Professional Self Awareness"
4,LEADERSHIP_OWNERSHIP,80,400,GREEN,"professional_confidence_signals","Career Intelligence",0.2914,200,23.312,"LEADERSHIP_OWNERSHIP -> domain:Career Intelligence -> family:professional_confidence_signals -> 80 atomic signals","Professional Identity Resilience | Professional Mastery Confidence | Professional Self Belief | Professional Identity Confidence | Crisis Management Confidence | Executive Presence Confidence"
5,EMPLOYABILITY,46,1150,GREEN,"industry_alignment_signals","Employability Intelligence",0.3866,140,17.784,"EMPLOYABILITY -> domain:Employability Intelligence -> family:industry_alignment_signals -> 60 atomic signals","Transformational Employability Alignment | Practical Skill Alignment | Real World Problem Alignment | Automation Resilience Alignment | Practical Experience Prioritization | Market Skill Awareness"
6,COMPETENCY_DEVELOPMENT,52,1014,GREEN,"practical_transition_signals","Career Intelligence",0.2933,120,15.252,"COMPETENCY_DEVELOPMENT -> domain:Career Intelligence -> family:practical_transition_signals -> 40 atomic signals","Workplace Execution Maturity | Practical Problem Solving Shift | Real World Execution Orientation | Professional Learning Application | Ambiguity Handling Readiness | Workplace Pressure Stability"
7,EXAMINATION_READINESS,54,50,GREEN,"academic_confidence_signals","Learning Intelligence",0.2727,120,14.726,"EXAMINATION_READINESS -> domain:Learning Intelligence -> family:academic_confidence_signals -> 40 atomic signals","Long Term Learning Confidence | Growth Mindset Learning Confidence | Problem Solving Confidence | Failure Recovery Learning Confidence | Analytical Learning Confidence | Advanced Learning Confidence"
8,EMOTIONAL_RECOVERY,52,800,GREEN,"career_resilience_signals","Career Intelligence",0.2811,160,14.617,"EMOTIONAL_RECOVERY -> domain:Career Intelligence -> family:career_resilience_signals -> 40 atomic signals","Emotional Endurance Under Pressure | Long Term Career Commitment | Prolonged Search Endurance | Persistence Under Delayed Success | Resilient Skill Reinvestment | Persistence After Failure"
9,HOLISTIC_DEVELOPMENT,46,600,GREEN,"professional_confidence_signals","Career Intelligence",0.3107,160,14.292,"HOLISTIC_DEVELOPMENT -> domain:Career Intelligence -> family:professional_confidence_signals -> 80 atomic signals","Professional Identity Resilience | Professional Mastery Confidence | Professional Self Belief | Professional Identity Confidence | Crisis Management Confidence | Executive Presence Confidence"
10,WORKPLACE_ADAPTATION,46,682,GREEN,"workplace_readiness_signals","Career Intelligence",0.2989,160,13.749,"WORKPLACE_ADAPTATION -> domain:Career Intelligence -> family:workplace_readiness_signals -> 80 atomic signals","Professional Environment Mastery | Workplace Ethics Readiness | Workplace Execution Reliability | Workplace Professionalism Integrity | Career Environment Readiness | Workplace Problem Solving Readiness"
11,COLLABORATION_OWNERSHIP,43,250,GREEN,"collaboration_for_workplace_signals","Employability Intelligence",0.3011,120,12.947,"COLLABORATION_OWNERSHIP -> domain:Employability Intelligence -> family:collaboration_for_workplace_signals -> 40 atomic signals","High Performance Team Integration | Reliability In Team Deadlines | Collaborative Resilience Under Pressure | Collaborative Dependability | Collaborative Task Ownership | Accountability To Team Outcomes"
12,STRATEGIC_PREPARATION,35,500,GREEN,"industry_awareness_signals","Career Intelligence",0.2513,120,8.796,"STRATEGIC_PREPARATION -> domain:Career Intelligence -> family:industry_awareness_signals -> 40 atomic signals","Employability Gap Awareness | Lifelong Learning Awareness | Skill Market Alignment | Professional Expectation Clarity | Technology Disruption Awareness | Digital Transformation Awareness"
13,CAREER_GROWTH,35,675,GREEN,"professional_confidence_signals","Career Intelligence",0.225,200,7.875,"CAREER_GROWTH -> domain:Career Intelligence -> family:professional_confidence_signals -> 80 atomic signals","Professional Identity Resilience | Professional Mastery Confidence | Professional Self Belief | Professional Identity Confidence | Crisis Management Confidence | Executive Presence Confidence"
14,SELF_REFLECTION,32,305,GREEN,"reflective_learning_signals","Learning Intelligence",0.2416,120,7.731,"SELF_REFLECTION -> domain:Learning Intelligence -> family:reflective_learning_signals -> 40 atomic signals","Autonomous Reflective Growth | Reflective Self Awareness Depth | Lifelong Reflective Growth Orientation | Metacognitive Monitoring | Reflective Strategy Optimization | Reflective Learning Ownership"
15,STRATEGIC_LEADERSHIP,33,75,GREEN,"strategic_thinking_signals","Cognitive Intelligence",0.2227,200,7.349,"STRATEGIC_LEADERSHIP -> domain:Cognitive Intelligence -> family:strategic_thinking_signals -> 80 atomic signals","Transformational Vision Engineering | Systems Level Thinking | Long Horizon Planning | Predictive Decision Modeling | Strategic Signal Detection | Long Term Vision Orientation"
16,FOUNDATIONAL_LEARNING,15,25,GREEN,"conceptual_clarity_signals","Learning Intelligence",0.2979,100,4.468,"FOUNDATIONAL_LEARNING -> domain:Learning Intelligence -> family:conceptual_clarity_signals -> 40 atomic signals","Integrated Conceptual Mastery | Principle Based Learning | Deep Understanding Orientation | Higher Order Concept Reasoning | Foundational Concept Mastery | Conceptual Application Transfer"
17,STEM_LEARNING,16,100,GREEN,"academic_confidence_signals","Learning Intelligence",0.2627,120,4.203,"STEM_LEARNING -> domain:Learning Intelligence -> family:academic_confidence_signals -> 40 atomic signals","Long Term Learning Confidence | Growth Mindset Learning Confidence | Problem Solving Confidence | Failure Recovery Learning Confidence | Analytical Learning Confidence | Advanced Learning Confidence"
18,LEARNING_ADAPTABILITY,25,400,YELLOW,"academic_confidence_signals","Learning Intelligence",0.2131,120,2.664,"LEARNING_ADAPTABILITY -> domain:Learning Intelligence -> family:academic_confidence_signals -> 40 atomic signals","Long Term Learning Confidence | Growth Mindset Learning Confidence | Problem Solving Confidence | Failure Recovery Learning Confidence | Analytical Learning Confidence | Advanced Learning Confidence"
