intent,target_id,target_label,target_tag,best_matched,nTok,best_score,tie
i have trouble with confidence,CONCERN_CON_1735,Confidence,CONFIDENCE_SELF,1,2,50,444
i struggle with discipline,CONCERN_ADJ_1749,Discipline,DISCIPLINE_HABITS,1,2,50,310
i struggle with motivation,CONCERN_EXA_1743,Motivation,MOTIVATION_VALUES,1,2,50,310
i have trouble with discipline,CONCERN_ADJ_1749,Discipline,DISCIPLINE_HABITS,1,2,50,298
i have trouble with motivation,CONCERN_EXA_1743,Motivation,MOTIVATION_VALUES,1,2,50,298
i keep struggling with interest in studies,CONCERN_STU_1353,interest in studies,ENGAGEMENT_MANAGEMENT,1,4,25,162
i need help with placement pressure,CONCERN_EMP_17,Placement Pressure,EXAMINATION_STRESS,2,4,50,137
i struggle with interest in studies,CONCERN_STU_1353,interest in studies,ENGAGEMENT_MANAGEMENT,1,3,33,119
i have trouble with interest in studies,CONCERN_STU_1353,interest in studies,ENGAGEMENT_MANAGEMENT,1,3,33,107
i cannot manage curiosity,CONCERN_CON_1795,Curiosity,MOTIVATION_VALUES,1,3,33,92
i keep struggling with focus & attention,CONCERN_LIF_1733,Focus & Attention,ACADEMIC_COGNITIVE,2,4,50,91
i keep struggling with accountability,CONCERN_ADJ_1810,Accountability,MOTIVATION_VALUES,1,3,33,87
i keep struggling with distractions,CONCERN_SEL_1416,distractions,PRODUCTIVITY_COACHING,1,3,33,83
i need help with leadership confidence,CONCERN_SOC_1846,Leadership Confidence,LEADERSHIP_OWNERSHIP,2,4,50,76
i need help with curiosity,CONCERN_CON_1795,Curiosity,MOTIVATION_VALUES,1,3,33,75
i keep struggling with resilience,CONCERN_EXA_1755,Resilience,EXAMINATION_STRESS,1,3,33,75
i cannot manage purpose,CONCERN_EXA_1821,Purpose,ACADEMIC_IDENTITY,1,3,33,74
i need help with accountability,CONCERN_ADJ_1810,Accountability,MOTIVATION_VALUES,1,3,33,73
i cannot manage managing larger responsibilities,CONCERN_COM_596,Managing Larger Responsibilities,CONFIDENCE_SELF,2,5,40,73
i keep struggling with purpose,CONCERN_EXA_1821,Purpose,ACADEMIC_IDENTITY,1,3,33,71
i need help with distractions,CONCERN_SEL_1416,distractions,PRODUCTIVITY_COACHING,1,3,33,69
i cannot manage self-awareness,CONCERN_EXA_1826,Self-Awareness,SELF_REFLECTION,1,3,33,68
i keep struggling with self-awareness,CONCERN_EXA_1826,Self-Awareness,SELF_REFLECTION,1,3,33,65
i cannot manage procrastination,CONCERN_MOT_1744,Procrastination,DISCIPLINE_HABITS,1,3,33,64
