intent,target_id,target_tag,after_class,resolved_id,tie_count,confidence
"i keep struggling with handling workplace criticism constructively",CONCERN_ACA_1062,EMOTIONAL_REGULATION,drift,CONCERN_SOC_2389,1,38
"i struggle with solving advanced problems",CONCERN_ACA_112,CONFIDENCE_SELF,drift,CONCERN_ACA_1650,2,34
"i keep struggling with visibility into student competency distribution across grades",CONCERN_ACA_1162,COMPETENCY_INTELLIGENCE,drift,CONCERN_CON_1234,1,33
"i cannot manage visibility into student competency distribution across grades",CONCERN_ACA_1162,COMPETENCY_INTELLIGENCE,drift,CONCERN_LEA_1246,1,30
"i need help with visibility into student competency distribution across grades",CONCERN_ACA_1162,COMPETENCY_INTELLIGENCE,drift,CONCERN_ACA_1198,1,42
"i keep struggling with visibility into future career readiness across students",CONCERN_ACA_1194,EMPLOYABILITY_FUTURE,drift,CONCERN_SOC_1338,1,40
"i keep struggling with visibility into student communication confidence levels",CONCERN_ACA_1310,COMMUNICATION_EXPRESSION,drift,CONCERN_INQ_1206,8,27
"i cannot manage visibility into student communication confidence levels",CONCERN_ACA_1310,COMMUNICATION_EXPRESSION,drift,CONCERN_LEA_1246,1,31
"i need help with visibility into student communication confidence levels",CONCERN_ACA_1310,COMMUNICATION_EXPRESSION,failure,,1,0
"i cannot manage fear of failure leading to academic avoidance",CONCERN_ACA_1376,ACADEMIC_RISK,failure,,1,0
"i cannot manage interview preparation discipline",CONCERN_ACA_16,EMPLOYABILITY,drift,CONCERN_CAR_368,1,27
"i need help with interview preparation discipline",CONCERN_ACA_16,EMPLOYABILITY,drift,CONCERN_INT_2291,2,19
"i struggle with understanding concepts",CONCERN_ACA_1649,ACADEMIC_COGNITIVE,drift,CONCERN_CAR_256,2,28
"i keep struggling with understanding concepts",CONCERN_ACA_1649,ACADEMIC_COGNITIVE,failure,,2,0
"i cannot manage understanding concepts",CONCERN_ACA_1649,ACADEMIC_COGNITIVE,failure,,4,0
"i need help with understanding concepts",CONCERN_ACA_1649,ACADEMIC_COGNITIVE,failure,,1,0
"i need help with problem-solving skills",CONCERN_ACA_1650,ACADEMIC_COGNITIVE,failure,,1,0
"i need help with analytical thinking",CONCERN_ACA_1651,THINKING_QUALITY,failure,,1,0
"i struggle with writing skills",CONCERN_ACA_1657,COMMUNICATION_EXPRESSION,drift,CONCERN_ACA_1650,1,29
"i struggle with revising effectively",CONCERN_ACA_1664,EXAMINATION_READINESS,drift,CONCERN_ACA_1650,3,13
"i need help with revising effectively",CONCERN_ACA_1664,EXAMINATION_READINESS,failure,,3,0
"i struggle with initiative in learning",CONCERN_ACA_1687,MOTIVATION_VALUES,drift,CONCERN_DIS_2131,2,25
"i need help with initiative in learning",CONCERN_ACA_1687,MOTIVATION_VALUES,failure,,1,0
"i keep struggling with vocabulary development",CONCERN_ACA_1700,COMMUNICATION_EXPRESSION,drift,CONCERN_CON_967,1,22
"i cannot manage interpretation skills",CONCERN_ACA_1721,ACADEMIC_COGNITIVE,failure,,1,0
"i need help with interpretation skills",CONCERN_ACA_1721,ACADEMIC_COGNITIVE,failure,,1,0
"i struggle with academic pressure",CONCERN_ACA_1731,EXAMINATION_STRESS,drift,CONCERN_EMP_1053,2,25
"i keep struggling with academic pressure",CONCERN_ACA_1731,EXAMINATION_STRESS,drift,CONCERN_SOC_2378,1,34
"i cannot manage academic pressure",CONCERN_ACA_1731,EXAMINATION_STRESS,drift,CONCERN_DIS_678,2,29
"i need help with academic pressure",CONCERN_ACA_1731,EXAMINATION_STRESS,drift,CONCERN_CLA_2243,3,29
"i keep struggling with fear of failure",CONCERN_ACA_1734,CONFIDENCE_SELF,failure,,1,0
"i cannot manage fear of failure",CONCERN_ACA_1734,CONFIDENCE_SELF,failure,,1,0
"i need help with fear of failure",CONCERN_ACA_1734,CONFIDENCE_SELF,failure,,1,0
