Results will appear here once students complete assessments

Assessment Item Bank
CSV Template
Bulk Import
Add Question
Search
Search by question text or ID...
Domain

All Domains
Age Band

All Bands
Type

All Types

576 questions total
Page 3 of 24
ID	Statement	Domain	Band	Type	Status	Actions
ATT_L2-D03	Click ■, ignore ○	ACEACE_SD05	A–E3	attention_click	Active	


ATT_L2-D05	Click ◆, ignore ★	ACEACE_SD05	A–E3	attention_click	Active	


ATT_L2-D02	Click ▲, ignore ★	ACEACE_SD05	A–E3	attention_click	Active	


ATT_L2-D09	Click ○, ignore flashes	ACEACE_SD05	B–E3	attention_click	Active	


ATT_L2-B08	Click ■ only if followed by ★	ACEACE_SD05	B–E3	attention_click	Active	


ATT_L2-B03	Click ■ only if followed by ▲	ACEACE_SD05	B–E3	attention_click	Active	


ATT_L2-C06	Click ★ only after ◆	ACEACE_SD05	C–E3	attention_click	Active	


ATT_L2-C05	Click ◆ only after ○	ACEACE_SD05	C–E3	attention_click	Active	


ATT_L2-B05	Click ★ only if followed by ▲	ACEACE_SD05	B–E3	attention_click	Active	


ATT_L2-C04	Click ▲ only after ■	ACEACE_SD05	C–E3	attention_click	Active	


ATT_L2-B07	Click ◆ only if followed by ○	ACEACE_SD05	B–E3	attention_click	Active	


ATT_L2-C10	Click ◆ only after ▲	ACEACE_SD05	C–E3	attention_click	Active	


ATT_L2-B10	Click ★ only if followed by ◆	ACEACE_SD05	B–E3	attention_click	Active	


ATT_L2-B06	Click ▲ only if followed by ■	ACEACE_SD05	B–E3	attention_click	Active	


ATT_L2-C02	Click ■ only after ★	ACEACE_SD05	C–E3	attention_click	Active	


ATT_L2-B09	Click ○ only if followed by ▲	ACEACE_SD05	B–E3	attention_click	Active	


ATT_L2-C03	Click ○ only after ○	ACEACE_SD05	C–E3	attention_click	Active	


ATT_L2-C07	Click ■ only after ■	ACEACE_SD05	C–E3	attention_click	Active	


ATT_L2-D01	Click ★, ignore all others	ACEACE_SD05	A–E3	attention_click	Active	


ATT_L2-B04	Click ○ only if followed by ◆	ACEACE_SD05	B–E3	attention_click	Active	


ATT_L2-C01	Click ★ only after ▲	ACEACE_SD05	C–E3	attention_click	Active	


ATT_L2-C08	Click ○ only after ▲	ACEACE_SD05	C–E3	attention_click	Active	


ATT_L2-C09	Click ▲ only after ○	ACEACE_SD05	C–E3	attention_click	Active	


ATT_L2-A04	Click ○ only	ACEACE_SD05	A–E3	attention_click	Active	


ATT_L2-B01	Click ★ only if followed by ○	ACEACE_SD05	B–E3	attention_click	Active	


