intent,target_id,target_label,target_tag,resolved_id,resolved_label,resolved_tag,matched,nTok,score,tie
i have trouble with emotional regulation,CONCERN_DIS_1780,Emotional Regulation,EXAMINATION_STRESS,CONCERN_ACA_1019,Emotional Burnout During Multi-Year Transitions,EMOTIONAL_REGULATION,2,3,67,219
i have trouble with placement pressure,CONCERN_EMP_17,Placement Pressure,EXAMINATION_STRESS,CONCERN_ACA_1136,Build Long-Term Emotional Resilience,EMOTIONAL_RECOVERY,2,3,67,124
i struggle with focus & attention,CONCERN_LIF_1733,Focus & Attention,ACADEMIC_COGNITIVE,CONCERN_ACA_1348,concentration during classes,LEARNING_INTERVENTION,2,3,67,91
i have trouble with focus & attention,CONCERN_LIF_1733,Focus & Attention,ACADEMIC_COGNITIVE,CONCERN_ACA_1348,concentration during classes,LEARNING_INTERVENTION,2,3,67,91
i struggle with leadership confidence,CONCERN_SOC_1846,Leadership Confidence,LEADERSHIP_OWNERSHIP,CONCERN_ACA_490,Leadership Interviews,COMMUNICATION_EXPRESSION,2,3,67,73
i struggle with academic pressure,CONCERN_ACA_1731,Academic Pressure,EXAMINATION_STRESS,CONCERN_ACA_1650,Problem-Solving Skills,ACADEMIC_COGNITIVE,2,3,67,72
i struggle with academic pressure,CONCERN_EXA_1667,Academic Pressure,EXAMINATION_STRESS,CONCERN_ACA_1650,Problem-Solving Skills,ACADEMIC_COGNITIVE,2,3,67,72
i struggle with academic pressure,CONCERN_MOT_1964,Academic Pressure,EXAMINATION_STRESS,CONCERN_ACA_1650,Problem-Solving Skills,ACADEMIC_COGNITIVE,2,3,67,72
i have trouble with leadership confidence,CONCERN_SOC_1846,Leadership Confidence,LEADERSHIP_OWNERSHIP,CONCERN_ACA_490,Leadership Interviews,COMMUNICATION_EXPRESSION,2,3,67,70
academic pressure,CONCERN_ACA_1731,Academic Pressure,EXAMINATION_STRESS,CONCERN_ACA_1698,Mathematical Reasoning,ACADEMIC_COGNITIVE,2,2,100,63
i have trouble with academic pressure,CONCERN_ACA_1731,Academic Pressure,EXAMINATION_STRESS,CONCERN_ACA_1698,Mathematical Reasoning,ACADEMIC_COGNITIVE,2,3,67,63
i have trouble with academic pressure,CONCERN_EXA_1667,Academic Pressure,EXAMINATION_STRESS,CONCERN_ACA_1698,Mathematical Reasoning,ACADEMIC_COGNITIVE,2,3,67,63
i have trouble with academic pressure,CONCERN_MOT_1964,Academic Pressure,EXAMINATION_STRESS,CONCERN_ACA_1698,Mathematical Reasoning,ACADEMIC_COGNITIVE,2,3,67,63
i struggle with study discipline,CONCERN_DIS_1660,Study Discipline,DISCIPLINE_HABITS,CONCERN_ACA_1869,Child Pretending to Study,MOTIVATION_VALUES,2,3,67,40
i have trouble with study discipline,CONCERN_DIS_1660,Study Discipline,DISCIPLINE_HABITS,CONCERN_ACA_1869,Child Pretending to Study,MOTIVATION_VALUES,2,3,67,40
i struggle with emotional exhaustion,CONCERN_EXA_1825,Emotional Exhaustion,EXAMINATION_STRESS,CONCERN_ACA_1019,Emotional Burnout During Multi-Year Transitions,EMOTIONAL_REGULATION,2,3,67,40
i struggle with study discipline,CONCERN_LEA_1438,study discipline,ACADEMIC_BEHAVIOR,CONCERN_ACA_1869,Child Pretending to Study,MOTIVATION_VALUES,2,3,67,40
i have trouble with study discipline,CONCERN_LEA_1438,study discipline,ACADEMIC_BEHAVIOR,CONCERN_ACA_1869,Child Pretending to Study,MOTIVATION_VALUES,2,3,67,40
weak emotional regulation,CONCERN_DIS_1780,Emotional Regulation,EXAMINATION_STRESS,CONCERN_ACA_1062,Handling Workplace Criticism Constructively,EMOTIONAL_REGULATION,3,3,100,38
i struggle with career confusion,CONCERN_CON_1736,Career Confusion,ACADEMIC_IDENTITY,CONCERN_ACA_231,Career Uncertainty After Board Exams,EXAMINATION_STRESS,2,3,67,38
emotional exhaustion,CONCERN_EXA_1825,Emotional Exhaustion,EXAMINATION_STRESS,CONCERN_ACA_1019,Emotional Burnout During Multi-Year Transitions,EMOTIONAL_REGULATION,2,2,100,36
comparison stress,CONCERN_LIF_1753,Comparison Stress,CONFIDENCE_SELF,CONCERN_ACA_1731,Academic Pressure,EXAMINATION_STRESS,2,2,100,36
i have trouble with emotional exhaustion,CONCERN_EXA_1825,Emotional Exhaustion,EXAMINATION_STRESS,CONCERN_ACA_1019,Emotional Burnout During Multi-Year Transitions,EMOTIONAL_REGULATION,2,3,67,36
i have trouble with comparison stress,CONCERN_LIF_1753,Comparison Stress,CONFIDENCE_SELF,CONCERN_ACA_1731,Academic Pressure,EXAMINATION_STRESS,2,3,67,36
lack of discipline,CONCERN_ADJ_1749,Discipline,DISCIPLINE_HABITS,CONCERN_ACA_1687,Initiative in Learning,MOTIVATION_VALUES,2,2,100,35
career confusion,CONCERN_CON_1736,Career Confusion,ACADEMIC_IDENTITY,CONCERN_ACA_231,Career Uncertainty After Board Exams,EXAMINATION_STRESS,2,2,100,35
i have trouble with career confusion,CONCERN_CON_1736,Career Confusion,ACADEMIC_IDENTITY,CONCERN_ACA_231,Career Uncertainty After Board Exams,EXAMINATION_STRESS,2,3,67,35
i struggle with career awareness,CONCERN_EXA_1833,Career Awareness,ACADEMIC_IDENTITY,CONCERN_ACA_203,Understanding Personal Strengths for Career Choice,SELF_REFLECTION,2,3,67,33
i struggle with career awareness,CONCERN_THI_1966,Career Awareness,ACADEMIC_IDENTITY,CONCERN_ACA_203,Understanding Personal Strengths for Career Choice,SELF_REFLECTION,2,3,67,33
i struggle with communication skills,CONCERN_ACA_1939,Communication Skills,COMMUNICATION_EXPRESSION,CONCERN_ACA_1650,Problem-Solving Skills,ACADEMIC_COGNITIVE,2,3,67,31
i struggle with communication skills,CONCERN_COM_1655,Communication Skills,COMMUNICATION_EXPRESSION,CONCERN_ACA_1650,Problem-Solving Skills,ACADEMIC_COGNITIVE,2,3,67,31
i have trouble with academic confidence,CONCERN_THI_1652,Academic Confidence,CONFIDENCE_SELF,CONCERN_ACA_1726,Numerical Fluency,ACADEMIC_COGNITIVE,2,3,67,31
i have trouble with career awareness,CONCERN_EXA_1833,Career Awareness,ACADEMIC_IDENTITY,CONCERN_ACA_203,Understanding Personal Strengths for Career Choice,SELF_REFLECTION,2,3,67,30
i have trouble with career awareness,CONCERN_THI_1966,Career Awareness,ACADEMIC_IDENTITY,CONCERN_ACA_203,Understanding Personal Strengths for Career Choice,SELF_REFLECTION,2,3,67,30
i struggle with fear of exams,CONCERN_EXA_1665,Fear of Exams,EXAMINATION_STRESS,CONCERN_ACA_1376,Fear of failure leading to academic avoidance,ACADEMIC_RISK,2,3,67,29
fear of exams,CONCERN_EXA_1665,Fear of Exams,EXAMINATION_STRESS,CONCERN_ACA_1376,Fear of failure leading to academic avoidance,ACADEMIC_RISK,2,2,100,28
i have trouble with fear of exams,CONCERN_EXA_1665,Fear of Exams,EXAMINATION_STRESS,CONCERN_ACA_1376,Fear of failure leading to academic avoidance,ACADEMIC_RISK,2,3,67,28
i struggle with peer pressure,CONCERN_DIS_1745,Peer Pressure,SOCIAL_EMOTIONAL,CONCERN_ACA_2461,Students with Weak Academic Confidence After Comparisons,CONFIDENCE_SELF,2,3,67,27
i have trouble with adapting to change,CONCERN_THI_1814,Adapting to Change,ADJUSTMENT_COPING,CONCERN_ACA_2311,Adapting to Academic Changes,TRANSITION_CHANGE,2,3,67,27
peer pressure,CONCERN_DIS_1745,Peer Pressure,SOCIAL_EMOTIONAL,CONCERN_ACA_2461,Students with Weak Academic Confidence After Comparisons,CONFIDENCE_SELF,2,2,100,24
i struggle with academic expectations,CONCERN_DIS_1695,Academic Expectations,EXAMINATION_STRESS,CONCERN_ACA_1650,Problem-Solving Skills,ACADEMIC_COGNITIVE,2,3,67,24
i have trouble with peer pressure,CONCERN_DIS_1745,Peer Pressure,SOCIAL_EMOTIONAL,CONCERN_ACA_2461,Students with Weak Academic Confidence After Comparisons,CONFIDENCE_SELF,2,3,67,24
