archetype_key,archetype_name,emotion_type,statement,realism_pass,aligned,is_duplicate
academic_achievement,Academic Achievement & Exam Performance,frustration,It's frustrating to work this hard for grades that won't budge.,true,true,false
academic_achievement,Academic Achievement & Exam Performance,frustration,I'm sick of my results not matching the effort I put in.,true,true,false
academic_achievement,Academic Achievement & Exam Performance,fear,I'm scared bad grades will close doors to my future.,true,true,false
academic_achievement,Academic Achievement & Exam Performance,fear,I worry one bad exam will define me.,true,true,false
academic_achievement,Academic Achievement & Exam Performance,motivation,I want to finally see my hard work show up on my report card.,true,true,false
academic_achievement,Academic Achievement & Exam Performance,motivation,I'd love to walk out of an exam knowing I did well.,true,true,false
academic_achievement,Academic Achievement & Exam Performance,growth_signal,My last set of marks finally started moving in the right direction.,true,true,false
academic_achievement,Academic Achievement & Exam Performance,growth_signal,I've changed how I revise and it's helping a little.,true,true,false
academic_achievement,Academic Achievement & Exam Performance,success_indicator,I got the grade I'd been working toward all term.,true,true,false
academic_achievement,Academic Achievement & Exam Performance,success_indicator,My exam results finally matched the effort I put in.,true,true,false
adaptability_change,Adaptability & Change Navigation,frustration,It's frustrating that I can't just roll with changes like others do.,true,true,false
adaptability_change,Adaptability & Change Navigation,frustration,I'm annoyed at how rattled I get when plans shift.,true,true,false
adaptability_change,Adaptability & Change Navigation,fear,I'm scared of what happens when everything changes at once.,true,true,false
adaptability_change,Adaptability & Change Navigation,fear,I worry I won't be able to handle the unknown.,true,true,false
adaptability_change,Adaptability & Change Navigation,motivation,I want to handle change without it knocking me over.,true,true,false
adaptability_change,Adaptability & Change Navigation,motivation,I'd love to feel okay even when things are uncertain.,true,true,false
adaptability_change,Adaptability & Change Navigation,growth_signal,I rolled with a sudden change last week instead of panicking.,true,true,false
adaptability_change,Adaptability & Change Navigation,growth_signal,I'm getting a bit more comfortable when plans shift.,true,true,false
adaptability_change,Adaptability & Change Navigation,success_indicator,A big change came up and I adjusted without falling apart.,true,true,false
adaptability_change,Adaptability & Change Navigation,success_indicator,I handled an unpredictable week and stayed on my feet.,true,true,false
