tier,bridge_tag,concern_count,cluster_count,remap_target,remap_route,modal_persona,modal_cluster,domains,root_cause_categories,behavioral_intent,estimated_question_inventory,sample_concerns
2,EXAMINATION_READINESS,54,52,EXAMINATION_STRESS,override,Student,Poor Preparedness for Surprise Tests,Examination Readiness,Weak Exam Planning | Weak Exam Simulation Practice | Fear of Negative Marking | Insufficient Mock Conditioning | Fear of Incomplete Syllabus | Perfectionism Pressure | Fear of Judgement | Fear of Failure | Poor Revision Habits | Poor Planning Habits | Structuring Difficulty | Inconsistent Habits | Overwhelm Patterns | Lack of Exam Planning | Stress-Induced Recall Loss | Lack of Revision Habits | Mental Exhaustion | Lack of Independent Planning | Weak Writing Fluency | Poor Study Discipline | Poor Exam Strategy | Cognitive Fatigue | Poor Planning Skills | Excessive Workload | Weak Structuring Systems | Weak Exposure | Weak Pattern Recognition | Weak Preparation Systems | Weak Elimination Strategy | Continuous Performance Pressure | Weak Study Habits | Fear of High-Stakes Testing | Weak Analytical Reading | Weak Organizational Skills | Weak Exam Strategy | Weak Planning Systems | Anxiety-Induced Forgetfulness | Lack of Structured Revision | Weak Planning Ability | Weak Reinforcement Systems | Surface-Level Reading | Lack of Assessment Clarity | Reactive Learning Habits | Anxiety Overload,"Surface and stabilise ""Poor Preparedness for Surprise Tests"" within the Examination Readiness domain",40,Time Allocation During Competitive Exams | Test-Taking Strategy in Competitive Exams | Attempt Strategy Decisions | Transition from Learning to Testing Mode | Last-Minute Revision Effectiveness
2,COLLABORATION_OWNERSHIP,43,41,LEADERSHIP_OWNERSHIP,override,Mid-Career Professional,Weak Confidence in Cross-Functional Collaboration,Collaboration & Ownership,Weak Coordination Skills | Weak Collaboration Skills | Low Communication Confidence | Limited Group Exposure | Low Assertiveness Skills | Limited Team Exposure | Weak Conflict Management Skills | Limited Stakeholder Exposure | Weak Conflict Navigation Skills | Low Organizational Exposure | Weak Conflict Recovery Skills | Communication Style Gaps | Weak Difficult Conversation Skills | Weak Stakeholder Alignment | Weak Emotional Leadership Systems | Limited Global Leadership Exposure | Department-Centric Leadership | Weak Relational Leadership | Weak Distributed Leadership Systems | Weak Change Communication | Department-Centric Structures | Siloed Leadership Structures | Transactional Relationship Models | Weak Emotional Containment Skills | Limited Organizational Exposure | Weak Boundary Management | Weak Interpersonal Adaptability | High Responsibility Load | High Coordination Complexity | Academics-Only Assessment Models | Teacher Attention Bias | Isolated Operational Structures | Weak Collaborative Culture | Unequal Participation Structures | Unequal Classroom Facilitation | Dependence on Others | Competitive Isolation | Social Discomfort | Social Anxiety | Social Hesitation | Dependency on Peers | Individualistic Learning Habits,"Surface and stabilise ""Weak Confidence in Cross-Functional Collaboration"" within the Collaboration & Ownership domain",40,Collaborating in Team Projects | Building Practical Team Collaboration in Projects | Building Competency Through Collaborative Learning | Workplace Collaboration | Handle Professional Conflict Constructively
2,STRATEGIC_LEADERSHIP,33,33,ADAPTIVE_LEADERSHIP,override,Leadership Track Professional,Weak Confidence in Driving Organizational Change,Strategic Leadership,Fear of Failure | Weak Leadership Cascading | Narrow Functional Identity | Fear of Large-Scale Failure | Functional Silos | Lack of Clarity Tolerance | Weak Alignment Structures | Weak Change Communication | Lack of Vision Clarity | Functional Identity Lock-In | Weak Delegation Systems | Weak Narrative Leadership | Continuous Strategic Load | Poor Strategic Balance | Limited Enterprise Exposure | Rigid Leadership Systems | Performance Metric Pressure | Rapid Scaling Complexity | Weak Risk Balancing | Fixed Leadership Models | Weak Strategic Reinforcement Systems | External Economic Uncertainty | Weak Strategic Reinforcement | Weak Strategic Cascading | Continuous Future-Oriented Pressure | Competing Stakeholder Expectations | Overly Analytical Leadership Models | Weak Scaling Structures | External Economic Volatility | Narrow success definitions,"Surface and stabilise ""Weak Confidence in Driving Organizational Change"" within the Strategic Leadership domain",40,Driving Organizational Change | Build Strategic Thinking Across Teams | Build Strategic Influence Beyond Functional Expertise | Leading High-Visibility Strategic Initiatives | Transition from Functional to Enterprise Thinking
2,CAREER_TRANSITION,10,10,CAREER_GROWTH,override,Job Seeker,Difficulty Explaining Career Gaps Professionally,Career Transition,Fear of Judgment | Fear of Starting Over | Fear of Failure | Weak Narrative Framing | Skill Obsolescence Fear | Weak Professional Storytelling | Changing Industry Expectations | Weak Story Framing | Career Continuity Gaps | Limited Domain Proof,"Surface and stabilise ""Difficulty Explaining Career Gaps Professionally"" within the Career Transition domain",20,Explaining Career Gaps Professionally | Transitioning Into New Industries | Switching Careers Midway | Position Transferable Skills | Rejoining Workforce After Career Breaks
2,WORKPLACE_PERFORMANCE,9,9,WORKPLACE_ADAPTATION,override,Early Career Professional,Difficulty Maintaining Consistent Workplace Performance,Workplace Performance,Burnout & Cognitive Overload | Unsustainable Work Patterns | Unrealistic Organizational Expectations | Limited Workplace Conditioning | Slow Adjustment Patterns | Weak Execution Frameworks | Weak Task Structuring | Limited Process Exposure | Limited Operational Familiarity,"Surface and stabilise ""Difficulty Maintaining Consistent Workplace Performance"" within the Workplace Performance domain",18,Consistent Workplace Performance | Sustaining High Performance Without Burnout | Pressure from Unrealistic Workplace Timelines | Understand Workplace Expectations Quickly | Adapt to Fast-Paced Work Environments
2,ADAPTIVE_LEARNING,8,8,LEARNING_ADAPTABILITY,override,Skill Development Learner,Weak Adaptability to New Learning Technologies,Adaptive Learning,Fear of Complexity | Rigid Learning Habits | Fear of Uncertainty | Static Learning Models | Rigid Learning Dependency | One-Size-Fits-All Teaching Models | Weak Transition Support Systems | Narrow Placement Preparation,"Surface and stabilise ""Weak Adaptability to New Learning Technologies"" within the Adaptive Learning domain",16,Adaptability to New Learning Technologies | Adapt Learning Strategies During Failure | Adapting to Rapid Workplace Changes | Visibility into Student Learning Agility for Future Careers | Visibility into Student Adaptability During Curriculum Changes
2,INTERDISCIPLINARY_LEARNING,8,8,LEARNING_ADAPTABILITY,override,Student,Difficulty Linking Concepts Across Subjects,Interdisciplinary Learning,Fragmented Learning | Weak Knowledge Mapping | Fragmented Knowledge Structures | Subject Isolation | Silo-Based Learning,"Surface and stabilise ""Difficulty Linking Concepts Across Subjects"" within the Interdisciplinary Learning domain",16,Linking Concepts Across Subjects | Concept Transfer Across Subjects | Understanding Interdisciplinary Concepts | Subject Integration Across Curriculum | Supporting Students with Weak Conceptual Integration
2,EMPLOYABILITY_FUTURE,7,7,EMPLOYABILITY,keyword,Principal / Leadership,Weak Ability to Measure Future Readiness Institutionally,Employability & Future Skills,Outdated Curriculum Focus | Weak Career Guidance Systems | Outdated Academic Priorities | Legacy Curriculum Priorities | Legacy Academic Priorities | Degree-Centric Evaluation Systems | Slow Curriculum Adaptation,"Surface and stabilise ""Weak Ability to Measure Future Readiness Institutionally"" within the Employability & Future Skills domain",14,Measure Future Readiness Institutionally | Visibility into Future Career Readiness Across Students | Identifying Institutional Skill Readiness Gaps | Institutional Readiness for Future Careers | Detect Future Readiness Gaps Across Students
2,ACADEMIC_PERFORMANCE,6,6,ACADEMIC_COGNITIVE,override,Student,Lack of Consistency in Performance,Academic Performance,Inconsistent Execution | Cognitive Overload | Lack of Reflection | Mental Exhaustion | Uneven Preparation | Uneven Preparation Habits,"Surface and stabilise ""Lack of Consistency in Performance"" within the Academic Performance domain",12,Consistency in Performance | Multiple Subjects | Tracking Academic Progress | Academic Endurance | Consistency Across Subjects
2,INQUIRY_CURIOSITY,5,5,THINKING_QUALITY,override,Principal / Leadership,Weak Visibility into Student Curiosity and Inquiry Levels,Inquiry & Curiosity,Rote-Learning Culture | Rote-Centric Academic Models | Traditional Curriculum Structures | Marks-Dominated Classroom Culture | Lecture-Dominant Teaching,"Surface and stabilise ""Weak Visibility into Student Curiosity and Inquiry Levels"" within the Inquiry & Curiosity domain",10,Visibility into Student Curiosity and Inquiry Levels | Institutional Creativity and Innovation Levels | Institutional Innovation Readiness | Institutional Curiosity Suppression Patterns | Active Learning Environments
