rank,question_id,alignment_score,concern_25,behavior_25,capability_25,construct_25,missing_fields,best_signal_band,bridge_tag,question
1,Q_ALE_001_001,43,10,25,8,0,2,strong,LEARNING_ADAPTABILITY,How comfortable are you participating in classroom activities that require discussion and interaction?
2,Q_ALE_001_002,43,10,25,8,0,2,strong,LEARNING_ADAPTABILITY,How confident are you in sharing your ideas during group activities or classroom discussions?
3,Q_ALE_001_003,43,10,25,8,0,2,strong,LEARNING_ADAPTABILITY,"How interested are you in learning through projects, discussions, and practical activities instead of only lectures?"
4,Q_ALE_001_004,43,10,25,8,0,2,strong,LEARNING_ADAPTABILITY,"When teachers encourage participation, how easily do you get involved?"
5,Q_ALE_001_005,43,10,25,8,0,2,strong,LEARNING_ADAPTABILITY,How prepared do you feel for learning environments that require teamwork and active involvement?
6,Q_ALE_001_006,43,10,25,8,0,2,strong,LEARNING_ADAPTABILITY,How uncomfortable do you feel when asked to participate in front of others?
7,Q_ALE_001_007,43,10,25,8,0,2,strong,LEARNING_ADAPTABILITY,"How often do you avoid activities that require speaking, presenting, or group involvement?"
8,Q_ALE_001_008,43,10,25,8,0,2,strong,LEARNING_ADAPTABILITY,How much does hesitation in participating affect your learning experience?
9,Q_ALE_001_009,43,10,25,8,0,2,strong,LEARNING_ADAPTABILITY,How often do you feel unsure about what to contribute during discussions?
10,Q_ALE_001_010,43,10,25,8,0,2,strong,LEARNING_ADAPTABILITY,"Compared to last year, how much more difficult has active participation become?"
11,Q_ALE_001_011,43,10,25,8,0,2,strong,LEARNING_ADAPTABILITY,"How often do you volunteer answers, ideas, or opinions during learning activities?"
12,Q_ALE_001_012,43,10,25,8,0,2,strong,LEARNING_ADAPTABILITY,How often do you ask questions to deepen your understanding during class?
13,Q_ALE_001_013,43,10,25,8,0,2,strong,LEARNING_ADAPTABILITY,How often do you collaborate effectively with classmates during projects or group tasks?
14,Q_ALE_001_014,43,10,25,8,0,2,strong,LEARNING_ADAPTABILITY,"When your ideas are challenged, how often do you continue participating constructively?"
15,Q_ALE_001_015,43,10,25,8,0,2,strong,LEARNING_ADAPTABILITY,How often do you take initiative during collaborative learning activities?
16,Q_ALE_001_016,43,10,25,8,0,2,strong,LEARNING_ADAPTABILITY,"When participation feels uncomfortable, how effectively do you manage that discomfort?"
