domain,total,Capability,Problem,Behavior,Trait,Outcome,Risk,pct_problem
Academic & Career Readiness,1,0,1,0,0,0,0,100%
Academic & Cognitive Effectiveness,140,9,105,8,8,9,1,75%
Academic Behavior,1,0,1,0,0,0,0,100%
Academic Counselling,1,1,0,0,0,0,0,0%
Academic Decision Support,1,0,0,0,0,0,1,0%
Academic Equity,1,0,0,0,0,1,0,0%
Academic Growth,2,0,2,0,0,0,0,100%
Academic Identity & Meaning,87,2,76,2,5,2,0,87%
Academic Operations,2,0,2,0,0,0,0,100%
Academic Performance,6,1,5,0,0,0,0,83%
Academic Planning,1,0,1,0,0,0,0,100%
Academic Planning & Recovery Intelligence,2,1,1,0,0,0,0,50%
Academic Readiness,1,0,1,0,0,0,0,100%
Academic Reflection,2,1,1,0,0,0,0,50%
Academic Risk Behaviour,1,0,0,1,0,0,0,0%
Academic Risk Intelligence,3,0,1,0,0,1,1,33%
Academic Transition,1,0,1,0,0,0,0,100%
Academic Transition & Future Readiness,1,0,1,0,0,0,0,100%
Academic Transition Reflection,1,0,1,0,0,0,0,100%
Academic-Career Identity,1,0,0,0,0,1,0,0%
Academic-Career Misfit,1,0,0,1,0,0,0,0%
Accountability Development,1,0,1,0,0,0,0,100%
Accountability Reflection,1,0,1,0,0,0,0,100%
Adaptability Coaching,1,1,0,0,0,0,0,0%
Adaptability Guidance,1,0,1,0,0,0,0,100%
Adaptive Development,1,0,1,0,0,0,0,100%
Adaptive Diagnostics,1,0,1,0,0,0,0,100%
Adaptive Growth,1,1,0,0,0,0,0,0%
Adaptive Leadership,1,0,0,0,1,0,0,0%
Adaptive Learning,8,0,7,1,0,0,0,88%
Adaptive Reflection,1,0,0,0,0,1,0,0%
Adjustment & Coping Capacity,43,0,27,7,2,5,2,63%
Alternative Career Guidance,1,0,0,1,0,0,0,0%
Alternative Career Reflection,1,0,1,0,0,0,0,100%
Analytical Development,3,2,1,0,0,0,0,33%
Aspirational Clarity,1,0,1,0,0,0,0,100%
Aspirational Development,1,0,1,0,0,0,0,100%
Assessment Intelligence,1,0,1,0,0,0,0,100%
Attention Reflection,1,0,0,0,0,0,1,0%
Balanced Reflection,1,0,1,0,0,0,0,100%
Behavior Correction,1,0,0,1,0,0,0,0%
Behavioral Awareness,1,0,1,0,0,0,0,100%
Behavioral Growth,1,0,1,0,0,0,0,100%
Behavioral Reflection,1,0,1,0,0,0,0,100%
Behavioral Regulation,1,0,1,0,0,0,0,100%
Behavioral Stability,2,0,2,0,0,0,0,100%
Capability Development,1,0,1,0,0,0,0,100%
Career & Identity Development,1,0,1,0,0,0,0,100%
Career Alignment,2,0,2,0,0,0,0,100%
Career Autonomy,1,0,1,0,0,0,0,100%
Career Branding,2,0,2,0,0,0,0,100%
Career Competition Readiness,1,0,1,0,0,0,0,100%
Career Decision Analysis,1,0,1,0,0,0,0,100%
Career Decision Overload,1,0,1,0,0,0,0,100%
Career Decision Support,1,0,0,0,0,0,1,0%
Career Development,1,0,1,0,0,0,0,100%
Career Ecosystem Support,1,0,1,0,0,0,0,100%
Career Execution,1,0,0,0,0,1,0,0%
Career Execution Reflection,1,0,1,0,0,0,0,100%
Career Expectations,1,0,1,0,0,0,0,100%
Career Exploration,1,0,1,0,0,0,0,100%
Career Exposure,1,0,1,0,0,0,0,100%
Career Flexibility,1,0,0,0,1,0,0,0%
Career Growth,35,0,35,0,0,0,0,100%
Career Guidance,1,0,1,0,0,0,0,100%
Career Identity,2,0,1,0,0,0,1,50%
Career Identity & Meaning,1,0,1,0,0,0,0,100%
Career Mapping,1,0,1,0,0,0,0,100%
Career Planning,2,0,2,0,0,0,0,100%
Career Preparedness,1,0,1,0,0,0,0,100%
Career Preparedness Reflection,1,1,0,0,0,0,0,0%
Career Prioritization,1,0,1,0,0,0,0,100%
Career Psychology,1,0,0,0,0,0,1,0%
Career Readiness,71,0,71,0,0,0,0,100%
Career Readiness & Holistic Development,1,0,1,0,0,0,0,100%
Career Recovery,1,0,0,0,0,0,1,0%
Career Recovery Reflection,1,0,1,0,0,0,0,100%
Career Reflection,1,0,1,0,0,0,0,100%
Career Risk Analysis,1,0,1,0,0,0,0,100%
Career Stability Analysis,1,0,1,0,0,0,0,100%
Career Suitability,1,0,1,0,0,0,0,100%
Career Sustainability,2,0,2,0,0,0,0,100%
Career Timeline Anxiety,1,0,1,0,0,0,0,100%
Career Tradeoff Reflection,1,0,1,0,0,0,0,100%
Career Transition,10,0,10,0,0,0,0,100%
Career-Academic Alignment,1,0,1,0,0,0,0,100%
Character Development,1,0,0,0,0,0,1,0%
Classroom Adaptation,1,0,1,0,0,0,0,100%
Classroom Engagement,16,0,13,2,0,1,0,81%
Cognitive Awareness,1,0,1,0,0,0,0,100%
Cognitive Development,1,0,1,0,0,0,0,100%
Cognitive Mapping,1,0,1,0,0,0,0,100%
Cognitive Reflection,1,0,1,0,0,0,0,100%
Cognitive Self-Awareness,1,0,1,0,0,0,0,100%
Cognitive Skills,1,0,1,0,0,0,0,100%
Cognitive Wellness,1,0,0,0,0,0,1,0%
Cognitive-Emotional Balance,1,0,1,0,0,0,0,100%
Collaboration & Ownership,43,0,39,3,1,0,0,91%
College Adaptation,1,0,1,0,0,0,0,100%
Communication & Expression,137,6,127,1,1,2,0,93%
Communication Behavior,1,0,1,0,0,0,0,100%
Communication Development,1,1,0,0,0,0,0,0%
Communication Leadership,1,0,1,0,0,0,0,100%
Competency Development,52,1,45,0,1,5,0,87%
Competency Intelligence,3,0,3,0,0,0,0,100%
Competitive Adaptation,1,0,0,0,0,1,0,0%
Competitive Exam Readiness,8,0,7,1,0,0,0,88%
Confidence Building,1,0,0,1,0,0,0,0%
Confidence Development,1,0,1,0,0,0,0,100%
"Confidence, Self-Concept & Comparison",181,6,138,5,17,15,0,76%
Decision Anxiety,1,0,1,0,0,0,0,100%
Decision Coaching,1,0,1,0,0,0,0,100%
Decision Confidence,1,0,1,0,0,0,0,100%
Decision Independence,1,0,0,0,1,0,0,0%
Decision Leadership,1,0,1,0,0,0,0,100%
Digital Learning,1,1,0,0,0,0,0,0%
Digital Responsibility,1,0,0,0,0,0,1,0%
"Discipline, Habits & Consistency",103,5,94,3,0,1,0,91%
Emotional Development,3,0,1,0,2,0,0,33%
Emotional Identity,1,0,0,1,0,0,0,0%
Emotional Leadership,1,0,0,0,1,0,0,0%
Emotional Learning Reflection,1,0,1,0,0,0,0,100%
Emotional Literacy,1,0,1,0,0,0,0,100%
Emotional Maturity,2,0,0,2,0,0,0,0%
Emotional Recovery,52,0,31,0,13,8,0,60%
Emotional Reflection,3,1,2,0,0,0,0,67%
Emotional Regulation,96,0,71,0,4,21,0,74%
Emotional Resilience,1,0,0,0,0,0,1,0%
Emotional Response,1,0,0,0,1,0,0,0%
Emotional Self-Awareness,1,0,1,0,0,0,0,100%
Emotional Wellbeing,1,0,1,0,0,0,0,100%
Employability,46,0,45,0,1,0,0,98%
Employability & Academic Readiness,1,0,1,0,0,0,0,100%
