ID	Anchor	Focus Area	Layer (1-12)	Dimension	Question (Self-Assessment)	Response	Polarity	Wt	Logic	Age Band	Stage 
FSA-01	Yes	Deep Cognitive	1: Duration	Sustained Focus	How long can you study one topic before needing a break?	<15m to 1h+	(+)	1.5	Linear (1-5)	11-18	Curiosity
FSA-02	No	High-Impact Behavioral	3: Impulse	Digital Control	Do you check your phone the moment it lights up?	Always to Never	(-)	1.2	Inverted (5-1)	11-18	Curiosity
FSA-03	No	High-Impact Behavioral	2: Physical	Restlessness	Do you feel "fidgety" if you sit still for 10 mins?	Always to Never	(-)	1	Inverted (5-1)	11-14	Curiosity
FSA-04	No	Deep Cognitive	4: Recovery	Recovery Speed	After a distraction, how quickly is your brain "back"?	15m+ to <1m	(+)	1.5	Linear (1-5)	15-18	Curiosity
FSA-05	No	High-Impact Behavioral	10: Exec	Task Completion	Do you have 3+ half-finished chapters right now?	Yes / No	(-)	1.3	Yes=1, No=5	11-18	Curiosity
FSA-06	No	Deep Cognitive	1: Duration	Cognitive Fatigue	Does your brain feel "foggy" after 20 mins of reading?	Always to Never	(-)	1.1	Inverted (5-1)	15-18	Curiosity
FSA-07	No	Deep Cognitive	2: Physical	Internal Drift	In silence, do your own thoughts pull you away?	Daily to Never	(-)	1.4	Inverted (5-1)	15-18	Curiosity
FSA-08	No	High-Impact Behavioral	5: Sensory	Sensory Control	Does a small noise (fan/hum) stop you from working?	Always to Never	(-)	1.2	Inverted (5-1)	11-14	Curiosity
FSA-09	No	Emotional/Anxiety	11: Meta	Focus Anxiety	Do you panic that you aren't finishing fast enough?	Always to Never	(-)	1.1	Inverted (5-1)	15-18	Curiosity
FSA-10	Yes	Hyper-focus Paradox	6: Diagnostic	Hyper-focus	Can you play games for 1hr but not study for 15m?	Always to Never	(-)	1.6	Inverted (5-1)	11-18	Curiosity
FSA-11	No	High-Impact Behavioral	10: Exec	Preparation	Do you clear your desk before you start studying?	Always to Never	(+)	1	Linear (1-5)	11-14	Curiosity
FSA-12	No	Emotional/Anxiety	12: Core	Self-Belief	I think my focus is weaker than my friends'.	Agree to Disagree	(-)	1	Inverted (5-1)	15-18	Curiosity
FSA-13	No	Deep Cognitive	8: Precision	Reading Track	Do you "read" a page but forget it immediately?	Always to Never	(-)	1.5	Inverted (5-1)	11-18	Curiosity
FSA-14	No	High-Impact Behavioral	3: Impulse	Multitasking	How many tabs/apps are open during homework?	5+ to 1	(-)	1.2	1=5, 5+=1	11-18	Curiosity
FSA-15	No	Emotional/Anxiety	11: Meta	Frustration	Do you get angry when you realize you've drifted?	Always to Never	(-)	1.1	Inverted (5-1)	11-18	Curiosity
FSA-16	No	Deep Cognitive	5: Sensory	Auditory Capture	People say your name twice for your attention?	Always to Never	(-)	1.3	Inverted (5-1)	11-14	Curiosity
FSA-17	No	High-Impact Behavioral	3: Impulse	Digital Hunger	Feel an "itch" to check social media while working?	Always to Never	(-)	1.4	Inverted (5-1)	11-18	Curiosity
FSA-18	No	Deep Cognitive	1: Duration	Mental Stamina	Can you handle two difficult subjects back-to-back?	Yes / No	(+)	1.5	Yes=5, No=1	15-18	Curiosity
