question_id,concern_id,response_type,distinctiveness,diagnostic_power,signal_value,human_readability,behavioral_realism,composite,options
Q_CAREER_001_001,CAREER_001,decision_clarity,100,100,100,100,77,95,Completely Confused | Slightly Clear | Moderately Clear | Clear | Very Clear
Q_CAREER_001_002,CAREER_001,frequency,100,100,100,100,100,100,Never | Rarely | Sometimes | Often | Very Often
Q_CAREER_001_003,CAREER_001,situational_fit,100,100,100,100,100,100,Not Like Me | Slightly Like Me | Somewhat Like Me | Mostly Like Me | Exactly Like Me
Q_CAREER_001_004,CAREER_001,behavioral_consistency,100,100,100,100,100,100,Never True | Rarely True | Sometimes True | Mostly True | Always True
Q_CAREER_001_005,CAREER_001,confidence,100,100,100,100,100,100,Very Low | Low | Moderate | High | Very High
Q_CAREER_001_006,CAREER_001,emotional_impact,100,100,100,100,100,100,No Impact | Mild Impact | Moderate Impact | Major Impact | Severe Impact
Q_CAREER_001_007,CAREER_001,frequency,100,100,100,100,100,100,Never | Rarely | Sometimes | Often | Very Often
Q_CAREER_001_008,CAREER_001,intensity,100,100,100,100,77,95,Not at all | Slightly | Moderately | Strongly | Extremely
Q_CAREER_001_009,CAREER_001,energy_motivation,100,100,100,100,100,100,Completely Drained | Low Energy | Moderate Energy | Motivated | Highly Energized
Q_CAREER_001_010,CAREER_001,intensity,100,100,100,100,77,95,Not at all | Slightly | Moderately | Strongly | Extremely
Q_CAREER_001_011,CAREER_001,frequency,100,100,100,100,100,100,Never | Rarely | Sometimes | Often | Very Often
Q_CAREER_001_012,CAREER_001,frequency,100,100,100,100,100,100,Never | Rarely | Sometimes | Often | Very Often
Q_CAREER_001_013,CAREER_001,social_comfort,100,100,100,100,77,95,Very Uncomfortable | Uncomfortable | Neutral | Comfortable | Very Comfortable
Q_CAREER_001_014,CAREER_001,situational_fit,100,100,100,100,100,100,Not Like Me | Slightly Like Me | Somewhat Like Me | Mostly Like Me | Exactly Like Me
Q_CAREER_001_015,CAREER_001,frequency,100,100,100,100,100,100,Never | Rarely | Sometimes | Often | Very Often
Q_CAREER_001_016,CAREER_001,coping_effectiveness,100,100,100,100,77,95,Very Ineffective | Ineffective | Neutral | Effective | Very Effective
Q_CAREER_001_017,CAREER_001,frequency,100,100,100,100,100,100,Never | Rarely | Sometimes | Often | Very Often
Q_CAREER_001_018,CAREER_001,behavioral_consistency,100,100,100,100,100,100,Never True | Rarely True | Sometimes True | Mostly True | Always True
Q_CAREER_001_019,CAREER_001,emotional_impact,100,100,100,100,100,100,No Impact | Mild Impact | Moderate Impact | Major Impact | Severe Impact
