concern_id,concern_name,canonical_type,best_archetype_key,best_score,reason
CONCERN_ACA_1034,Evaluate Skill Relevance Across Industries,Capability,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_ACA_1302,Personalize Student Intervention Pathways,Problem,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_ACA_1357,Overdependence on tuition centers,Problem,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_ACA_137,Negative Self-Talk During Preparation,Problem,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_ACA_152,Eliminating Wrong Options,Problem,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_ACA_1664,Revising Effectively,Problem,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_ACA_1705,Following Complex Instructions,Problem,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_ACA_1726,Numerical Fluency,Capability,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_ACA_1728,Scientific Observation Skills,Capability,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_ACA_1737,Sleep Disruption,Problem,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_ACA_1767,Dependence on AI Tools,Trait,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_ACA_1793,Refusal to Attend School,Problem,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_ACA_1834,Child Following Influencer Culture Blindly,Problem,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_ACA_1862,Excessive Dependence on Coaching Centers,Trait,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_ACA_1886,Child Forgetting Instructions Quickly,Problem,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_ACA_1887,Child Unable to Stay Without Internet,Problem,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_ACA_1897,Child Avoiding Responsibility for Mistakes,Problem,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_ACA_1906,Child Becoming Hyper-Reactive to Feedback,Problem,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_ACA_1911,Child Feeling Mentally Exhausted After School,Problem,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_ACA_1926,Child Becoming Emotionally Detached During Conversations,Problem,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_ACA_1938,Following Instructions,Problem,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_ACA_1982,Breaking Down Complex Problems,Problem,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_ACA_2065,Remaining Calm During Viva/Orals,Problem,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_ACA_2202,Handling Students with Weak Real-World Application Skills,Capability,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_ACA_2210,Supporting Students with Weak Information Processing Speed,Problem,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_ACA_2211,Students Who Avoid Clarifying Doubts,Problem,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_ACA_2347,Students Panicking During Examinations,Problem,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_ACA_2426,Students Feeling Academically Directionless Despite Performance,Problem,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_ACA_2470,Breaking Down Complex Problems,Problem,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_ACA_354,Build Practical Competence Independently,Capability,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_ACA_406,Handle Multiple Interview Processes Simultaneously,Capability,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_ACA_471,Age-Based Hiring Competition,Problem,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_ACA_844,Transitioning to C-Suite Readiness,Outcome,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_ACA_964,Position Prior Experience Strategically,Problem,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_ADA_1326,Visibility into Internship Readiness Across Students,Outcome,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_ADA_1339,Placement Preparation Effectiveness Institutionally,Capability,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_ADA_1544,articulating strengths confidently,Problem,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_ADJ_156,Identify Personal Preparation Gaps,Problem,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_ADJ_1784,Device Dependency During Meals,Trait,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_ADJ_1788,Child Becoming Aggressively Reactive,Problem,performance_anxiety,0,no construct-token anchor in any archetype
