intent,target_id,target_label,before_class,resolved_id,confidence,short_intent
"i keep struggling with measure collaborative competencies institutionally",CONCERN_ACA_1188,"Measure Collaborative Competencies Institutionally",failure,CONCERN_ACA_1188,34,false
"i cannot manage measure collaborative competencies institutionally",CONCERN_ACA_1188,"Measure Collaborative Competencies Institutionally",failure,CONCERN_ACA_1188,35,false
"i need help with measure collaborative competencies institutionally",CONCERN_ACA_1188,"Measure Collaborative Competencies Institutionally",failure,CONCERN_ACA_1188,35,false
"i struggle with concentration during studies",CONCERN_ACA_1648,"Concentration During Studies",failure,CONCERN_ACA_1648,31,false
"i have trouble with concentration during studies",CONCERN_ACA_1648,"Concentration During Studies",failure,CONCERN_ACA_1648,31,false
"i keep struggling with concentration during studies",CONCERN_ACA_1648,"Concentration During Studies",failure,CONCERN_ACA_1648,27,false
"i cannot manage concentration during studies",CONCERN_ACA_1648,"Concentration During Studies",failure,CONCERN_ACA_1648,27,false
"i need help with concentration during studies",CONCERN_ACA_1648,"Concentration During Studies",failure,CONCERN_ACA_1648,27,false
"i cannot manage problem-solving skills",CONCERN_ACA_1650,"Problem-Solving Skills",failure,CONCERN_ACA_1650,29,false
"i keep struggling with analytical thinking",CONCERN_ACA_1651,"Analytical Thinking",failure,CONCERN_ACA_1651,32,false
"i cannot manage analytical thinking",CONCERN_ACA_1651,"Analytical Thinking",failure,CONCERN_ACA_1651,32,false
"i keep struggling with writing skills",CONCERN_ACA_1657,"Writing Skills",failure,CONCERN_ACA_1657,30,false
"i cannot manage writing skills",CONCERN_ACA_1657,"Writing Skills",failure,CONCERN_ACA_1657,30,false
"i keep struggling with memory retention",CONCERN_ACA_1663,"Memory Retention",failure,CONCERN_ACA_1663,46,false
"i cannot manage memory retention",CONCERN_ACA_1663,"Memory Retention",failure,CONCERN_ACA_1663,46,false
"i need help with memory retention",CONCERN_ACA_1663,"Memory Retention",failure,CONCERN_ACA_1663,46,false
"i keep struggling with revising effectively",CONCERN_ACA_1664,"Revising Effectively",failure,CONCERN_ACA_1664,31,false
"i cannot manage revising effectively",CONCERN_ACA_1664,"Revising Effectively",failure,CONCERN_ACA_1664,31,false
"i keep struggling with initiative in learning",CONCERN_ACA_1687,"Initiative in Learning",failure,CONCERN_ACA_1687,29,false
"i cannot manage initiative in learning",CONCERN_ACA_1687,"Initiative in Learning",failure,CONCERN_ACA_1687,29,false
"i keep struggling with mathematical reasoning",CONCERN_ACA_1698,"Mathematical Reasoning",failure,CONCERN_ACA_1698,35,false
"i cannot manage mathematical reasoning",CONCERN_ACA_1698,"Mathematical Reasoning",failure,CONCERN_ACA_1698,35,false
"i need help with mathematical reasoning",CONCERN_ACA_1698,"Mathematical Reasoning",failure,CONCERN_ACA_1698,35,false
"i cannot manage vocabulary development",CONCERN_ACA_1700,"Vocabulary Development",failure,CONCERN_ACA_1700,31,false
"i need help with vocabulary development",CONCERN_ACA_1700,"Vocabulary Development",failure,CONCERN_ACA_1700,31,false
"i keep struggling with interpretation skills",CONCERN_ACA_1721,"Interpretation Skills",failure,CONCERN_ACA_1721,30,false
"i keep struggling with numerical fluency",CONCERN_ACA_1726,"Numerical Fluency",failure,CONCERN_ACA_1726,48,false
"i cannot manage numerical fluency",CONCERN_ACA_1726,"Numerical Fluency",failure,CONCERN_ACA_1726,48,false
"i need help with numerical fluency",CONCERN_ACA_1726,"Numerical Fluency",failure,CONCERN_ACA_1726,48,false
"i keep struggling with sleep disruption",CONCERN_ACA_1737,"Sleep Disruption",failure,CONCERN_ACA_1737,34,false
"i cannot manage sleep disruption",CONCERN_ACA_1737,"Sleep Disruption",failure,CONCERN_ACA_1737,34,false
"i need help with sleep disruption",CONCERN_ACA_1737,"Sleep Disruption",failure,CONCERN_ACA_1737,34,false
"i keep struggling with homework avoidance",CONCERN_ACA_1761,"Homework Avoidance",failure,CONCERN_ACA_1761,46,false
"i cannot manage homework avoidance",CONCERN_ACA_1761,"Homework Avoidance",failure,CONCERN_ACA_1761,35,false
"i need help with homework avoidance",CONCERN_ACA_1761,"Homework Avoidance",failure,CONCERN_ACA_1761,46,false
"i cannot manage problem-solving skills",CONCERN_ACA_1768,"Problem-Solving Skills",failure,CONCERN_ACA_1650,29,false
"i keep struggling with identity confusion",CONCERN_ACA_1822,"Identity Confusion",failure,CONCERN_ACA_1822,30,false
"i keep struggling with financial awareness",CONCERN_ACA_1836,"Financial Awareness",failure,CONCERN_ACA_1836,31,false
"i need help with financial awareness",CONCERN_ACA_1836,"Financial Awareness",failure,CONCERN_ACA_1836,31,false
"i keep struggling with academic dishonesty",CONCERN_ACA_1859,"Academic Dishonesty",failure,CONCERN_ACA_1859,30,false
"i cannot manage academic dishonesty",CONCERN_ACA_1859,"Academic Dishonesty",failure,CONCERN_ACA_1859,30,false
"i need help with academic dishonesty",CONCERN_ACA_1859,"Academic Dishonesty",failure,CONCERN_ACA_1859,30,false
"i keep struggling with academic focus",CONCERN_ACA_1931,"Academic Focus",failure,CONCERN_ACA_1931,29,false
"i keep struggling with conceptual understanding",CONCERN_ACA_1932,"Conceptual Understanding",failure,CONCERN_ACA_1932,30,false
"i cannot manage conceptual understanding",CONCERN_ACA_1932,"Conceptual Understanding",failure,CONCERN_ACA_1932,30,false
"i keep struggling with retention ability",CONCERN_ACA_1937,"Retention Ability",failure,CONCERN_ACA_1937,29,false
"i cannot manage retention ability",CONCERN_ACA_1937,"Retention Ability",failure,CONCERN_ACA_1937,29,false
"i keep struggling with following instructions",CONCERN_ACA_1938,"Following Instructions",failure,CONCERN_ACA_1938,33,false
"i cannot manage following instructions",CONCERN_ACA_1938,"Following Instructions",failure,CONCERN_ACA_1938,33,false
"i need help with following instructions",CONCERN_ACA_1938,"Following Instructions",failure,CONCERN_ACA_1938,33,false
"i cannot manage vocabulary development",CONCERN_ACA_1948,"Vocabulary Development",failure,CONCERN_ACA_1700,31,false
"i need help with vocabulary development",CONCERN_ACA_1948,"Vocabulary Development",failure,CONCERN_ACA_1700,31,false
"i keep struggling with logical thinking",CONCERN_ACA_1951,"Logical Thinking",failure,CONCERN_ACA_1951,34,false
"i cannot manage logical thinking",CONCERN_ACA_1951,"Logical Thinking",failure,CONCERN_ACA_1951,34,false
"i need help with logical thinking",CONCERN_ACA_1951,"Logical Thinking",failure,CONCERN_ACA_1951,34,false
"i keep struggling with writing skills",CONCERN_ACA_1953,"Writing Skills",failure,CONCERN_ACA_1657,30,false
"i cannot manage writing skills",CONCERN_ACA_1953,"Writing Skills",failure,CONCERN_ACA_1657,30,false
"i keep struggling with leadership potential",CONCERN_ACA_1967,"Leadership Potential",failure,CONCERN_ACA_1967,32,false
"i need help with leadership potential",CONCERN_ACA_1967,"Leadership Potential",failure,CONCERN_ACA_1967,32,false
"i keep struggling with note-making skills",CONCERN_ACA_1973,"Note-Making Skills",failure,CONCERN_ACA_1973,41,false
"i cannot manage note-making skills",CONCERN_ACA_1973,"Note-Making Skills",failure,CONCERN_ACA_1973,39,false
"i need help with note-making skills",CONCERN_ACA_1973,"Note-Making Skills",failure,CONCERN_ACA_1973,37,false
"i keep struggling with simultaneous assignments",CONCERN_ACA_2033,"Simultaneous Assignments",failure,CONCERN_ACA_2033,46,false
"i cannot manage simultaneous assignments",CONCERN_ACA_2033,"Simultaneous Assignments",failure,CONCERN_ACA_2033,36,false
"i need help with simultaneous assignments",CONCERN_ACA_2033,"Simultaneous Assignments",failure,CONCERN_ACA_2033,46,false
"i struggle with structuring revision priorities",CONCERN_ACA_2045,"Structuring Revision Priorities",failure,CONCERN_ACA_2045,31,false
"i have trouble with structuring revision priorities",CONCERN_ACA_2045,"Structuring Revision Priorities",failure,CONCERN_ACA_2045,31,false
"i keep struggling with structuring revision priorities",CONCERN_ACA_2045,"Structuring Revision Priorities",failure,CONCERN_ACA_2045,27,false
"i have trouble with competing academic priorities",CONCERN_ACA_2051,"Competing Academic Priorities",failure,CONCERN_ACA_2051,29,false
"i cannot manage competing academic priorities",CONCERN_ACA_2051,"Competing Academic Priorities",failure,CONCERN_ACA_2051,25,false
"i keep struggling with self-evaluation skills",CONCERN_ACA_2062,"Self-Evaluation Skills",failure,CONCERN_ACA_2062,38,false
"i cannot manage self-evaluation skills",CONCERN_ACA_2062,"Self-Evaluation Skills",failure,CONCERN_ACA_2062,36,false
"i need help with self-evaluation skills",CONCERN_ACA_2062,"Self-Evaluation Skills",failure,CONCERN_ACA_2062,33,false
"i keep struggling with curiosity about future career possibilities",CONCERN_ACA_2432,"Curiosity About Future Career Possibilities",failure,CONCERN_ACA_2432,29,false
"i cannot manage curiosity about future career possibilities",CONCERN_ACA_2432,"Curiosity About Future Career Possibilities",failure,CONCERN_ACA_2432,37,false
"i have trouble with leading small responsibilities",CONCERN_ACA_718,"Leading Small Responsibilities",failure,CONCERN_ACA_718,43,false
"i keep struggling with leading small responsibilities",CONCERN_ACA_718,"Leading Small Responsibilities",failure,CONCERN_ACA_718,36,false
