archetype_key,archetype_name,voice,problem_statement,realism_pass,aligned,is_duplicate
academic_achievement,Academic Achievement & Exam Performance,student,My grades keep dropping no matter how much I revise.,true,true,false
academic_achievement,Academic Achievement & Exam Performance,student,I do okay in class but my exam results never reflect it.,true,true,false
academic_achievement,Academic Achievement & Exam Performance,student,I'm falling behind in the subjects that matter most for my future.,true,true,false
academic_achievement,Academic Achievement & Exam Performance,student,I can't seem to turn my effort into better marks.,true,true,false
adaptability_change,Adaptability & Change Navigation,general,I get thrown off whenever my routine suddenly changes.,true,true,false
adaptability_change,Adaptability & Change Navigation,general,I struggle to cope when plans shift at the last minute.,true,true,false
adaptability_change,Adaptability & Change Navigation,general,Uncertainty makes me freeze instead of adjust.,true,true,false
adaptability_change,Adaptability & Change Navigation,general,I cling to the way things were instead of adapting.,true,true,false
career_professional_growth,Career Growth & Professional Identity,professional,I have no idea what the next step in my career should be.,true,true,false
career_professional_growth,Career Growth & Professional Identity,professional,I've been in the same role for years and I'm not sure how to move up.,true,true,false
career_professional_growth,Career Growth & Professional Identity,professional,I work hard but I keep getting passed over for promotions.,true,true,false
career_professional_growth,Career Growth & Professional Identity,general,I don't know what kind of job actually fits me.,true,true,false
collaboration_teamwork,Collaboration & Teamwork,general,I struggle to work with others and end up doing it alone.,true,true,false
collaboration_teamwork,Collaboration & Teamwork,general,In group work I either take over or check out completely.,true,true,false
collaboration_teamwork,Collaboration & Teamwork,general,I find it hard to trust teammates to do their part.,true,true,false
collaboration_teamwork,Collaboration & Teamwork,general,I clash with people when we have to work together.,true,true,false
communication_expression,Communication & Expression,general,I know what I mean but I can't get the words out clearly.,true,true,false
communication_expression,Communication & Expression,general,I freeze up when I have to speak in front of people.,true,true,false
communication_expression,Communication & Expression,general,People misunderstand me because I struggle to explain myself.,true,true,false
communication_expression,Communication & Expression,general,I dread any kind of presentation or public speaking.,true,true,false
confidence_self_efficacy,Confidence & Self-Efficacy,general,I second-guess every decision I make.,true,true,false
confidence_self_efficacy,Confidence & Self-Efficacy,general,I don't believe I'm capable of the things I want to do.,true,true,false
confidence_self_efficacy,Confidence & Self-Efficacy,general,I talk myself out of opportunities before I even try.,true,false,false
confidence_self_efficacy,Confidence & Self-Efficacy,general,I always assume I'll fail before I start.,true,true,false
critical_reflective_thinking,Critical & Reflective Thinking,general,I take things at face value and don't question them enough.,true,true,false
critical_reflective_thinking,Critical & Reflective Thinking,general,I jump to the first answer instead of thinking it through.,true,true,false
critical_reflective_thinking,Critical & Reflective Thinking,general,I struggle to step back and see why I keep making the same mistake.,true,true,false
critical_reflective_thinking,Critical & Reflective Thinking,general,I find it hard to weigh different sides of a problem.,true,true,false
curiosity_innovation,Curiosity & Innovation,general,I stick to what I know and never try new ideas.,true,true,false
curiosity_innovation,Curiosity & Innovation,general,I want to be creative but I always play it safe.,true,true,false
curiosity_innovation,Curiosity & Innovation,general,I never explore beyond exactly what's required.,true,true,false
curiosity_innovation,Curiosity & Innovation,general,My ideas feel dull and I can't seem to come up with anything fresh.,true,true,false
decision_judgment,Decision-Making & Judgment,general,I agonize over even the smallest decisions.,true,true,false
decision_judgment,Decision-Making & Judgment,general,I'm so afraid of choosing wrong that I don't choose at all.,true,true,false
decision_judgment,Decision-Making & Judgment,general,I keep changing my mind after I've already decided.,true,true,false
decision_judgment,Decision-Making & Judgment,general,I freeze when I have to make a call under time pressure.,true,true,false
emotional_regulation,Emotional Regulation & Coping,general,Small things set me off and I overreact before I can stop myself.,true,true,false
emotional_regulation,Emotional Regulation & Coping,general,When I get overwhelmed I just shut down completely.,true,true,false
emotional_regulation,Emotional Regulation & Coping,general,My mood swings so fast it’s hard for people around me.,true,true,false
emotional_regulation,Emotional Regulation & Coping,general,I get so frustrated that I snap at people I care about.,true,true,false
expectations_pressure,Expectations & External Pressure,general,I'm crushed under everyone's expectations of me.,true,true,false
expectations_pressure,Expectations & External Pressure,general,I constantly compare myself to others and come up short.,true,true,false
expectations_pressure,Expectations & External Pressure,general,"I do things to please my family, not because I want to.",true,true,false
expectations_pressure,Expectations & External Pressure,general,I can't enjoy anything because I'm chasing approval.,true,true,false
focus_attention,Focus & Attention Regulation,general,I sit down to work and get distracted within minutes.,true,true,false
focus_attention,Focus & Attention Regulation,general,I check my phone constantly and lose my train of thought.,true,true,false
focus_attention,Focus & Attention Regulation,general,I can't concentrate long enough to finish anything.,true,true,false
focus_attention,Focus & Attention Regulation,general,My mind wanders the moment a task gets boring.,true,true,false
identity_self_awareness,Identity & Self-Awareness,general,I don't really know who I am or what I want.,true,true,false
identity_self_awareness,Identity & Self-Awareness,general,I feel like I'm living a life that isn't really mine.,true,false,false
identity_self_awareness,Identity & Self-Awareness,general,I have no sense of what actually matters to me.,true,true,false
identity_self_awareness,Identity & Self-Awareness,general,I keep changing myself to fit whoever I'm with.,true,true,false
leadership_influence,Leadership & Influence,professional,I have ideas for the team but I never feel able to step up and lead.,true,true,false
leadership_influence,Leadership & Influence,professional,When I'm in charge I struggle to get people to actually follow.,true,true,false
leadership_influence,Leadership & Influence,professional,I try to do everything myself instead of trusting my team.,true,true,false
leadership_influence,Leadership & Influence,general,I freeze when it's my turn to take the lead on a group.,true,true,false
