concern_id,concern_name,canonical_type,canonical_entity,confidence_score,reasoning
CONCERN_ACA_1019,Emotional Burnout During Multi-Year Transitions,Outcome,Emotional Burnout During Multi-Year Transitions,0.85,"outcome cue ""burnout"""
CONCERN_ACA_1034,Evaluate Skill Relevance Across Industries,Capability,Evaluate Skill Relevance Across Industries,0.75,"capability cue ""skill"""
CONCERN_ACA_1049,Emotional Reactions to Professional Identity Reset,Problem,Emotional Reactions to Professional Identity Reset,0.45,no semantic cue; defaulted to Problem
CONCERN_ACA_1050,Build Cross-Domain Problem-Solving Confidence,Capability,Build Cross-Domain Problem-Solving Confidence,0.85,"name head ""confidence"" → Capability"
CONCERN_ACA_1062,Handling Workplace Criticism Constructively,Capability,Handling Workplace Criticism Constructively,0.7,"leading action verb ""handling"" → capability"
CONCERN_ACA_107,Mock Test Anxiety,Problem,Mock Test Anxiety,0.85,"name head ""anxiety"" → Problem"
CONCERN_ACA_1086,Build Strategic Visibility Within Organizations,Capability,Build Strategic Visibility Within Organizations,0.75,"capability cue ""visibility"""
CONCERN_ACA_109,Balancing Multiple Subjects Simultaneously,Capability,Balancing Multiple Subjects Simultaneously,0.7,"leading action verb ""balancing"" → capability"
CONCERN_ACA_1108,Managing Difficult Professional Conversations,Capability,Managing Difficult Professional Conversations,0.7,"leading action verb ""managing"" → capability"
CONCERN_ACA_112,Solving Advanced Problems,Capability,Solving Advanced Problems,0.7,"leading action verb ""solving"" → capability"
CONCERN_ACA_1136,Build Long-Term Emotional Resilience,Trait,Build Long-Term Emotional Resilience,0.85,"name head ""resilience"" → Trait"
CONCERN_ACA_1162,Visibility into Student Competency Distribution Across Grades,Capability,Visibility Into Student Competency Distribution Across Grades,0.75,"capability cue ""visibility"""
CONCERN_ACA_1168,Detect Emotional Burnout Across Students,Outcome,Detect Emotional Burnout Across Students,0.85,"outcome cue ""burnout"""
CONCERN_ACA_1174,Visibility into Classroom Engagement Patterns,Capability,Visibility Into Classroom Engagement Patterns,0.75,"capability cue ""visibility"""
CONCERN_ACA_1178,Measure Institutional Learning Effectiveness,Capability,Measure Institutional Learning Effectiveness,0.85,"name head ""effectiveness"" → Capability"
CONCERN_ACA_1188,Measure Collaborative Competencies Institutionally,Capability,Measure Collaborative Competencies Institutionally,0.7,"leading action verb ""measure"" → capability"
CONCERN_ACA_1194,Visibility into Future Career Readiness Across Students,Outcome,Visibility Into Future Career Readiness Across Students,0.85,"outcome cue ""readiness"""
CONCERN_ACA_1198,Visibility into Teacher Competency Growth Needs,Capability,Visibility Into Teacher Competency Growth Needs,0.75,"capability cue ""visibility"""
CONCERN_ACA_1211,Holistic School Effectiveness Beyond Academic Results,Capability,Holistic School Effectiveness Beyond Academic Results,0.75,"capability cue ""effectiveness"""
CONCERN_ACA_1217,Detecting Faculty Motivation Decline Early,Outcome,Detecting Faculty Motivation Decline Early,0.85,"outcome cue ""decline"""
CONCERN_ACA_1224,Measure Institutional Adaptability Readiness,Outcome,Measure Institutional Adaptability Readiness,0.85,"outcome cue ""readiness"""
CONCERN_ACA_1232,Build Institutional Reflective Teaching Practices,Capability,Build Institutional Reflective Teaching Practices,0.7,"leading action verb ""build"" → capability"
CONCERN_ACA_1249,Faculty Emotional Wellbeing Institutionally,Problem,Faculty Emotional Wellbeing Institutionally,0.45,no semantic cue; defaulted to Problem
CONCERN_ACA_1262,Visibility into Real Classroom Learning Effectiveness,Capability,Visibility Into Real Classroom Learning Effectiveness,0.85,"name head ""effectiveness"" → Capability"
CONCERN_ACA_1264,Measure Classroom Engagement Quality,Capability,Measure Classroom Engagement Quality,0.7,"leading action verb ""measure"" → capability"
CONCERN_ACA_1267,Faculty Delivery Consistency,Problem,Faculty Delivery Consistency,0.45,no semantic cue; defaulted to Problem
CONCERN_ACA_1269,Active Learning Environments,Problem,Active Learning Environments,0.45,no semantic cue; defaulted to Problem
CONCERN_ACA_1271,Aligning Assessment Practices with Actual Learning,Problem,Aligning Assessment Practices With Actual Learning,0.45,no semantic cue; defaulted to Problem
CONCERN_ACA_1275,Balancing Academic Rigor with Learning Absorption,Capability,Balancing Academic Rigor With Learning Absorption,0.7,"leading action verb ""balancing"" → capability"
CONCERN_ACA_1280,"Holistic Integration Between Curriculum Delivery, Learning Quality, Engagement, and Competency Outcomes",Capability,"Holistic Integration Between Curriculum Delivery, Learning Quality, Engagement, And Competency Outcomes",0.75,"capability cue ""competency"""
CONCERN_ACA_1282,Visibility into Classroom-Level Learning Outcomes,Capability,Visibility Into Classroom-Level Learning Outcomes,0.75,"capability cue ""visibility"""
CONCERN_ACA_1285,Academic Delivery Fatigue Among Teachers,Outcome,Academic Delivery Fatigue Among Teachers,0.85,"outcome cue ""fatigue"""
CONCERN_ACA_1294,Monitor Student Confidence and Self-Worth Trends,Capability,Monitor Student Confidence And Self-Worth Trends,0.75,"capability cue ""confidence"""
CONCERN_ACA_1302,Personalize Student Intervention Pathways,Problem,Personalize Student Intervention Pathways,0.45,no semantic cue; defaulted to Problem
CONCERN_ACA_131,Motivation During Low-Performance Phases,Problem,Motivation During Low-Performance Phases,0.55,"negative polarity, no explicit cue"
CONCERN_ACA_1310,Visibility into Student Communication Confidence Levels,Capability,Visibility Into Student Communication Confidence Levels,0.75,"capability cue ""visibility"""
