intent,target_id,target_tag,before_class,after_class,resolved_id,confidence
"weak ability to measure collaborative competencies institutionally",CONCERN_ACA_1188,COLLABORATION_OWNERSHIP,drift,exact,CONCERN_ACA_1188,35
"i struggle with measure collaborative competencies institutionally",CONCERN_ACA_1188,COLLABORATION_OWNERSHIP,drift,exact,CONCERN_ACA_1188,38
"i have trouble with measure collaborative competencies institutionally",CONCERN_ACA_1188,COLLABORATION_OWNERSHIP,drift,exact,CONCERN_ACA_1188,38
"poor concentration during studies",CONCERN_ACA_1648,ACADEMIC_COGNITIVE,drift,exact,CONCERN_ACA_1648,32
"i have trouble with revising effectively",CONCERN_ACA_1664,EXAMINATION_READINESS,drift,exact,CONCERN_ACA_1664,37
"academic pressure",CONCERN_ACA_1731,EXAMINATION_STRESS,drift,exact,CONCERN_ACA_1731,42
"i have trouble with academic pressure",CONCERN_ACA_1731,EXAMINATION_STRESS,drift,exact,CONCERN_ACA_1731,30
"fear of failure",CONCERN_ACA_1734,CONFIDENCE_SELF,drift,exact,CONCERN_ACA_1734,46
"i struggle with fear of failure",CONCERN_ACA_1734,CONFIDENCE_SELF,drift,near,CONCERN_CAR_256,31
"i have trouble with fear of failure",CONCERN_ACA_1734,CONFIDENCE_SELF,drift,exact,CONCERN_ACA_1734,34
"i struggle with academic dishonesty",CONCERN_ACA_1859,MOTIVATION_VALUES,drift,exact,CONCERN_ACA_1859,36
"i struggle with conceptual understanding",CONCERN_ACA_1932,FOUNDATIONAL_LEARNING,drift,exact,CONCERN_ACA_1932,36
"i have trouble with conceptual understanding",CONCERN_ACA_1932,FOUNDATIONAL_LEARNING,drift,exact,CONCERN_ACA_1932,36
"difficulty following instructions",CONCERN_ACA_1938,ACADEMIC_COGNITIVE,drift,exact,CONCERN_ACA_1938,39
"i struggle with following instructions",CONCERN_ACA_1938,ACADEMIC_COGNITIVE,drift,exact,CONCERN_ACA_1938,39
"i have trouble with following instructions",CONCERN_ACA_1938,ACADEMIC_COGNITIVE,drift,exact,CONCERN_ACA_1938,39
"i struggle with communication skills",CONCERN_ACA_1939,COMMUNICATION_EXPRESSION,drift,near,CONCERN_SOC_2334,29
"i struggle with attention during revision",CONCERN_ACA_2031,EXAMINATION_READINESS,drift,exact,CONCERN_ACA_2031,38
"i have trouble with attention during revision",CONCERN_ACA_2031,EXAMINATION_READINESS,drift,exact,CONCERN_ACA_2031,38
"i keep struggling with attention during revision",CONCERN_ACA_2031,EXAMINATION_READINESS,drift,exact,CONCERN_ACA_2031,32
"i cannot manage attention during revision",CONCERN_ACA_2031,EXAMINATION_READINESS,drift,exact,CONCERN_ACA_2031,32
"i need help with attention during revision",CONCERN_ACA_2031,EXAMINATION_READINESS,drift,exact,CONCERN_ACA_2031,32
"i keep struggling with supporting students with weak academic communication in group activities",CONCERN_ACA_2298,COMMUNICATION_EXPRESSION,drift,failure,,0
"i need help with supporting students with weak academic communication in group activities",CONCERN_ACA_2298,COMMUNICATION_EXPRESSION,drift,failure,,0
"difficulty balancing passion and practical career choices",CONCERN_ACA_2430,ACADEMIC_IDENTITY,drift,exact,CONCERN_ACA_2430,43
"i struggle with balancing passion and practical career choices",CONCERN_ACA_2430,ACADEMIC_IDENTITY,drift,exact,CONCERN_ACA_2430,43
"i have trouble with balancing passion and practical career choices",CONCERN_ACA_2430,ACADEMIC_IDENTITY,drift,exact,CONCERN_ACA_2430,43
"i keep struggling with balancing passion and practical career choices",CONCERN_ACA_2430,ACADEMIC_IDENTITY,drift,exact,CONCERN_ACA_2430,36
"i cannot manage balancing passion and practical career choices",CONCERN_ACA_2430,ACADEMIC_IDENTITY,drift,exact,CONCERN_ACA_2430,36
"i need help with balancing passion and practical career choices",CONCERN_ACA_2430,ACADEMIC_IDENTITY,drift,exact,CONCERN_ACA_2430,36
"i keep struggling with supporting students with weak academic organization during exams",CONCERN_ACA_2454,DISCIPLINE_HABITS,drift,failure,,0
"i need help with supporting students with weak academic organization during exams",CONCERN_ACA_2454,DISCIPLINE_HABITS,drift,failure,,0
"i keep struggling with visibility into student attention stability during classes",CONCERN_ADA_1274,ACADEMIC_COGNITIVE,drift,exact,CONCERN_ADA_1274,34
"i need help with visibility into student attention stability during classes",CONCERN_ADA_1274,ACADEMIC_COGNITIVE,drift,exact,CONCERN_ADA_1274,34
"i keep struggling with concept application skills",CONCERN_ADJ_1689,COMPETENCY_DEVELOPMENT,drift,exact,CONCERN_ADJ_1689,33
"lack of discipline",CONCERN_ADJ_1749,DISCIPLINE_HABITS,drift,exact,CONCERN_ADJ_1749,37
"i have trouble with learning persistence",CONCERN_ADJ_1991,MOTIVATION_VALUES,drift,exact,CONCERN_ADJ_1991,35
"i cannot manage handling students with weak learning ownership",CONCERN_ADJ_2222,MOTIVATION_VALUES,drift,failure,,0
"i need help with handling students with weak learning ownership",CONCERN_ADJ_2222,MOTIVATION_VALUES,drift,failure,,0
"weak confidence in managing professional responsibilities",CONCERN_ADJ_392,CONFIDENCE_SELF,drift,exact,CONCERN_ADJ_392,27
"i cannot manage emotional recovery after failed career transitions",CONCERN_CAR_1041,EMOTIONAL_RECOVERY,drift,near,CONCERN_LEA_655,22
"difficulty balancing passion and financial stability",CONCERN_CAR_1398,CAREER_SUSTAINABILITY,drift,exact,CONCERN_CAR_1398,42
"i struggle with balancing passion and financial stability",CONCERN_CAR_1398,CAREER_SUSTAINABILITY,drift,exact,CONCERN_CAR_1398,42
"i have trouble with balancing passion and financial stability",CONCERN_CAR_1398,CAREER_SUSTAINABILITY,drift,exact,CONCERN_CAR_1398,42
"i keep struggling with balancing passion and financial stability",CONCERN_CAR_1398,CAREER_SUSTAINABILITY,drift,exact,CONCERN_CAR_1398,37
"i cannot manage balancing passion and financial stability",CONCERN_CAR_1398,CAREER_SUSTAINABILITY,drift,exact,CONCERN_CAR_1398,37
"i need help with balancing passion and financial stability",CONCERN_CAR_1398,CAREER_SUSTAINABILITY,drift,exact,CONCERN_CAR_1398,37
"lack of awareness about emerging career possibilities",CONCERN_CAR_1566,CAREER_EXPLORATION,drift,exact,CONCERN_CAR_1566,36
"i struggle with awareness about emerging career possibilities",CONCERN_CAR_1566,CAREER_EXPLORATION,drift,exact,CONCERN_CAR_1566,35
"i have trouble with awareness about emerging career possibilities",CONCERN_CAR_1566,CAREER_EXPLORATION,drift,exact,CONCERN_CAR_1566,35
"i struggle with confidence after repeated failures",CONCERN_CAR_1576,CAREER_RECOVERY,drift,exact,CONCERN_CAR_1576,39
"i have trouble with confidence after repeated failures",CONCERN_CAR_1576,CAREER_RECOVERY,drift,exact,CONCERN_CAR_1576,39
"i keep struggling with confidence after repeated failures",CONCERN_CAR_1576,CAREER_RECOVERY,drift,exact,CONCERN_CAR_1576,34
"i cannot manage confidence after repeated failures",CONCERN_CAR_1576,CAREER_RECOVERY,drift,exact,CONCERN_CAR_1576,34
"i need help with confidence after repeated failures",CONCERN_CAR_1576,CAREER_RECOVERY,drift,exact,CONCERN_CAR_1576,34
"weak career decision-making confidence",CONCERN_CAR_212,THINKING_QUALITY,drift,exact,CONCERN_CAR_212,37
"i have trouble with career decision-making confidence",CONCERN_CAR_212,THINKING_QUALITY,drift,exact,CONCERN_CAR_212,36
