component_index,size,dominant_type,type_breakdown
0,61158,clarity_question,domain:20 bridge_tag:329 family:400 atomic_signal:15972 signal:20 concern:2487 clarity_question:30558 capability:904 behavior:8024 archetype:22 problem_framing:904 problem:88 emotion:220 search_intent:550 intervention:660
1,47,clarity_question,concern:1 bridge_tag:1 capability:1 behavior:3 clarity_question:40 problem_framing:1
2,45,clarity_question,concern:1 bridge_tag:1 behavior:3 clarity_question:40
3,20,recommendation,recommendation:11 construct:1 runtime_intervention:8
4,18,recommendation,recommendation:11 construct:1 runtime_intervention:6
5,18,recommendation,recommendation:11 construct:1 runtime_intervention:6
6,18,recommendation,recommendation:11 construct:1 runtime_intervention:6
7,18,recommendation,recommendation:11 construct:1 runtime_intervention:6
8,18,recommendation,recommendation:11 construct:1 runtime_intervention:6
9,18,recommendation,recommendation:11 construct:1 runtime_intervention:6
10,17,recommendation,recommendation:12 construct:1 runtime_intervention:4
11,17,recommendation,recommendation:12 construct:1 runtime_intervention:4
12,17,recommendation,recommendation:12 construct:1 runtime_intervention:4
13,16,recommendation,recommendation:11 construct:1 runtime_intervention:4
14,16,recommendation,recommendation:11 construct:1 runtime_intervention:4
15,16,recommendation,recommendation:11 construct:1 runtime_intervention:4
16,16,recommendation,recommendation:11 construct:1 runtime_intervention:4
17,16,recommendation,recommendation:11 construct:1 runtime_intervention:4
18,16,recommendation,recommendation:11 construct:1 runtime_intervention:4
19,16,recommendation,recommendation:11 construct:1 runtime_intervention:4
20,16,recommendation,recommendation:11 construct:1 runtime_intervention:4
21,16,recommendation,recommendation:11 construct:1 runtime_intervention:4
22,16,recommendation,recommendation:11 construct:1 runtime_intervention:4
23,16,recommendation,recommendation:11 construct:1 runtime_intervention:4
24,16,recommendation,recommendation:11 construct:1 runtime_intervention:4
25,16,recommendation,recommendation:11 construct:1 runtime_intervention:4
26,16,recommendation,recommendation:11 construct:1 runtime_intervention:4
27,16,recommendation,recommendation:11 construct:1 runtime_intervention:4
28,16,recommendation,recommendation:11 construct:1 runtime_intervention:4
29,16,recommendation,recommendation:11 construct:1 runtime_intervention:4
30,14,recommendation,recommendation:11 construct:1 runtime_intervention:2
31,14,recommendation,recommendation:11 construct:1 runtime_intervention:2
32,14,recommendation,recommendation:11 construct:1 runtime_intervention:2
33,14,recommendation,recommendation:11 construct:1 runtime_intervention:2
34,14,recommendation,recommendation:11 construct:1 runtime_intervention:2
35,13,recommendation,recommendation:12 construct:1
36,2,runtime_intervention,runtime_intervention:1 construct:1
37,2,runtime_intervention,runtime_intervention:1 construct:1
38,2,runtime_intervention,runtime_intervention:1 construct:1
39,2,runtime_intervention,runtime_intervention:1 construct:1
40,2,runtime_intervention,runtime_intervention:1 construct:1
41,2,runtime_intervention,runtime_intervention:1 construct:1
42,1,competency,competency:1
43,1,competency,competency:1
44,1,competency,competency:1
45,1,competency,competency:1
46,1,competency,competency:1
47,1,competency,competency:1
48,1,competency,competency:1
49,1,competency,competency:1
50,1,competency,competency:1
51,1,competency,competency:1
52,1,competency,competency:1
53,1,competency,competency:1
54,1,competency,competency:1
55,1,competency,competency:1
56,1,competency,competency:1
57,1,competency,competency:1
58,1,competency,competency:1
59,1,competency,competency:1
60,1,competency,competency:1
61,1,competency,competency:1
62,1,competency,competency:1
63,1,competency,competency:1
64,1,competency,competency:1
65,1,competency,competency:1
66,1,competency,competency:1
67,1,competency,competency:1
68,1,competency,competency:1
69,1,competency,competency:1
70,1,competency,competency:1
71,1,competency,competency:1
72,1,competency,competency:1
73,1,competency,competency:1
74,1,competency,competency:1
75,1,competency,competency:1
76,1,competency,competency:1
77,1,competency,competency:1
78,1,competency,competency:1
79,1,competency,competency:1
80,1,competency,competency:1
81,1,competency,competency:1
82,1,competency,competency:1
83,1,competency,competency:1
84,1,competency,competency:1
85,1,competency,competency:1
86,1,competency,competency:1
87,1,competency,competency:1
88,1,competency,competency:1
89,1,competency,competency:1
90,1,competency,competency:1
91,1,competency,competency:1
92,1,competency,competency:1
93,1,competency,competency:1
94,1,competency,competency:1
95,1,competency,competency:1
96,1,competency,competency:1
97,1,competency,competency:1
98,1,competency,competency:1
99,1,competency,competency:1
100,1,competency,competency:1
101,1,competency,competency:1
102,1,competency,competency:1
103,1,competency,competency:1
104,1,competency,competency:1
105,1,competency,competency:1
106,1,competency,competency:1
107,1,competency,competency:1
108,1,competency,competency:1
109,1,competency,competency:1
110,1,competency,competency:1
111,1,competency,competency:1
112,1,competency,competency:1
113,1,competency,competency:1
114,1,competency,competency:1
115,1,competency,competency:1
116,1,competency,competency:1
117,1,competency,competency:1
118,1,competency,competency:1
119,1,competency,competency:1
120,1,competency,competency:1
121,1,competency,competency:1
122,1,competency,competency:1
123,1,competency,competency:1
124,1,competency,competency:1
125,1,competency,competency:1
126,1,competency,competency:1
127,1,competency,competency:1
128,1,competency,competency:1
129,1,competency,competency:1
130,1,competency,competency:1
131,1,competency,competency:1
132,1,competency,competency:1
133,1,competency,competency:1
134,1,competency,competency:1
135,1,competency,competency:1
136,1,competency,competency:1
137,1,competency,competency:1
138,1,competency,competency:1
139,1,competency,competency:1
140,1,competency,competency:1
141,1,competency,competency:1
142,1,competency,competency:1
143,1,competency,competency:1
144,1,competency,competency:1
145,1,competency,competency:1
146,1,competency,competency:1
147,1,competency,competency:1
148,1,competency,competency:1
149,1,competency,competency:1
150,1,competency,competency:1
151,1,competency,competency:1
152,1,competency,competency:1
153,1,competency,competency:1
154,1,competency,competency:1
155,1,competency,competency:1
156,1,competency,competency:1
157,1,competency,competency:1
158,1,competency,competency:1
159,1,competency,competency:1
160,1,competency,competency:1
161,1,competency,competency:1
162,1,competency,competency:1
163,1,competency,competency:1
164,1,competency,competency:1
165,1,competency,competency:1
166,1,competency,competency:1
167,1,competency,competency:1
168,1,competency,competency:1
169,1,competency,competency:1
170,1,competency,competency:1
171,1,competency,competency:1
172,1,competency,competency:1
173,1,competency,competency:1
174,1,competency,competency:1
175,1,competency,competency:1
176,1,competency,competency:1
177,1,competency,competency:1
178,1,competency,competency:1
179,1,competency,competency:1
180,1,competency,competency:1
181,1,competency,competency:1
182,1,competency,competency:1
183,1,competency,competency:1
184,1,competency,competency:1
185,1,competency,competency:1
186,1,competency,competency:1
