kind,redundant,text_a,text_b,overlap,archetype_a,archetype_b,stakeholder_a,stakeholder_b
stakeholder,false,"Today, pick the weakest subject and finish one focused homework or revision task.","Today, help your child pick the weakest subject and finish one focused homework or revision task.",0.833,academic_achievement,academic_achievement,student,parent
stakeholder,false,"Today, pick the weakest subject and finish one focused homework or revision task.","In class today, have the student pick the weakest subject and finish one focused homework or revision task.",0.833,academic_achievement,academic_achievement,student,teacher
stakeholder,false,"Today, pick the weakest subject and finish one focused homework or revision task.","In today’s session, guide your client to pick the weakest subject and finish one focused homework or revision task.",0.769,academic_achievement,academic_achievement,student,counselor
stakeholder,false,"Today, pick the weakest subject and finish one focused homework or revision task.","Before the workday ends, pick the weakest subject and finish one focused homework or revision task.",0.692,academic_achievement,academic_achievement,student,professional
stakeholder,false,"Today, help your child pick the weakest subject and finish one focused homework or revision task.","In class today, have the student pick the weakest subject and finish one focused homework or revision task.",0.714,academic_achievement,academic_achievement,parent,teacher
stakeholder,false,"Today, help your child pick the weakest subject and finish one focused homework or revision task.","In today’s session, guide your client to pick the weakest subject and finish one focused homework or revision task.",0.667,academic_achievement,academic_achievement,parent,counselor
stakeholder,false,"Today, help your child pick the weakest subject and finish one focused homework or revision task.","Before the workday ends, pick the weakest subject and finish one focused homework or revision task.",0.6,academic_achievement,academic_achievement,parent,professional
stakeholder,false,"In class today, have the student pick the weakest subject and finish one focused homework or revision task.","In today’s session, guide your client to pick the weakest subject and finish one focused homework or revision task.",0.667,academic_achievement,academic_achievement,teacher,counselor
stakeholder,false,"In class today, have the student pick the weakest subject and finish one focused homework or revision task.","Before the workday ends, pick the weakest subject and finish one focused homework or revision task.",0.6,academic_achievement,academic_achievement,teacher,professional
stakeholder,false,"Each day this week, track grades and homework due dates in one place.","Each day this week, help your child track grades and homework due dates in one place.",0.833,academic_achievement,academic_achievement,student,parent
stakeholder,false,"Each day this week, track grades and homework due dates in one place.","Each day this week, have the student track grades and homework due dates in one place.",0.909,academic_achievement,academic_achievement,student,teacher
stakeholder,false,"Each day this week, track grades and homework due dates in one place.",Set a one-week task for your client to track grades and homework due dates in one place.,0.615,academic_achievement,academic_achievement,student,counselor
stakeholder,false,"Each day this week, track grades and homework due dates in one place.","Each workday this week, track grades and homework due dates in one place.",0.818,academic_achievement,academic_achievement,student,professional
stakeholder,false,"Each day this week, help your child track grades and homework due dates in one place.","Each day this week, have the student track grades and homework due dates in one place.",0.769,academic_achievement,academic_achievement,parent,teacher
stakeholder,false,"Each day this week, help your child track grades and homework due dates in one place.","Each workday this week, track grades and homework due dates in one place.",0.692,academic_achievement,academic_achievement,parent,professional
stakeholder,false,"Each day this week, have the student track grades and homework due dates in one place.","Each workday this week, track grades and homework due dates in one place.",0.75,academic_achievement,academic_achievement,teacher,professional
stakeholder,false,Set a one-week task for your client to track grades and homework due dates in one place.,"Each workday this week, track grades and homework due dates in one place.",0.615,academic_achievement,academic_achievement,counselor,professional
stakeholder,false,"Over the next 30 days, follow a weekly revision plan that covers every subject before the next test.","Over the next 30 days, help your child follow a weekly revision plan that covers every subject before the next test.",0.857,academic_achievement,academic_achievement,student,parent
stakeholder,false,"Over the next 30 days, follow a weekly revision plan that covers every subject before the next test.","Over the next month, coach the student to follow a weekly revision plan that covers every subject before the next test.",0.733,academic_achievement,academic_achievement,student,teacher
stakeholder,false,"Over the next 30 days, follow a weekly revision plan that covers every subject before the next test.","Across a 30-day plan, work with your client to follow a weekly revision plan that covers every subject before the next test.",0.667,academic_achievement,academic_achievement,student,counselor
stakeholder,false,"Over the next 30 days, follow a weekly revision plan that covers every subject before the next test.","Over the next 30 days at work, follow a weekly revision plan that covers every subject before the next test.",0.923,academic_achievement,academic_achievement,student,professional
stakeholder,false,"Over the next 30 days, help your child follow a weekly revision plan that covers every subject before the next test.","Over the next month, coach the student to follow a weekly revision plan that covers every subject before the next test.",0.647,academic_achievement,academic_achievement,parent,teacher
stakeholder,false,"Over the next 30 days, help your child follow a weekly revision plan that covers every subject before the next test.","Over the next 30 days at work, follow a weekly revision plan that covers every subject before the next test.",0.8,academic_achievement,academic_achievement,parent,professional
stakeholder,false,"Over the next month, coach the student to follow a weekly revision plan that covers every subject before the next test.","Over the next 30 days at work, follow a weekly revision plan that covers every subject before the next test.",0.688,academic_achievement,academic_achievement,teacher,professional
stakeholder,false,"Across a 30-day plan, work with your client to follow a weekly revision plan that covers every subject before the next test.","Over the next 30 days at work, follow a weekly revision plan that covers every subject before the next test.",0.733,academic_achievement,academic_achievement,counselor,professional
stakeholder,false,"Over the next 90 days, lift results across subjects with a steady term-long study schedule.","Across this term, help your child lift results across subjects with a steady term-long study schedule.",0.615,academic_achievement,academic_achievement,student,parent
stakeholder,false,"Over the next 90 days, lift results across subjects with a steady term-long study schedule.","Across the term, support the student to lift results across subjects with a steady term-long study schedule.",0.615,academic_achievement,academic_achievement,student,teacher
stakeholder,false,"Over the next 90 days, lift results across subjects with a steady term-long study schedule.","Over the next quarter at work, lift results across subjects with a steady term-long study schedule.",0.769,academic_achievement,academic_achievement,student,professional
stakeholder,false,"Across this term, help your child lift results across subjects with a steady term-long study schedule.","Across the term, support the student to lift results across subjects with a steady term-long study schedule.",0.667,academic_achievement,academic_achievement,parent,teacher
stakeholder,false,Build a daily habit — a thirty-minute homework and revision block at a set time.,Help your child build a daily habit — a thirty-minute homework and revision block at a set time.,0.833,academic_achievement,academic_achievement,student,parent
stakeholder,false,Build a daily habit — a thirty-minute homework and revision block at a set time.,Encourage a daily classroom habit — a thirty-minute homework and revision block at a set time.,0.75,academic_achievement,academic_achievement,student,teacher
stakeholder,false,Build a daily habit — a thirty-minute homework and revision block at a set time.,Anchor a daily habit with your client — a thirty-minute homework and revision block at a set time.,0.75,academic_achievement,academic_achievement,student,counselor
stakeholder,false,Build a daily habit — a thirty-minute homework and revision block at a set time.,Build a daily workday habit — a thirty-minute homework and revision block at a set time.,0.909,academic_achievement,academic_achievement,student,professional
stakeholder,false,Help your child build a daily habit — a thirty-minute homework and revision block at a set time.,Encourage a daily classroom habit — a thirty-minute homework and revision block at a set time.,0.643,academic_achievement,academic_achievement,parent,teacher
