No.	Category	Concern Area/ short assessments	Parent Worry (Real Language)	Impact on Child
1	Focus	Short attention span	My child cannot sit and study	Poor learning
2	Focus	Easily distracted	Gets distracted very quickly	Low productivity
3	Focus	Screen distraction	Always on phone/tablet	Reduced focus
4	Focus	Inconsistent concentration	Sometimes focused, mostly not	Unstable performance
5	Focus	Difficulty completing tasks	Leaves work halfway	Poor outcomes
6	Focus	Daydreaming	Lost in thoughts	Low engagement
7	Focus	Lack of mental stamina	Gets tired quickly while studying	Weak retention
8	Focus	Avoidance of difficult tasks	Avoids tough subjects	Skill gaps
9	Focus	No deep work ability	Cannot study for long hours	Low mastery
10	Focus	Over multitasking	Keeps switching tasks	Inefficiency
11	Academics	Low marks	Marks are very low	Academic risk
12	Academics	Sudden drop in performance	Marks have dropped recently	Concern trigger
13	Academics	Inconsistent results	Sometimes good, sometimes bad	Unpredictability
14	Academics	Exam fear	Panics during exams	Underperformance
15	Academics	Poor writing skills	Cannot present answers well	Low scoring
16	Academics	Slow writing speed	Cannot finish paper on time	Exam loss
17	Academics	Weak subject foundation	Basics are not clear	Long-term gap
18	Academics	Difficulty in math/science	Struggles with concepts	Learning difficulty
19	Academics	Rote learning dependency	Memorizes but doesn’t understand	Shallow learning
20	Academics	Homework resistance	Doesn’t want to do homework	Poor discipline
21	Behavior	Procrastination	Delays everything	Time loss
22	Behavior	Lack of discipline	No routine at all	Inconsistency
23	Behavior	Irregular study habits	Studies randomly	Weak structure
24	Behavior	No goal setting	No aim in life	Directionless
25	Behavior	Easily gives up	Quits quickly	Low resilience
26	Behavior	Dependency on parents	Needs constant push	No independence
27	Behavior	Disorganized lifestyle	Very messy routine	Inefficiency
28	Behavior	Poor time management	Cannot manage time	Missed targets
29	Behavior	Avoidance behavior	Escapes responsibilities	Weak accountability
30	Behavior	Lack of responsibility	Doesn’t take things seriously	Immaturity
31	Emotional	Low confidence	Doesn’t believe in self	Poor performance
32	Emotional	Fear of failure	Afraid to try	Avoidance
33	Emotional	Anxiety	Always worried	Mental stress
34	Emotional	Mood swings	Emotions change quickly	Instability
35	Emotional	Overthinking	Thinks too much	Mental fatigue
36	Emotional	Stress	Too much pressure	Burnout
37	Emotional	Negative thinking	Always pessimistic	Low motivation
38	Emotional	Fear of judgment	Worried about others	Inhibition
39	Emotional	Comparison stress	Compares with others	Low self-worth
40	Emotional	Emotional sensitivity	Gets hurt easily	Fragility
41	Mental Health	Test anxiety	Freezes in exams	Score drop
42	Mental Health	Social anxiety	Avoids interaction	Isolation
43	Mental Health	Lack of motivation	No interest in anything	Stagnation
44	Mental Health	Burnout	Feels tired always	Withdrawal
45	Mental Health	Low self-esteem	Feels inferior	Confidence loss
46	Mental Health	Emotional regulation issues	Cannot control emotions	Behavioral issues
47	Mental Health	Withdrawal behavior	Keeps to self	Isolation
48	Mental Health	Fear of speaking	Afraid to talk	Communication gap
49	Mental Health	Pressure from expectations	Feels burdened	Stress
50	Mental Health	Lack of mental resilience	Cannot handle failure	Fragility
51	Digital	Screen addiction	Always on screen	Focus loss
52	Digital	Gaming addiction	Plays games excessively	Time waste
53	Digital	Social media overuse	Always scrolling	Distraction
54	Digital	YouTube addiction	Watches endlessly	Reduced productivity
55	Digital	Late-night phone use	Sleeps very late	Poor health
56	Digital	Dopamine dependency	Needs constant stimulation	Low patience
57	Digital	Reduced offline engagement	Doesn’t play outside	Social impact
58	Digital	Academic neglect due to phone	Studies less due to phone	Performance drop
59	Digital	Multitasking with devices	Studies + phone together	Inefficiency
60	Digital	Lack of digital discipline	No control over usage	Habit damage
61	Social	Poor communication	Cannot express clearly	Weak interaction
62	Social	Shyness	Too shy	Low participation
63	Social	Lack of friends	Doesn’t socialize	Isolation
64	Social	Peer pressure	Easily influenced	Risk behavior
65	Social	Conflict with peers	Frequent fights	Social issues
66	Social	Poor listening skills	Doesn’t listen	Miscommunication
67	Social	Low participation in class	Doesn’t engage	Missed learning
68	Social	Fear of public speaking	Avoids stage	Confidence gap
69	Social	Lack of teamwork	Cannot work in groups	Collaboration issue
70	Social	Social comparison	Feels inferior to peers	Low confidence
71	Habits	Poor sleep routine	Sleeps irregularly	Low energy
72	Habits	Lack of physical activity	No exercise	Health impact
73	Habits	Poor diet habits	Unhealthy eating	Low energy
74	Habits	No structured routine	Day is unplanned	Chaos
75	Habits	Lack of consistency	Cannot follow routine	Instability
76	Habits	Low discipline	No control	Weak habits
77	Habits	Poor hygiene	Neglects self-care	Health risk
78	Habits	Lack of productivity habits	Wastes time	Low output
79	Habits	No habit formation	Cannot build habits	No growth
80	Habits	Irregular energy cycles	Active at wrong times	Inefficiency
81	Career	No career clarity	Doesn’t know what to do	Confusion
82	Career	Too many interests	Confused between options	Indecision
83	Career	External influence	Others deciding career	Misalignment
84	Career	Lack of exposure	Doesn’t know options	Limited vision
85	Career	Unrealistic goals	Dreams not practical	Risk
86	Career	No long-term planning	No future plan	Uncertainty
87	Career	Fear of wrong choice	What if we choose wrong	Anxiety
88	Career	Lack of skill awareness	Doesn’t know strengths	Misfit
89	Career	No guidance	No proper advice	Confusion
90	Career	Misalignment with abilities	Choosing wrong stream	Failure risk
91	Family	Lack of communication	Doesn’t talk openly	Disconnect
92	Family	Parent-child conflict	Frequent arguments	Stress
93	Family	Over-expectation	Pressure from parents	Anxiety
94	Family	Lack of guidance	We don’t know how to help	Confusion
95	Family	Comparison with siblings	Compared at home	Low self-worth
96	Family	Lack of monitoring	We don’t track properly	Missed issues
97	Family	Emotional disconnect	Not emotionally close	Isolation
98	Family	Over-dependence on tuition	We rely only on coaching	Weak foundation
99	Family	Confusion about child’s ability	Don’t understand child	Misjudgment
100	Family	Fear about future	What will happen later	Anxiety
101	Learning	Learning disabilities (Dyslexia, ADHD, Dysgraphia)	“Why is my child not learning like others?”	Misdiagnosis, academic struggle
102	Learning	Poor comprehension skills	“Reads but doesn’t understand”	Weak conceptual learning
103	Learning	Memory retention issues	“Forgets whatever studied”	Poor exam performance
104	Cognitive	Low problem-solving ability	“Cannot think independently”	Weak analytical skills
105	Cognitive	Lack of critical thinking	“Cannot apply knowledge”	Surface-level learning
106	Cognitive	Slow processing speed	“Takes too long to understand”	Academic delay
107	Emotional	Anger issues	“Gets angry very quickly”	Relationship & behavior problems
108	Emotional	Lack of emotional intelligence	“Cannot understand emotions”	Social disconnect
109	Mental Health	Early signs of depression	“Seems dull / uninterested”	Serious mental health risk
110	Mental Health	Panic attacks	“Sudden fear episodes”	Academic disruption
111	Digital	Exposure to inappropriate content	“What are they watching online?”	Behavioral distortion
112	Digital	Cyberbullying	“Someone is troubling online”	Emotional trauma
113	Social	Bullying (offline)	“Child is being bullied in school”	Fear, withdrawal
114	Social	Lack of assertiveness	“Cannot say no”	Peer pressure vulnerability
115	Social	Influence of wrong peer group	“Bad friends influencing”	Risky behaviors
116	Habits	Addiction tendencies (beyond screens)	“Getting addicted easily”	Long-term dependency risk
117	Habits	Lack of self-control	“Cannot control impulses”	Poor decisions
118	Career	Lack of real-world skills	“Not ready for real life”	Employability gap
119	Career	Skill vs marks mismatch	“Good marks but no skills”	Future struggle
120	Career	Fear of competition	“Cannot handle competition”	Avoidance mindset
121	Parenting	Inconsistent parenting approach	“We are not aligned as parents”	Confusion in child
122	Parenting	Lack of parenting skills	“We don’t know how to guide properly”	Wrong interventions
123	Parenting	Overprotection	“We do everything for child”	Dependency
124	Parenting	Lack of boundaries	“Child doesn’t listen at all”	Discipline issues
125	Environment	School mismatch	“School not suitable for child”	Learning dissatisfaction
126	Environment	Academic pressure from school	“Too much syllabus pressure”	Stress, burnout
127	Health	Frequent fatigue	“Always tired”	Low productivity
128	Health	Hormonal/teen changes impact	“Behavior changed suddenly”	Emotional instability
129	Future Skills	Lack of creativity	“No innovative thinking”	Limited growth
130	Future Skills	Lack of curiosity	“Doesn’t ask questions”	Passive learning
131	Board Exams	Failure in board exams	“My child has failed in boards”	Emotional breakdown, stigma
132	Board Exams	Compartment exam stress	“How to clear compartment?”	Anxiety, urgency pressure
133	Board Exams	Low board percentage	“Marks are too low for good college”	Limited opportunities
134	Board Exams	Unexpected poor results	“We expected more marks”	Confidence loss
