archetype_id,archetype_key,archetype_name,problem_id,stakeholder_type,intervention_type,intervention_text,expected_outcome,success_indicator,progress_indicator,confidence_impact,risk_reduction_impact,realism_pass,aligned,is_duplicate,practicality,actionability,outcome_clarity,stakeholder_relevance,archetype_alignment,composite
15,academic_achievement,Academic Achievement & Exam Performance,1,student,immediate_actions,"Today, pick the weakest subject and finish one focused homework or revision task.","You will raise grades through steady, planned study.",Improve marks in the weakest subject by the next report.,More revision tasks completed on schedule each week.,0.15,0.4,true,true,false,5,5,5,5,5,5
15,academic_achievement,Academic Achievement & Exam Performance,1,parent,immediate_actions,"Today, help your child pick the weakest subject and finish one focused homework or revision task.","Your child will raise grades through steady, planned study.",Improve marks in the weakest subject by the next report.,More revision tasks completed on schedule each week.,0.15,0.4,true,true,false,5,5,5,5,5,5
15,academic_achievement,Academic Achievement & Exam Performance,1,teacher,immediate_actions,"In class today, have the student pick the weakest subject and finish one focused homework or revision task.","The student will raise grades through steady, planned study.",Improve marks in the weakest subject by the next report.,More revision tasks completed on schedule each week.,0.15,0.4,true,true,false,5,5,5,5,5,5
15,academic_achievement,Academic Achievement & Exam Performance,1,counselor,immediate_actions,"In today’s session, guide your client to pick the weakest subject and finish one focused homework or revision task.","Your client will raise grades through steady, planned study.",Improve marks in the weakest subject by the next report.,More revision tasks completed on schedule each week.,0.15,0.4,true,true,false,5,5,5,5,5,5
15,academic_achievement,Academic Achievement & Exam Performance,1,professional,immediate_actions,"Before the workday ends, pick the weakest subject and finish one focused homework or revision task.","You will raise grades through steady, planned study.",Improve marks in the weakest subject by the next report.,More revision tasks completed on schedule each week.,0.144,0.32,true,true,false,5,4,5,5,5,4.8
15,academic_achievement,Academic Achievement & Exam Performance,1,student,seven_day,"Each day this week, track grades and homework due dates in one place.","You will raise grades through steady, planned study.",Improve marks in the weakest subject by the next report.,More revision tasks completed on schedule each week.,0.288,0.45,true,true,false,5,5,5,5,4,4.8
15,academic_achievement,Academic Achievement & Exam Performance,1,parent,seven_day,"Each day this week, help your child track grades and homework due dates in one place.","Your child will raise grades through steady, planned study.",Improve marks in the weakest subject by the next report.,More revision tasks completed on schedule each week.,0.288,0.45,true,true,false,5,5,5,5,4,4.8
15,academic_achievement,Academic Achievement & Exam Performance,1,teacher,seven_day,"Each day this week, have the student track grades and homework due dates in one place.","The student will raise grades through steady, planned study.",Improve marks in the weakest subject by the next report.,More revision tasks completed on schedule each week.,0.288,0.45,true,true,false,5,5,5,5,4,4.8
15,academic_achievement,Academic Achievement & Exam Performance,1,counselor,seven_day,Set a one-week task for your client to track grades and homework due dates in one place.,"Your client will raise grades through steady, planned study.",Improve marks in the weakest subject by the next report.,More revision tasks completed on schedule each week.,0.288,0.45,true,true,false,5,5,5,5,4,4.8
15,academic_achievement,Academic Achievement & Exam Performance,1,professional,seven_day,"Each workday this week, track grades and homework due dates in one place.","You will raise grades through steady, planned study.",Improve marks in the weakest subject by the next report.,More revision tasks completed on schedule each week.,0.288,0.45,true,true,false,5,5,5,5,4,4.8
15,academic_achievement,Academic Achievement & Exam Performance,1,student,thirty_day,"Over the next 30 days, follow a weekly revision plan that covers every subject before the next test.","You will raise grades through steady, planned study.",Improve marks in the weakest subject by the next report.,More revision tasks completed on schedule each week.,0.48,0.55,true,true,false,5,5,5,5,4,4.8
15,academic_achievement,Academic Achievement & Exam Performance,1,parent,thirty_day,"Over the next 30 days, help your child follow a weekly revision plan that covers every subject before the next test.","Your child will raise grades through steady, planned study.",Improve marks in the weakest subject by the next report.,More revision tasks completed on schedule each week.,0.48,0.55,true,true,false,5,5,5,5,4,4.8
15,academic_achievement,Academic Achievement & Exam Performance,1,teacher,thirty_day,"Over the next month, coach the student to follow a weekly revision plan that covers every subject before the next test.","The student will raise grades through steady, planned study.",Improve marks in the weakest subject by the next report.,More revision tasks completed on schedule each week.,0.48,0.55,true,true,false,5,5,5,5,4,4.8
15,academic_achievement,Academic Achievement & Exam Performance,1,counselor,thirty_day,"Across a 30-day plan, work with your client to follow a weekly revision plan that covers every subject before the next test.","Your client will raise grades through steady, planned study.",Improve marks in the weakest subject by the next report.,More revision tasks completed on schedule each week.,0.48,0.55,true,true,false,5,5,5,5,4,4.8
15,academic_achievement,Academic Achievement & Exam Performance,1,professional,thirty_day,"Over the next 30 days at work, follow a weekly revision plan that covers every subject before the next test.","You will raise grades through steady, planned study.",Improve marks in the weakest subject by the next report.,More revision tasks completed on schedule each week.,0.48,0.55,true,true,false,5,5,5,5,4,4.8
15,academic_achievement,Academic Achievement & Exam Performance,1,student,ninety_day,"Over the next 90 days, lift results across subjects with a steady term-long study schedule.","You will raise grades through steady, planned study.",Improve marks in the weakest subject by the next report.,More revision tasks completed on schedule each week.,0.66,0.26,true,true,false,5,2,5,5,5,4.4
15,academic_achievement,Academic Achievement & Exam Performance,1,parent,ninety_day,"Across this term, help your child lift results across subjects with a steady term-long study schedule.","Your child will raise grades through steady, planned study.",Improve marks in the weakest subject by the next report.,More revision tasks completed on schedule each week.,0.66,0.26,true,true,false,5,2,5,5,5,4.4
15,academic_achievement,Academic Achievement & Exam Performance,1,teacher,ninety_day,"Across the term, support the student to lift results across subjects with a steady term-long study schedule.","The student will raise grades through steady, planned study.",Improve marks in the weakest subject by the next report.,More revision tasks completed on schedule each week.,0.72,0.52,true,true,false,5,4,5,5,5,4.8
15,academic_achievement,Academic Achievement & Exam Performance,1,counselor,ninety_day,"Across a 90-day plan, guide your client to lift results across subjects with a steady term-long study schedule.","Your client will raise grades through steady, planned study.",Improve marks in the weakest subject by the next report.,More revision tasks completed on schedule each week.,0.72,0.52,true,true,false,5,4,5,5,5,4.8
15,academic_achievement,Academic Achievement & Exam Performance,1,professional,ninety_day,"Over the next quarter at work, lift results across subjects with a steady term-long study schedule.","You will raise grades through steady, planned study.",Improve marks in the weakest subject by the next report.,More revision tasks completed on schedule each week.,0.66,0.26,true,true,false,5,2,5,5,5,4.4
15,academic_achievement,Academic Achievement & Exam Performance,1,student,habit,Build a daily habit — a thirty-minute homework and revision block at a set time.,"You will raise grades through steady, planned study.",Improve marks in the weakest subject by the next report.,More revision tasks completed on schedule each week.,0.552,0.44,true,true,false,5,4,5,5,4,4.6
15,academic_achievement,Academic Achievement & Exam Performance,1,parent,habit,Help your child build a daily habit — a thirty-minute homework and revision block at a set time.,"Your child will raise grades through steady, planned study.",Improve marks in the weakest subject by the next report.,More revision tasks completed on schedule each week.,0.552,0.44,true,true,false,5,4,5,5,4,4.6
