concern_a,label_a,tag_a,concern_b,label_b,tag_b,similarity_score,recommended_group
CONCERN_ACA_109,"Balancing Multiple Subjects Simultaneously",DISCIPLINE_HABITS,CONCERN_COM_1684,"Multiple Subjects",ACADEMIC_PERFORMANCE,1.0000,"Subjects Family"
CONCERN_ACA_109,"Balancing Multiple Subjects Simultaneously",DISCIPLINE_HABITS,CONCERN_EXA_1972,"Multiple Subjects",ACADEMIC_COGNITIVE,1.0000,"Subjects Family"
CONCERN_ACA_1217,"Detecting Faculty Motivation Decline Early",FACULTY_SUSTAINABILITY,CONCERN_EMO_1255,"Detecting Long-Term Institutional Motivation Decline",MOTIVATION_VALUES,1.0000,"Decline Family"
CONCERN_ACA_1249,"Faculty Emotional Wellbeing Institutionally",FACULTY_SUSTAINABILITY,CONCERN_MOT_1289,"Student Emotional Wellbeing Institutionally",EMOTIONAL_REGULATION,1.0000,"Emotional Family 2"
CONCERN_ACA_146,"Focus During Long Revision Sessions",ACADEMIC_COGNITIVE,CONCERN_DIS_2208,"Managing Students with Weak Focus During Revision Sessions",EXAMINATION_READINESS,1.0000,"Focus Family"
CONCERN_ACA_1651,"Analytical Thinking",THINKING_QUALITY,CONCERN_THI_1934,"Analytical Thinking",THINKING_QUALITY,1.0000,"Analytical Family"
CONCERN_ACA_1687,"Initiative in Learning",MOTIVATION_VALUES,CONCERN_DIS_1945,"Initiative in Learning",MOTIVATION_VALUES,1.0000,"Initiative Family"
CONCERN_ACA_1698,"Mathematical Reasoning",ACADEMIC_COGNITIVE,CONCERN_COM_1950,"Mathematical Reasoning",ACADEMIC_COGNITIVE,1.0000,"Mathematical Family"
CONCERN_ACA_1699,"Understanding Science Concepts",ACADEMIC_COGNITIVE,CONCERN_THI_1952,"Understanding Science Concepts",ACADEMIC_COGNITIVE,1.0000,"Concepts Family"
CONCERN_ACA_1700,"Vocabulary Development",COMMUNICATION_EXPRESSION,CONCERN_ACA_1948,"Vocabulary Development",COMMUNICATION_EXPRESSION,1.0000,"Development Family"
CONCERN_ACA_1731,"Academic Pressure",EXAMINATION_STRESS,CONCERN_EXA_1667,"Academic Pressure",EXAMINATION_STRESS,1.0000,"Emotional Family"
CONCERN_ACA_1731,"Academic Pressure",EXAMINATION_STRESS,CONCERN_MOT_1964,"Academic Pressure",EXAMINATION_STRESS,1.0000,"Emotional Family"
CONCERN_ACA_1731,"Academic Pressure",EXAMINATION_STRESS,CONCERN_THI_2069,"Long-Term Academic Pressure",EXAMINATION_STRESS,1.0000,"Emotional Family"
CONCERN_ACA_1734,"Fear of Failure",CONFIDENCE_SELF,CONCERN_ACA_2132,"Managing Students with Fear of Failure",CONFIDENCE_SELF,1.0000,"Failure Family"
CONCERN_ACA_1822,"Identity Confusion",ACADEMIC_IDENTITY,CONCERN_IDE_1517,"Confusion between skill and identity",PERSONAL_POSITIONING,1.0000,"Confusion Family"
CONCERN_ACA_1863,"Fear of Asking Doubts in Class",CONFIDENCE_SELF,CONCERN_MOT_1442,"Fear of asking doubts in class",CLASSROOM_ADAPTATION,1.0000,"Asking Family"
CONCERN_ACA_1931,"Academic Focus",ACADEMIC_COGNITIVE,CONCERN_PUR_1647,"Academic Focus",ACADEMIC_COGNITIVE,1.0000,"Academic Family"
CONCERN_ACA_1932,"Conceptual Understanding",FOUNDATIONAL_LEARNING,CONCERN_LEA_1263,"Conceptual Understanding Institutionally",ACADEMIC_COGNITIVE,1.0000,"Conceptual Family 2"
CONCERN_ACA_1938,"Following Instructions",ACADEMIC_COGNITIVE,CONCERN_COM_2485,"Following Multi-Teacher Instructions",CLASSROOM_ENGAGEMENT,1.0000,"Following Family"
CONCERN_ACA_1938,"Following Instructions",ACADEMIC_COGNITIVE,CONCERN_CON_1997,"Following Multi-Teacher Instructions",ACADEMIC_COGNITIVE,1.0000,"Following Family"
CONCERN_ACA_1938,"Following Instructions",ACADEMIC_COGNITIVE,CONCERN_SEL_1676,"Following Instructions Properly",CLASSROOM_ENGAGEMENT,1.0000,"Following Family"
CONCERN_ACA_1959,"Independent Thinking",THINKING_QUALITY,CONCERN_FOU_1797,"Independent Thinking",THINKING_QUALITY,1.0000,"Independent Family"
CONCERN_ACA_1967,"Leadership Potential",LEADERSHIP_OWNERSHIP,CONCERN_EMO_740,"Long-Term Leadership Potential",CONFIDENCE_SELF,1.0000,"Leadership Family"
CONCERN_ACA_1974,"Academic Ownership",MOTIVATION_VALUES,CONCERN_MOT_1992,"Academic Ownership",MOTIVATION_VALUES,1.0000,"Academic Family 2"
CONCERN_ACA_1974,"Academic Ownership",MOTIVATION_VALUES,CONCERN_MOT_2480,"Academic Ownership",MOTIVATION_VALUES,1.0000,"Academic Family 2"
CONCERN_ACA_1978,"Transitioning Between Subjects",LEARNING_ADAPTABILITY,CONCERN_COM_1703,"Transitioning Between Subjects",LEARNING_ADAPTABILITY,1.0000,"Subjects Family 2"
