bridge_tag,signal_family,domain_name,similarity,atomic_signal_count,evidence_strength,sample_signals
ACADEMIC_COGNITIVE,"learning_processing_signals","Cognitive Intelligence",0.2932,40,good,"Applied Learning Effectiveness | Conceptual Processing Depth | Stable Comprehension Under Complexity | Continuous Learning Optimization | Processing Stability Under Pressure"
ACADEMIC_COGNITIVE,"learning_consistency_signals","Learning Intelligence",0.2772,40,good,"Long Cycle Learning Endurance | Continuous Learning Identity | Sustainable Learning Persistence | Exam Preparation Consistency | Self Disciplined Learning"
ACADEMIC_COGNITIVE,"comprehension_signals","Learning Intelligence",0.2454,40,good,"Advanced Theoretical Comprehension | Conceptual Abstraction Comprehension | Abstract Concept Comprehension | Conceptual Precision Understanding | Integrated Framework Comprehension"
EXAMINATION_STRESS,"learning_resilience_signals","Learning Intelligence",0.2667,40,good,"Repeated Failure Endurance | Sustained Learning Grit | Growth After Academic Adversity | Long Term Learning Commitment | Academic Persistence Strength"
EXAMINATION_STRESS,"evaluation_anxiety_signals","Performance Intelligence",0.2510,80,good,"Performance Freeze Response | Cognitive Blankout Under Pressure | Chronic Evaluation Stress Accumulation | Memory Recall Blocking | Competitive Assessment Instability"
EXAMINATION_STRESS,"academic_confidence_signals","Learning Intelligence",0.2504,40,good,"Long Term Learning Confidence | Growth Mindset Learning Confidence | Problem Solving Confidence | Failure Recovery Learning Confidence | Analytical Learning Confidence"
ACADEMIC_IDENTITY,"direction_signals","Career Intelligence",0.2903,40,good,"Chronic Career Ambiguity | Lack Of Career Vision | Lack Of Professional Alignment | Fragmented Professional Identity | Lack Of Career Structure"
ACADEMIC_IDENTITY,"purpose_alignment_signals","Motivational Intelligence",0.2694,40,good,"Purpose Reinforced Resilience | Meaningful Adversity Tolerance | Existential Resilience Strength | Alignment Under Pressure | Authentic Career Alignment"
ACADEMIC_IDENTITY,"career_clarity_signals","Career Intelligence",0.2569,20,good,"Career Direction Confusion | Fear Based Career Selection | Career Decision Avoidance | Career Identity Fragmentation | Future Role Uncertainty"
LEADERSHIP_OWNERSHIP,"professional_confidence_signals","Career Intelligence",0.2914,80,good,"Professional Identity Resilience | Professional Mastery Confidence | Professional Self Belief | Professional Identity Confidence | Crisis Management Confidence"
LEADERSHIP_OWNERSHIP,"practical_exposure_signals","Employability Intelligence",0.2319,40,good,"Holistic Workplace Readiness | Practical Professional Readiness | Project Execution Exposure | Practical Problem Solving Exposure | Professional Accountability Exposure"
LEADERSHIP_OWNERSHIP,"workplace_readiness_signals","Career Intelligence",0.2228,80,good,"Professional Environment Mastery | Workplace Ethics Readiness | Workplace Execution Reliability | Workplace Professionalism Integrity | Career Environment Readiness"
EXAMINATION_READINESS,"academic_confidence_signals","Learning Intelligence",0.2727,40,good,"Long Term Learning Confidence | Growth Mindset Learning Confidence | Problem Solving Confidence | Failure Recovery Learning Confidence | Analytical Learning Confidence"
EXAMINATION_READINESS,"adaptive_learning_signals","Learning Intelligence",0.2626,40,good,"Meta Learning Adaptability | Cognitive Flexibility Under Pressure | Adaptive Learning Evolution | Adaptive Exam Preparation | Cognitive Strategy Switching"
EXAMINATION_READINESS,"learning_consistency_signals","Learning Intelligence",0.2418,40,good,"Long Cycle Learning Endurance | Continuous Learning Identity | Sustainable Learning Persistence | Exam Preparation Consistency | Self Disciplined Learning"
EMOTIONAL_RECOVERY,"career_resilience_signals","Career Intelligence",0.2811,40,good,"Emotional Endurance Under Pressure | Long Term Career Commitment | Prolonged Search Endurance | Persistence Under Delayed Success | Resilient Skill Reinvestment"
EMOTIONAL_RECOVERY,"professional_confidence_signals","Career Intelligence",0.2757,80,good,"Professional Identity Resilience | Professional Mastery Confidence | Professional Self Belief | Professional Identity Confidence | Crisis Management Confidence"
EMOTIONAL_RECOVERY,"employability_signals","Career Intelligence",0.2609,40,good,"Employability Execution Consistency | Professional Learning Agility | Career Execution Discipline | Long Term Career Sustainability | Skill Market Alignment"
COMPETENCY_DEVELOPMENT,"practical_transition_signals","Career Intelligence",0.2933,40,good,"Workplace Execution Maturity | Practical Problem Solving Shift | Real World Execution Orientation | Professional Learning Application | Ambiguity Handling Readiness"
COMPETENCY_DEVELOPMENT,"employability_signals","Career Intelligence",0.2683,40,good,"Employability Execution Consistency | Professional Learning Agility | Career Execution Discipline | Long Term Career Sustainability | Skill Market Alignment"
COMPETENCY_DEVELOPMENT,"career_transition_signals","Employability Intelligence",0.2627,40,good,"Transformational Career Adaptation | Practical Skill Translation | Industry Transition Readiness | Learning To Execution Transition | Professional Problem Solving Transition"
EMPLOYABILITY,"industry_alignment_signals","Employability Intelligence",0.3866,60,strong,"Transformational Employability Alignment | Practical Skill Alignment | Real World Problem Alignment | Automation Resilience Alignment | Practical Experience Prioritization"
EMPLOYABILITY,"employability_signals","Career Intelligence",0.3607,40,strong,"Employability Execution Consistency | Professional Learning Agility | Career Execution Discipline | Long Term Career Sustainability | Skill Market Alignment"
EMPLOYABILITY,"practical_exposure_signals","Employability Intelligence",0.3426,40,strong,"Holistic Workplace Readiness | Practical Professional Readiness | Project Execution Exposure | Practical Problem Solving Exposure | Professional Accountability Exposure"
HOLISTIC_DEVELOPMENT,"professional_confidence_signals","Career Intelligence",0.3107,80,strong,"Professional Identity Resilience | Professional Mastery Confidence | Professional Self Belief | Professional Identity Confidence | Crisis Management Confidence"
HOLISTIC_DEVELOPMENT,"career_transition_signals","Employability Intelligence",0.2744,40,good,"Transformational Career Adaptation | Practical Skill Translation | Industry Transition Readiness | Learning To Execution Transition | Professional Problem Solving Transition"
HOLISTIC_DEVELOPMENT,"employability_signals","Career Intelligence",0.2662,40,good,"Employability Execution Consistency | Professional Learning Agility | Career Execution Discipline | Long Term Career Sustainability | Skill Market Alignment"
WORKPLACE_ADAPTATION,"workplace_readiness_signals","Career Intelligence",0.2989,80,good,"Professional Environment Mastery | Workplace Ethics Readiness | Workplace Execution Reliability | Workplace Professionalism Integrity | Career Environment Readiness"
WORKPLACE_ADAPTATION,"career_transition_signals","Employability Intelligence",0.2651,40,good,"Transformational Career Adaptation | Practical Skill Translation | Industry Transition Readiness | Learning To Execution Transition | Professional Problem Solving Transition"
WORKPLACE_ADAPTATION,"employability_signals","Career Intelligence",0.2571,40,good,"Employability Execution Consistency | Professional Learning Agility | Career Execution Discipline | Long Term Career Sustainability | Skill Market Alignment"
COLLABORATION_OWNERSHIP,"collaboration_for_workplace_signals","Employability Intelligence",0.3011,40,strong,"High Performance Team Integration | Reliability In Team Deadlines | Collaborative Resilience Under Pressure | Collaborative Dependability | Collaborative Task Ownership"
COLLABORATION_OWNERSHIP,"practical_transition_signals","Career Intelligence",0.2661,40,good,"Workplace Execution Maturity | Practical Problem Solving Shift | Real World Execution Orientation | Professional Learning Application | Ambiguity Handling Readiness"
COLLABORATION_OWNERSHIP,"practical_exposure_signals","Employability Intelligence",0.2660,40,good,"Holistic Workplace Readiness | Practical Professional Readiness | Project Execution Exposure | Practical Problem Solving Exposure | Professional Accountability Exposure"
STRATEGIC_PREPARATION,"industry_awareness_signals","Career Intelligence",0.2513,40,good,"Employability Gap Awareness | Lifelong Learning Awareness | Skill Market Alignment | Professional Expectation Clarity | Technology Disruption Awareness"
STRATEGIC_PREPARATION,"employability_signals","Career Intelligence",0.2175,40,good,"Employability Execution Consistency | Professional Learning Agility | Career Execution Discipline | Long Term Career Sustainability | Skill Market Alignment"
STRATEGIC_PREPARATION,"future_planning_signals","Career Intelligence",0.2148,40,good,"Long Term Learning Commitment | Delayed Gratification Orientation | Future Execution Discipline | Self Investment Orientation | Future Execution Alignment"
CAREER_GROWTH,"professional_confidence_signals","Career Intelligence",0.2250,80,good,"Professional Identity Resilience | Professional Mastery Confidence | Professional Self Belief | Professional Identity Confidence | Crisis Management Confidence"
CAREER_GROWTH,"career_transition_signals","Employability Intelligence",0.2153,40,good,"Transformational Career Adaptation | Practical Skill Translation | Industry Transition Readiness | Learning To Execution Transition | Professional Problem Solving Transition"
