archetype_key,archetype_name,definition,primary_behavior_category,stage_note,member_count,capability_count,problem_count,behavior_grounded_count,signature_tokens
performance_anxiety,Performance Anxiety & Pressure Response,"Heightened anxiety, fear and physiological stress when performance is evaluated or stakes are high.",Emotional,Manifests around evaluation events (tests/exams/interviews/reviews).,303,95,184,65,anxiety|anxious|nervous|nervousness|fear|afraid|panic|pressure|stress|stressed|tension|phobia|jitters|overthinking|worry|worried|dread
confidence_self_efficacy,Confidence & Self-Efficacy,"Belief in one’s own ability to act, decide and succeed; self-worth and self-assurance.",Emotional,"Often defined relative to a setback (""confidence after failure"").",82,58,14,31,confidence|confident|self-confidence|self-belief|self-esteem|esteem|self-worth|self-doubt|doubt|insecurity|insecure|assurance|efficacy|belief
resilience_recovery,Resilience & Failure Recovery,"Capacity to absorb setbacks, recover from failure and persist through adversity.",Emotional,"Triggered by repeated failure, rejection or loss.",78,9,36,2,resilience|resilient|failure|failures|setback|setbacks|recovery|recover|bounce|rejection|rejected|perseverance|persistence|persist|grit|adversity|giving-up
emotional_regulation,Emotional Regulation & Coping,"Managing mood, frustration, overwhelm and emotional reactivity under load.",Emotional,"Cuts across stress events; the regulation skill itself, not the trigger.",185,29,68,14,emotional|emotion|emotions|regulation|mood|frustration|frustrated|anger|angry|overwhelm|overwhelmed|coping|cope|irritability|reactivity|meltdown|burnout|exhaustion
identity_self_awareness,Identity & Self-Awareness,"Clarity of values, purpose, direction and an accurate sense of self.",Emotional,"Sharpens at transitions (school→career, role changes).",76,42,31,36,identity|self-awareness|awareness|values|purpose|direction|meaning|authenticity|self-image|self-perception|self-concept|belonging-self
expectations_pressure,Expectations & External Pressure,"Strain from comparison, validation-seeking and expectations imposed by family, peers or society.",Emotional,External locus; distinct from internally-generated anxiety.,56,13,27,11,expectations|expectation|comparison|compared|validation|approval|judgment|judgement|parental|family-pressure|societal|peer-pressure|reputation|image|standards
time_self_discipline,Time Management & Self-Discipline,"Planning, prioritising, meeting deadlines and sustaining disciplined routines.",Self-Management,Observable as missed deadlines / last-minute work.,124,86,36,71,time|deadline|deadlines|procrastination|procrastinate|discipline|self-discipline|planning|plan|scheduling|schedule|prioritization|priorities|organization|organisation|punctuality|consistency|accountability
motivation_drive,Motivation & Drive,"Energy, initiative and sustained engagement toward goals and routine demands.",Self-Management,Low drive shows as disengagement on routine tasks.,110,45,57,28,motivation|motivated|drive|initiative|engagement|engaged|interest|enthusiasm|energy|proactive|ambition|goal|goals|effort|commitment|ownership
focus_attention,Focus & Attention Regulation,Sustaining concentration and resisting distraction during deep work.,Self-Management,Manifests as task-switching / phone-checking.,45,6,35,5,focus|attention|concentration|distraction|distracted|distractibility|mindfulness|absorption|multitasking|scattered
adaptability_change,Adaptability & Change Navigation,"Flexibility, comfort with ambiguity and effective navigation of change and transitions.",Self-Management,"Tested by new environments, roles or rules.",82,12,32,5,adaptability|adaptable|adapt|flexibility|flexible|change|transition|uncertainty|uncertain|ambiguity|ambiguous|unpredictable|novelty|agility
critical_reflective_thinking,Critical & Reflective Thinking,"Reasoning, analysis, reflection and metacognition about one’s own thinking.",Cognitive,Higher-order cognition; distinct from rote learning.,88,70,16,59,thinking|reasoning|analysis|analytical|reflection|reflective|critical|metacognition|logic|logical|evaluation|interpretation|synthesis|insight|questioning|problem-solving|solving|self-reflection|self-evaluation|self-assessment
decision_judgment,Decision-Making & Judgment,"Making timely, sound choices and exercising judgment under constraints.",Cognitive,Observable as hesitation / second-guessing choices.,30,12,16,11,decision|decisions|decision-making|choice|choices|judgment|judgement|indecision|indecisive|prioritisation|tradeoff|trade-off|discernment|deciding
curiosity_innovation,Curiosity & Innovation,"Exploration, creativity, experimentation and the generation of new ideas.",Cognitive,Generative cognition; distinct from evaluative thinking.,33,6,2,5,curiosity|curious|creativity|creative|innovation|innovative|exploration|experimentation|experiment|imagination|ideation|inventive|originality|inquiry
