archetype_key,archetype_name,stakeholder,narrative,realism_pass,aligned,is_duplicate
academic_achievement,Academic Achievement & Exam Performance,student,I study but my grades just won't go up.,true,true,false
academic_achievement,Academic Achievement & Exam Performance,parent,My child puts in the work but the report card never shows it.,true,true,false
academic_achievement,Academic Achievement & Exam Performance,teacher,This student participates well but underperforms on exams.,true,true,false
academic_achievement,Academic Achievement & Exam Performance,counselor,The student feels defined by grades that don't match their effort.,true,true,false
academic_achievement,Academic Achievement & Exam Performance,professional,Back in school I never got the marks I felt I deserved.,true,true,false
adaptability_change,Adaptability & Change Navigation,student,When a teacher changes the plan I get completely thrown.,true,true,false
adaptability_change,Adaptability & Change Navigation,parent,My child really struggles whenever there's a big change at home or school.,true,true,false
adaptability_change,Adaptability & Change Navigation,teacher,This student gets unsettled the moment we change the routine.,true,true,false
adaptability_change,Adaptability & Change Navigation,counselor,The person finds any kind of change overwhelming and destabilizing.,true,true,false
adaptability_change,Adaptability & Change Navigation,professional,Every reorganization at work leaves me struggling to keep up.,true,false,false
career_professional_growth,Career Growth & Professional Identity,student,I'm about to graduate and I genuinely don't know what career to aim for.,true,true,false
career_professional_growth,Career Growth & Professional Identity,parent,My child finished their degree but seems lost about what work to pursue.,true,true,false
career_professional_growth,Career Growth & Professional Identity,teacher,This student is capable but has no clear sense of where they want their career to go.,true,true,false
career_professional_growth,Career Growth & Professional Identity,counselor,The person feels stuck in their job and can't picture a path forward.,true,true,false
career_professional_growth,Career Growth & Professional Identity,professional,"I'm doing fine at work, but I have no clear plan for where I'm heading.",true,false,false
collaboration_teamwork,Collaboration & Teamwork,student,Group projects stress me out because I can't rely on my team.,true,true,false
collaboration_teamwork,Collaboration & Teamwork,parent,My child finds it hard to share and cooperate with others.,true,true,false
collaboration_teamwork,Collaboration & Teamwork,teacher,This student struggles to contribute fairly in group work.,true,true,false
collaboration_teamwork,Collaboration & Teamwork,counselor,The person finds working in a team draining and difficult.,true,true,false
collaboration_teamwork,Collaboration & Teamwork,professional,I find collaborating with my colleagues harder than doing it solo.,true,true,false
communication_expression,Communication & Expression,student,I have good ideas but I can't put them into words in class.,true,true,false
communication_expression,Communication & Expression,parent,My child struggles to express what they're feeling or thinking.,true,true,false
communication_expression,Communication & Expression,teacher,This student understands the material but can't articulate it out loud.,true,true,false
communication_expression,Communication & Expression,counselor,The person finds it hard to put their thoughts into words.,true,true,false
communication_expression,Communication & Expression,professional,I struggle to get my point across clearly in meetings.,true,true,false
confidence_self_efficacy,Confidence & Self-Efficacy,student,I never put my hand up because I assume I'll be wrong.,true,false,false
confidence_self_efficacy,Confidence & Self-Efficacy,parent,My child is capable but constantly doubts themselves.,true,true,false
confidence_self_efficacy,Confidence & Self-Efficacy,teacher,This student has the ability but holds back out of self-doubt.,true,true,false
confidence_self_efficacy,Confidence & Self-Efficacy,counselor,The person doesn't believe they can handle what's in front of them.,true,true,false
confidence_self_efficacy,Confidence & Self-Efficacy,professional,I avoid taking on bigger work because I don't think I can do it.,true,false,false
critical_reflective_thinking,Critical & Reflective Thinking,student,I just memorize answers without really understanding the why.,true,true,false
critical_reflective_thinking,Critical & Reflective Thinking,parent,My child accepts whatever they're told without thinking it through.,true,true,false
critical_reflective_thinking,Critical & Reflective Thinking,teacher,This student gives quick answers but rarely reasons through a problem.,true,true,false
critical_reflective_thinking,Critical & Reflective Thinking,counselor,The person struggles to reflect on their own choices and patterns.,true,true,false
critical_reflective_thinking,Critical & Reflective Thinking,professional,At work I react fast but don't always think decisions through.,true,true,false
curiosity_innovation,Curiosity & Innovation,student,I only do what’s on the worksheet and never explore further.,true,true,false
curiosity_innovation,Curiosity & Innovation,parent,My child used to be so curious and now just sticks to the basics.,true,true,false
curiosity_innovation,Curiosity & Innovation,teacher,This student rarely asks questions or experiments with new ideas.,true,true,false
curiosity_innovation,Curiosity & Innovation,counselor,The person feels they've lost their sense of curiosity.,true,true,false
curiosity_innovation,Curiosity & Innovation,professional,At work I default to the safe option instead of trying something new.,true,false,false
decision_judgment,Decision-Making & Judgment,student,I can't decide which subjects to pick and it's stressing me out.,true,true,false
decision_judgment,Decision-Making & Judgment,parent,My child struggles to make even simple choices on their own.,true,true,false
decision_judgment,Decision-Making & Judgment,teacher,This student hesitates endlessly when asked to make a decision.,true,true,false
decision_judgment,Decision-Making & Judgment,counselor,The person is paralyzed by the fear of making the wrong choice.,true,true,false
decision_judgment,Decision-Making & Judgment,professional,I sit on decisions at work far too long because I can't commit.,true,true,false
emotional_regulation,Emotional Regulation & Coping,student,When schoolwork piles up I get so overwhelmed I can't function.,true,true,false
emotional_regulation,Emotional Regulation & Coping,parent,My child goes from calm to a complete meltdown over the smallest thing.,true,true,false
emotional_regulation,Emotional Regulation & Coping,teacher,This student gets visibly frustrated and gives up when a task gets hard.,true,true,false
emotional_regulation,Emotional Regulation & Coping,counselor,The person describes their emotions taking over before they can think.,true,true,false
emotional_regulation,Emotional Regulation & Coping,professional,When work gets stressful I lose my temper and regret it later.,true,true,false
expectations_pressure,Expectations & External Pressure,student,The pressure from my parents to perform never lets up.,true,true,false
expectations_pressure,Expectations & External Pressure,parent,My child is buckling under the expectations placed on them.,true,true,false
expectations_pressure,Expectations & External Pressure,teacher,This student seems weighed down by pressure to live up to others.,true,true,false
expectations_pressure,Expectations & External Pressure,counselor,The person measures their worth against everyone else and always loses.,true,true,false
expectations_pressure,Expectations & External Pressure,professional,I chase approval at work and never feel like it's enough.,true,true,false
focus_attention,Focus & Attention Regulation,student,I can't focus on homework for more than five minutes.,true,true,false
focus_attention,Focus & Attention Regulation,parent,My child gets distracted by everything and never finishes their work.,true,true,false
focus_attention,Focus & Attention Regulation,teacher,This student drifts off and loses focus during lessons.,true,true,false
focus_attention,Focus & Attention Regulation,counselor,The person finds it nearly impossible to concentrate for long.,true,true,false
focus_attention,Focus & Attention Regulation,professional,I lose focus at work and end up jumping between tasks.,true,true,false
identity_self_awareness,Identity & Self-Awareness,student,Everyone asks what I want to be and I have no idea who I am.,true,true,false
identity_self_awareness,Identity & Self-Awareness,parent,My child seems unsure of themselves and what they stand for.,true,true,false
identity_self_awareness,Identity & Self-Awareness,teacher,This student hasn't found a sense of who they are yet.,true,false,false
identity_self_awareness,Identity & Self-Awareness,counselor,The person feels disconnected from their own values and direction.,true,true,false
identity_self_awareness,Identity & Self-Awareness,professional,I've built a career but I'm not sure it reflects who I really am.,true,false,false
leadership_influence,Leadership & Influence,student,In group projects I want to lead but I just let others take over.,true,true,false
