concern_id,concern,domain,persona,severity,priority,bridge_tag,resolves_to,route
CONCERN_ENG_1354,retaining learned concepts,Cognitive Development,Academic Counsellor,Medium,P3,COGNITIVE_DEVELOPMENT,remapped:HOLISTIC_DEVELOPMENT,keyword
CONCERN_CLA_1364,note-taking and study methods,Learning Skills,Academic Counsellor,Medium,P3,LEARNING_SKILLS,remapped:LEARNING_ADAPTABILITY,keyword
CONCERN_STU_1367,confidence during viva and presentations,Communication Development,Academic Counsellor,Medium,P3,COMMUNICATION_DEVELOPMENT,remapped:COMMUNICATION_EXPRESSION,keyword
CONCERN_STU_1373,balancing academics and extracurriculars,Student Balance,Academic Counsellor,Medium,P3,STUDENT_BALANCE,remapped:STUDENT_SUCCESS,keyword
CONCERN_STU_1374,curiosity-driven learning,Innovation Readiness,Academic Counsellor,Medium,P3,INNOVATION_READINESS,remapped:CAREER_READINESS,keyword
CONCERN_WOR_1391,clarity about career progression ladders,Career Development,Career Counsellor,Medium,P3,CAREER_DEVELOPMENT,remapped:CAREER_READINESS,keyword
CONCERN_CAR_1394,networking and mentorship access,Career Ecosystem Support,Career Counsellor,Medium,P3,CAREER_ECOSYSTEM,remapped:CAREER_READINESS,keyword
CONCERN_CAR_1399,awareness about vocational careers,Vocational Guidance,Career Counsellor,Medium,P3,VOCATIONAL_GUIDANCE,remapped:CAREER_READINESS,keyword
CONCERN_CAR_1403,understanding of entrepreneurship pathways,Entrepreneurship Guidance,Career Counsellor,Medium,P3,ENTREPRENEURSHIP_GUIDANCE,remapped:CAREER_READINESS,keyword
CONCERN_PRO_1417,communication and interpersonal behaviour,Social Capability,Student Mentor,Medium,P3,SOCIAL_CAPABILITY,remapped:COMPETENCY_DEVELOPMENT,keyword
CONCERN_SOC_1418,initiative and proactive behaviour,Leadership Development,Student Mentor,Medium,P3,LEADERSHIP_DEVELOPMENT,remapped:LEADERSHIP_OWNERSHIP,keyword
CONCERN_CAP_1422,Fear of taking responsibility,Maturity Development,Student Mentor,Medium,P3,MATURITY_DEVELOPMENT,remapped:EMOTIONAL_REGULATION,keyword
CONCERN_CHA_1427,recover from social rejection,Emotional Resilience,Student Mentor,Medium,P3,EMOTIONAL_RESILIENCE,remapped:EMOTIONAL_REGULATION,keyword
CONCERN_EMO_1428,curiosity and self-driven learning,Intellectual Growth,Student Mentor,Medium,P3,INTELLECTUAL_GROWTH,remapped:HOLISTIC_DEVELOPMENT,keyword
CONCERN_BEH_1449,emotional control during feedback,Feedback Adaptation,Behavioral Mentor,Medium,P3,FEEDBACK_ADAPTATION,GENERAL_CONCERN (generic catch-all),general
CONCERN_FEE_1450,collaboration in group activities,Social Learning,Behavioral Mentor,Medium,P3,SOCIAL_LEARNING,remapped:LEARNING_ADAPTABILITY,keyword
CONCERN_GRO_1453,balancing academics and personal routines,Lifestyle Adaptation,Behavioral Mentor,Medium,P3,LIFESTYLE_ADAPTATION,remapped:LIFESTYLE_PRESSURE,keyword
CONCERN_LIF_1454,curiosity-driven engagement,Learning Mindset,Behavioral Mentor,Medium,P3,LEARNING_MINDSET,remapped:LEARNING_ADAPTABILITY,keyword
CONCERN_LEA_1455,Fear of public speaking and participation,Communication Behavior,Behavioral Mentor,Medium,P3,COMMUNICATION_BEHAVIOR,remapped:COMMUNICATION_EXPRESSION,keyword
CONCERN_COM_1456,Inconsistent behavior across environments,Behavioral Stability,Behavioral Mentor,Medium,P3,BEHAVIORAL_STABILITY,remapped:EMOTIONAL_REGULATION,keyword
CONCERN_TRA_1460,patience for long-term goals,Persistence Development,Behavioral Mentor,Medium,P3,PERSISTENCE_DEVELOPMENT,remapped:HOLISTIC_DEVELOPMENT,keyword
CONCERN_EMO_1463,self-reflection and introspection habits,Self-Awareness Development,Behavioral Mentor,Medium,P3,SELF_AWARENESS,remapped:SELF_PERCEPTION,keyword
CONCERN_SEL_1464,Resistance to behavioral feedback from teachers,Behavior Correction,Behavioral Mentor,Medium,P3,BEHAVIOR_CORRECTION,GENERAL_CONCERN (generic catch-all),general
CONCERN_DEC_1470,confidence in peer interactions,Social Leadership,Leadership Coach,Medium,P3,SOCIAL_LEADERSHIP,remapped:LEADERSHIP_OWNERSHIP,keyword
CONCERN_LEA_1473,influencing or motivating peers,Team Leadership,Leadership Coach,Medium,P3,TEAM_LEADERSHIP,remapped:LEADERSHIP_OWNERSHIP,keyword
CONCERN_PER_1476,conflict management among student leaders,Leadership Dynamics,Leadership Coach,Medium,P3,LEADERSHIP_DYNAMICS,remapped:LEADERSHIP_OWNERSHIP,keyword
CONCERN_INC_1484,Students struggling with networking confidence,Professional Leadership,Leadership Coach,Medium,P3,PROFESSIONAL_LEADERSHIP,remapped:LEADERSHIP_OWNERSHIP,keyword
CONCERN_STR_1486,authority and responsibility together,Leadership Maturity,Leadership Coach,Medium,P3,LEADERSHIP_MATURITY,remapped:LEADERSHIP_OWNERSHIP,keyword
CONCERN_LEA_1487,adaptability in multicultural or diverse teams,Inclusive Leadership,Leadership Coach,Medium,P3,INCLUSIVE_LEADERSHIP,remapped:LEADERSHIP_OWNERSHIP,keyword
CONCERN_INC_1488,listening skills affecting leadership growth,Communication Leadership,Leadership Coach,Medium,P3,COMMUNICATION_LEADERSHIP,remapped:LEADERSHIP_OWNERSHIP,keyword
CONCERN_LEA_1491,innovation and initiative mindset,Entrepreneurial Leadership,Leadership Coach,Medium,P3,ENTREPRENEURIAL_LEADERSHIP,remapped:LEADERSHIP_OWNERSHIP,keyword
CONCERN_EMO_1494,balancing humility and confidence,Personal Branding,Leadership Coach,Medium,P3,PERSONAL_BRANDING,GENERAL_CONCERN (generic catch-all),general
CONCERN_EMO_1502,understanding personality traits,Personality Exploration,Self Discovery,Medium,P3,PERSONALITY_EXPLORATION,remapped:SELF_PERCEPTION,keyword
CONCERN_IDE_1508,curiosity about self-growth,Growth Orientation,Self Discovery,Medium,P3,GROWTH_ORIENTATION,remapped:HOLISTIC_DEVELOPMENT,keyword
CONCERN_GRO_1509,understanding personal values,Values Exploration,Self Discovery,Medium,P3,VALUES_EXPLORATION,GENERAL_CONCERN (generic catch-all),general
CONCERN_SEL_1511,awareness about behavioral patterns,Behavioral Reflection,Self Discovery,Medium,P3,BEHAVIORAL_REFLECTION,remapped:THINKING_QUALITY,keyword
