bridge_tag,recurring_token_count,novel_vs_existing,candidate_tokens
CONFIDENCE_SELF,125,119,"confidence | difficulty | weak | managing | during | emotional | fear | after"
ACADEMIC_COGNITIVE,108,104,"difficulty | weak | learning | during | students | focus | attention | managing"
LIFESTYLE_PRESSURE,88,78,"difficulty | emotional | during | managing | child | weak | career | balancing"
MOTIVATION_VALUES,87,84,"difficulty | motivation | weak | during | academic | maintaining | learning | curiosity"
COMMUNICATION_EXPRESSION,80,77,"weak | confidence | communication | skills | difficulty | during | students | ability"
DISCIPLINE_HABITS,73,71,"difficulty | weak | discipline | students | academic | building | learning | consistency"
ACADEMIC_IDENTITY,69,66,"weak | identity | career | difficulty | academic | students | long-term | confidence"
EMOTIONAL_REGULATION,69,62,"difficulty | emotional | during | managing | stress | career | uncertainty | handling"
EXAMINATION_STRESS,67,61,"difficulty | emotional | managing | during | academic | weak | students | after"
THINKING_QUALITY,65,60,"weak | difficulty | thinking | decision-making | skills | during | students | confidence"
SOCIAL_EMOTIONAL,60,54,"weak | difficulty | emotional | during | students | peer | isolation | build"
LEADERSHIP_OWNERSHIP,57,56,"weak | leadership | build | ability | difficulty | confidence | strategic | teams"
CAREER_READINESS,53,51,"weak | career | difficulty | building | awareness | confidence | understanding | opportunities"
EMOTIONAL_RECOVERY,43,40,"difficulty | emotional | after | confidence | weak | recovery | workplace | during"
WORKPLACE_ADAPTATION,43,40,"difficulty | weak | workplace | organizational | confidence | managing | emotional | ability"
COMPETENCY_DEVELOPMENT,42,39,"weak | learning | difficulty | ability | skills | build | into | students"
EXAMINATION_READINESS,41,38,"weak | students | difficulty | revision | during | exam | exams | strategy"
HOLISTIC_DEVELOPMENT,41,40,"holistic | integration | between | weak | growth | leadership | emotional | wellbeing"
COLLABORATION_OWNERSHIP,40,38,"weak | difficulty | collaboration | team | confidence | managing | build | ability"
EMPLOYABILITY,39,36,"weak | confidence | difficulty | workplace | understanding | skills | during | professional"
STRATEGIC_LEADERSHIP,35,34,"strategic | difficulty | weak | organizational | confidence | build | enterprise | during"
CAREER_GROWTH,32,30,"career | weak | build | ability | difficulty | strategic | legacy | emotional"
ADJUSTMENT_COPING,31,30,"difficulty | child | academic | family | expectations | during | students | becoming"
STRATEGIC_PREPARATION,28,27,"weak | ability | strategic | difficulty | prioritize | long-term | tasks | responsibilities"
LEARNING_ADAPTABILITY,26,26,"learning | adaptability | weak | difficulty | poor | students | supporting | adaptation"
SELF_REFLECTION,25,24,"weak | ability | difficulty | students | academic | personal | learning | reflection"
LEADERSHIP_READINESS,15,15,"weak | leadership | confidence | ability | build | transitioning | presence | executive"
STEM_LEARNING,15,15,"weak | students | difficulty | supporting | curiosity | stem | practical | scientific"
CLASSROOM_ENGAGEMENT,14,14,"classroom | difficulty | students | participation | managing | following | instructions | weak"
INTERDISCIPLINARY_LEARNING,13,13,"weak | students | across | integration | skills | concepts | subjects | difficulty"
CAREER_TRANSITION,11,9,"weak | career | difficulty | new | breaks | explaining | professionally | position"
FOUNDATIONAL_LEARNING,11,11,"conceptual | weak | difficulty | understanding | students | clarity | building | depth"
ADAPTIVE_LEARNING,8,8,"adaptability | difficulty | student | learning | during | weak | visibility | into"
WORKPLACE_PERFORMANCE,8,6,"weak | workplace | difficulty | ability | quickly | performance | adapt | work"
EMPLOYABILITY_FUTURE,7,7,"readiness | future | across | difficulty | institutional | gaps | students"
COMPETITIVE_EXAM,6,6,"competitive | weak | students | difficulty | handling | confidence"
INQUIRY_CURIOSITY,6,6,"difficulty | institutional | curiosity | levels | innovation | monitoring"
ACADEMIC_PERFORMANCE,6,6,"consistency | subjects | difficulty | performance | academic | across"
LEADERSHIP_TRANSITION,5,4,"emotional | succession | difficulty | pressure | during"
SELF_EXPLORATION,5,5,"personal | inability | awareness | strengths | lack"
ORGANIZATIONAL_DEVELOPMENT,4,4,"institutional | competency | difficulty | aligning"
COMPETENCY_INTELLIGENCE,3,3,"competency | aligning | difficulty"
TALENT_IDENTIFICATION,3,3,"detecting | hidden | students"
STUDENT_ENGAGEMENT,3,3,"classroom | engagement | weak"
ACADEMIC_RISK,3,3,"academic | identifying | difficulty"
ORGANIZATIONAL_EFFECTIVENESS,3,3,"learning | effectiveness | weak"
FACULTY_EFFECTIVENESS,3,3,"instructional | faculty | difficulty"
LEARNING_QUALITY,3,3,"visibility | into | learning"
ALTERNATIVE_CAREER,3,3,"confidence | careers | low"
TRANSITION_CHANGE,3,3,"academic | changes | after"
CAREER_PLANNING,2,1,"career | difficulty"
FACULTY_SUSTAINABILITY,2,2,"difficulty | faculty"
ACADEMIC_OPERATIONS,2,2,"learning | across"
ACADEMIC_GROWTH,2,2,"difficulty | monitoring"
CAREER_DECISION,2,2,"choosing | based"
EMOTIONAL_DEVELOPMENT,2,2,"external | validation"
SELF_LEARNING,2,2,"independent | learning"
PERSONAL_DEVELOPMENT,2,2,"personal | lack"
EMOTIONAL_REFLECTION,2,2,"awareness | poor"
