question_id,concern_id,bridge_tag,relevance,grammar,sophistication,personalization,information_gain,root_cause_utility,composite,question_text
Q_CAREER_001_001,CAREER_001,CAREER_READINESS,41,100,100,85,100,75,84,"When people ask about your future plans, how clear do you personally feel inside?"
Q_CAREER_001_002,CAREER_001,CAREER_READINESS,41,100,100,85,100,75,84,"While choosing courses or internships, how often do you feel unsure about what actually suits you?"
Q_CAREER_001_003,CAREER_001,CAREER_READINESS,41,100,100,85,100,75,84,"Looking at friends who already seem focused about their future, how settled do you feel about your own path?"
Q_CAREER_001_004,CAREER_001,CAREER_READINESS,66,100,90,65,100,75,83,Some students keep changing career ideas every few weeks. How much does this happen with you?
Q_CAREER_001_005,CAREER_001,CAREER_READINESS,41,100,85,85,100,75,81,"If you imagine yourself five years from now, how easy is it to picture the kind of work you want to do?"
Q_CAREER_001_006,CAREER_001,CAREER_READINESS,60,100,90,35,100,75,77,How mentally exhausting does career-related thinking feel these days?
Q_CAREER_001_007,CAREER_001,CAREER_READINESS,41,100,90,65,100,75,79,How often do thoughts about your future affect your concentration on studies or daily tasks?
Q_CAREER_001_008,CAREER_001,CAREER_READINESS,66,100,90,65,100,75,83,Family expectations around career can sometimes feel heavy. How strongly do you feel that pressure?
Q_CAREER_001_009,CAREER_001,CAREER_READINESS,66,100,90,65,100,75,83,How much has career confusion reduced your motivation to actively prepare for the future?
Q_CAREER_001_010,CAREER_001,CAREER_READINESS,84,100,100,65,100,75,87,"Compared to last year, how much more confused do you feel about your career direction now?"
Q_CAREER_001_011,CAREER_001,CAREER_READINESS,66,100,100,85,100,100,92,"When a new opportunity comes up, how often do you delay applying because you are unsure about your future direction?"
Q_CAREER_001_012,CAREER_001,CAREER_READINESS,66,100,90,65,100,90,85,How often do you search online for career advice but still end up feeling more confused?
Q_CAREER_001_013,CAREER_001,CAREER_READINESS,66,100,100,85,100,90,90,"During placement talks or career discussions, how comfortable do you feel participating confidently?"
Q_CAREER_001_014,CAREER_001,CAREER_READINESS,41,100,90,85,100,90,84,How likely are you to change your plans after hearing what others are choosing?
Q_CAREER_001_015,CAREER_001,CAREER_READINESS,66,100,100,85,100,90,90,"Even after making a career-related decision, how often do you keep doubting it later?"
Q_CAREER_001_016,CAREER_001,CAREER_READINESS,66,100,100,85,100,90,90,"When career confusion increases, how effectively are you able to calm yourself and think clearly again?"
Q_CAREER_001_017,CAREER_001,CAREER_READINESS,41,100,100,85,100,90,86,"When you feel stuck about your future, how often do you actively seek guidance from trusted people?"
Q_CAREER_001_018,CAREER_001,CAREER_READINESS,66,100,90,65,100,90,85,Some people distract themselves instead of thinking about career decisions. How true is this for you?
Q_CAREER_001_019,CAREER_001,CAREER_READINESS,41,100,100,85,100,100,88,"After talking to someone about your future worries, how much lighter do you usually feel?"
