signal_id,signal_name,domain,signal_family,category,detection_type,source_types,severity_weight,confidence_weight,persistence_weight,volatility,adaptive_importance,intervention_priority,behavioral_meaning,hidden_pattern_contribution,amplification_rules,contradiction_links,related_signals,recovery_indicator,longitudinal_impact,risk_mapping,relational_bridge_tag
SIG_0001,career_confusion,cognitive,future_clarity,negative,direct + inferred,"questions, Pragati, reports",0.92,0.9,0.91,Medium,Very_High,High,Persistent uncertainty about career direction and future choices,career_paralysis_cluster,amplified by peer comparison and future anxiety,false_confidence,"future_uncertainty, identity_confusion",structured exploration behavior,trajectory instability,Career instability risk,CAREER_READINESS
SIG_0002,future_uncertainty,cognitive,future_clarity,negative,inferred,"questions, telemetry, runtime pacing",0.88,0.87,0.9,Medium,High,High,Difficulty visualizing long-term future pathways,uncertainty_amplification_cluster,amplified by hopelessness and confusion,unrealistic_certainty,"career_confusion, hopelessness",future planning engagement,future instability,Direction paralysis risk,GENERAL_CONCERN
SIG_0003,fear_of_failure,emotional,fear_signals,negative,direct + behavioral,"questions, hesitation telemetry, Pragati",0.95,0.93,0.94,Low,Very_High,Critical,Fear of disappointing self or others leading to hesitation,hidden_paralysis_cluster,amplified by judgment fear and perfectionism,overconfidence_projection,"avoidance_behavior, self_doubt_loop",gradual risk-taking behavior,chronic avoidance escalation,Avoidance and withdrawal risk,ADJUSTMENT_COPING
SIG_0004,placement_anxiety,emotional,competition_stress,negative,direct,"placement assessments, interviews, Pragati",0.94,0.91,0.89,High,Very_High,Critical,Emotional stress triggered by placement competition,employability_stress_cluster,amplified by peer comparison and rejection fear,calmness_claims,"interview_fear, stress_reactivity",exposure-based confidence,employability pressure escalation,Emotional overload risk,CAREER_READINESS
SIG_0005,peer_comparison,social,comparison_signals,negative,inferred,"questions, social behavior, reports",0.82,0.86,0.8,High,Medium,Medium,Habitual comparison with peers affecting confidence,self_worth_instability_cluster,amplified by social media exposure,independent_identity,"low_self_belief, approval_seeking",self-validation practices,self-esteem erosion,Self-worth instability risk,GENERAL_CONCERN
SIG_0006,confidence_instability,emotional,confidence_signals,negative,composite,"questions, interviews, telemetry",0.93,0.92,0.93,Medium,Very_High,Critical,Fluctuating self-belief under pressure situations,instability_cluster,amplified by repeated setbacks,stable_self_confidence,"self_doubt_loop, fear_of_failure",repeated successful execution,confidence collapse trajectory,Performance inconsistency risk,ADJUSTMENT_COPING
SIG_0007,decision_paralysis,cognitive,decision_signals,negative,composite,"questions, runtime inactivity, telemetry",0.91,0.88,0.92,Low,Very_High,High,Difficulty making or committing to decisions,paralysis_cluster,amplified by overthinking and uncertainty,decisive_behavior,"overthinking_pattern, avoidance_behavior",micro-decision completion,long-term stagnation,Opportunity loss risk,GENERAL_CONCERN
SIG_0008,avoidance_behavior,behavioral,avoidance_signals,negative,behavioral,"runtime telemetry, applications, assessments",0.96,0.94,0.95,Low,Critical,Critical,Repeated avoidance of opportunities or challenges,disengagement_cluster,amplified by fear and low confidence,proactive_engagement,"procrastination_pattern, placement_withdrawal",consistent participation,disengagement trajectory,Long-term disengagement risk,GENERAL_CONCERN
SIG_0009,procrastination_pattern,behavioral,execution_signals,negative,behavioral,"task completion telemetry, assessments",0.89,0.9,0.88,Medium,High,High,Delaying important tasks despite awareness,execution_breakdown_cluster,amplified by overwhelm and perfectionism,disciplined_execution,"low_followthrough, execution_breakdown",time-structured execution,chronic productivity decline,Execution breakdown risk,GENERAL_CONCERN
SIG_0010,emotional_overload,emotional,overload_signals,negative,composite,"emotional responses, Pragati, telemetry",0.97,0.95,0.96,Low,Critical,Critical,Excessive emotional burden reducing coping capacity,burnout_cluster,amplified by hopelessness and stress,emotional_stability,"burnout_tendency, stress_reactivity",emotional recovery cycles,burnout escalation,Burnout risk,ADJUSTMENT_COPING
SIG_0011,hopelessness,emotional,hope_signals,negative,inferred,"language patterns, questions, runtime tone",0.98,0.94,0.97,Very_Low,Critical,Critical,Reduced belief in positive future outcomes,shutdown_cluster,amplified by repeated failures,optimism_projection,"motivation_decline, disengagement_pattern",future-oriented action,emotional disengagement trajectory,Emotional shutdown risk,ADJUSTMENT_COPING
SIG_0012,low_self_belief,emotional,confidence_signals,negative,direct,"self-perception questions, interviews",0.9,0.89,0.91,Medium,High,High,Weak internal confidence about capabilities,self_worth_cluster,amplified by comparison and rejection,inflated_self_projection,"self_doubt_loop, interview_fear",successful mastery experiences,underperformance cycle,Underperformance risk,ADJUSTMENT_COPING
SIG_0013,motivation_decline,motivational,motivation_signals,negative,behavioral + inferred,"activity telemetry, engagement trends",0.87,0.88,0.92,Medium,High,High,Gradual reduction in energy and initiative,disengagement_cluster,amplified by burnout and hopelessness,forced_enthusiasm,"burnout_tendency, disengagement_pattern",energy restoration behavior,disengagement trajectory,Disengagement risk,GENERAL_CONCERN
SIG_0014,burnout_tendency,motivational,burnout_signals,negative,composite,"workload analysis, emotional telemetry",0.95,0.9,0.96,Low,Critical,Critical,Sustained emotional exhaustion due to pressure,collapse_cluster,amplified by overload and perfectionism,high_energy_masking,"emotional_overload, low_resilience",balanced recovery habits,collapse risk trajectory,Collapse and withdrawal risk,ADJUSTMENT_COPING
SIG_0015,overthinking_pattern,cognitive,overanalysis_signals,negative,inferred,"response latency, reflective patterns",0.88,0.91,0.89,Medium,High,Medium,Excessive analysis leading to delayed action,paralysis_cluster,amplified by uncertainty and fear,action_orientation,"decision_paralysis, self_doubt_loop",rapid execution behavior,delayed growth progression,Paralysis risk,GENERAL_CONCERN
