concern_id,concern_name,concern_category,classification,confidence,label_polarity,verdict,reason
CONCERN_CLA_1677,Organizational Skills,Organization Skills,Capability,0.92,positive,Correct,capability + positive label
CONCERN_EMO_1537,awareness about hidden potential,Untapped Potential,Capability,0.55,positive,Correct,capability + positive label
CONCERN_CON_1873,Child Developing Victim Mindset,Victim Mentality,Capability,0.55,positive,Correct,capability + positive label
CONCERN_COM_1710,Conceptual Clarity in Core Subjects,Conceptual Clarity,Capability,0.92,positive,Correct,capability + positive label
CONCERN_CON_1295,Coordinating Multi-Layer Student Interventions,Fragmented Intervention Management,Capability,0.92,neutral,Questionable,capability but label neutral
CONCERN_ACA_1650,Problem-Solving Skills,Analytical Ability,Capability,0.55,positive,Correct,capability + positive label
CONCERN_ACA_1649,Understanding Concepts,Conceptual Clarity,Capability,0.92,positive,Correct,capability + positive label
CONCERN_THI_1672,Adapting to New Learning Methods,Adaptability,Capability,0.92,positive,Correct,capability + positive label
CONCERN_SEL_1597,recognizing conceptual understanding gaps,False Mastery Illusion,Capability,0.7,neutral,Questionable,capability but label neutral
CONCERN_CLA_1706,Academic Planning Skills,Academic Planning,Capability,0.92,positive,Correct,capability + positive label
CONCERN_CON_629,Strategic Thinking Under Pressure,Pressure-Induced Tactical Thinking,Capability,0.92,negative,Incorrect,capability but label reads negative (likely Problem)
CONCERN_FOU_2083,Academic Curiosity Beyond Textbooks,Curiosity Limitation,Capability,0.7,positive,Correct,capability + positive label
CONCERN_SEL_1481,communication during presentations and interviews,Communication Ineffectiveness,Capability,0.7,neutral,Questionable,capability but label neutral
CONCERN_DIS_2121,Students with Attention Instability,Attention Instability Management,Capability,0.92,negative,Incorrect,capability but label reads negative (likely Problem)
CONCERN_COM_1684,Multiple Subjects,Subject Management,Capability,0.92,neutral,Questionable,capability but label neutral
CONCERN_LEA_1671,Decision-Making Skills,Decision Making,Capability,0.55,positive,Correct,capability + positive label
CONCERN_EXA_2077,Curiosity in Rigid Academic Systems,Curiosity Suppression Under Structure,Capability,0.7,positive,Correct,capability + positive label
CONCERN_ACA_1728,Scientific Observation Skills,Observation Skills,Capability,0.92,positive,Correct,capability + positive label
CONCERN_COM_1690,Solving Higher-Order Questions,Higher-Order Thinking,Capability,0.92,neutral,Questionable,capability but label neutral
CONCERN_IDE_1578,evaluating personal career readiness,Readiness Uncertainty,Capability,0.7,positive,Correct,capability + positive label
CONCERN_MOT_2128,Handling Students with Weak Retention Ability,Retention Weakness Management,Capability,0.92,negative,Incorrect,capability but label reads negative (likely Problem)
