question_id,concern_id,bridge_tag,concern_persona,industry_terms,term_count,question_text
Q_PRACTICAL_001_001,PRACTICAL_001,COMPETENCY_DEVELOPMENT,Skill Development Learner,classroom,1,"When you try to apply classroom knowledge in real situations, how confident do you usually feel?"
Q_PRACTICAL_001_017,PRACTICAL_001,COMPETENCY_DEVELOPMENT,Skill Development Learner,classroom,1,How often do you actively practice skills outside regular classroom learning?
Q_INTERVIEW_001_011,INTERVIEW_001,EMPLOYABILITY,Campus Student,coding,1,How often do you delay mock interviews or coding practice because you feel underprepared?
Q_INTERVIEW_001_015,INTERVIEW_001,EMPLOYABILITY,Campus Student,coding,1,"After seeing others perform well in coding rounds, how discouraged do you usually feel?"
Q_TIME_001_006,TIME_001,DISCIPLINE_HABITS,Student,coding,1,"How stressful do extreme time limits feel during exams, coding rounds, or interviews?"
Q_CONCEPT_001_009,CONCEPT_001,ACADEMIC_COGNITIVE,Student,classroom,1,How strongly do classroom or peer discussions make you feel conceptually behind?
Q_WORK_001_002_v2,WORK_001,WORKPLACE_ADAPTATION,Professional Employee,classroom,1,How often do you feel that classroom learning is not directly useful for real job tasks?
Q_WORK_001_011_v2,WORK_001,WORKPLACE_ADAPTATION,Professional Employee,classroom,1,How often do you try to apply classroom concepts in real mini-projects or internships?
Q_TECH_001_002,TECH_001,COMPETENCY_DEVELOPMENT,Skill Development Learner,coding,1,How often do you feel unsure of your answers during coding or technical tests?
Q_TECH_001_013,TECH_001,COMPETENCY_DEVELOPMENT,Skill Development Learner,coding,1,"During coding problems, how often do you feel overwhelmed by complexity?"
Q_GROWTH_001_006,GROWTH_001,CAREER_GROWTH,Career Transition Professional,coding,1,"How stressed do you feel when trying to balance multiple skills (coding, projects, communication, etc.)?"
Q_CULT_001_002,CULT_001,WORKPLACE_ADAPTATION,Professional Employee,coding,1,"How often do students around you actively discuss skills like coding, communication, or projects?"
Q_CULT_001_003,CULT_001,WORKPLACE_ADAPTATION,Professional Employee,classroom,1,How common is it for students to work on real projects outside of classroom requirements?
Q_CULT_001_018,CULT_001,WORKPLACE_ADAPTATION,Professional Employee,coding,1,"How much do students compete in skills (coding, design, speaking) rather than just marks?"
