concern_id,concern_name,canonical_type,archetype_key,assignment_score,token_matches,assignment_method,grounding_source,governed
CONCERN_ACA_1019,Emotional Burnout During Multi-Year Transitions,Outcome,emotional_regulation,0.7,2,signature+behavior,propagated,false
CONCERN_ACA_1049,Emotional Reactions to Professional Identity Reset,Problem,emotional_regulation,0.28,1,signature,name_only,false
CONCERN_ACA_1050,Build Cross-Domain Problem-Solving Confidence,Capability,performance_anxiety,0.58,1,signature+behavior,direct_cpb,false
CONCERN_ACA_1062,Handling Workplace Criticism Constructively,Capability,career_professional_growth,0.28,1,signature,name_only,false
CONCERN_ACA_107,Mock Test Anxiety,Problem,performance_anxiety,0.28,1,signature,name_only,false
CONCERN_ACA_1086,Build Strategic Visibility Within Organizations,Capability,leadership_influence,0.28,1,signature,direct_cpb,false
CONCERN_ACA_109,Balancing Multiple Subjects Simultaneously,Capability,academic_achievement,0.58,1,signature+behavior,direct_cpb,false
CONCERN_ACA_1108,Managing Difficult Professional Conversations,Capability,career_professional_growth,0.58,1,signature+behavior,direct_cpb,false
CONCERN_ACA_112,Solving Advanced Problems,Capability,performance_anxiety,0.28,1,signature,direct_cpb,false
CONCERN_ACA_1136,Build Long-Term Emotional Resilience,Trait,resilience_recovery,0.58,1,signature+behavior,propagated,false
CONCERN_ACA_1162,Visibility into Student Competency Distribution Across Grades,Capability,academic_achievement,0.28,1,signature,direct_cpb,false
CONCERN_ACA_1168,Detect Emotional Burnout Across Students,Outcome,emotional_regulation,0.7,2,signature+behavior,propagated,false
CONCERN_ACA_1174,Visibility into Classroom Engagement Patterns,Capability,academic_achievement,0.58,1,signature+behavior,direct_cpb,false
CONCERN_ACA_1178,Measure Institutional Learning Effectiveness,Capability,learning_comprehension,0.58,1,signature+behavior,direct_cpb,false
CONCERN_ACA_1188,Measure Collaborative Competencies Institutionally,Capability,collaboration_teamwork,0.28,1,signature,direct_cpb,false
CONCERN_ACA_1194,Visibility into Future Career Readiness Across Students,Outcome,career_professional_growth,0.28,1,signature,name_only,false
CONCERN_ACA_1198,Visibility into Teacher Competency Growth Needs,Capability,career_professional_growth,0.28,1,signature,direct_cpb,false
CONCERN_ACA_1211,Holistic School Effectiveness Beyond Academic Results,Capability,academic_achievement,0.7,2,signature+behavior,direct_cpb,false
CONCERN_ACA_1217,Detecting Faculty Motivation Decline Early,Outcome,motivation_drive,0.28,1,signature,name_only,false
CONCERN_ACA_1224,Measure Institutional Adaptability Readiness,Outcome,adaptability_change,0.28,1,signature,name_only,false
CONCERN_ACA_1232,Build Institutional Reflective Teaching Practices,Capability,critical_reflective_thinking,0.28,1,signature,direct_cpb,false
CONCERN_ACA_1249,Faculty Emotional Wellbeing Institutionally,Problem,emotional_regulation,0.28,1,signature,name_only,false
CONCERN_ACA_1262,Visibility into Real Classroom Learning Effectiveness,Capability,academic_achievement,0.58,1,signature+behavior,direct_cpb,false
CONCERN_ACA_1264,Measure Classroom Engagement Quality,Capability,academic_achievement,0.58,1,signature+behavior,direct_cpb,false
CONCERN_ACA_1267,Faculty Delivery Consistency,Problem,time_self_discipline,0.28,1,signature,name_only,false
CONCERN_ACA_1269,Active Learning Environments,Problem,learning_comprehension,0.58,1,signature+behavior,propagated,false
CONCERN_ACA_1271,Aligning Assessment Practices with Actual Learning,Problem,learning_comprehension,0.28,1,signature,name_only,false
