cluster_key,cluster_label,archetype_key,intent_type,member_count,avg_composite,sample_phrase
academic_achievement::informational,Academic Achievement & Exam Performance — Informational,academic_achievement,informational,5,5,what is low grades and exam results?
academic_achievement::diagnostic,Academic Achievement & Exam Performance — Diagnostic,academic_achievement,diagnostic,5,4.75,why do I study hard but my grades stay low?
academic_achievement::emotional,Academic Achievement & Exam Performance — Emotional,academic_achievement,emotional,5,4.55,my student seems discouraged about low grades in class
academic_achievement::help_seeking,Academic Achievement & Exam Performance — Help-Seeking,academic_achievement,help_seeking,5,4.75,how do I bring up low grades and results?
academic_achievement::future_planning,Academic Achievement & Exam Performance — Future-Planning,academic_achievement,future_planning,5,4.5,how to keep grades on track going forward
adaptability_change::informational,Adaptability & Change Navigation — Informational,adaptability_change,informational,5,4.5,what is trouble coping with change?
adaptability_change::diagnostic,Adaptability & Change Navigation — Diagnostic,adaptability_change,diagnostic,5,4.85,why do I get thrown when plans suddenly change?
adaptability_change::emotional,Adaptability & Change Navigation — Emotional,adaptability_change,emotional,5,4.75,I feel anxious when plans suddenly change
adaptability_change::help_seeking,Adaptability & Change Navigation — Help-Seeking,adaptability_change,help_seeking,5,4.5,how do I stay steady when things change?
adaptability_change::future_planning,Adaptability & Change Navigation — Future-Planning,adaptability_change,future_planning,5,4.75,how to adapt to change with ease going forward
career_professional_growth::informational,Career Growth & Professional Identity — Informational,career_professional_growth,informational,5,4.5,what is career confusion?
career_professional_growth::diagnostic,Career Growth & Professional Identity — Diagnostic,career_professional_growth,diagnostic,5,4.4,why does my child feel lost about which career to choose?
career_professional_growth::emotional,Career Growth & Professional Identity — Emotional,career_professional_growth,emotional,5,4.5,I feel lost about which career to choose
career_professional_growth::help_seeking,Career Growth & Professional Identity — Help-Seeking,career_professional_growth,help_seeking,5,4.5,how do I find the right career direction?
career_professional_growth::future_planning,Career Growth & Professional Identity — Future-Planning,career_professional_growth,future_planning,5,4.5,how to choose and grow a career going forward
collaboration_teamwork::informational,Collaboration & Teamwork — Informational,collaboration_teamwork,informational,5,4.5,what is trouble working in a team?
collaboration_teamwork::diagnostic,Collaboration & Teamwork — Diagnostic,collaboration_teamwork,diagnostic,5,4.5,why do I find it hard to work with others?
collaboration_teamwork::emotional,Collaboration & Teamwork — Emotional,collaboration_teamwork,emotional,5,4.4,I feel frustrated and out of sync in a group
collaboration_teamwork::help_seeking,Collaboration & Teamwork — Help-Seeking,collaboration_teamwork,help_seeking,5,4.75,how do I collaborate well in a team?
collaboration_teamwork::future_planning,Collaboration & Teamwork — Future-Planning,collaboration_teamwork,future_planning,5,4.75,how to work well with teammates and colleagues going forward
communication_expression::informational,Communication & Expression — Informational,communication_expression,informational,5,4.75,what is trouble expressing thoughts clearly?
communication_expression::diagnostic,Communication & Expression — Diagnostic,communication_expression,diagnostic,5,4.65,why does my child struggle to put thoughts into words?
communication_expression::emotional,Communication & Expression — Emotional,communication_expression,emotional,5,4.5,I feel frustrated and misunderstood when explaining things
communication_expression::help_seeking,Communication & Expression — Help-Seeking,communication_expression,help_seeking,5,5,how do I express thoughts clearly and be understood?
communication_expression::future_planning,Communication & Expression — Future-Planning,communication_expression,future_planning,5,4.75,how to communicate clearly and confidently going forward
confidence_self_efficacy::informational,Confidence & Self-Efficacy — Informational,confidence_self_efficacy,informational,5,4.75,what is low confidence and self-doubt?
confidence_self_efficacy::diagnostic,Confidence & Self-Efficacy — Diagnostic,confidence_self_efficacy,diagnostic,5,4.6,why do I doubt myself and second-guess everything?
confidence_self_efficacy::emotional,Confidence & Self-Efficacy — Emotional,confidence_self_efficacy,emotional,5,4.45,I feel full of self-doubt and never good enough
confidence_self_efficacy::help_seeking,Confidence & Self-Efficacy — Help-Seeking,confidence_self_efficacy,help_seeking,5,4.5,how do I build real confidence and self-belief?
confidence_self_efficacy::future_planning,Confidence & Self-Efficacy — Future-Planning,confidence_self_efficacy,future_planning,5,4.5,how to build lasting confidence going forward
critical_reflective_thinking::informational,Critical & Reflective Thinking — Informational,critical_reflective_thinking,informational,5,4.5,what is trouble thinking things through?
critical_reflective_thinking::diagnostic,Critical & Reflective Thinking — Diagnostic,critical_reflective_thinking,diagnostic,5,4.75,why do I jump to conclusions without thinking?
critical_reflective_thinking::emotional,Critical & Reflective Thinking — Emotional,critical_reflective_thinking,emotional,5,4.5,I feel stuck repeating the same mistakes
critical_reflective_thinking::help_seeking,Critical & Reflective Thinking — Help-Seeking,critical_reflective_thinking,help_seeking,5,4.75,how do I think clearly and question assumptions?
critical_reflective_thinking::future_planning,Critical & Reflective Thinking — Future-Planning,critical_reflective_thinking,future_planning,5,4.5,how to think things through before deciding going forward
curiosity_innovation::informational,Curiosity & Innovation — Informational,curiosity_innovation,informational,5,4.75,what is low curiosity and creativity?
curiosity_innovation::diagnostic,Curiosity & Innovation — Diagnostic,curiosity_innovation,diagnostic,5,4.75,why do I feel short on new ideas and curiosity?
curiosity_innovation::emotional,Curiosity & Innovation — Emotional,curiosity_innovation,emotional,5,4.7,I feel creatively stuck and out of fresh ideas
curiosity_innovation::help_seeking,Curiosity & Innovation — Help-Seeking,curiosity_innovation,help_seeking,5,4.75,how do I spark curiosity and creativity?
curiosity_innovation::future_planning,Curiosity & Innovation — Future-Planning,curiosity_innovation,future_planning,5,4.75,how to keep exploring and creating new ideas going forward
decision_judgment::informational,Decision-Making & Judgment — Informational,decision_judgment,informational,5,4.5,what is trouble making decisions?
decision_judgment::diagnostic,Decision-Making & Judgment — Diagnostic,decision_judgment,diagnostic,5,4.6,why do I keep changing my mind and regret choices?
