family_id,domain_id,Domain,family_name,family_purpose,key_behavioral_scope,relational_bridge_tag
FAM_EMO_001,DOM_001,Emotional Intelligence,fear_signals,Measure fear-driven emotional reactions and insecurity patterns,"fear_of_failure, rejection_fear, uncertainty_fear",ADJUSTMENT_COPING
FAM_EMO_002,DOM_001,Emotional Intelligence,anxiety_signals,Detect persistent anxiety and emotional tension patterns,"anxiety, nervousness, anticipatory stress",ADJUSTMENT_COPING
FAM_EMO_003,DOM_001,Emotional Intelligence,overload_signals,Identify emotional overwhelm and cognitive-emotional flooding,"overwhelm, emotional saturation, stress overload",ADJUSTMENT_COPING
FAM_EMO_004,DOM_001,Emotional Intelligence,confidence_signals,Assess emotional confidence and self-assurance stability,"self-confidence, emotional security",ADJUSTMENT_COPING
FAM_EMO_005,DOM_001,Emotional Intelligence,shame_signals,Detect shame sensitivity and emotional suppression tendencies,"embarrassment, guilt, humiliation sensitivity",ADJUSTMENT_COPING
FAM_EMO_006,DOM_001,Emotional Intelligence,hopelessness_signals,Measure emotional hopelessness and future pessimism,"helplessness, despair, emotional shutdown",ADJUSTMENT_COPING
FAM_EMO_007,DOM_001,Emotional Intelligence,emotional_regulation_signals,Evaluate emotional self-regulation and recovery capability,"calming ability, emotional control",ADJUSTMENT_COPING
FAM_EMO_008,DOM_001,Emotional Intelligence,emotional_reactivity_signals,Measure intensity of emotional reactions under stress,"impulsive reactions, emotional volatility",ADJUSTMENT_COPING
FAM_EMO_009,DOM_001,Emotional Intelligence,emotional_suppression_signals,Detect hidden emotional masking and suppression behavior,"emotional hiding, emotional bottling",ADJUSTMENT_COPING
FAM_EMO_010,DOM_001,Emotional Intelligence,emotional_resilience_signals,Assess emotional recovery after setbacks and failures,"bounce-back ability, emotional endurance",ADJUSTMENT_COPING
FAM_EMO_011,DOM_001,Emotional Intelligence,vulnerability_signals,Measure emotional openness and vulnerability tolerance,"emotional sharing, openness to support",ADJUSTMENT_COPING
FAM_EMO_012,DOM_001,Emotional Intelligence,self_soothing_signals,Assess ability to emotionally stabilize oneself independently,"self-comforting, emotional grounding",ADJUSTMENT_COPING
FAM_EMO_013,DOM_001,Emotional Intelligence,frustration_signals,Detect frustration tolerance and irritation patterns,"impatience, emotional irritation",ADJUSTMENT_COPING
FAM_EMO_014,DOM_001,Emotional Intelligence,emotional_fatigue_signals,Measure emotional exhaustion and depletion trends,"emotional tiredness, mental fatigue",ADJUSTMENT_COPING
FAM_EMO_015,DOM_001,Emotional Intelligence,panic_response_signals,Detect panic-oriented reactions during uncertainty or pressure,"panic, emotional flooding, loss of control",ADJUSTMENT_COPING
FAM_EMO_016,DOM_001,Emotional Intelligence,emotional_stability_signals,Measure consistency and steadiness of emotional state,"emotional steadiness, stability",ADJUSTMENT_COPING
FAM_EMO_017,DOM_001,Emotional Intelligence,emotional_dependency_signals,Assess emotional reliance on external reassurance or support,"reassurance dependence, emotional reliance",ADJUSTMENT_COPING
FAM_EMO_018,DOM_001,Emotional Intelligence,guilt_sensitivity_signals,Detect excessive guilt and self-blame tendencies,"self-blame, guilt burden",ADJUSTMENT_COPING
FAM_EMO_019,DOM_001,Emotional Intelligence,emotional_awareness_signals,Measure awareness and recognition of internal emotional states,"emotional insight, self-awareness",ADJUSTMENT_COPING
FAM_EMO_020,DOM_001,Emotional Intelligence,emotional_recovery_signals,Assess speed and quality of emotional recovery after stress,"recovery pace, emotional reset ability",ADJUSTMENT_COPING
COG_FAM_001,DOM_002,Cognitive Intelligence,clarity_signals,Measure clarity of thinking and mental organization,"clarity, structured thinking, comprehension",GENERAL_CONCERN
COG_FAM_002,DOM_002,Cognitive Intelligence,confusion_signals,Detect confusion and cognitive instability,"confusion, ambiguity, mental disorientation",GENERAL_CONCERN
COG_FAM_003,DOM_002,Cognitive Intelligence,decision_signals,Assess decision quality and decisiveness,"indecision, commitment instability",GENERAL_CONCERN
COG_FAM_004,DOM_002,Cognitive Intelligence,overthinking_signals,Measure excessive cognitive looping,"rumination, over-analysis, repetitive thinking",GENERAL_CONCERN
COG_FAM_005,DOM_002,Cognitive Intelligence,reasoning_signals,Evaluate logical reasoning quality,"analytical thinking, reasoning consistency",GENERAL_CONCERN
COG_FAM_006,DOM_002,Cognitive Intelligence,future_orientation_signals,Assess future thinking and long-term mental projection,"future planning, anticipation, vision clarity",GENERAL_CONCERN
COG_FAM_007,DOM_002,Cognitive Intelligence,judgment_signals,Measure judgment stability under uncertainty,"judgment quality, cognitive balance",GENERAL_CONCERN
COG_FAM_008,DOM_002,Cognitive Intelligence,complexity_handling_signals,Evaluate ability to handle complexity,"ambiguity tolerance, multi-variable thinking",GENERAL_CONCERN
COG_FAM_009,DOM_002,Cognitive Intelligence,prioritization_signals,Measure prioritization effectiveness,"task prioritization, importance ranking",GENERAL_CONCERN
COG_FAM_010,DOM_002,Cognitive Intelligence,mental_flexibility_signals,Assess adaptability in thinking patterns,"cognitive flexibility, perspective shifting",GENERAL_CONCERN
COG_FAM_011,DOM_002,Cognitive Intelligence,problem_solving_signals,Measure problem-solving capability,"solution generation, issue resolution",GENERAL_CONCERN
COG_FAM_012,DOM_002,Cognitive Intelligence,strategic_thinking_signals,Assess strategic planning and thinking depth,"long-term strategy, planning intelligence",GENERAL_CONCERN
COG_FAM_013,DOM_002,Cognitive Intelligence,cognitive_stability_signals,Detect consistency of thought processes,"stability, mental coherence",GENERAL_CONCERN
COG_FAM_014,DOM_002,Cognitive Intelligence,abstraction_signals,Measure abstract and conceptual thinking ability,"conceptualization, abstract reasoning",GENERAL_CONCERN
COG_FAM_015,DOM_002,Cognitive Intelligence,cognitive_speed_signals,Assess mental processing speed,"response speed, mental agility",GENERAL_CONCERN
COG_FAM_016,DOM_002,Cognitive Intelligence,attention_control_signals,Measure focus and attention management,"concentration, distraction control",GENERAL_CONCERN
COG_FAM_017,DOM_002,Cognitive Intelligence,learning_processing_signals,Evaluate information processing effectiveness,"comprehension, retention, processing stability",GENERAL_CONCERN
COG_FAM_018,DOM_002,Cognitive Intelligence,uncertainty_navigation_signals,Assess handling of uncertainty and ambiguity,"uncertainty tolerance, adaptive cognition",GENERAL_CONCERN
COG_FAM_019,DOM_002,Cognitive Intelligence,self_reflection_signals,Measure reflective thinking and introspection,"self-analysis, reflective cognition",GENERAL_CONCERN
COG_FAM_020,DOM_002,Cognitive Intelligence,cognitive_resilience_signals,Assess recovery and stability after cognitive overload,"recovery thinking, mental endurance",GENERAL_CONCERN
FAM_BEH_001,DOM_003,Behavioral Intelligence,avoidance_signals,Detect behavioral avoidance patterns under stress or uncertainty,"opportunity avoidance, challenge escape, participation decline",ADJUSTMENT_COPING
FAM_BEH_002,DOM_003,Behavioral Intelligence,execution_signals,Measure consistency in converting intent into action,"task execution, action reliability, implementation consistency",GENERAL_CONCERN
FAM_BEH_003,DOM_003,Behavioral Intelligence,withdrawal_signals,Detect emotional and social withdrawal behavior,"disengagement, isolation, silent retreat",ADJUSTMENT_COPING
FAM_BEH_004,DOM_003,Behavioral Intelligence,participation_signals,Assess willingness to actively engage in activities and discussions,"participation, involvement, contribution behavior",GENERAL_CONCERN
FAM_BEH_005,DOM_003,Behavioral Intelligence,procrastination_signals,Measure delay-oriented behavioral patterns,"postponement, avoidance delay, execution lag",GENERAL_CONCERN
FAM_BEH_006,DOM_003,Behavioral Intelligence,consistency_signals,Evaluate stability of routines and behavioral repetition,"habit consistency, behavioral predictability",DISCIPLINE_HABITS
FAM_BEH_007,DOM_003,Behavioral Intelligence,accountability_signals,Assess ownership and responsibility-taking behavior,"responsibility acceptance, ownership mindset",GENERAL_CONCERN
FAM_BEH_008,DOM_003,Behavioral Intelligence,initiative_behavior_signals,Measure proactive action-taking tendencies,"self-starting behavior, initiative, activation",GENERAL_CONCERN
FAM_BEH_009,DOM_003,Behavioral Intelligence,persistence_behavior_signals,Detect sustained effort despite obstacles,"perseverance, effort continuity",GENERAL_CONCERN
FAM_BEH_010,DOM_003,Behavioral Intelligence,engagement_signals,Measure emotional and behavioral engagement levels,"attentiveness, active involvement",ADJUSTMENT_COPING
FAM_BEH_011,DOM_003,Behavioral Intelligence,discipline_signals,Assess self-discipline and behavioral control,"routine adherence, behavioral discipline",DISCIPLINE_HABITS
FAM_BEH_012,DOM_003,Behavioral Intelligence,followthrough_signals,Measure ability to complete initiated actions,"completion consistency, commitment execution",GENERAL_CONCERN
FAM_BEH_013,DOM_003,Behavioral Intelligence,responsiveness_signals,"Detect responsiveness to expectations, tasks, and feedback","reaction speed, adaptive response behavior",GENERAL_CONCERN
FAM_BEH_014,DOM_003,Behavioral Intelligence,risk_avoidance_signals,Measure avoidance of uncertain or high-pressure situations,"fear-driven avoidance, hesitation behavior",ADJUSTMENT_COPING
FAM_BEH_015,DOM_003,Behavioral Intelligence,adaptability_behavior_signals,Assess behavioral flexibility during changing situations,"situational adjustment, behavioral adaptation",ADJUSTMENT_COPING
FAM_BEH_016,DOM_003,Behavioral Intelligence,dependency_behavior_signals,Detect over-reliance on others for action or decisions,"external dependency, approval reliance",GENERAL_CONCERN
FAM_BEH_017,DOM_003,Behavioral Intelligence,impulsive_behavior_signals,Measure impulsive or poorly controlled actions,"impulsivity, reactive behavior",GENERAL_CONCERN
FAM_BEH_018,DOM_003,Behavioral Intelligence,routine_stability_signals,Assess stability of productive behavioral routines,"structured habits, daily consistency",GENERAL_CONCERN
FAM_BEH_019,DOM_003,Behavioral Intelligence,behavioral_recovery_signals,Measure recovery speed after behavioral setbacks,"comeback behavior, resilience in action",GENERAL_CONCERN
FAM_BEH_020,DOM_003,Behavioral Intelligence,behavioral_resistance_signals,"Detect resistance toward change, guidance, or expectations","stubbornness, passive resistance, non-compliance",GENERAL_CONCERN
FAM_MOT_001,DOM_004,Motivational Intelligence,burnout_signals,Detect emotional and motivational exhaustion,"burnout, exhaustion, emotional fatigue",ADJUSTMENT_COPING
FAM_MOT_002,DOM_004,Motivational Intelligence,persistence_signals,Measure consistency of effort despite setbacks,"perseverance, sustained effort",GENERAL_CONCERN
