concern_id,concern,bridge_tag,signal_cluster,domain,persona,has_signal_cluster_text,issue
CONCERN_EXA_111,Focus During Long Study Hours,ACADEMIC_COGNITIVE,Attention Drift,Academic & Cognitive Effectiveness,Competitive Aspirant,yes,concern bridge_tag not present in signal ontology
CONCERN_EXA_1821,Purpose,ACADEMIC_IDENTITY,Direction Ambiguity,Academic Identity & Meaning,Parent,yes,concern bridge_tag not present in signal ontology
CONCERN_DOM_1,Adapting to College Academic Structure,COLLEGE_ADAPTATION,Transition Stress Signals,College Adaptation,Campus Student,yes,concern bridge_tag not present in signal ontology
CONCERN_COL_2,Self-Directed Learning Skills,EMPLOYABILITY_ACADEMIC,Passive Learning Dependence,Employability & Academic Readiness,Campus Student,yes,concern bridge_tag not present in signal ontology
CONCERN_CAR_6,Employability Confidence,EMPLOYABILITY,Self-Doubt Signals,Employability,Campus Student,yes,concern bridge_tag not present in signal ontology
CONCERN_EMP_7,Communicating in Professional Settings,COMMUNICATION_EXPRESSION,Verbal Hesitation,Communication & Expression,Campus Student,yes,concern bridge_tag not present in signal ontology
CONCERN_ADJ_12,Academic Accountability in College,MOTIVATION_VALUES,Passive Academic Engagement,"Motivation, Values & Responsibility",Campus Student,yes,concern bridge_tag not present in signal ontology
CONCERN_MOT_13,Building Industry-Relevant Skills,EMPLOYABILITY,Employability Weakness,Employability,Campus Student,yes,concern bridge_tag not present in signal ontology
CONCERN_CAR_15,Academic Backlogs,ACADEMIC_COGNITIVE,Repeated Academic Delays,Academic & Cognitive Effectiveness,Campus Student,yes,concern bridge_tag not present in signal ontology
CONCERN_ACA_16,Interview Preparation Discipline,EMPLOYABILITY,Poor Interview Readiness,Employability,Campus Student,yes,concern bridge_tag not present in signal ontology
CONCERN_EMP_17,Placement Pressure,EXAMINATION_STRESS,Panic & Fear Signals,Examination Stress & Emotional Regulation,Campus Student,yes,concern bridge_tag not present in signal ontology
CONCERN_EXA_18,Group Discussions,COMMUNICATION_EXPRESSION,Participation Hesitation,Communication & Expression,Campus Student,yes,concern bridge_tag not present in signal ontology
CONCERN_COM_19,Transitioning from Theory to Practical Work,EMPLOYABILITY,Practical Application Failure,Employability,Campus Student,yes,concern bridge_tag not present in signal ontology
CONCERN_EMP_20,Problem-Solving Confidence in Real-World Tasks,EMPLOYABILITY,Real-World Decision Hesitation,Employability,Campus Student,yes,concern bridge_tag not present in signal ontology
CONCERN_DIS_22,Professional Email & Communication Etiquette,COMMUNICATION_EXPRESSION,Unprofessional Interaction Signals,Communication & Expression,Campus Student,yes,concern bridge_tag not present in signal ontology
CONCERN_COM_23,Semester Pressure,EXAMINATION_STRESS,Anxiety & Burnout Signals,Examination Stress & Emotional Regulation,Campus Student,yes,concern bridge_tag not present in signal ontology
CONCERN_EXA_24,Presentation Skills During Seminars,COMMUNICATION_EXPRESSION,Verbal Hesitation,Communication & Expression,Campus Student,yes,concern bridge_tag not present in signal ontology
CONCERN_CAR_26,Adaptability During Internships,EMPLOYABILITY,Adjustment Stress,Employability,Campus Student,yes,concern bridge_tag not present in signal ontology
CONCERN_EMP_27,Collaborating in Team Projects,COLLABORATION_OWNERSHIP,Group Conflict Signals,Collaboration & Ownership,Campus Student,yes,concern bridge_tag not present in signal ontology
CONCERN_COL_28,Analytical Thinking for Industry Problems,EMPLOYABILITY,Problem-Solving Hesitation,Employability,Campus Student,yes,concern bridge_tag not present in signal ontology
CONCERN_EMP_29,Financial Independence in College,LIFESTYLE_ADJUSTMENT,Lifestyle Instability,Lifestyle & Adjustment,Campus Student,yes,concern bridge_tag not present in signal ontology
CONCERN_LIF_30,Placement Interviews,EMPLOYABILITY,Panic & Hesitation Signals,Employability,Campus Student,yes,concern bridge_tag not present in signal ontology
CONCERN_CAR_32,Ownership of Skill Development,EMPLOYABILITY,Passive Skill Building,Employability,Campus Student,yes,concern bridge_tag not present in signal ontology
CONCERN_EMP_33,Rejection During Placements,EXAMINATION_STRESS,Emotional Withdrawal,Examination Stress & Emotional Regulation,Campus Student,yes,concern bridge_tag not present in signal ontology
CONCERN_EXA_34,Practical Communication in Workplace Simulations,COMMUNICATION_EXPRESSION,Miscommunication Signals,Communication & Expression,Campus Student,yes,concern bridge_tag not present in signal ontology
CONCERN_DIS_36,Emotional Stability During Career Uncertainty,EXAMINATION_STRESS,Panic & Self-Doubt Signals,Examination Stress & Emotional Regulation,Campus Student,yes,concern bridge_tag not present in signal ontology
CONCERN_EXA_37,Building Independent Decision-Making Skills,THINKING_QUALITY,Decision Hesitation,Thinking Quality Under Pressure,Campus Student,yes,concern bridge_tag not present in signal ontology
CONCERN_CAR_39,Building Leadership Confidence in Campus Activities,LEADERSHIP_OWNERSHIP,Initiative Avoidance,Leadership & Ownership,Campus Student,yes,concern bridge_tag not present in signal ontology
CONCERN_CAR_41,Peer Comparison in College,CONFIDENCE_SELF,Inferiority Signals,"Confidence, Self-Concept & Comparison",Campus Student,yes,concern bridge_tag not present in signal ontology
CONCERN_CON_42,English Communication During Placements,COMMUNICATION_EXPRESSION,Verbal Hesitation,Communication & Expression,Campus Student,yes,concern bridge_tag not present in signal ontology
CONCERN_DIS_44,Adaptability to Hybrid/Remote Work Environments,EMPLOYABILITY,Remote Collaboration Gaps,Employability,Campus Student,yes,concern bridge_tag not present in signal ontology
CONCERN_EMP_45,Constructive Feedback Professionally,COMMUNICATION_EXPRESSION,Defensive Reactions,Communication & Expression,Campus Student,yes,concern bridge_tag not present in signal ontology
CONCERN_COM_46,Critical Thinking During Industry Discussions,THINKING_QUALITY,Limited Analytical Depth,Thinking Quality Under Pressure,Campus Student,yes,concern bridge_tag not present in signal ontology
CONCERN_DIS_48,Technical Interviews,EMPLOYABILITY,Panic & Self-Doubt Signals,Employability,Campus Student,yes,concern bridge_tag not present in signal ontology
CONCERN_EMP_49,Emotional Burnout During Placements,LIFESTYLE_PRESSURE,Emotional Exhaustion,Lifestyle & Pressure Environment,Campus Student,yes,concern bridge_tag not present in signal ontology
CONCERN_CAR_52,Emotional Resilience After Internship Rejections,EXAMINATION_STRESS,Emotional Withdrawal,Examination Stress & Emotional Regulation,Campus Student,yes,concern bridge_tag not present in signal ontology
CONCERN_ADJ_56,Workplace Problem Prioritization Skills,THINKING_QUALITY,Task Confusion Signals,Thinking Quality Under Pressure,Campus Student,yes,concern bridge_tag not present in signal ontology
CONCERN_THI_57,Academic Pressure with Placement Preparation,LIFESTYLE_PRESSURE,Burnout Indicators,Lifestyle & Pressure Environment,Campus Student,yes,concern bridge_tag not present in signal ontology
