question_id,concern_id,bridge_tag,reasons,question_text
Q_PRO_001_003_v2,PRO_001,DISCIPLINE_HABITS,"first-person pronoun (breaks proxy/learner reframe); reflexive ""yourself"" — proxy reframe leaves dangling reflexive",How often do you delay studying by telling yourself I will start later?
Q_STUDY_001_010_v3,STUDY_001,DISCIPLINE_HABITS,first-person pronoun (breaks proxy/learner reframe); no 2nd-person pronoun (nothing to reframe to 3rd person),How often does the child feel I cannot focus properly while studying alone?
Q_COMP_001_002_v4,COMP_001,COMPETENCY_DEVELOPMENT,"first-person pronoun (breaks proxy/learner reframe); reflexive ""yourself"" — proxy reframe leaves dangling reflexive","When you compare yourself with top-performing classmates, how often do you feel I am not good enough?"
Q_COMPARE_001_014_v6,COMPARE_001,SOCIAL_EMOTIONAL,"first-person pronoun (breaks proxy/learner reframe); reflexive ""yourself"" — proxy reframe leaves dangling reflexive",How likely are you to feel I will never reach that level after comparing yourself with experts?
Q_COMP_001_004_v7,COMP_001,COMPETENCY_DEVELOPMENT,"first-person pronoun (breaks proxy/learner reframe); reflexive ""yourself"" — proxy reframe leaves dangling reflexive",Do you often feel I am behind when comparing yourself to others?
Q_CAREER_001_005,CAREER_001,CAREER_READINESS,"reflexive ""yourself"" — proxy reframe leaves dangling reflexive","If you imagine yourself five years from now, how easy is it to picture the kind of work you want to do?"
Q_CAREER_001_006,CAREER_001,CAREER_READINESS,no 2nd-person pronoun (nothing to reframe to 3rd person),How mentally exhausting does career-related thinking feel these days?
Q_CAREER_001_016,CAREER_001,CAREER_READINESS,"reflexive ""yourself"" — proxy reframe leaves dangling reflexive","When career confusion increases, how effectively are you able to calm yourself and think clearly again?"
Q_CAREER_001_023,CAREER_001,CAREER_READINESS,"reflexive ""yourself"" — proxy reframe leaves dangling reflexive",How strongly do you believe that understanding yourself better can improve your career decisions?
Q_SKILL_001_006,SKILL_001,COMPETENCY_DEVELOPMENT,no 2nd-person pronoun (nothing to reframe to 3rd person),How stressful does it feel when people talk about competition and employability?
Q_SKILL_001_015,SKILL_001,COMPETENCY_DEVELOPMENT,"reflexive ""yourself"" — proxy reframe leaves dangling reflexive","After comparing yourself with highly skilled peers online, how discouraged do you usually feel?"
Q_PLACE_001_016,PLACE_001,EMPLOYABILITY,"reflexive ""yourself"" — proxy reframe leaves dangling reflexive","When placement stress increases, how effectively are you able to calm yourself and continue preparing?"
Q_PLACE_001_001_v2,PLACE_001,EMPLOYABILITY,"reflexive ""yourself"" — proxy reframe leaves dangling reflexive","Before attending placement interviews, how confident do you usually feel about yourself?"
Q_PLACE_001_016_v2,PLACE_001,EMPLOYABILITY,"reflexive ""yourself"" — proxy reframe leaves dangling reflexive","When interview anxiety increases, how effectively are you able to calm yourself before the interview starts?"
Q_TRANSITION_001_014,TRANSITION_001,CAREER_GROWTH,"reflexive ""yourself"" — proxy reframe leaves dangling reflexive",How likely are you to compare yourself negatively with people who already have work experience?
Q_INTERVIEW_001_006,INTERVIEW_001,EMPLOYABILITY,no 2nd-person pronoun (nothing to reframe to 3rd person),How stressful does the thought of technical interviews feel these days?
Q_BURNOUT_001_014,BURNOUT_001,EMOTIONAL_REGULATION,"reflexive ""yourself"" — proxy reframe leaves dangling reflexive",How likely are you to isolate yourself emotionally during placement stress?
Q_BURNOUT_001_016,BURNOUT_001,EMOTIONAL_REGULATION,"reflexive ""yourself"" — proxy reframe leaves dangling reflexive","When placement stress increases, how effectively are you able to calm yourself?"
Q_WORK_001_006,WORK_001,WORKPLACE_ADAPTATION,no 2nd-person pronoun (nothing to reframe to 3rd person),How stressful does it feel when companies expect practical experience beyond academics?
Q_BUR_001_018,BUR_001,EMOTIONAL_REGULATION,"reflexive ""yourself"" — proxy reframe leaves dangling reflexive",How often do you ignore signs of fatigue and continue pushing yourself?
Q_TRANS_001_006,TRANS_001,CAREER_GROWTH,no 2nd-person pronoun (nothing to reframe to 3rd person),How stressful does the thought of entering professional life feel these days?
