id,feeling,question,new_a,new_b,new_c,new_d,new_e
5,confident,"If you imagine yourself five years from now, how easy is it to picture the kind of work you want to do?",Not confident at all — I really doubt I can,Slightly confident — I have strong doubts,Moderately confident — it could go either way,Quite confident — I believe I can with effort,Completely confident — I'm sure I can
20,confident,"When things feel uncertain, how much confidence do you have that you will eventually find the right path?",Not confident at all — I really doubt I can,Slightly confident — I have strong doubts,Moderately confident — it could go either way,Quite confident — I believe I can with effort,Completely confident — I'm sure I can
25,hopeful,"Even if your path is unclear now, how hopeful are you that things can become clearer with time and effort?",Not hopeful at all — I can't see it improving,Slightly hopeful — but I have real doubts,Moderately hopeful — it might improve,Quite hopeful — I believe it can improve,Very hopeful — I'm confident it will improve
26,confident,"When you look at job requirements, how confident do you feel that your current skills match industry expectations?",Not confident at all — I really doubt I can,Slightly confident — I have strong doubts,Moderately confident — it could go either way,Quite confident — I believe I can with effort,Completely confident — I'm sure I can
30,prepared,"If you were asked to start working tomorrow, how prepared do you feel practically?",Not prepared at all — I'd struggle to begin,Slightly prepared — I'd need much more,Moderately prepared — I could manage parts of it,Well prepared — I'd handle it with some effort,Fully prepared — I'm ready right now
45,confident,"Even if you are behind right now, how confident are you that you can catch up with consistent effort?",Not confident at all — I really doubt I can,Slightly confident — I have strong doubts,Moderately confident — it could go either way,Quite confident — I believe I can with effort,Completely confident — I'm sure I can
50,hopeful,"Even if your skills are not strong today, how hopeful are you that they can improve with practice and guidance?",Not hopeful at all — I can't see it improving,Slightly hopeful — but I have real doubts,Moderately hopeful — it might improve,Quite hopeful — I believe it can improve,Very hopeful — I'm confident it will improve
51,mentally,"When placement season starts, how mentally prepared do you usually feel?",Not mentally ready at all — I'd struggle,Slightly mentally ready — I'd need more,Moderately mentally ready — it varies,Mostly mentally ready — I'd cope well,Fully mentally ready — I'm prepared
55,confident,"When you think about interviews or aptitude rounds, how confident do you feel inside?",Not confident at all — I really doubt I can,Slightly confident — I have strong doubts,Moderately confident — it could go either way,Quite confident — I believe I can with effort,Completely confident — I'm sure I can
70,confident,"Even if placements are stressful now, how confident are you that your efforts will eventually help you succeed?",Not confident at all — I really doubt I can,Slightly confident — I have strong doubts,Moderately confident — it could go either way,Quite confident — I believe I can with effort,Completely confident — I'm sure I can
75,hopeful,"Even if placements feel stressful now, how hopeful are you that things can improve with effort and support?",Not hopeful at all — I can't see it improving,Slightly hopeful — but I have real doubts,Moderately hopeful — it might improve,Quite hopeful — I believe it can improve,Very hopeful — I'm confident it will improve
76,confident,"When you try to apply classroom knowledge in real situations, how confident do you usually feel?",Not confident at all — I really doubt I can,Slightly confident — I have strong doubts,Moderately confident — it could go either way,Quite confident — I believe I can with effort,Completely confident — I'm sure I can
80,prepared,"If you joined a real job tomorrow, how prepared would you feel to handle practical responsibilities?",Not prepared at all — I'd struggle to begin,Slightly prepared — I'd need much more,Moderately prepared — I could manage parts of it,Well prepared — I'd handle it with some effort,Fully prepared — I'm ready right now
95,confident,"Even if practical work feels difficult today, how confident are you that regular practice can improve you?",Not confident at all — I really doubt I can,Slightly confident — I have strong doubts,Moderately confident — it could go either way,Quite confident — I believe I can with effort,Completely confident — I'm sure I can
100,hopeful,"Even if practical work feels uncomfortable now, how hopeful are you that you can become confident with time and practice?",Not hopeful at all — I can't see it improving,Slightly hopeful — but I have real doubts,Moderately hopeful — it might improve,Quite hopeful — I believe it can improve,Very hopeful — I'm confident it will improve
101,confident,"Before attending placement interviews, how confident do you usually feel about yourself?",Not confident at all — I really doubt I can,Slightly confident — I have strong doubts,Moderately confident — it could go either way,Quite confident — I believe I can with effort,Completely confident — I'm sure I can
105,prepared,"If you imagine attending an important interview tomorrow, how prepared do you feel mentally?",Not prepared at all — I'd struggle to begin,Slightly prepared — I'd need much more,Moderately prepared — I could manage parts of it,Well prepared — I'd handle it with some effort,Fully prepared — I'm ready right now
120,confident,"Even if interviews feel difficult now, how confident are you that you can improve with practice?",Not confident at all — I really doubt I can,Slightly confident — I have strong doubts,Moderately confident — it could go either way,Quite confident — I believe I can with effort,Completely confident — I'm sure I can
125,hopeful,"Even if interviews feel stressful today, how hopeful are you that you can eventually perform confidently?",Not hopeful at all — I can't see it improving,Slightly hopeful — but I have real doubts,Moderately hopeful — it might improve,Quite hopeful — I believe it can improve,Very hopeful — I'm confident it will improve
126,prepared,"When you think about moving from college life into a professional job, how prepared do you personally feel?",Not prepared at all — I'd struggle to begin,Slightly prepared — I'd need much more,Moderately prepared — I could manage parts of it,Well prepared — I'd handle it with some effort,Fully prepared — I'm ready right now
