concern_id,domain,concern_cluster,display_label,Concern Search,relevance_in_india,parent_anxiety_level,growth_trend,severity,capadex_priority,common_indian_context,primary_persona,contextual_modifier,concern_category,intelligence_layer,signal_cluster,assessment_dimension,root_cause_group,intervention_lens,capability_mapping,relational_bridge_tag,age_min,age_max,source_row_index
CONCERN_DOM_1,College Adaptation,Difficulty Adapting to College Academic Structure,Adapting to College Academic Structure,Difficulty adjusting to college,High,High,Rising,High,P1,Transition from school to autonomous learning,Campus Student,Academic Transition,College Adaptation Difficulty,Adaptive Intelligence,Transition Stress Signals,Academic Adaptability,Sudden Independence Shift,Transition Coaching,Academic Adjustment,COLLEGE_ADAPTATION,17,22,1
CONCERN_COL_2,Employability & Academic Readiness,Weak Self-Directed Learning Skills,Self-Directed Learning Skills,How to study on my own,High,High,Rising,High,P1,Dependency on guided instruction,Campus Student,Independent Learning,Self-Learning Deficit,Ownership Intelligence,Passive Learning Dependence,Learning Autonomy,School Conditioning,Self-Learning Coaching,Autonomous Learning,EMPLOYABILITY_ACADEMIC,17,24,2
CONCERN_EMP_3,"Discipline, Habits & Consistency",Poor Time Management in College Environment,Time Management in College Environment,Time management for college students,High,High,Rising,High,P1,Freedom leading to disorganized schedules,Campus Student,Lifestyle Management,Time Management Weakness,Strategic Intelligence,Missed Deadlines,Productivity Stability,Weak Routine Discipline,Time Structuring Coaching,Academic Productivity,DISCIPLINE_HABITS,17,24,3
CONCERN_DIS_4,Adjustment & Coping Capacity,Difficulty Balancing Academics and Social Life,Balancing Academics and Social Life,Balance studies and social life,High,Medium,Rising,Medium,P2,Hostel/social distractions,Campus Student,Campus Adaptation,Academic-Social Imbalance,Systems Intelligence,Lifestyle Instability,Holistic Stability,Poor Boundary Management,Balance Coaching,Lifestyle Coordination,ADJUSTMENT_COPING,17,24,4
CONCERN_ADJ_5,Career Readiness,Weak Career Direction Clarity,Career Direction Clarity,Career confusion,Very High,Critical,Rising,Critical,P1,Confusion about career pathways,Campus Student,Career Exploration,Career Direction Ambiguity,Identity Intelligence,Future Uncertainty Signals,Career Readiness,Lack of Exposure,Career Coaching,Career Alignment,CAREER_READINESS,18,24,5
CONCERN_CAR_6,Employability,Poor Employability Confidence,Employability Confidence,Not confident about getting a job,High,High,Rising,High,P1,Fear of not being job-ready,Campus Student,Placement Readiness,Employability Anxiety,Emotional Intelligence,Self-Doubt Signals,Professional Readiness,Skill-Industry Gap,Employability Coaching,Professional Confidence,EMPLOYABILITY,18,24,6
CONCERN_EMP_7,Communication & Expression,Difficulty Communicating in Professional Settings,Communicating in Professional Settings,Professional communication skills,High,High,Rising,High,P1,Interview/group discussion hesitation,Campus Student,Professional Communication,Professional Communication Weakness,Linguistic Intelligence,Verbal Hesitation,Workplace Communication,Limited Exposure,Communication Coaching,Corporate Communication,COMMUNICATION_EXPRESSION,18,24,7
CONCERN_COM_8,Career Readiness,Weak Internship Readiness,Internship Readiness,How to prepare for internships,High,Medium,Rising,Medium,P2,Lack of practical preparation,Campus Student,Industry Exposure,Internship Preparedness Deficit,Applied Intelligence,Practical Readiness Gaps,Professional Adaptation,Theory-Heavy Education,Internship Coaching,Industry Readiness,CAREER_READINESS,18,24,8
CONCERN_CAR_9,"Discipline, Habits & Consistency",Difficulty Handling Academic Freedom Responsibly,Academic Freedom Responsibly,Managing freedom in college,High,Medium,Rising,Medium,P2,Lack of structured supervision,Campus Student,Self Regulation,Academic Freedom Mismanagement,Behavioral Intelligence,Productivity Decline,Learning Consistency,Weak Self-Discipline,Discipline Coaching,Self-Regulation,DISCIPLINE_HABITS,17,22,9
CONCERN_DIS_10,Career Readiness,Weak Resume Building Awareness,Resume Building Awareness,Resume building help,High,Medium,Rising,Medium,P2,Poor profile development,Campus Student,Career Preparation,Resume Awareness Deficit,Strategic Intelligence,Weak Professional Positioning,Career Competitiveness,Limited Career Guidance,Resume Coaching,Professional Branding,CAREER_READINESS,18,24,10
