pathway_key,archetype_key,archetype_name,stakeholder_type,problem_id,stage_count,complete,avg_composite,avg_confidence_impact,avg_risk_reduction,summary
academic_achievement::student,academic_achievement,Academic Achievement & Exam Performance,student,1,6,true,4.7,0.4547,0.4167,Academic Achievement & Exam Performance — student: 6-stage growth pathway from immediate action to 90-day development.
academic_achievement::parent,academic_achievement,Academic Achievement & Exam Performance,parent,1,6,true,4.7,0.4547,0.4167,Academic Achievement & Exam Performance — parent: 6-stage growth pathway from immediate action to 90-day development.
academic_achievement::teacher,academic_achievement,Academic Achievement & Exam Performance,teacher,1,6,true,4.63,0.4487,0.46,Academic Achievement & Exam Performance — teacher: 6-stage growth pathway from immediate action to 90-day development.
academic_achievement::counselor,academic_achievement,Academic Achievement & Exam Performance,counselor,1,6,true,4.77,0.4647,0.46,Academic Achievement & Exam Performance — counselor: 6-stage growth pathway from immediate action to 90-day development.
academic_achievement::professional,academic_achievement,Academic Achievement & Exam Performance,professional,1,6,true,4.67,0.4537,0.4033,Academic Achievement & Exam Performance — professional: 6-stage growth pathway from immediate action to 90-day development.
adaptability_change::student,adaptability_change,Adaptability & Change Navigation,student,5,6,true,4.1,0.3947,0.46,Adaptability & Change Navigation — student: 6-stage growth pathway from immediate action to 90-day development.
adaptability_change::parent,adaptability_change,Adaptability & Change Navigation,parent,5,6,true,4.1,0.3947,0.46,Adaptability & Change Navigation — parent: 6-stage growth pathway from immediate action to 90-day development.
adaptability_change::teacher,adaptability_change,Adaptability & Change Navigation,teacher,5,6,true,3.93,0.3753,0.4417,Adaptability & Change Navigation — teacher: 6-stage growth pathway from immediate action to 90-day development.
adaptability_change::counselor,adaptability_change,Adaptability & Change Navigation,counselor,5,6,true,4.17,0.4047,0.4417,Adaptability & Change Navigation — counselor: 6-stage growth pathway from immediate action to 90-day development.
adaptability_change::professional,adaptability_change,Adaptability & Change Navigation,professional,5,6,true,4.07,0.3937,0.4467,Adaptability & Change Navigation — professional: 6-stage growth pathway from immediate action to 90-day development.
career_professional_growth::student,career_professional_growth,Career Growth & Professional Identity,student,12,6,true,4.77,0.4673,0.4783,Career Growth & Professional Identity — student: 6-stage growth pathway from immediate action to 90-day development.
career_professional_growth::parent,career_professional_growth,Career Growth & Professional Identity,parent,12,6,true,4.77,0.4673,0.4783,Career Growth & Professional Identity — parent: 6-stage growth pathway from immediate action to 90-day development.
career_professional_growth::teacher,career_professional_growth,Career Growth & Professional Identity,teacher,12,6,true,4.6,0.448,0.46,Career Growth & Professional Identity — teacher: 6-stage growth pathway from immediate action to 90-day development.
career_professional_growth::counselor,career_professional_growth,Career Growth & Professional Identity,counselor,12,6,true,4.67,0.454,0.4383,Career Growth & Professional Identity — counselor: 6-stage growth pathway from immediate action to 90-day development.
career_professional_growth::professional,career_professional_growth,Career Growth & Professional Identity,professional,9,6,true,4.8,0.4693,0.465,Career Growth & Professional Identity — professional: 6-stage growth pathway from immediate action to 90-day development.
collaboration_teamwork::student,collaboration_teamwork,Collaboration & Teamwork,student,13,6,true,4.6,0.4477,0.4417,Collaboration & Teamwork — student: 6-stage growth pathway from immediate action to 90-day development.
collaboration_teamwork::parent,collaboration_teamwork,Collaboration & Teamwork,parent,13,6,true,4.6,0.4477,0.4417,Collaboration & Teamwork — parent: 6-stage growth pathway from immediate action to 90-day development.
collaboration_teamwork::teacher,collaboration_teamwork,Collaboration & Teamwork,teacher,13,6,true,4.4,0.425,0.4233,Collaboration & Teamwork — teacher: 6-stage growth pathway from immediate action to 90-day development.
collaboration_teamwork::counselor,collaboration_teamwork,Collaboration & Teamwork,counselor,13,6,true,4.47,0.433,0.3867,Collaboration & Teamwork — counselor: 6-stage growth pathway from immediate action to 90-day development.
collaboration_teamwork::professional,collaboration_teamwork,Collaboration & Teamwork,professional,13,6,true,4.57,0.4467,0.4283,Collaboration & Teamwork — professional: 6-stage growth pathway from immediate action to 90-day development.
