bridge_tag,questions,outcome_models,primary_journey,secondary_journey,journey_confidence,ambiguity,reachable_journeys,fallback_only,reason
"ACADEMIC_BEHAVIOR",475,"learning_effectiveness","mentoring","competitive_exam",0.076,0.778,4,false,"1 outcome model(s) → 4 route(s); primary mentoring (fit 0.34); exam route demoted to secondary (no dedicated EXAM_ evidence)"
"ACADEMIC_CAREER",225,"career_clarity|learning_effectiveness","career_builder","mentoring",0.108,0.667,5,false,"2 outcome model(s) → 5 route(s); primary career_builder (fit 0.325)"
"ACADEMIC_COGNITIVE",618,"decision_quality|learning_effectiveness","lbi","competitive_exam",0.058,0.743,4,false,"2 outcome model(s) → 4 route(s); primary lbi (fit 0.225); exam route demoted to secondary (no dedicated EXAM_ evidence)"
"ACADEMIC_COUNSELLING",40,"learning_effectiveness","mentoring","competitive_exam",0.076,0.778,4,false,"1 outcome model(s) → 4 route(s); primary mentoring (fit 0.34); exam route demoted to secondary (no dedicated EXAM_ evidence)"
"ACADEMIC_DECISION",25,"decision_quality|learning_effectiveness","lbi","competitive_exam",0.058,0.743,4,false,"2 outcome model(s) → 4 route(s); primary lbi (fit 0.225); exam route demoted to secondary (no dedicated EXAM_ evidence)"
"ACADEMIC_EQUITY",50,"learning_effectiveness","mentoring","competitive_exam",0.076,0.778,4,false,"1 outcome model(s) → 4 route(s); primary mentoring (fit 0.34); exam route demoted to secondary (no dedicated EXAM_ evidence)"
"ACADEMIC_GROWTH",125,"learning_effectiveness","mentoring","competitive_exam",0.076,0.778,4,false,"1 outcome model(s) → 4 route(s); primary mentoring (fit 0.34); exam route demoted to secondary (no dedicated EXAM_ evidence)"
"ACADEMIC_IDENTITY",225,"confidence_stability|learning_effectiveness","lbi","mentoring",0.086,0.701,5,false,"2 outcome model(s) → 5 route(s); primary lbi (fit 0.288)"
"ACADEMIC_OPERATIONS",38,"learning_effectiveness","mentoring","competitive_exam",0.076,0.778,4,false,"1 outcome model(s) → 4 route(s); primary mentoring (fit 0.34); exam route demoted to secondary (no dedicated EXAM_ evidence)"
"ACADEMIC_PERFORMANCE",225,"exam_readiness","competitive_exam","mentoring",0.592,0.308,2,false,"1 outcome model(s) → 2 route(s); primary competitive_exam (fit 0.855)"
"ACADEMIC_PLANNING",50,"decision_quality|learning_effectiveness","lbi","competitive_exam",0.058,0.743,4,false,"2 outcome model(s) → 4 route(s); primary lbi (fit 0.225); exam route demoted to secondary (no dedicated EXAM_ evidence)"
"ACADEMIC_READINESS",50,"exam_readiness","competitive_exam","mentoring",0.592,0.308,2,false,"1 outcome model(s) → 2 route(s); primary competitive_exam (fit 0.855)"
"ACADEMIC_REFLECTION",25,"learning_effectiveness","mentoring","competitive_exam",0.076,0.778,4,false,"1 outcome model(s) → 4 route(s); primary mentoring (fit 0.34); exam route demoted to secondary (no dedicated EXAM_ evidence)"
"ACADEMIC_RISK",100,"learning_effectiveness","mentoring","competitive_exam",0.076,0.778,4,false,"1 outcome model(s) → 4 route(s); primary mentoring (fit 0.34); exam route demoted to secondary (no dedicated EXAM_ evidence)"
"ACADEMIC_TRANSITION",100,"career_clarity","career_builder","employability_index",0.366,0.571,4,false,"1 outcome model(s) → 4 route(s); primary career_builder (fit 0.855)"
"ACCOUNTABILITY_DEVELOPMENT",50,"","","",0,0,0,false,"no reachable outcome model → no journey (orphan)"
"ACCOUNTABILITY_REFLECTION",40,"","","",0,0,0,false,"no reachable outcome model → no journey (orphan)"
"ADAPTABILITY_COACHING",75,"","","",0,0,0,false,"no reachable outcome model → no journey (orphan)"
"ADAPTABILITY_GUIDANCE",50,"","","",0,0,0,false,"no reachable outcome model → no journey (orphan)"
"ADAPTIVE_DEVELOPMENT",40,"","","",0,0,0,false,"no reachable outcome model → no journey (orphan)"
"ADAPTIVE_DIAGNOSTICS",40,"","","",0,0,0,false,"no reachable outcome model → no journey (orphan)"
"ADAPTIVE_GROWTH",40,"","","",0,0,0,false,"no reachable outcome model → no journey (orphan)"
"ADAPTIVE_LEADERSHIP",125,"career_clarity|confidence_stability|decision_quality|employability_readiness","career_builder","employability_index",0.064,0.714,5,false,"4 outcome model(s) → 5 route(s); primary career_builder (fit 0.224)"
"ADAPTIVE_LEARNING",275,"learning_effectiveness","mentoring","competitive_exam",0.076,0.778,4,false,"1 outcome model(s) → 4 route(s); primary mentoring (fit 0.34); exam route demoted to secondary (no dedicated EXAM_ evidence)"
"ADAPTIVE_REFLECTION",40,"","","",0,0,0,false,"no reachable outcome model → no journey (orphan)"
"ADJUSTMENT_COPING",565,"confidence_stability|exam_readiness","mentoring","competitive_exam",0.127,0.702,4,false,"2 outcome model(s) → 4 route(s); primary mentoring (fit 0.425); exam route demoted to secondary (no dedicated EXAM_ evidence)"
"ALTERNATIVE_CAREER",40,"career_clarity","career_builder","employability_index",0.328,0.571,4,false,"1 outcome model(s) → 4 route(s); primary career_builder (fit 0.765)"
"ANALYTICAL_DEVELOPMENT",50,"decision_quality|learning_effectiveness","lbi","career_builder",0.136,0.696,4,false,"2 outcome model(s) → 4 route(s); primary lbi (fit 0.446)"
