No.	Competency	No.	Competency	No.	Competency
1	Adaptability	101	Agile Collaboration	201	Personal Credibility
2	Accountability	102	Ambiguity Tolerance	202	Personal Resilience
3	Active Listening	103	Appreciation of Diversity	203	Personal Responsibility
4	Analytical Thinking	104	Assertive Communication	204	Persuasive Communication
5	Attention to Detail	105	Attention to Deadlines	205	Positivity in Leadership
6	Building Trust	106	Authenticity	206	Pragmatism
7	Business Acumen	107	Autonomy	207	Prioritization
8	Collaboration	108	Balanced Judgment	208	Process Orientation
9	Communication	109	Brand Ambassadorship	209	Professional Demeanor
10	Conflict Resolution	110	Business Ethics	210	Progress Tracking
11	Creativity	111	Candor	211	Project Execution
12	Customer Focus	112	Capacity to Learn	212	Providing Constructive Feedback
13	Decision-Making	113	Careful Listening	213	Purpose-Driven Leadership
14	Delegation	114	Change Advocacy	214	Quick Decision Making
15	Dependability	115	Client Orientation	215	Real-Time Problem Solving
16	Emotional Intelligence	116	Collaboration Across Teams	216	Relationship Building
17	Empathy	117	Command Skills	217	Reliability
18	Ethical Judgment	118	Commercial Awareness	218	Respect for Diversity
19	Flexibility	119	Composure under Pressure	219	Respectfulness
20	Goal Orientation	120	Conceptual Thinking	220	Results Orientation
21	Initiative	121	Confidence in Decision Making	221	Return on Investment Focus
22	Innovation	122	Consistency	222	Risk Awareness
23	Integrity	123	Constructive Feedback	223	Role Clarity
24	Interpersonal Skills	124	Continuous Learning	224	Root Cause Analysis
25	Leadership	125	Contingency Planning	225	Safety Focus
26	Learning Agility	126	Contextual Awareness	226	Scenario Planning
27	Negotiation	127	Contribution to Team Success	227	Securing Stakeholder Buy-In
28	Organizational Awareness	128	Cost Management	228	Self-Directed Learning
29	Ownership	129	Cross-Cultural Competence	229	Self-Motivation
30	Patience	130	Curiosity	230	Sense of Urgency
31	Persuasion	131	Customer Relationship Building	231	Servant Leadership
32	Planning and Organizing	132	Customer Service Excellence	232	Setting Clear Expectations
33	Presentation Skills	133	Data-Driven Decision Making	233	Sharing Knowledge
34	Problem-Solving	134	Delegation and Empowerment	234	Short-Term Planning
35	Project Management	135	Dependable Leadership	235	Solution Orientation
36	Resilience	136	Design Thinking	236	Sound Judgment
37	Risk Management	137	Determination	237	Stakeholder Collaboration
38	Self-Awareness	138	Developing People	238	Stakeholder Engagement
39	Self-Control	139	Diplomacy	239	Stewardship
40	Service Orientation	140	Discretion	240	Strategic Execution
41	Strategic Thinking	141	Diversity & Inclusion Awareness	241	Structured Thinking
42	Stress Management	142	Effective Time Use	242	Sustainability Focus
43	Teamwork	143	Emotional Regulation	243	Systems Thinking
44	Time Management	144	Employee Advocacy	244	Talent Development
45	Tolerance for Ambiguity	145	Empowerment of Others	245	Task Prioritization
46	Transparency	146	Encouragement	246	Technical Competence
47	Vision	147	Energy Management	247	Team Building
48	Work Ethic	148	Engaging Leadership	248	Team Motivation
49	Accountable Leadership	149	Enterprise Risk Management	249	Time Sensitivity
50	Agility in Execution	150	Entrepreneurial Spirit	250	Timeliness
51	Assertiveness	151	Environmental Awareness	251	Tolerance for Risk
52	Building Relationships	152	Ethical Decision Making	252	Transformational Leadership
53	Change Management	153	External Awareness	253	Transparent Communication
