kind,similarity,question_id_a,bridge_a,question_id_b,bridge_b,question_text,question_text_b
exact,1,Q_PLACE_001_021_v2,EMPLOYABILITY,Q_INTERVIEW_001_021_v2,EMPLOYABILITY,How ready are you to actively work on improving your interview confidence?,
exact,1,Q_WORK_001_001,WORKPLACE_ADAPTATION,Q_WORK_001_001_v2,WORKPLACE_ADAPTATION,How confident are you in applying what you learn in college to real workplace situations?,
exact,1,Q_OUTCOME_001_014,MOTIVATION_VALUES,Q_FAILURE_001_014,EMOTIONAL_RECOVERY,How likely are you to emotionally withdraw from others after experiencing failure?,
exact,1,Q_OUTCOME_001_022,MOTIVATION_VALUES,Q_FAILURE_001_022,EMOTIONAL_RECOVERY,"If emotional resilience guidance was available, how willing would you be to apply it consistently?",
exact,1,Q_OUTCOME_001_022,MOTIVATION_VALUES,Q_HOPE_001_022,MOTIVATION_VALUES,"If emotional resilience guidance was available, how willing would you be to apply it consistently?",
exact,1,Q_MULTIATTEMPT_001_001,STRATEGIC_PREPARATION,Q_MULTIATTEMPT_001_001_v2,STRATEGIC_PREPARATION,"During repeated exam attempts, how emotionally stable do you usually feel about your journey?",
exact,1,Q_MULTIATTEMPT_001_002,STRATEGIC_PREPARATION,Q_MULTIATTEMPT_001_002_v2,STRATEGIC_PREPARATION,"How often do repeated attempts increase your stress, fear, or emotional exhaustion?",
exact,1,Q_MULTIATTEMPT_001_003,STRATEGIC_PREPARATION,Q_MULTIATTEMPT_001_003_v2,STRATEGIC_PREPARATION,"Compared to others around you, how well do you think you emotionally handle preparing through multiple attempts?",
exact,1,Q_MULTIATTEMPT_001_004,STRATEGIC_PREPARATION,Q_MULTIATTEMPT_001_004_v2,STRATEGIC_PREPARATION,Do repeated attempts sometimes make you feel emotionally discouraged or left behind in life?,
exact,1,Q_MULTIATTEMPT_001_005,STRATEGIC_PREPARATION,Q_MULTIATTEMPT_001_005_v2,STRATEGIC_PREPARATION,"If you had to continue preparing for another attempt, how mentally prepared would you feel to stay emotionally balanced?",
exact,1,Q_MULTIATTEMPT_001_006,STRATEGIC_PREPARATION,Q_MULTIATTEMPT_001_006_v2,STRATEGIC_PREPARATION,How stressful does preparing through multiple attempts feel emotionally?,
exact,1,Q_MULTIATTEMPT_001_007,STRATEGIC_PREPARATION,Q_MULTIATTEMPT_001_007_v2,STRATEGIC_PREPARATION,How often do repeated attempts reduce your confidence or peace of mind?,
exact,1,Q_MULTIATTEMPT_001_008,STRATEGIC_PREPARATION,Q_MULTIATTEMPT_001_008_v2,STRATEGIC_PREPARATION,How emotionally exhausting is it for you to stay motivated across multiple attempts?,
exact,1,Q_MULTIATTEMPT_001_009,STRATEGIC_PREPARATION,Q_MULTIATTEMPT_001_009_v2,STRATEGIC_PREPARATION,How strongly do others success or faster progress affect your emotional state during repeated attempts?,
exact,1,Q_MULTIATTEMPT_001_010,STRATEGIC_PREPARATION,Q_MULTIATTEMPT_001_010_v2,STRATEGIC_PREPARATION,"Compared to earlier attempts, how much more emotionally pressured do you feel now?",
exact,1,Q_MULTIATTEMPT_001_011,STRATEGIC_PREPARATION,Q_MULTIATTEMPT_001_011_v2,STRATEGIC_PREPARATION,How often do emotional setbacks during repeated attempts affect your ability to stay consistent in preparation?,
exact,1,Q_MULTIATTEMPT_001_012,STRATEGIC_PREPARATION,Q_MULTIATTEMPT_001_012_v2,STRATEGIC_PREPARATION,How often do you emotionally overthink your previous failed attempts?,
exact,1,Q_MULTIATTEMPT_001_013,STRATEGIC_PREPARATION,Q_MULTIATTEMPT_001_013_v2,STRATEGIC_PREPARATION,"During difficult phases, how often do repeated attempts make you feel emotionally stuck?",
exact,1,Q_MULTIATTEMPT_001_014,STRATEGIC_PREPARATION,Q_MULTIATTEMPT_001_014_v2,STRATEGIC_PREPARATION,How likely are you to emotionally panic when thinking about continuing through another attempt?,
exact,1,Q_MULTIATTEMPT_001_015,STRATEGIC_PREPARATION,Q_MULTIATTEMPT_001_015_v2,STRATEGIC_PREPARATION,"After setbacks during repeated attempts, how often do you remain emotionally disturbed for long periods?",
exact,1,Q_MULTIATTEMPT_001_016,STRATEGIC_PREPARATION,Q_MULTIATTEMPT_001_016_v2,STRATEGIC_PREPARATION,"When emotional pressure increases during repeated attempts, how effectively can you calm yourself and continue steadily?",
exact,1,Q_MULTIATTEMPT_001_017,STRATEGIC_PREPARATION,Q_MULTIATTEMPT_001_017_v2,STRATEGIC_PREPARATION,How often do you remind yourself that repeated attempts do not define your worth or future completely?,
exact,1,Q_MULTIATTEMPT_001_018,STRATEGIC_PREPARATION,Q_MULTIATTEMPT_001_018_v2,STRATEGIC_PREPARATION,Some students emotionally disconnect from their goals after multiple attempts because they feel exhausted or hopeless. How true is this for you?,
exact,1,Q_MULTIATTEMPT_001_019,STRATEGIC_PREPARATION,Q_MULTIATTEMPT_001_019_v2,STRATEGIC_PREPARATION,"After receiving emotional support or encouragement, how emotionally stable do you usually feel during preparation?",
exact,1,Q_MULTIATTEMPT_001_020,STRATEGIC_PREPARATION,Q_MULTIATTEMPT_001_020_v2,STRATEGIC_PREPARATION,"Even if repeated attempts feel emotionally difficult now, how confident are you that you can still remain emotionally stable and continue improving?",
exact,1,Q_MULTIATTEMPT_001_021,STRATEGIC_PREPARATION,Q_MULTIATTEMPT_001_021_v2,STRATEGIC_PREPARATION,How ready are you to actively strengthen your emotional resilience during repeated exam attempts?,
exact,1,Q_MULTIATTEMPT_001_022,STRATEGIC_PREPARATION,Q_MULTIATTEMPT_001_022_v2,STRATEGIC_PREPARATION,"If proper guidance was available, how willing would you be to improve your emotional stability step by step during multiple attempts?",
exact,1,Q_MULTIATTEMPT_001_023,STRATEGIC_PREPARATION,Q_MULTIATTEMPT_001_023_v2,STRATEGIC_PREPARATION,How strongly do you believe emotional stability can improve even after repeated setbacks and attempts?,
exact,1,Q_MULTIATTEMPT_001_024,STRATEGIC_PREPARATION,Q_MULTIATTEMPT_001_024_v2,STRATEGIC_PREPARATION,"If you learned one practical strategy today to remain emotionally stable during repeated attempts, how likely are you to apply it consistently?",
exact,1,Q_MULTIATTEMPT_001_025,STRATEGIC_PREPARATION,Q_MULTIATTEMPT_001_025_v2,STRATEGIC_PREPARATION,"Even if repeated attempts feel emotionally exhausting now, how hopeful are you that you can eventually stay emotionally stable, confident, and persistent in your journey?",
exact,1,Q_REJ_001_023,EMOTIONAL_RECOVERY,Q_RES_001_023_v4,EMOTIONAL_RECOVERY,How strongly do you believe rejection is part of the learning process?,
exact,1,Q_HR_001_018_v2,CAREER_READINESS,Q_ADP_001_012,LEARNING_ADAPTABILITY,How often do you stick only to familiar skills instead of exploring new ones?,
exact,1,Q_STRESS_001_011,EXAMINATION_STRESS,Q_STRESS_001_012_v2,EXAMINATION_STRESS,How often do you take breaks to manage stress effectively?,
exact,1,Q_STRESS_001_023,EXAMINATION_STRESS,Q_STRESS_001_023_v6,EXAMINATION_STRESS,How strongly do you believe stress can be managed with practice?,
exact,1,Q_HOLISTIC_001_015_v5,HOLISTIC_DEVELOPMENT,Q_LEADWELL_001_015_v2,LEADERSHIP_OWNERSHIP,"After taking proper rest or personal time, how quickly are you able to emotionally recover and feel balanced again?",
exact,1,Q_CORP_001_022,WORKPLACE_ADAPTATION,Q_CAM_001_022,WORKPLACE_ADAPTATION,"If guidance was available, how willing would you be to learn workplace culture step by step?",
exact,1,Q_LEADERBURN_001_016,EMOTIONAL_REGULATION,Q_LEADWELL_001_016,LEADERSHIP_OWNERSHIP,"When leadership pressure becomes emotionally overwhelming, how effectively can you restore emotional balance and recover?",
exact,1,Q_LEADERBURN_001_019,EMOTIONAL_REGULATION,Q_MULTIEXP_001_019_v2,CAREER_EXPECTATIONS,"After taking meaningful rest or receiving support, how emotionally refreshed do you usually feel?",
exact,1,Q_RESPONSIBILITY_001_019,LEADERSHIP_OWNERSHIP,Q_ENTERPRISE_001_019_v2,WORKPLACE_ADAPTATION,"After meaningful rest or emotional support, how emotionally refreshed do you usually feel?",
exact,1,Q_COMP_001_017,COMPETENCY_DEVELOPMENT,Q_SELFDOUBT_001_017,CONFIDENCE_SELF,How often do you remind yourself of your own progress instead of comparing with others?,
exact,1,Q_DIG_001_012,LIFESTYLE_PRESSURE,Q_SCREEN_001_007_v2,LIFESTYLE_PRESSURE,How often do you delay studying because of social media or entertainment apps?,
exact,1,Q_PROB_001_023,THINKING_QUALITY,Q_PPS_001_023,PERSONAL_VISION,How strongly do you believe problem-solving is a skill that can be improved with practice?,
