bridge_tag,leverage_in_unresolved,candidate_tokens
EXAMINATION_STRESS,885,"difficulty | emotional | managing | during | academic | weak | students | after"
ACADEMIC_IDENTITY,765,"weak | identity | career | difficulty | academic | students | long-term | confidence"
DISCIPLINE_HABITS,727,"difficulty | weak | discipline | students | academic | building | learning | consistency"
SELF_REFLECTION,700,"weak | ability | difficulty | students | academic | personal | learning | reflection"
COMMUNICATION_EXPRESSION,680,"weak | confidence | communication | skills | difficulty | during | students | ability"
THINKING_QUALITY,677,"weak | difficulty | thinking | decision-making | skills | during | students | confidence"
SOCIAL_EMOTIONAL,676,"weak | difficulty | emotional | during | students | peer | isolation | build"
ACADEMIC_COGNITIVE,670,"difficulty | weak | learning | during | students | focus | attention | managing"
LEARNING_ADAPTABILITY,653,"learning | adaptability | weak | difficulty | poor | students | supporting | adaptation"
COMPETENCY_DEVELOPMENT,640,"weak | learning | difficulty | ability | skills | build | into | students"
CONFIDENCE_SELF,630,"confidence | difficulty | weak | managing | during | emotional | fear | after"
EMOTIONAL_RECOVERY,597,"difficulty | emotional | after | confidence | weak | recovery | workplace | during"
ADAPTIVE_LEARNING,587,"adaptability | difficulty | student | learning | during | weak | visibility | into"
MOTIVATION_VALUES,580,"difficulty | motivation | weak | during | academic | maintaining | learning | curiosity"
COMPETITIVE_EXAM,565,"competitive | weak | students | difficulty | handling | confidence"
EXAMINATION_READINESS,554,"weak | students | difficulty | revision | during | exam | exams | strategy"
LIFESTYLE_PRESSURE,549,"difficulty | emotional | during | managing | child | weak | career | balancing"
STEM_LEARNING,530,"weak | students | difficulty | supporting | curiosity | stem | practical | scientific"
WORKPLACE_ADAPTATION,529,"difficulty | weak | workplace | organizational | confidence | managing | emotional | ability"
ADJUSTMENT_COPING,507,"difficulty | child | academic | family | expectations | during | students | becoming"
EMPLOYABILITY,506,"weak | confidence | difficulty | workplace | understanding | skills | during | professional"
CLASSROOM_ENGAGEMENT,469,"classroom | difficulty | students | participation | managing | following | instructions | weak"
INTERDISCIPLINARY_LEARNING,469,"weak | students | across | integration | skills | concepts | subjects | difficulty"
FOUNDATIONAL_LEARNING,467,"conceptual | weak | difficulty | understanding | students | clarity | building | depth"
EMOTIONAL_REGULATION,465,"difficulty | emotional | during | managing | stress | career | uncertainty | handling"
CAREER_GROWTH,441,"career | weak | build | ability | difficulty | strategic | legacy | emotional"
CAREER_READINESS,424,"weak | career | difficulty | building | awareness | confidence | understanding | opportunities"
STRATEGIC_LEADERSHIP,414,"strategic | difficulty | weak | organizational | confidence | build | enterprise | during"
HOLISTIC_DEVELOPMENT,389,"holistic | integration | between | weak | growth | leadership | emotional | wellbeing"
LEADERSHIP_OWNERSHIP,380,"weak | leadership | build | ability | difficulty | confidence | strategic | teams"
COLLABORATION_OWNERSHIP,377,"weak | difficulty | collaboration | team | confidence | managing | build | ability"
LEADERSHIP_READINESS,368,"weak | leadership | confidence | ability | build | transitioning | presence | executive"
LEADERSHIP_TRANSITION,289,"emotional | succession | difficulty | pressure | during"
ORGANIZATIONAL_EFFECTIVENESS,281,"learning | effectiveness | weak"
CAREER_TRANSITION,278,"weak | career | difficulty | new | breaks | explaining | professionally | position"
WORKPLACE_PERFORMANCE,278,"weak | workplace | difficulty | ability | quickly | performance | adapt | work"
STRATEGIC_PREPARATION,268,"weak | ability | strategic | difficulty | prioritize | long-term | tasks | responsibilities"
EMPLOYABILITY_FUTURE,263,"readiness | future | across | difficulty | institutional | gaps | students"
TALENT_IDENTIFICATION,224,"detecting | hidden | students"
LEARNING_QUALITY,207,"visibility | into | learning"
