concern_a,concern_b,similarity_score,recommended_group
CONCERN_CON_1754,CONCERN_EXA_1820,1,Burnout Family
CONCERN_EMO_1052,CONCERN_MOT_1070,1,Professional Family 2
CONCERN_EMO_1052,CONCERN_SOC_658,1,Professional Family 2
CONCERN_MOT_1070,CONCERN_SOC_658,1,Professional Family 2
CONCERN_EMP_1071,CONCERN_SOC_1119,0.75,Emotional Family 6
CONCERN_ACA_451,CONCERN_EXA_75,0.8,Professional Family
CONCERN_EMO_696,CONCERN_LIF_426,1,Credibility Family 2
CONCERN_ACA_1822,CONCERN_IDE_1517,1,Confusion Family
CONCERN_EXA_2080,CONCERN_LIF_2422,0.75,Identity Family
CONCERN_WOR_1120,CONCERN_WOR_620,0.7143,Career Family 8
CONCERN_EMO_1074,CONCERN_EMO_424,1,Collaboration Family
CONCERN_EMO_1074,CONCERN_WOR_582,1,Collaboration Family
CONCERN_EMO_424,CONCERN_WOR_582,1,Collaboration Family
CONCERN_ACA_2439,CONCERN_CAR_212,1,Decision Family
CONCERN_ACA_2439,CONCERN_EXP_1513,0.75,Decision Family
CONCERN_ACA_289,CONCERN_CAR_1576,0.75,Failures Family
CONCERN_CAR_212,CONCERN_EXP_1513,0.75,Decision Family
CONCERN_CAR_87,CONCERN_EXP_1513,0.75,Decision Family
CONCERN_COG_1532,CONCERN_IDE_1500,1,Despite Family
CONCERN_COG_1532,CONCERN_SEL_1620,0.75,Despite Family
CONCERN_COG_1601,CONCERN_PER_1530,0.8,Validation Family
CONCERN_DIS_2162,CONCERN_LEA_2002,0.75,Emotional Family
CONCERN_EXP_1513,CONCERN_MOT_1098,0.75,Decision Family
CONCERN_IDE_1500,CONCERN_SEL_1620,0.75,Despite Family
CONCERN_LIF_320,CONCERN_MOT_360,0.8,Execution Family
CONCERN_ACA_730,CONCERN_WOR_1082,1,Workplace Family
CONCERN_CAR_443,CONCERN_COM_567,1,Emotionally Family
CONCERN_CAR_87,CONCERN_LIF_388,0.75,Decision Family
CONCERN_COM_367,CONCERN_COM_725,0.75,Expectations Family
CONCERN_COL_1114,CONCERN_CON_1016,1,Emotional Family
CONCERN_COL_610,CONCERN_LIF_1078,1,Responsibilities Family
CONCERN_LEA_853,CONCERN_STR_937,0.8333,Emotional Family
CONCERN_EMP_1238,CONCERN_SOC_1314,1,Capability Family
CONCERN_ACA_109,CONCERN_COM_1684,1,Subjects Family
CONCERN_ACA_109,CONCERN_EXA_1972,1,Subjects Family
CONCERN_COM_1684,CONCERN_EXA_1972,1,Subjects Family
CONCERN_ACA_1978,CONCERN_COM_1703,1,Subjects Family 2
CONCERN_ACA_2341,CONCERN_LEA_1358,0.75,Performance Family
CONCERN_ACA_1982,CONCERN_ACA_2470,1,Breaking Family
CONCERN_PER_1411,CONCERN_PER_1549,1,Resilience Family
CONCERN_PER_1411,CONCERN_SOC_1515,1,Resilience Family
CONCERN_PER_1549,CONCERN_SOC_1515,1,Resilience Family
CONCERN_COM_1955,CONCERN_EXA_1668,1,Participation Family
CONCERN_COM_1955,CONCERN_PAR_1363,1,Participation Family
CONCERN_COM_1976,CONCERN_EXA_2269,1,Classroom Family 2
CONCERN_COM_1976,CONCERN_THI_1691,1,Classroom Family 2
CONCERN_DIS_2190,CONCERN_EXA_2153,1,Classroom Family
CONCERN_EXA_1668,CONCERN_PAR_1363,1,Participation Family
CONCERN_EXA_2269,CONCERN_THI_1691,1,Classroom Family 2
CONCERN_MOT_1625,CONCERN_PER_1533,1,Behavioral Family
CONCERN_COM_1320,CONCERN_EMO_274,0.75,Industry Family
CONCERN_COM_1320,CONCERN_LIF_372,0.75,Industry Family
CONCERN_EMO_274,CONCERN_LIF_372,1,Industry Family
CONCERN_CAR_253,CONCERN_EMP_89,0.75,Future Family 2
CONCERN_CON_1200,CONCERN_HOL_1260,0.7778,Leadership Family 6
CONCERN_INT_1312,CONCERN_TAL_1172,1,Future Family
CONCERN_IDE_1578,CONCERN_THI_226,0.75,Career Family 16
CONCERN_COG_1525,CONCERN_DEC_1436,1,Ownership Family
CONCERN_COG_1525,CONCERN_SEL_1545,1,Ownership Family
CONCERN_DEC_1436,CONCERN_SEL_1545,1,Ownership Family
CONCERN_EMO_679,CONCERN_THI_389,1,Career Family
CONCERN_ACA_1217,CONCERN_EMO_1255,1,Decline Family
CONCERN_CAR_479,CONCERN_MOT_2395,1,Failures Family
CONCERN_DIS_1985,CONCERN_DIS_2473,1,Motivation Family 2
CONCERN_LEA_1643,CONCERN_STR_977,0.75,Progress Family
CONCERN_MOT_1986,CONCERN_MOT_2474,1,Academic Family 5
CONCERN_COM_2047,CONCERN_FUT_1612,0.75,Different Family
CONCERN_EXA_1988,CONCERN_EXA_2476,1,Fast Family
CONCERN_ACA_1249,CONCERN_MOT_1289,1,Emotional Family 2
CONCERN_DIS_2406,CONCERN_SEL_2019,1,Consistency Family 2
CONCERN_SEL_1984,CONCERN_SEL_2472,1,Attendance Family
CONCERN_CON_422,CONCERN_CON_672,0.8,Environments Family 2
CONCERN_LIF_808,CONCERN_STR_870,1,Board Family
CONCERN_ADA_319,CONCERN_COM_1127,0.7143,Emotional Family
CONCERN_ADA_319,CONCERN_LEA_853,0.7143,Emotional Family
CONCERN_COM_1127,CONCERN_COM_685,0.8333,Emotional Family
CONCERN_COM_1127,CONCERN_LEA_853,0.7143,Emotional Family
CONCERN_DIS_1900,CONCERN_EMO_519,0.8333,Emotional Family
CONCERN_ACA_137,CONCERN_SOC_1922,0.75,Negative Family
CONCERN_COM_1977,CONCERN_LEA_1704,1,Study Family
CONCERN_EMO_1428,CONCERN_LEA_1603,1,Learning Family 7
CONCERN_THI_1983,CONCERN_THI_2471,1,Emotional Family
CONCERN_EMO_1066,CONCERN_STR_766,1,Communication Family 2
CONCERN_CAR_543,CONCERN_COM_971,0.8333,Again Family
CONCERN_ACA_1932,CONCERN_LEA_1263,1,Conceptual Family 2
CONCERN_EXA_2071,CONCERN_EXA_2228,1,Conceptual Family 4
CONCERN_ADJ_5,CONCERN_EMP_1318,0.75,Emotional Family
CONCERN_CON_2244,CONCERN_EXA_2146,0.75,Emotional Family
CONCERN_CON_2244,CONCERN_LAN_1361,0.75,Emotional Family
CONCERN_EXA_1696,CONCERN_LAN_1361,0.75,Emotional Family
CONCERN_EXA_1696,CONCERN_STA_1305,0.75,Emotional Family
CONCERN_EXA_218,CONCERN_IDE_1504,1,Goals Family
CONCERN_LEA_1673,CONCERN_LEA_1968,1,Discipline Family 2
CONCERN_ACA_1995,CONCERN_ACA_2483,1,Materials Family
CONCERN_DIS_1660,CONCERN_LEA_1438,1,Academic Family 4
CONCERN_COM_387,CONCERN_THI_57,0.8,Emotional Family
CONCERN_ACA_1734,CONCERN_ACA_2132,1,Failure Family
CONCERN_ACA_1863,CONCERN_MOT_1442,1,Asking Family
CONCERN_CAR_1384,CONCERN_CAR_205,1,Career Family 9
CONCERN_COM_1940,CONCERN_CON_1653,0.75,Asking Family
CONCERN_CON_1818,CONCERN_OVE_2318,1,Making Family
CONCERN_EMP_1393,CONCERN_EXA_1832,0.75,Failure Family
CONCERN_EMP_1393,CONCERN_THI_103,1,Failure Family
CONCERN_EXA_1832,CONCERN_THI_103,0.75,Failure Family
CONCERN_LEA_1455,CONCERN_LIF_1751,0.75,Public Family
CONCERN_LIF_1910,CONCERN_MOT_1855,0.75,Missing Family
CONCERN_CON_2282,CONCERN_CON_2462,1,Time Family
CONCERN_CON_2282,CONCERN_SOC_118,0.75,Time Family
CONCERN_CON_2462,CONCERN_SOC_118,0.75,Time Family
CONCERN_ACA_146,CONCERN_DIS_2208,1,Focus Family
CONCERN_ACA_1931,CONCERN_PUR_1647,1,Academic Family
CONCERN_ACA_641,CONCERN_CON_1842,0.75,Validation Family
CONCERN_LEA_1480,CONCERN_PER_1530,0.75,Validation Family
CONCERN_LEA_1480,CONCERN_SEL_1624,0.75,Validation Family
CONCERN_EXA_2000,CONCERN_EXA_2488,1,Emotional Family
CONCERN_CAR_1587,CONCERN_EMO_294,0.8,Style Family
CONCERN_CON_516,CONCERN_SEL_204,1,Career Family
CONCERN_EXA_1833,CONCERN_THI_1966,1,Career Family
CONCERN_IDE_1527,CONCERN_LEA_1497,1,Strengths Family
CONCERN_COM_695,CONCERN_DIS_1111,0.75,Emotional Family
CONCERN_EMP_615,CONCERN_LEA_1135,1,Emotional Family 12
CONCERN_EXA_2487,CONCERN_THI_1999,1,Academic Family 16
CONCERN_DIS_1996,CONCERN_DIS_2484,1,Oral Family
CONCERN_ACA_269,CONCERN_EMO_706,0.75,Learning Family 4
CONCERN_MOT_1993,CONCERN_MOT_2481,1,Academic Family 4
CONCERN_ACA_1699,CONCERN_THI_1952,1,Concepts Family
CONCERN_ACA_1651,CONCERN_THI_1934,1,Analytical Family
CONCERN_ACA_1959,CONCERN_FOU_1797,1,Independent Family
CONCERN_ACA_2469,CONCERN_CON_1981,1,Thinking Family
CONCERN_ACA_1687,CONCERN_DIS_1945,1,Initiative Family
CONCERN_ACA_1698,CONCERN_COM_1950,1,Mathematical Family
CONCERN_ACA_1700,CONCERN_ACA_1948,1,Development Family
CONCERN_ACA_1938,CONCERN_COM_2485,1,Following Family
CONCERN_ACA_1938,CONCERN_CON_1997,1,Following Family
CONCERN_ACA_1938,CONCERN_SEL_1676,1,Following Family
CONCERN_COM_2485,CONCERN_CON_1997,1,Following Family
CONCERN_COM_2485,CONCERN_SEL_1676,1,Following Family
CONCERN_CON_1997,CONCERN_SEL_1676,1,Following Family
CONCERN_ACA_1731,CONCERN_EXA_1667,1,Emotional Family
CONCERN_ACA_1731,CONCERN_MOT_1964,1,Emotional Family
CONCERN_ACA_1731,CONCERN_THI_2069,1,Emotional Family
CONCERN_ACA_1998,CONCERN_CLA_2486,1,Accuracy Family
CONCERN_ACA_1998,CONCERN_MOT_102,0.75,Accuracy Family
CONCERN_ADA_570,CONCERN_CAR_770,0.75,Decision Family
CONCERN_ADA_570,CONCERN_CON_72,0.75,Decision Family
CONCERN_CLA_2486,CONCERN_MOT_102,0.75,Accuracy Family
CONCERN_EXA_1667,CONCERN_MOT_1964,1,Emotional Family
CONCERN_EXA_1667,CONCERN_THI_2069,1,Emotional Family
CONCERN_MOT_1964,CONCERN_THI_2069,1,Emotional Family
CONCERN_WOR_1027,CONCERN_WOR_993,0.8,Emotional Family
CONCERN_CON_2140,CONCERN_MOT_2220,1,Exam Family
CONCERN_ADJ_404,CONCERN_EMO_668,1,Asking Family
CONCERN_CAR_1148,CONCERN_WOR_594,0.8,Influence Family
CONCERN_COM_312,CONCERN_LEA_1590,0.75,Learning Family 6
CONCERN_BEH_1449,CONCERN_DIS_126,0.75,Emotional Family 4
CONCERN_CON_2274,CONCERN_EXA_37,0.75,Decision Family
CONCERN_ACA_1967,CONCERN_EMO_740,1,Leadership Family
CONCERN_COL_768,CONCERN_WOR_1072,1,Leadership Family 5
CONCERN_STR_803,CONCERN_STR_873,1,Emotional Family 15
CONCERN_COM_1335,CONCERN_INQ_1171,0.75,Hidden Family 2
CONCERN_EXA_1813,CONCERN_EXA_1965,1,Decision Family
CONCERN_EXA_1813,CONCERN_LEA_1671,1,Decision Family
CONCERN_EXA_1965,CONCERN_LEA_1671,1,Decision Family
CONCERN_ACA_1974,CONCERN_MOT_1992,1,Academic Family 2
CONCERN_ACA_1974,CONCERN_MOT_2480,1,Academic Family 2
CONCERN_ADA_1479,CONCERN_CON_1208,1,Accountability Family
CONCERN_ADJ_2222,CONCERN_CLA_2154,1,Learning Family 2
CONCERN_MOT_1992,CONCERN_MOT_2480,1,Academic Family 2
CONCERN_ACA_1989,CONCERN_ACA_2477,1,Academic Family 3
CONCERN_COM_1801,CONCERN_CON_1942,1,Time Family
CONCERN_COM_1801,CONCERN_DIS_1659,1,Time Family
CONCERN_COM_1801,CONCERN_DIS_2120,1,Time Family
CONCERN_CON_1942,CONCERN_DIS_1659,1,Time Family
CONCERN_CON_1942,CONCERN_DIS_2120,1,Time Family
CONCERN_DIS_1659,CONCERN_DIS_2120,1,Time Family
CONCERN_LEA_1987,CONCERN_LEA_2475,1,Preparedness Family
CONCERN_ACA_2210,CONCERN_DIS_1994,0.75,Information Family
CONCERN_ACA_2210,CONCERN_DIS_2482,0.75,Information Family
CONCERN_DIS_1994,CONCERN_DIS_2482,1,Information Family
CONCERN_LEA_2175,CONCERN_THI_2289,0.75,Emotional Family 14
CONCERN_EMO_366,CONCERN_EXA_18,1,Discussions Family
CONCERN_EMO_366,CONCERN_THI_2026,1,Discussions Family
CONCERN_EXA_18,CONCERN_THI_2026,1,Discussions Family
CONCERN_DIS_1990,CONCERN_DIS_2478,1,Academic Family 13
CONCERN_CAR_523,CONCERN_FIN_449,0.75,Emotional Family
CONCERN_COL_1147,CONCERN_FIN_449,0.75,Emotional Family
CONCERN_COM_1033,CONCERN_FIN_449,0.75,Emotional Family
CONCERN_COM_2053,CONCERN_PER_1461,1,Academic Family 11
CONCERN_DIS_36,CONCERN_FIN_449,0.75,Emotional Family
CONCERN_DIS_36,CONCERN_SEL_220,1,Emotional Family
CONCERN_FIN_449,CONCERN_HOL_1001,0.75,Emotional Family
CONCERN_FIN_449,CONCERN_ORG_1344,0.75,Emotional Family
CONCERN_FIN_449,CONCERN_SEL_220,0.75,Emotional Family
CONCERN_EMO_1428,CONCERN_STU_1374,0.75,Learning Family 7
CONCERN_LEA_1603,CONCERN_STU_1374,0.75,Learning Family 7
CONCERN_COM_2270,CONCERN_EXA_1962,1,Goal Family
CONCERN_EMP_31,CONCERN_EXA_206,1,Career Family 15
CONCERN_MOT_2099,CONCERN_THI_2055,1,Academic Family 17
CONCERN_CAR_362,CONCERN_LIF_30,1,Interviews Family 2
CONCERN_EMO_589,CONCERN_LEA_1117,0.75,Innovation Family
CONCERN_LIF_908,CONCERN_STR_944,0.75,Enterprise Family
CONCERN_ADJ_1991,CONCERN_COL_2148,1,Learning Family 5
CONCERN_ADJ_1991,CONCERN_HOL_2479,1,Learning Family 5
CONCERN_COL_2148,CONCERN_HOL_2479,1,Learning Family 5
CONCERN_FOU_2136,CONCERN_SOC_1746,1,Emotional Family 10
CONCERN_BEH_1293,CONCERN_DIS_2131,1,Hidden Family
CONCERN_COM_405,CONCERN_WOR_737,1,Authentic Family
CONCERN_COL_572,CONCERN_STR_862,1,Executive Family
CONCERN_LIF_654,CONCERN_STR_826,0.75,Psychological Family
CONCERN_COL_2198,CONCERN_EXA_1715,1,Academic Family 10
CONCERN_COM_1656,CONCERN_MOT_1947,1,Comprehension Family
CONCERN_COM_1656,CONCERN_SUB_1360,1,Comprehension Family
CONCERN_MOT_1947,CONCERN_SUB_1360,1,Comprehension Family
CONCERN_DIS_2010,CONCERN_DIS_2405,1,Academic Family 14
CONCERN_STE_1724,CONCERN_THI_1935,1,Agility Family
