kind,redundant,phrase_a,phrase_b,overlap,archetype_a,archetype_b,stakeholder_a,stakeholder_b
stakeholder,false,what is low grades and exam results?,what causes low grades and exam results in children?,0.714,academic_achievement,academic_achievement,student,parent
stakeholder,false,what is low grades and exam results?,what does low grades and exam results look like?,0.714,academic_achievement,academic_achievement,student,counselor
stakeholder,false,what is low grades and exam results?,what is low grades and exam results at work?,0.833,academic_achievement,academic_achievement,student,professional
stakeholder,false,what causes low grades and exam results in children?,what is low grades and exam results at work?,0.625,academic_achievement,academic_achievement,parent,professional
stakeholder,false,what does low grades and exam results look like?,what is low grades and exam results at work?,0.625,academic_achievement,academic_achievement,counselor,professional
stakeholder,false,why do I study hard but my grades stay low?,why does my child study hard but their grades stay low?,0.857,academic_achievement,academic_achievement,student,parent
stakeholder,false,why do I study hard but my grades stay low?,why does a student study hard but their grades stay low?,0.857,academic_achievement,academic_achievement,student,teacher
stakeholder,false,why do I study hard but my grades stay low?,why does a client study hard but their grades stay low?,0.857,academic_achievement,academic_achievement,student,counselor
stakeholder,false,why do I study hard but my grades stay low?,why do I study hard but my grades stay low at work?,0.857,academic_achievement,academic_achievement,student,professional
stakeholder,false,why does my child study hard but their grades stay low?,why does a student study hard but their grades stay low?,0.75,academic_achievement,academic_achievement,parent,teacher
stakeholder,false,why does my child study hard but their grades stay low?,why does a client study hard but their grades stay low?,0.75,academic_achievement,academic_achievement,parent,counselor
stakeholder,false,why does my child study hard but their grades stay low?,why do I study hard but my grades stay low at work?,0.75,academic_achievement,academic_achievement,parent,professional
stakeholder,false,why does a student study hard but their grades stay low?,why does a client study hard but their grades stay low?,0.75,academic_achievement,academic_achievement,teacher,counselor
stakeholder,false,why does a student study hard but their grades stay low?,why do I study hard but my grades stay low at work?,0.75,academic_achievement,academic_achievement,teacher,professional
stakeholder,false,why does a client study hard but their grades stay low?,why do I study hard but my grades stay low at work?,0.75,academic_achievement,academic_achievement,counselor,professional
stakeholder,false,I feel discouraged about low grades,I am worried my child is discouraged about low grades,0.6,academic_achievement,academic_achievement,student,parent
stakeholder,false,I feel discouraged about low grades,my client feels discouraged about low grades,0.6,academic_achievement,academic_achievement,student,counselor
stakeholder,false,I feel discouraged about low grades,at work I feel discouraged about low grades,0.75,academic_achievement,academic_achievement,student,professional
stakeholder,false,how do I bring up low grades and results?,how to help my child bring up low grades and results,0.714,academic_achievement,academic_achievement,student,parent
stakeholder,false,how do I bring up low grades and results?,how do I bring up low grades and results at work?,0.833,academic_achievement,academic_achievement,student,professional
stakeholder,false,how to help my child bring up low grades and results,how do I bring up low grades and results at work?,0.625,academic_achievement,academic_achievement,parent,professional
stakeholder,false,what is trouble coping with change?,what causes trouble coping with change in children?,0.667,adaptability_change,adaptability_change,student,parent
stakeholder,false,what is trouble coping with change?,what does trouble coping with change look like?,0.667,adaptability_change,adaptability_change,student,counselor
stakeholder,false,what is trouble coping with change?,what is trouble coping with change at work?,0.8,adaptability_change,adaptability_change,student,professional
stakeholder,false,why do I get thrown when plans suddenly change?,why do I get thrown when plans suddenly change at work?,0.833,adaptability_change,adaptability_change,student,professional
stakeholder,false,why does my child get thrown when routines change?,why does a student get thrown when routines change?,0.667,adaptability_change,adaptability_change,parent,teacher
stakeholder,false,why does my child get thrown when routines change?,why does a client get thrown when routines change?,0.667,adaptability_change,adaptability_change,parent,counselor
stakeholder,false,why does a student get thrown when routines change?,why does a client get thrown when routines change?,0.667,adaptability_change,adaptability_change,teacher,counselor
stakeholder,false,I feel anxious when plans suddenly change,I am worried my child is anxious when plans suddenly change,0.667,adaptability_change,adaptability_change,student,parent
stakeholder,false,I feel anxious when plans suddenly change,my client feels anxious when plans suddenly change,0.667,adaptability_change,adaptability_change,student,counselor
stakeholder,false,I feel anxious when plans suddenly change,at work I feel anxious when plans suddenly change,0.8,adaptability_change,adaptability_change,student,professional
stakeholder,false,how do I stay steady when things change?,how to help my child stay steady when things change,0.714,adaptability_change,adaptability_change,student,parent
stakeholder,false,how do I stay steady when things change?,how do I stay steady when things change at work?,0.833,adaptability_change,adaptability_change,student,professional
stakeholder,false,how to help my child stay steady when things change,how do I stay steady when things change at work?,0.625,adaptability_change,adaptability_change,parent,professional
stakeholder,false,what is career confusion?,what causes career confusion in children?,0.6,career_professional_growth,career_professional_growth,student,parent
stakeholder,false,what is career confusion?,what does career confusion look like?,0.6,career_professional_growth,career_professional_growth,student,counselor
stakeholder,false,what is career confusion?,what is career confusion at work?,0.75,career_professional_growth,career_professional_growth,student,professional
stakeholder,false,why do I feel stuck about my next career step?,why do I feel stuck about my next career step at work?,0.833,career_professional_growth,career_professional_growth,student,professional
stakeholder,false,why does my child feel lost about which career to choose?,why does a student feel lost about which career to choose?,0.714,career_professional_growth,career_professional_growth,parent,teacher
stakeholder,false,why does my child feel lost about which career to choose?,why does a client feel lost about which career to choose?,0.714,career_professional_growth,career_professional_growth,parent,counselor
stakeholder,false,why does my child feel lost about which career to choose?,I feel lost about which career to choose,0.667,career_professional_growth,career_professional_growth,parent,student
semantic,true,why does my child feel lost about which career to choose?,I am worried my child is lost about which career to choose,0.714,career_professional_growth,career_professional_growth,parent,parent
stakeholder,false,why does a student feel lost about which career to choose?,why does a client feel lost about which career to choose?,0.714,career_professional_growth,career_professional_growth,teacher,counselor
stakeholder,false,why does a student feel lost about which career to choose?,I feel lost about which career to choose,0.667,career_professional_growth,career_professional_growth,teacher,student
semantic,true,why does a student feel lost about which career to choose?,my student seems lost about which career to choose in class,0.625,career_professional_growth,career_professional_growth,teacher,teacher
stakeholder,false,why does a client feel lost about which career to choose?,I feel lost about which career to choose,0.667,career_professional_growth,career_professional_growth,counselor,student
semantic,true,why does a client feel lost about which career to choose?,my client feels lost about which career to choose,0.714,career_professional_growth,career_professional_growth,counselor,counselor
stakeholder,false,I feel lost about which career to choose,I am worried my child is lost about which career to choose,0.667,career_professional_growth,career_professional_growth,student,parent
stakeholder,false,I feel lost about which career to choose,my client feels lost about which career to choose,0.667,career_professional_growth,career_professional_growth,student,counselor
stakeholder,false,I feel lost about which career to choose,at work I feel lost about which career to choose,0.8,career_professional_growth,career_professional_growth,student,professional
stakeholder,false,how do I find the right career direction?,how to help my child find the right career direction,0.714,career_professional_growth,career_professional_growth,student,parent
