concern_id,concern,domain,persona,severity,priority,curated_questions,root_cause_group,intervention_lens
CONCERN_DOM_1,Adapting to College Academic Structure,College Adaptation,Campus Student,High,P1,0,Sudden Independence Shift,Transition Coaching
CONCERN_COL_2,Self-Directed Learning Skills,Employability & Academic Readiness,Campus Student,High,P1,0,School Conditioning,Self-Learning Coaching
CONCERN_EMP_27,Collaborating in Team Projects,Collaboration & Ownership,Campus Student,Medium,P2,0,Weak Coordination Skills,Collaboration Coaching
CONCERN_EMP_29,Financial Independence in College,Lifestyle & Adjustment,Campus Student,Medium,P2,0,Lack of Financial Awareness,Financial Discipline Coaching
CONCERN_EXA_63,Building Practical Team Collaboration in Projects,Collaboration & Ownership,Campus Student,Medium,P2,0,Weak Collaboration Skills,Collaboration Coaching
CONCERN_CAR_82,Research Orientation for Higher Education,Academic & Career Readiness,Campus Student,Medium,P2,0,Theory-Centric Learning,Research Coaching
CONCERN_SOC_118,Time Allocation During Competitive Exams,Examination Readiness,Competitive Aspirant,Critical,P1,0,Weak Exam Planning,Exam Strategy Coaching
CONCERN_CON_138,Test-Taking Strategy in Competitive Exams,Examination Readiness,Competitive Aspirant,Critical,P1,0,Weak Exam Simulation Practice,Strategy Coaching
CONCERN_EXA_166,Attempt Strategy Decisions,Examination Readiness,Competitive Aspirant,High,P1,0,Fear of Negative Marking,Strategy Coaching
CONCERN_CON_168,Transition from Learning to Testing Mode,Examination Readiness,Competitive Aspirant,Medium,P2,0,Insufficient Mock Conditioning,Test Coaching
CONCERN_EXA_184,Last-Minute Revision Effectiveness,Examination Readiness,Competitive Aspirant,Medium,P2,0,Fear of Incomplete Syllabus,Revision Coaching
CONCERN_EXA_196,Revision Completion Before Exams,Examination Readiness,Competitive Aspirant,High,P1,0,Perfectionism Pressure,Revision Coaching
CONCERN_CON_261,Identifying Core Skill Gaps,Skill Development,Skill Development Learner,High,P1,0,Lack of Structured Assessment,Skill Mapping Coaching
CONCERN_STR_318,Adaptability to New Learning Technologies,Adaptive Learning,Skill Development Learner,Medium,P2,0,Fear of Complexity,Adaptability Coaching
CONCERN_LIF_323,Building Competency Through Collaborative Learning,Collaboration & Ownership,Skill Development Learner,Medium,P2,0,Low Communication Confidence,Collaboration Coaching
CONCERN_COL_324,Real-Time Skill Assessments,Examination Readiness,Skill Development Learner,Medium,P2,0,Fear of Judgement,Performance Coaching
CONCERN_EMO_350,Adapt Learning Strategies During Failure,Adaptive Learning,Skill Development Learner,Medium,P2,0,Rigid Learning Habits,Adaptability Coaching
CONCERN_COM_370,Technical Assessments,Examination Readiness,Early Career Learner,High,P1,0,Fear of Failure,Technical Coaching
CONCERN_CAR_380,Workplace Collaboration,Collaboration & Ownership,Early Career Learner,Medium,P2,0,Limited Group Exposure,Collaboration Coaching
CONCERN_COM_410,Handle Professional Conflict Constructively,Collaboration & Ownership,Early Career Learner,Medium,P2,0,Low Assertiveness Skills,Collaboration Coaching
CONCERN_EMO_424,Cross-Functional Collaboration,Collaboration & Ownership,Early Career Learner,Medium,P2,0,Limited Team Exposure,Collaboration Coaching
CONCERN_COM_434,Manage Workplace Priorities Without Supervision,Ownership & Accountability,Early Career Learner,Medium,P2,0,Low Self-Management Skills,Ownership Coaching
CONCERN_CON_448,Awareness of Long-Term Financial Planning After Employment,Financial Readiness,Early Career Learner,Medium,P2,0,Lack of Financial Education,Financial Coaching
CONCERN_STU_1356,time management before exams,Academic Readiness,Academic Counsellor,Medium,P2,0,Weak routines,Time structuring
CONCERN_COM_463,Explaining Career Gaps Professionally,Career Transition,Job Seeker,High,P1,0,Fear of Judgment,Career Coaching
CONCERN_CAR_465,Transitioning Into New Industries,Career Transition,Job Seeker,High,P1,0,Fear of Starting Over,Transition Coaching
CONCERN_THI_476,Switching Careers Midway,Career Transition,Job Seeker,High,P1,0,Fear of Failure,Transition Coaching
CONCERN_EMO_482,Position Transferable Skills,Career Transition,Job Seeker,Medium,P2,0,Weak Narrative Framing,Transition Coaching
CONCERN_DIS_488,Handle Technical Assessments Under Pressure,Examination Readiness,Job Seeker,High,P1,0,Fear of Failure,Technical Coaching
CONCERN_MOT_496,Rejoining Workforce After Career Breaks,Career Transition,Job Seeker,High,P1,0,Skill Obsolescence Fear,Reentry Coaching
CONCERN_CAR_505,Explaining Frequent Job Changes Professionally,Career Transition,Job Seeker,Medium,P2,0,Weak Professional Storytelling,Positioning Coaching
CONCERN_CON_510,Understanding of Industry Salary Benchmarks,Financial Readiness,Job Seeker,Medium,P2,0,Lack of Market Research,Salary Coaching
CONCERN_CAR_517,Building a Strategic Long-Term Career Narrative,Career Planning,Job Seeker,Medium,P2,0,Reactive Career Decisions,Career Coaching
CONCERN_CON_522,Reposition Experience for New Job Markets,Career Transition,Job Seeker,Medium,P2,0,Changing Industry Expectations,Rebranding Coaching
CONCERN_EMO_534,Position Career Breaks Positively,Career Transition,Job Seeker,Medium,P2,0,Weak Story Framing,Narrative Coaching
CONCERN_LIF_538,Returning After Maternity or Caregiving Breaks,Career Transition,Job Seeker,High,P1,0,Career Continuity Gaps,Reentry Coaching
CONCERN_EMO_550,Build Credibility in New Domains Quickly,Career Transition,Job Seeker,Medium,P2,0,Limited Domain Proof,Branding Coaching
CONCERN_LEA_553,Balancing Pragmatic Choices with Career Aspirations,Career Planning,Job Seeker,High,P1,0,Financial Pressure vs Ambition,Decision Coaching
