template_key,archetype_key,archetype_name,stakeholder_type,problem_id,plan_title,step_immediate,step_week,step_month,step_quarter,total_days,avg_composite,is_duplicate
academic_achievement::student,academic_achievement,Academic Achievement & Exam Performance,student,1,Academic Achievement & Exam Performance — student action plan,"Today, pick the weakest subject and finish one focused homework or revision task.","Each day this week, track grades and homework due dates in one place.","Over the next 30 days, follow a weekly revision plan that covers every subject before the next test.","Over the next 90 days, lift results across subjects with a steady term-long study schedule.",90,4.75,false
academic_achievement::parent,academic_achievement,Academic Achievement & Exam Performance,parent,1,Academic Achievement & Exam Performance — parent action plan,"Today, help your child pick the weakest subject and finish one focused homework or revision task.","Each day this week, help your child track grades and homework due dates in one place.","Over the next 30 days, help your child follow a weekly revision plan that covers every subject before the next test.","Across this term, help your child lift results across subjects with a steady term-long study schedule.",90,4.75,false
academic_achievement::teacher,academic_achievement,Academic Achievement & Exam Performance,teacher,1,Academic Achievement & Exam Performance — teacher action plan,"In class today, have the student pick the weakest subject and finish one focused homework or revision task.","Each day this week, have the student track grades and homework due dates in one place.","Over the next month, coach the student to follow a weekly revision plan that covers every subject before the next test.","Across the term, support the student to lift results across subjects with a steady term-long study schedule.",90,4.85,false
academic_achievement::counselor,academic_achievement,Academic Achievement & Exam Performance,counselor,1,Academic Achievement & Exam Performance — counselor action plan,"In today’s session, guide your client to pick the weakest subject and finish one focused homework or revision task.",Set a one-week task for your client to track grades and homework due dates in one place.,"Across a 30-day plan, work with your client to follow a weekly revision plan that covers every subject before the next test.","Across a 90-day plan, guide your client to lift results across subjects with a steady term-long study schedule.",90,4.85,false
academic_achievement::professional,academic_achievement,Academic Achievement & Exam Performance,professional,1,Academic Achievement & Exam Performance — professional action plan,"Before the workday ends, pick the weakest subject and finish one focused homework or revision task.","Each workday this week, track grades and homework due dates in one place.","Over the next 30 days at work, follow a weekly revision plan that covers every subject before the next test.","Over the next quarter at work, lift results across subjects with a steady term-long study schedule.",90,4.7,false
adaptability_change::student,adaptability_change,Adaptability & Change Navigation,student,5,Adaptability & Change Navigation — student action plan,"Today, write down one new option instead of stalling the next time a plan changes.","Each day this week, note one change faced and how it was handled.","Over the next 30 days, follow a practice of handling one unexpected change a week on purpose.","Over the next 90 days, build calm adaptability through a term of managed transitions.",90,4.1,false
adaptability_change::parent,adaptability_change,Adaptability & Change Navigation,parent,5,Adaptability & Change Navigation — parent action plan,"Today, help your child write down one new option instead of stalling the next time a plan changes.","Each day this week, help your child note one change faced and how it was handled.","Over the next 30 days, help your child follow a practice of handling one unexpected change a week on purpose.","Across this term, help your child build calm adaptability through a term of managed transitions.",90,4.1,false
adaptability_change::teacher,adaptability_change,Adaptability & Change Navigation,teacher,5,Adaptability & Change Navigation — teacher action plan,"In class today, have the student write down one new option instead of stalling the next time a plan changes.","Each day this week, have the student note one change faced and how it was handled.","Over the next month, coach the student to follow a practice of handling one unexpected change a week on purpose.","Across the term, support the student to build calm adaptability through a term of managed transitions.",90,4.05,false
adaptability_change::counselor,adaptability_change,Adaptability & Change Navigation,counselor,5,Adaptability & Change Navigation — counselor action plan,"In today’s session, guide your client to write down one new option instead of stalling the next time a plan changes.",Set a one-week task for your client to note one change faced and how it was handled.,"Across a 30-day plan, work with your client to follow a practice of handling one unexpected change a week on purpose.","Across a 90-day plan, guide your client to build calm adaptability through a term of managed transitions.",90,4.2,false
adaptability_change::professional,adaptability_change,Adaptability & Change Navigation,professional,5,Adaptability & Change Navigation — professional action plan,"Before the workday ends, write down one new option instead of stalling the next time a plan changes.","Each workday this week, note one change faced and how it was handled.","Over the next 30 days at work, follow a practice of handling one unexpected change a week on purpose.","Over the next quarter at work, build calm adaptability through a term of managed transitions.",90,4.05,false
career_professional_growth::student,career_professional_growth,Career Growth & Professional Identity,student,12,Career Growth & Professional Identity — student action plan,"Today, list three roles or career paths worth exploring and one question to ask about each.","Each day this week, research jobs, roles, and the skills they need for twenty minutes.","Over the next 30 days, set up two short informational chats with people in a target career or role.","Over the next 90 days, build a clear career direction with a step plan toward a chosen role or promotion.",90,4.8,false
career_professional_growth::parent,career_professional_growth,Career Growth & Professional Identity,parent,12,Career Growth & Professional Identity — parent action plan,"Today, help your child list three roles or career paths worth exploring and one question to ask about each.","Each day this week, help your child research jobs, roles, and the skills they need for twenty minutes.","Over the next 30 days, help your child set up two short informational chats with people in a target career or role.","Across this term, help your child build a clear career direction with a step plan toward a chosen role or promotion.",90,4.8,false
