capability_concern_id,capability_name,problem_concern_id,problem_name,confidence_score,mapping_reason
CONCERN_ACA_1034,Evaluate Skill Relevance Across Industries,CONCERN_ACA_1034,Cross-Industry Skill Mapping Weakness,0.7,"display_label is a capability (""Evaluate Skill Relevance Across Industries"") whose concern_category is a deficit-state (""Cross-Industry Skill Mapping Weakness""); topical overlap 0.00"
CONCERN_ACA_1050,Build Cross-Domain Problem-Solving Confidence,CONCERN_ACA_1050,Cross-Domain Thinking Anxiety,0.8,"display_label is a capability (""Build Cross-Domain Problem-Solving Confidence"") whose concern_category is a deficit-state (""Cross-Domain Thinking Anxiety""); topical overlap 0.33"
CONCERN_ACA_1086,Build Strategic Visibility Within Organizations,CONCERN_ACA_1086,Strategic Visibility Weakness,0.9,"display_label is a capability (""Build Strategic Visibility Within Organizations"") whose concern_category is a deficit-state (""Strategic Visibility Weakness""); topical overlap 0.67"
CONCERN_ACA_109,Balancing Multiple Subjects Simultaneously,CONCERN_ACA_109,Multi-Subject Coordination Weakness,0.7,"display_label is a capability (""Balancing Multiple Subjects Simultaneously"") whose concern_category is a deficit-state (""Multi-Subject Coordination Weakness""); topical overlap 0.00"
CONCERN_ACA_1108,Managing Difficult Professional Conversations,CONCERN_ACA_1108,Difficult Conversation Anxiety,0.76,"display_label is a capability (""Managing Difficult Professional Conversations"") whose concern_category is a deficit-state (""Difficult Conversation Anxiety""); topical overlap 0.20"
CONCERN_ACA_112,Solving Advanced Problems,CONCERN_ACA_112,Complex Problem Anxiety,0.7,"display_label is a capability (""Solving Advanced Problems"") whose concern_category is a deficit-state (""Complex Problem Anxiety""); topical overlap 0.00"
CONCERN_ACA_1162,Visibility Into Student Competency Distribution Across Grades,CONCERN_ACA_1162,Competency Visibility Deficit,0.85,"display_label is a capability (""Visibility into Student Competency Distribution Across Grades"") whose concern_category is a deficit-state (""Competency Visibility Deficit""); topical overlap 0.50"
CONCERN_ACA_1174,Visibility Into Classroom Engagement Patterns,CONCERN_ACA_1174,Engagement Monitoring Weakness,0.775,"display_label is a capability (""Visibility into Classroom Engagement Patterns"") whose concern_category is a deficit-state (""Engagement Monitoring Weakness""); topical overlap 0.25"
CONCERN_ACA_1178,Measure Institutional Learning Effectiveness,CONCERN_ACA_1178,Learning Effectiveness Blindness,0.97,"display_label is a capability (""Measure Institutional Learning Effectiveness"") whose concern_category is a deficit-state (""Learning Effectiveness Blindness""); topical overlap 1.00"
CONCERN_ACA_1188,Measure Collaborative Competencies Institutionally,CONCERN_ACA_1188,Collaboration Visibility Weakness,0.7,"display_label is a capability (""Measure Collaborative Competencies Institutionally"") whose concern_category is a deficit-state (""Collaboration Visibility Weakness""); topical overlap 0.00"
CONCERN_ACA_1198,Visibility Into Teacher Competency Growth Needs,CONCERN_ACA_1198,Teacher Development Visibility Weakness,0.76,"display_label is a capability (""Visibility into Teacher Competency Growth Needs"") whose concern_category is a deficit-state (""Teacher Development Visibility Weakness""); topical overlap 0.20"
CONCERN_ACA_1211,Holistic School Effectiveness Beyond Academic Results,CONCERN_ACA_1211,Holistic Effectiveness Blindness,0.82,"display_label is a capability (""Holistic School Effectiveness Beyond Academic Results"") whose concern_category is a deficit-state (""Holistic Effectiveness Blindness""); topical overlap 0.40"
