id,response_type,question,new_a,new_b,new_c,new_d,new_e
1008,frequency,How much time do you spend thinking about what career should I choose without reaching a conclusion?,Very low — far below where I want it,Low — below where I want it,Moderate — somewhere in the middle,High — above average for me,Very high — well above average
1058,energy_motivation,How much does fear of making the wrong choice delay your career-related decisions?,Not at all — it doesn't affect me,Slightly — just a little,Moderately — to a fair degree,Strongly — quite a lot,Extremely — to a very high degree
1608,energy_motivation,How much does interview anxiety affect your ability to express your thoughts clearly?,Not at all — it doesn't affect me,Slightly — just a little,Moderately — to a fair degree,Strongly — quite a lot,Extremely — to a very high degree
1644,motivation,"After getting feedback or rejection, how motivated do you feel to try again?",Very low — far below where I want it,Low — below where I want it,Moderate — somewhere in the middle,High — above average for me,Very high — well above average
1858,energy_motivation,How much has inconsistency affected your ability to complete tasks effectively?,Not at all — it doesn't affect me,Slightly — just a little,Moderately — to a fair degree,Strongly — quite a lot,Extremely — to a very high degree
1908,energy_motivation,How much has your focus on productivity affected your physical health or energy levels?,Not at all — it doesn't affect me,Slightly — just a little,Moderately — to a fair degree,Strongly — quite a lot,Extremely — to a very high degree
2908,energy_motivation,How much does heavy cognitive workload reduce your productivity or task completion speed?,No impact — it doesn't affect me,Mild impact — a small effect,Moderate impact — a noticeable effect,Major impact — a strong effect,Severe impact — it affects me deeply
3033,energy_motivation,How much has your focus on career growth affected your emotional wellbeing or rest patterns?,No impact — it doesn't affect me,Mild impact — a small effect,Moderate impact — a noticeable effect,Major impact — a strong effect,Severe impact — it affects me deeply
3114,intensity,"Compared to other colleges, how strong do you think your institutions skill culture is?",Very low — far below where I want it,Low — below where I want it,Moderate — somewhere in the middle,High — above average for me,Very high — well above average
3158,energy_motivation,How much does limited institutional understanding affect your motivation or engagement?,Not at all — it doesn't affect me,Slightly — just a little,Moderately — to a fair degree,Strongly — quite a lot,Extremely — to a very high degree
3228,ease,"When comparing syllabi or outcomes, how easy is it to see how everything connects across subjects?",Not difficult — it's easy for me,Slightly difficult — minor effort,Moderately difficult — some struggle,Very difficult — a real struggle,Extremely difficult — almost impossible
3244,likelihood,"If given a dashboard showing your skill progress, how likely are you to actively use it?",Very low — far below where I want it,Low — below where I want it,Moderate — somewhere in the middle,High — above average for me,Very high — well above average
