Assessment name	Stage	Anchor	Domain	Sub-Domain	Dimension	Focus Area	Layer (1-12)	Dimension	Question (Self-Assessment)	Response	A (1pt)	B (2pt)	C (3pt)	D (4pt)	E (5pt)	Polarity	Wt	Logic	Age Band	Stage 	Age
Short attention Span	Curiosity	Yes	Cognitive Development	Endurance	Duration	Deep Cognitive Development	1: Duration	Sustained Focus	How long can you study one topic before needing a break?	<15m to 1h+	<15m	15-30m	30-45m	45-60m	1h+	(+)	1.5	Linear (1-5)	11-18	Curiosity	B, C
Short attention Span	Curiosity	No	Behavioral	Inhibition	Digital Control	High-Impact Behavioral	3: Impulse	Digital Control	Do you check your phone the moment it lights up?	Always to Never	Always	Often	Sometimes	Rarely	Never	(-)	1.2	Inverted (5-1)	11-18	Curiosity	B, C
Short attention Span	Curiosity	No	Behavioral	Physiology	Restlessness	High-Impact Behavioral	2: Physical	Restlessness	Do you feel "fidgety" if you sit still for 10 mins?	Always to Never	Always	Often	Sometimes	Rarely	Never	(-)	1	Inverted (5-1)	11-14	Curiosity	B
Short attention Span	Curiosity	No	Cognitive Development	Recovery	Recovery Speed	Deep Cognitive Development	4: Recovery	Recovery Speed	After a distraction, how quickly is your brain "back"?	15m+ to <1m	15m+	10m	5m	2m	<1m	(+)	1.5	Linear (1-5)	15-18	Curiosity	C
Short attention Span	Curiosity	No	Behavioral	Exec Function	Task Completion	High-Impact Behavioral	10: Exec	Task Completion	Do you have 3+ half-finished chapters right now?	Yes / No	Yes (3+)	Yes (2)	Yes (1)	Not really	No	(-)	1.3	Yes=1, No=5	11-18	Curiosity	B, C
Short attention Span	Curiosity	No	Cognitive Development	Endurance	Cognitive Development Fatigue	Deep Cognitive Development	1: Duration	Cognitive Development Fatigue	Does your brain feel "foggy" after 20 mins of reading?	Always to Never	Always	Often	Sometimes	Rarely	Never	(-)	1.1	Inverted (5-1)	15-18	Curiosity	C
Short attention Span	Curiosity	No	Cognitive Development	Internal Reg	Internal Drift	Deep Cognitive Development	2: Physical	Internal Drift	In silence, do your own thoughts pull you away?	Daily to Never	Daily	Often	Sometimes	Rarely	Never	(-)	1.4	Inverted (5-1)	15-18	Curiosity	C
Short attention Span	Curiosity	No	Behavioral	Environment	Sensory Control	High-Impact Behavioral	5: Sensory	Sensory Control	Does a small noise (fan/hum) stop you from working?	Always to Never	Always	Often	Sometimes	Rarely	Never	(-)	1.2	Inverted (5-1)	11-14	Curiosity	B
Short attention Span	Curiosity	No	Emotional	Anxiety	Focus Anxiety	Emotional/Anxiety	11: Meta	Focus Anxiety	Do you panic that you aren't finishing fast enough?	Always to Never	Always	Often	Sometimes	Rarely	Never	(-)	1.1	Inverted (5-1)	15-18	Curiosity	C
Short attention Span	Curiosity	Yes	Diagnostic	Profile	Hyper-focus	Hyper-focus Paradox	6: Diagnostic	Hyper-focus	Can you play games for 1hr but not study for 15m?	Always to Never	Always	Often	Sometimes	Rarely	Never	(-)	1.6	Inverted (5-1)	11-18	Curiosity	B, C
Short attention Span	Curiosity	No	Behavioral	Exec Function	Preparation	High-Impact Behavioral	10: Exec	Preparation	Do you clear your desk before you start studying?	Always to Never	Never	Rarely	Sometimes	Often	Always	(+)	1	Linear (1-5)	11-14	Curiosity	B
Short attention Span	Curiosity	No	Emotional	Self-Concept	Self-Belief	Emotional/Anxiety	12: Core	Self-Belief	I think my focus is weaker than my friends'.	Agree to Disagree	Agree	Inclined	Neutral	Disinclined	Disagree	(-)	1	Inverted (5-1)	15-18	Curiosity	C
Short attention Span	Curiosity	No	Cognitive Development	Processing	Reading Track	Deep Cognitive Development	8: Precision	Reading Track	Do you "read" a page but forget it immediately?	Always to Never	Always	Often	Sometimes	Rarely	Never	(-)	1.5	Inverted (5-1)	11-18	Curiosity	B, C
Short attention Span	Curiosity	No	Behavioral	Inhibition	Multitasking	High-Impact Behavioral	3: Impulse	Multitasking	How many tabs/apps are open during homework?	5+ to 1	5+	4	3	2	1	(-)	1.2	1=5, 5+=1	11-18	Curiosity	B, C
Short attention Span	Curiosity	No	Emotional	Anxiety	Frustration	Emotional/Anxiety	11: Meta	Frustration	Do you get angry when you realize you've drifted?	Always to Never	Always	Often	Sometimes	Rarely	Never	(-)	1.1	Inverted (5-1)	11-18	Curiosity	B, C
Short attention Span	Curiosity	No	Cognitive Development	Sensory	Auditory Capture	Deep Cognitive Development	5: Sensory	Auditory Capture	People say your name twice for your attention?	Always to Never	Always	Often	Sometimes	Rarely	Never	(-)	1.3	Inverted (5-1)	11-14	Curiosity	B
Short attention Span	Curiosity	No	Behavioral	Inhibition	Digital Hunger	High-Impact Behavioral	3: Impulse	Digital Hunger	Feel an "itch" to check social media while working?	Always to Never	Always	Often	Sometimes	Rarely	Never	(-)	1.4	Inverted (5-1)	11-18	Curiosity	B, C
Short attention Span	Curiosity	No	Cognitive Development	Endurance	Mental Stamina	Deep Cognitive Development	1: Duration	Mental Stamina	Can you handle two difficult subjects back-to-back?	Yes / No	No	-	-	-	Yes	(+)	1.5	Yes=5, No=1	15-18	Curiosity	C
Short attention Span	Curiosity	No	Behavioral	Exec Function	Note-Taking	High-Impact Behavioral	10: Exec	Note-Taking	Do you stop writing if the teacher speaks too fast?	Always to Never	Always	Often	Sometimes	Rarely	Never	(-)	1.2	Inverted (5-1)	11-18	Curiosity	B, C
Short attention Span	Curiosity	No	Emotional	Anxiety	Boredom	Emotional/Anxiety	11: Meta	Boredom Threshold	If a topic isn't "fun," do you stop paying attention?	Always to Never	Always	Often	Sometimes	Rarely	Never	(-)	1.3	Inverted (5-1)	11-14	Curiosity	B
Short attention Span	Curiosity	No	Cognitive Development	Processing	Visual Search	Deep Cognitive Development	8: Precision	Visual Search	Struggle to find a specific word in a paragraph?	Always to Never	Always	Often	Sometimes	Rarely	Never	(-)	1.2	Inverted (5-1)	11-14	Curiosity	B
Short attention Span	Curiosity	No	Diagnostic	Motivation	Deadline Drive	Hyper-focus Paradox	10: Exec	Deadline Drive	Do you only focus when the deadline is 1 hour away?	Always to Never	Always	Often	Sometimes	Rarely	Never	(-)	1.4	Inverted (5-1)	15-18	Curiosity	C
Short attention Span	Curiosity	No	Diagnostic	Chronotype	Night Focus	Hyper-focus Paradox	2: Physical	Night Focus	Do you find it easier to focus at night than day?	Yes / No	Yes	-	Neutral	-	No	(±)	1	Neutral (3)	15-18	Curiosity	C
Short attention Span	Curiosity	No	Behavioral	Precision	Instructions	High-Impact Behavioral	8: Precision	Instructions	Do you skip reading the "instructions" on a test?	Always to Never	Always	Often	Sometimes	Rarely	Never	(-)	1.4	Inverted (5-1)	11-14	Curiosity	B
Short attention Span	Curiosity	No	Emotional	Self-Concept	External Blame	Emotional/Anxiety	12: Core	External Blame	I can only focus if the teacher/parent is watching.	Always to Never	Always	Often	Sometimes	Rarely	Never	(-)	1.3	Inverted (5-1)	11-14	Curiosity	B
Short attention Span	Curiosity	No	Cognitive Development	Memory	Sequential Logic	Deep Cognitive Development	9: Synthesis	Sequential Logic	Lose track of the steps in a long Math problem?	Always to Never	Always	Often	Sometimes	Rarely	Never	(-)	1.5	Inverted (5-1)	11-18	Curiosity	B, C
Short attention Span	Curiosity	No	Diagnostic	Sensory	Notification Ghost	Hyper-focus Paradox	5: Sensory	Notification Ghost	"Hear" your phone vibrate even when it didn't?	Yes / No	Yes	-	-	-	No	(-)	1.4	Yes=1, No=5	11-18	Curiosity	B, C
Short attention Span	Curiosity	No	Behavioral	Environment	Env. Shift	High-Impact Behavioral	5: Sensory	Env. Shift	Does studying in a new place (library/cafe) help?	Yes / No	No	-	-	-	Yes	(+)	1.1	Yes=5, No=1	15-18	Curiosity	C
Short attention Span	Curiosity	No	Emotional	Anxiety	Peer Comparison	Emotional/Anxiety	11: Meta	Peer Comparison	Feel behind when you see others finishing fast?	Always to Never	Always	Often	Sometimes	Rarely	Never	(-)	1.1	Inverted (5-1)	11-18	Curiosity	B, C
Short attention Span	Curiosity	No	Diagnostic	Shifting	Task Switching	Hyper-focus Paradox	4: Recovery	Task Switching	Hard to switch from "gaming" to "study" brain?	Always to Never	Always	Often	Sometimes	Rarely	Never	(-)	1.4	Inverted (5-1)	11-18	Curiosity	B, C
Short attention Span	Curiosity	No	Behavioral	Physiology	Eye Fatigue	High-Impact Behavioral	2: Physical	Eye Fatigue	Do your eyes feel tired after 15 mins of screen study?	Always to Never	Always	Often	Sometimes	Rarely	Never	(-)	1.2	Inverted (5-1)	11-18	Curiosity	B, C
Short attention Span	Curiosity	No	Behavioral	Exec Function	Doodling	High-Impact Behavioral	10: Exec	Doodling	Do you draw or scribble while listening to a lecture?	Always to Never	Always	Often	Sometimes	Rarely	Never	(-)	1.1	Inverted (5-1)	11-14	Curiosity	B
Short attention Span	Curiosity	No	Cognitive Development	Sensory	Mental Rewind	Deep Cognitive Development	5: Sensory	Mental Rewind	How often do you have to ask "What did you say?"	Always to Never	Always	Often	Sometimes	Rarely	Never	(-)	1.3	Inverted (5-1)	11-14	Curiosity	B
Short attention Span	Curiosity	No	Behavioral	Inhibition	App Switching	High-Impact Behavioral	3: Impulse	App Switching	Switch between YouTube/Instagram while studying?	Always to Never	Always	Often	Sometimes	Rarely	Never	(-)	1.5	Inverted (5-1)	11-18	Curiosity	B, C
Short attention Span	Curiosity	No	Emotional	Self-Concept	Success Fear	Emotional/Anxiety	12: Core	Success Fear	Avoid hard tasks due to fear of failure?	Always to Never	Always	Often	Sometimes	Rarely	Never	(-)	1.4	Inverted (5-1)	15-18	Curiosity	C
Short attention Span	Curiosity	Yes	Cognitive Development	Precision	Detail Miss	Deep Cognitive Development	6: Diagnostic	Detail Miss	Lose marks for missing "Not" or "Except" in questions?	Always to Never	Always	Often	Sometimes	Rarely	Never	(-)	1.6	Inverted (5-1)	15-18	Curiosity	C
Short attention Span	Curiosity	No	Behavioral	Environment	Music	High-Impact Behavioral	5: Sensory	Background Music	Do you need music or white noise to focus?	Yes / No	Yes	-	Neutral	-	No	(±)	1.1	Neutral (3)	11-18	Curiosity	B, C
Short attention Span	Curiosity	No	Behavioral	Physiology	Sleep Impact	High-Impact Behavioral	2: Physical	Sleep Impact	If you sleep <6 hours, is your focus "zero" next day?	Always to Never	Always	Often	Sometimes	Rarely	Never	(-)	1.3	Inverted (5-1)	15-18	Curiosity	C
Short attention Span	Curiosity	No	Behavioral	Exec Function	Choice Paralysis	High-Impact Behavioral	10: Exec	Choice Paralysis	Spend 20 mins just "deciding" what to study?	Always to Never	Always	Often	Sometimes	Rarely	Never	(-)	1.2	Inverted (5-1)	15-18	Curiosity	C
Short attention Span	Curiosity	No	Cognitive Development	Memory	Working Memory	Deep Cognitive Development	7: Memory	Working Memory	Remember a 5-step instruction without writing it?	Yes / No	No	-	-	-	Yes	(+)	1.5	Yes=5, No=1	11-14	Curiosity	B
Short attention Span	Curiosity	No	Behavioral	Inhibition	Screen Time	High-Impact Behavioral	3: Impulse	Screen Time	Is your phone screen time over 4 hours daily?	Yes / No	Yes	-	-	-	No	(-)	1.5	Yes=1, No=5	11-18	Curiosity	B, C
Short attention Span	Curiosity	No	Behavioral	Environment	Comfort	High-Impact Behavioral	5: Sensory	Physical Comfort	Does a slightly hot room make it impossible to study?	Always to Never	Always	Often	Sometimes	Rarely	Never	(-)	1.1	Inverted (5-1)	11-18	Curiosity	B, C
Short attention Span	Curiosity	No	Emotional	Anxiety	Academic Dread	Emotional/Anxiety	11: Meta	Academic Dread	Just looking at your textbook makes you feel tired.	Always to Never	Always	Often	Sometimes	Rarely	Never	(-)	1.4	Inverted (5-1)	11-18	Curiosity	B, C
Short attention Span	Curiosity	No	Cognitive Development	Processing	Oral vs Written	Deep Cognitive Development	9: Synthesis	Oral vs Written	Are you better at explaining things than writing them?	Yes / No	Oral	-	Neutral	-	Written	(±)	1.2	Neutral (3)	11-18	Curiosity	B, C
Short attention Span	Curiosity	No	Behavioral	Precision	Self-Correction	High-Impact Behavioral	8: Precision	Self-Correction	Do you double-check your work for focus errors?	Always to Never	Never	Rarely	Sometimes	Often	Always	(+)	1.3	Linear (1-5)	15-18	Curiosity	C
Short attention Span	Curiosity	No	Behavioral	Physiology	Stimulants	High-Impact Behavioral	2: Physical	Caffeine/Sugar	Need soda/coffee/snacks to start studying?	Always to Never	Always	Often	Sometimes	Rarely	Never	(-)	1.2	Inverted (5-1)	15-18	Curiosity	C
Short attention Span	Curiosity	No	Cognitive Development	Internal Reg	Mental Imagery	Deep Cognitive Development	4: Recovery	Mental Imagery	See "movies" in your head when you should focus?	Always to Never	Always	Often	Sometimes	Rarely	Never	(-)	1.3	Inverted (5-1)	11-18	Curiosity	B, C
Short attention Span	Curiosity	No	Behavioral	Exec Function	Goal Clarity	High-Impact Behavioral	10: Exec	Goal Clarity	Do you know exactly what you will finish in 1 hour?	Always to Never	Never	Rarely	Sometimes	Often	Always	(+)	1.4	Linear (1-5)	15-18	Curiosity	C
Short attention Span	Curiosity	No	Emotional	Anxiety	Social FOMO	Emotional/Anxiety	11: Meta	Social FOMO	Worry about what friends are doing while you study?	Always to Never	Always	Often	Sometimes	Rarely	Never	(-)	1.3	Inverted (5-1)	11-18	Curiosity	B, C
Short attention Span	Curiosity	No	Cognitive Development	Endurance	Endurance	Deep Cognitive Development	1: Duration	Endurance	Can you maintain focus during a 3-hour mock exam?	Always to Never	Never	Rarely	Sometimes	Often	Always	(+)	1.6	Linear (1-5)	15-18	Curiosity	C
Short attention Span	Curiosity	No	Behavioral	Environment	Messy Desk	High-Impact Behavioral	5: Sensory	Messy Desk	Does a cluttered room distract you mentally?	Always to Never	Always	Often	Sometimes	Rarely	Never	(-)	1.1	Inverted (5-1)	11-18	Curiosity	B, C
Short attention Span	Curiosity	No	Behavioral	Inhibition	Rapid Speech	High-Impact Behavioral	3: Impulse	Rapid Speech	Do you talk faster than you can think?	Always to Never	Always	Often	Sometimes	Rarely	Never	(-)	1.2	Inverted (5-1)	11-14	Curiosity	B
Short attention Span	Curiosity	No	Behavioral	Inhibition	Tab Hopping	High-Impact Behavioral	3: Impulse	Tab Hopping	While searching for one topic, do you end up on another?	Always to Never	Always	Often	Sometimes	Rarely	Never	(-)	1.4	Inverted (5-1)	11-18	Curiosity	B, C
Short attention Span	Curiosity	No	Emotional	Anxiety	Motivation Gap	Emotional/Anxiety	11: Meta	Motivation Gap	Do you only focus on subjects you "like"?	Always to Never	Always	Often	Sometimes	Rarely	Never	(-)	1.3	Inverted (5-1)	11-14	Curiosity	B
Short attention Span	Curiosity	No	Cognitive Development	Exec Function	Time Blindness	Deep Cognitive Development	10: Exec	Time Blindness	Do you underestimate how long a task will take?	Always to Never	Always	Often	Sometimes	Rarely	Never	(-)	1.5	Inverted (5-1)	11-18	Curiosity	B, C
Short attention Span	Curiosity	No	Behavioral	Exec Function	Group Study	High-Impact Behavioral	11: Meta	Group Study	Do you actually study in a group, or just talk?	Study / Talk	Talk	-	-	-	Study	(-)	1.2	S=5, T=1	15-18	Curiosity	C
Short attention Span	Curiosity	No	Emotional	Anxiety	Parent Pressure	Emotional/Anxiety	11: Meta	Parent Pressure	Does a parent sitting nearby help or hurt focus?	Yes / No	Hurt	-	-	-	Help	(-)	1.2	Yes=1, No=5	11-14	Curiosity	B
Short attention Span	Curiosity	No	Cognitive Development	Processing	Reading Speed	Deep Cognitive Development	8: Precision	Reading Speed	Do you have to re-read the same sentence 3 times?	Always to Never	Always	Often	Sometimes	Rarely	Never	(-)	1.5	Inverted (5-1)	11-18	Curiosity	B, C
