archetype_key,behavior_category,behavior_count,pct
performance_anxiety,Academic,4,3.51
performance_anxiety,Career,17,14.91
performance_anxiety,Social,1,0.88
performance_anxiety,Emotional,60,52.63
performance_anxiety,Cognitive,6,5.26
performance_anxiety,Leadership,5,4.39
performance_anxiety,Self-Management,9,7.89
performance_anxiety,Learning,12,10.53
confidence_self_efficacy,Academic,2,5.13
confidence_self_efficacy,Career,2,5.13
confidence_self_efficacy,Emotional,30,76.92
confidence_self_efficacy,Cognitive,1,2.56
confidence_self_efficacy,Self-Management,1,2.56
confidence_self_efficacy,Learning,3,7.69
resilience_recovery,Learning,2,100
emotional_regulation,Academic,1,3.85
emotional_regulation,Social,3,11.54
emotional_regulation,Emotional,20,76.92
emotional_regulation,Cognitive,2,7.69
identity_self_awareness,Academic,3,5.66
identity_self_awareness,Career,4,7.55
identity_self_awareness,Emotional,22,41.51
identity_self_awareness,Cognitive,11,20.75
identity_self_awareness,Leadership,1,1.89
identity_self_awareness,Self-Management,2,3.77
identity_self_awareness,Learning,10,18.87
expectations_pressure,Emotional,2,10
expectations_pressure,Cognitive,6,30
expectations_pressure,Self-Management,10,50
expectations_pressure,Learning,2,10
time_self_discipline,Academic,36,15.19
time_self_discipline,Career,14,5.91
time_self_discipline,Emotional,1,0.42
time_self_discipline,Cognitive,2,0.84
time_self_discipline,Leadership,11,4.64
time_self_discipline,Self-Management,148,62.45
time_self_discipline,Learning,25,10.55
motivation_drive,Academic,5,5.88
motivation_drive,Career,8,9.41
motivation_drive,Social,1,1.18
motivation_drive,Cognitive,5,5.88
motivation_drive,Leadership,13,15.29
motivation_drive,Self-Management,40,47.06
motivation_drive,Learning,13,15.29
focus_attention,Academic,2,11.76
focus_attention,Career,1,5.88
focus_attention,Emotional,2,11.76
focus_attention,Cognitive,11,64.71
focus_attention,Self-Management,1,5.88
adaptability_change,Career,3,42.86
adaptability_change,Leadership,1,14.29
adaptability_change,Learning,3,42.86
critical_reflective_thinking,Academic,4,3.08
critical_reflective_thinking,Career,8,6.15
critical_reflective_thinking,Emotional,5,3.85
critical_reflective_thinking,Cognitive,77,59.23
critical_reflective_thinking,Leadership,5,3.85
critical_reflective_thinking,Self-Management,5,3.85
critical_reflective_thinking,Learning,26,20
decision_judgment,Career,4,11.11
decision_judgment,Emotional,2,5.56
decision_judgment,Cognitive,22,61.11
decision_judgment,Leadership,1,2.78
decision_judgment,Learning,7,19.44
curiosity_innovation,Emotional,1,20
curiosity_innovation,Cognitive,1,20
curiosity_innovation,Learning,3,60
learning_comprehension,Academic,69,25.94
learning_comprehension,Career,14,5.26
learning_comprehension,Social,1,0.38
learning_comprehension,Emotional,10,3.76
learning_comprehension,Cognitive,24,9.02
learning_comprehension,Leadership,3,1.13
learning_comprehension,Self-Management,6,2.26
learning_comprehension,Learning,139,52.26
academic_achievement,Academic,71,48.3
academic_achievement,Career,11,7.48
academic_achievement,Social,2,1.36
academic_achievement,Emotional,14,9.52
academic_achievement,Cognitive,8,5.44
academic_achievement,Leadership,1,0.68
academic_achievement,Self-Management,14,9.52
academic_achievement,Learning,26,17.69
career_professional_growth,Academic,2,0.62
career_professional_growth,Career,197,61.18
career_professional_growth,Social,2,0.62
career_professional_growth,Emotional,33,10.25
career_professional_growth,Cognitive,27,8.39
career_professional_growth,Leadership,23,7.14
career_professional_growth,Self-Management,18,5.59
career_professional_growth,Learning,20,6.21
networking_relationships,Career,4,44.44
networking_relationships,Social,1,11.11
networking_relationships,Emotional,1,11.11
networking_relationships,Leadership,2,22.22
networking_relationships,Learning,1,11.11
leadership_influence,Academic,1,0.33
leadership_influence,Career,35,11.59
leadership_influence,Social,4,1.32
leadership_influence,Emotional,17,5.63
leadership_influence,Cognitive,3,0.99
leadership_influence,Leadership,226,74.83
leadership_influence,Self-Management,7,2.32
leadership_influence,Learning,9,2.98
communication_expression,Academic,3,3.7
communication_expression,Career,7,8.64
communication_expression,Social,56,69.14
communication_expression,Emotional,3,3.7
communication_expression,Cognitive,1,1.23
communication_expression,Leadership,1,1.23
communication_expression,Learning,10,12.35
social_connection_belonging,Career,1,5.56
social_connection_belonging,Social,11,61.11
social_connection_belonging,Emotional,4,22.22
social_connection_belonging,Self-Management,1,5.56
social_connection_belonging,Learning,1,5.56
collaboration_teamwork,Career,3,13.64
collaboration_teamwork,Social,17,77.27
collaboration_teamwork,Self-Management,1,4.55
collaboration_teamwork,Learning,1,4.55
