id,question_id,concern,master_bridge_tag,reasons,original,rewritten,rule,confidence,classification
5,Q_CAREER_001_005,Weak Career Direction Clarity,CAREER_READINESS,"reflexive ""yourself"" — proxy reframe leaves dangling reflexive","If you imagine yourself five years from now, how easy is it to picture the kind of work you want to do?","If you imagine yourself five years from now, how easy is it to picture the kind of work you want to do?",no_change_engine_handles_reflexive,0.95,auto-approve
6,Q_CAREER_001_006,Weak Career Direction Clarity,CAREER_READINESS,no 2nd-person pronoun (nothing to reframe to 3rd person),How mentally exhausting does career-related thinking feel these days?,,missing_anchor_needs_authoring,0.2,manual-review
16,Q_CAREER_001_016,Weak Career Direction Clarity,CAREER_READINESS,"reflexive ""yourself"" — proxy reframe leaves dangling reflexive","When career confusion increases, how effectively are you able to calm yourself and think clearly again?","When career confusion increases, how effectively are you able to calm yourself and think clearly again?",no_change_engine_handles_reflexive,0.95,auto-approve
23,Q_CAREER_001_023,Weak Career Direction Clarity,CAREER_READINESS,"reflexive ""yourself"" — proxy reframe leaves dangling reflexive",How strongly do you believe that understanding yourself better can improve your career decisions?,How strongly do you believe that understanding yourself better can improve your career decisions?,no_change_engine_handles_reflexive,0.95,auto-approve
31,Q_SKILL_001_006,Difficulty Building Industry-Relevant Skills,COMPETENCY_DEVELOPMENT,no 2nd-person pronoun (nothing to reframe to 3rd person),How stressful does it feel when people talk about competition and employability?,,missing_anchor_needs_authoring,0.2,manual-review
40,Q_SKILL_001_015,Difficulty Building Industry-Relevant Skills,COMPETENCY_DEVELOPMENT,"reflexive ""yourself"" — proxy reframe leaves dangling reflexive","After comparing yourself with highly skilled peers online, how discouraged do you usually feel?","After comparing yourself with highly skilled peers online, how discouraged do you usually feel?",no_change_engine_handles_reflexive,0.95,auto-approve
66,Q_PLACE_001_016,Difficulty Handling Placement Pressure,EMPLOYABILITY,"reflexive ""yourself"" — proxy reframe leaves dangling reflexive","When placement stress increases, how effectively are you able to calm yourself and continue preparing?","When placement stress increases, how effectively are you able to calm yourself and continue preparing?",no_change_engine_handles_reflexive,0.95,auto-approve
101,Q_PLACE_001_001_v2,Weak Confidence During Placement Interviews,EMPLOYABILITY,"reflexive ""yourself"" — proxy reframe leaves dangling reflexive","Before attending placement interviews, how confident do you usually feel about yourself?","Before attending placement interviews, how confident do you usually feel about yourself?",no_change_engine_handles_reflexive,0.95,auto-approve
116,Q_PLACE_001_016_v2,Weak Confidence During Placement Interviews,EMPLOYABILITY,"reflexive ""yourself"" — proxy reframe leaves dangling reflexive","When interview anxiety increases, how effectively are you able to calm yourself before the interview starts?","When interview anxiety increases, how effectively are you able to calm yourself before the interview starts?",no_change_engine_handles_reflexive,0.95,auto-approve
139,Q_TRANSITION_001_014,Weak Academic-to-Professional Transition Readiness,CAREER_GROWTH,"reflexive ""yourself"" — proxy reframe leaves dangling reflexive",How likely are you to compare yourself negatively with people who already have work experience?,How likely are you to compare yourself negatively with people who already have work experience?,no_change_engine_handles_reflexive,0.95,auto-approve
156,Q_INTERVIEW_001_006,Weak Confidence in Technical Interviews,EMPLOYABILITY,no 2nd-person pronoun (nothing to reframe to 3rd person),How stressful does the thought of technical interviews feel these days?,,missing_anchor_needs_authoring,0.2,manual-review
189,Q_BURNOUT_001_014,Difficulty Managing Emotional Burnout During Placements,EMOTIONAL_REGULATION,"reflexive ""yourself"" — proxy reframe leaves dangling reflexive",How likely are you to isolate yourself emotionally during placement stress?,How likely are you to isolate yourself emotionally during placement stress?,no_change_engine_handles_reflexive,0.95,auto-approve
191,Q_BURNOUT_001_016,Difficulty Managing Emotional Burnout During Placements,EMOTIONAL_REGULATION,"reflexive ""yourself"" — proxy reframe leaves dangling reflexive","When placement stress increases, how effectively are you able to calm yourself?","When placement stress increases, how effectively are you able to calm yourself?",no_change_engine_handles_reflexive,0.95,auto-approve
206,Q_WORK_001_006,Weak Ability to Translate Academic Knowledge into Workplace Value,WORKPLACE_ADAPTATION,no 2nd-person pronoun (nothing to reframe to 3rd person),How stressful does it feel when companies expect practical experience beyond academics?,,missing_anchor_needs_authoring,0.2,manual-review
2943,Q_BUR_001_018,Difficulty Managing Workplace Burnout from Continuous Pressure,EMOTIONAL_REGULATION,"reflexive ""yourself"" — proxy reframe leaves dangling reflexive",How often do you ignore signs of fatigue and continue pushing yourself?,How often do you ignore signs of fatigue and continue pushing yourself?,no_change_engine_handles_reflexive,0.95,auto-approve
231,Q_TRANS_001_006,Weak Holistic Readiness for Professional Life Transition,CAREER_GROWTH,no 2nd-person pronoun (nothing to reframe to 3rd person),How stressful does the thought of entering professional life feel these days?,,missing_anchor_needs_authoring,0.2,manual-review
234,Q_TRANS_001_009,Weak Holistic Readiness for Professional Life Transition,CAREER_GROWTH,no 2nd-person pronoun (nothing to reframe to 3rd person),How strongly do family or societal expectations make professional life feel overwhelming?,,missing_anchor_needs_authoring,0.2,manual-review
241,Q_TRANS_001_016,Weak Holistic Readiness for Professional Life Transition,CAREER_GROWTH,"reflexive ""yourself"" — proxy reframe leaves dangling reflexive","When uncertainty about the future increases, how effectively can you calm yourself and think clearly?","When uncertainty about the future increases, how effectively can you calm yourself and think clearly?",no_change_engine_handles_reflexive,0.95,auto-approve
256,Q_PREP_001_006,Difficulty Sustaining Long-Term Competitive Preparation,STRATEGIC_PREPARATION,no 2nd-person pronoun (nothing to reframe to 3rd person),How stressful does it feel to compete in environments that require constant long-term preparation?,,missing_anchor_needs_authoring,0.2,manual-review
260,Q_PREP_001_010,Difficulty Sustaining Long-Term Competitive Preparation,STRATEGIC_PREPARATION,no 2nd-person pronoun (nothing to reframe to 3rd person),"Compared to last year, how much more difficult does staying consistent feel now?",,missing_anchor_needs_authoring,0.2,manual-review
265,Q_PREP_001_015,Difficulty Sustaining Long-Term Competitive Preparation,STRATEGIC_PREPARATION,"reflexive ""yourself"" — proxy reframe leaves dangling reflexive","After missing your preparation goals, how often do you feel guilty or disappointed in yourself?","After missing your preparation goals, how often do you feel guilty or disappointed in yourself?",no_change_engine_handles_reflexive,0.95,auto-approve
281,Q_TIME_001_006,Weak Accuracy Under Extreme Time Pressure,DISCIPLINE_HABITS,no 2nd-person pronoun (nothing to reframe to 3rd person),"How stressful do extreme time limits feel during exams, coding rounds, or interviews?",,missing_anchor_needs_authoring,0.2,manual-review
285,Q_TIME_001_010,Weak Accuracy Under Extreme Time Pressure,DISCIPLINE_HABITS,no 2nd-person pronoun (nothing to reframe to 3rd person),"Compared to last year, how much more difficult does handling time pressure feel now?",,missing_anchor_needs_authoring,0.2,manual-review
290,Q_TIME_001_015,Weak Accuracy Under Extreme Time Pressure,DISCIPLINE_HABITS,"reflexive ""yourself"" — proxy reframe leaves dangling reflexive","After making mistakes in timed situations, how often do you feel disappointed in yourself for a long time?","After making mistakes in timed situations, how often do you feel disappointed in yourself for a long time?",no_change_engine_handles_reflexive,0.95,auto-approve
291,Q_TIME_001_016,Weak Accuracy Under Extreme Time Pressure,DISCIPLINE_HABITS,"reflexive ""yourself"" — proxy reframe leaves dangling reflexive","When you feel rushed, how effectively can you calm yourself and refocus?","When you feel rushed, how effectively can you calm yourself and refocus?",no_change_engine_handles_reflexive,0.95,auto-approve
3148,Q_LEARN_001_023,Difficulty Measuring Real Learning Beyond Marks,LEARNING_ADAPTABILITY,no 2nd-person pronoun (nothing to reframe to 3rd person),Should grades include practical application ability?,,missing_anchor_needs_authoring,0.2,manual-review
315,Q_FAIL_001_015,Difficulty Managing Fear of Failure in Competitive Exams,EMOTIONAL_RECOVERY,"reflexive ""yourself"" — proxy reframe leaves dangling reflexive","After making mistakes in exams, how often do you continue blaming yourself for a long time?","After making mistakes in exams, how often do you continue blaming yourself for a long time?",no_change_engine_handles_reflexive,0.95,auto-approve
316,Q_FAIL_001_016,Difficulty Managing Fear of Failure in Competitive Exams,EMOTIONAL_RECOVERY,"reflexive ""yourself"" — proxy reframe leaves dangling reflexive","When fear of failure increases, how effectively can you calm yourself and continue preparing?","When fear of failure increases, how effectively can you calm yourself and continue preparing?",no_change_engine_handles_reflexive,0.95,auto-approve
327,Q_COMPARE_001_002,Difficulty Handling Comparison with High Performers,SOCIAL_EMOTIONAL,"reflexive ""yourself"" — proxy reframe leaves dangling reflexive",How often do comparisons with top performers make you doubt yourself?,How often do comparisons with top performers make you doubt yourself?,no_change_engine_handles_reflexive,0.95,auto-approve
340,Q_COMPARE_001_015,Difficulty Handling Comparison with High Performers,SOCIAL_EMOTIONAL,"reflexive ""yourself"" — proxy reframe leaves dangling reflexive","After comparing yourself with high achievers, how often do you feel disappointed in yourself?","After comparing yourself with high achievers, how often do you feel disappointed in yourself?",no_change_engine_handles_reflexive,0.95,auto-approve
360,Q_CONCEPT_001_010,Weak Conceptual Clarity Despite Repeated Practice,ACADEMIC_COGNITIVE,no 2nd-person pronoun (nothing to reframe to 3rd person),"Compared to last year, how much more difficult does understanding complex concepts feel now?",,missing_anchor_needs_authoring,0.2,manual-review
385,Q_FOCUS_001_010,Difficulty Maintaining Focus During Long Study Hours,DISCIPLINE_HABITS,no 2nd-person pronoun (nothing to reframe to 3rd person),"Compared to last year, how much more difficult does sustained studying feel now?",,missing_anchor_needs_authoring,0.2,manual-review
390,Q_FOCUS_001_015,Difficulty Maintaining Focus During Long Study Hours,DISCIPLINE_HABITS,"reflexive ""yourself"" — proxy reframe leaves dangling reflexive","After losing focus repeatedly, how often do you feel disappointed in yourself?","After losing focus repeatedly, how often do you feel disappointed in yourself?",no_change_engine_handles_reflexive,0.95,auto-approve
410,Q_UNCERT_001_010,Difficulty Handling Uncertainty About Results,THINKING_QUALITY,no 2nd-person pronoun (nothing to reframe to 3rd person),"Compared to last year, how much more difficult does handling uncertainty feel now?",,missing_anchor_needs_authoring,0.2,manual-review
416,Q_UNCERT_001_016,Difficulty Handling Uncertainty About Results,THINKING_QUALITY,"reflexive ""yourself"" — proxy reframe leaves dangling reflexive","When uncertainty increases, how effectively can you calm yourself and stay balanced?","When uncertainty increases, how effectively can you calm yourself and stay balanced?",no_change_engine_handles_reflexive,0.95,auto-approve
460,Q_TIMEALLOC_001_010,Weak Time Allocation During Competitive Exams,DISCIPLINE_HABITS,no 2nd-person pronoun (nothing to reframe to 3rd person),"Compared to last year, how much more difficult does managing exam time feel now?",,missing_anchor_needs_authoring,0.2,manual-review
429,Q_BURNOUT_001_004_v2,Difficulty Managing Burnout During Long Preparation Phases,EMOTIONAL_REGULATION,"reflexive ""yourself"" — proxy reframe leaves dangling reflexive","When you see others preparing consistently, how pressured do you feel to keep pushing yourself?","When you see others preparing consistently, how pressured do you feel to keep pushing yourself?",no_change_engine_handles_reflexive,0.95,auto-approve
439,Q_BURNOUT_001_014_v2,Difficulty Managing Burnout During Long Preparation Phases,EMOTIONAL_REGULATION,"reflexive ""yourself"" — proxy reframe leaves dangling reflexive",How likely are you to isolate yourself socially because of preparation pressure?,How likely are you to isolate yourself socially because of preparation pressure?,no_change_engine_handles_reflexive,0.95,auto-approve
481,Q_MOTIV_001_006,Difficulty Staying Motivated After Repeated Attempts,MOTIVATION_VALUES,no 2nd-person pronoun (nothing to reframe to 3rd person),How stressful does it feel to continue working toward goals after repeated setbacks?,,missing_anchor_needs_authoring,0.2,manual-review
485,Q_MOTIV_001_010,Difficulty Staying Motivated After Repeated Attempts,MOTIVATION_VALUES,no 2nd-person pronoun (nothing to reframe to 3rd person),"Compared to last year, how much harder does it feel to stay motivated after setbacks now?",,missing_anchor_needs_authoring,0.2,manual-review
516,Q_RANK_001_016,Difficulty Maintaining Emotional Stability During Rank Fluctuations,STRATEGIC_PREPARATION,"reflexive ""yourself"" — proxy reframe leaves dangling reflexive","When rankings fluctuate unexpectedly, how effectively can you calm yourself and refocus on improvement?","When rankings fluctuate unexpectedly, how effectively can you calm yourself and refocus on improvement?",no_change_engine_handles_reflexive,0.95,auto-approve
1443,Q_PRO_001_018,Difficulty Transitioning from Student Mindset to Professional Mindset,DISCIPLINE_HABITS,"reflexive ""yourself"" — proxy reframe leaves dangling reflexive",How often do you rely only on structured instructions instead of exploring solutions yourself?,How often do you rely only on structured instructions instead of exploring solutions yourself?,no_change_engine_handles_reflexive,0.95,auto-approve
540,Q_MOCKCONF_001_015,Weak Confidence After Comparing Mock Scores Online,EMPLOYABILITY,"reflexive ""yourself"" — proxy reframe leaves dangling reflexive","After seeing better scores online, how often do you feel disappointed in yourself?","After seeing better scores online, how often do you feel disappointed in yourself?",no_change_engine_handles_reflexive,0.95,auto-approve
556,Q_FAMILY_001_006,Difficulty Handling Family Expectations During Preparation,ADJUSTMENT_COPING,no 2nd-person pronoun (nothing to reframe to 3rd person),How stressful do family expectations feel during important preparation phases?,,missing_anchor_needs_authoring,0.2,manual-review
567,Q_FAMILY_001_017,Difficulty Handling Family Expectations During Preparation,ADJUSTMENT_COPING,"reflexive ""yourself"" — proxy reframe leaves dangling reflexive",How often do you remind yourself to focus on your own progress instead of only meeting others expectations?,How often do you remind yourself to focus on your own progress instead of only meeting others expectations?,no_change_engine_handles_reflexive,0.95,auto-approve
767,Q_OUTCOME_001_017,Weak Emotional Detachment from Competitive Outcomes,MOTIVATION_VALUES,"reflexive ""yourself"" — proxy reframe leaves dangling reflexive",How often do you remind yourself that effort and growth matter beyond final results?,How often do you remind yourself that effort and growth matter beyond final results?,no_change_engine_handles_reflexive,0.95,auto-approve
591,Q_SELFBELIEF_001_016,Weak Self-Belief Before Final Exams,CONFIDENCE_SELF,"reflexive ""yourself"" — proxy reframe leaves dangling reflexive","When self-doubt increases before exams, how effectively can you calm yourself and regain confidence?","When self-doubt increases before exams, how effectively can you calm yourself and regain confidence?",no_change_engine_handles_reflexive,0.95,auto-approve
592,Q_SELFBELIEF_001_017,Weak Self-Belief Before Final Exams,CONFIDENCE_SELF,"reflexive ""yourself"" — proxy reframe leaves dangling reflexive",How often do you remind yourself of your preparation and past progress to rebuild confidence?,How often do you remind yourself of your preparation and past progress to rebuild confidence?,no_change_engine_handles_reflexive,0.95,auto-approve
610,Q_TESTSTRAT_001_010,Weak Test-Taking Strategy in Competitive Exams,STRATEGIC_PREPARATION,no 2nd-person pronoun (nothing to reframe to 3rd person),"Compared to last year, how much more difficult does managing exam strategy feel now?",,missing_anchor_needs_authoring,0.2,manual-review
629,Q_RESULTPRESS_001_004,Difficulty Managing Emotional Pressure Before Result Day,EXAMINATION_STRESS,"reflexive ""yourself"" — proxy reframe leaves dangling reflexive",Do upcoming results sometimes make you fear disappointing yourself or others?,Do upcoming results sometimes make you fear disappointing yourself or others?,no_change_engine_handles_reflexive,0.95,auto-approve
631,Q_RESULTPRESS_001_006,Difficulty Managing Emotional Pressure Before Result Day,EXAMINATION_STRESS,no 2nd-person pronoun (nothing to reframe to 3rd person),How stressful does waiting for important results feel emotionally?,,missing_anchor_needs_authoring,0.2,manual-review
641,Q_RESULTPRESS_001_016,Difficulty Managing Emotional Pressure Before Result Day,EXAMINATION_STRESS,"reflexive ""yourself"" — proxy reframe leaves dangling reflexive","When result-related anxiety increases, how effectively can you calm yourself and stay emotionally balanced?","When result-related anxiety increases, how effectively can you calm yourself and stay emotionally balanced?",no_change_engine_handles_reflexive,0.95,auto-approve
642,Q_RESULTPRESS_001_017,Difficulty Managing Emotional Pressure Before Result Day,EXAMINATION_STRESS,"reflexive ""yourself"" — proxy reframe leaves dangling reflexive",How often do you remind yourself that results do not completely define your future?,How often do you remind yourself that results do not completely define your future?,no_change_engine_handles_reflexive,0.95,auto-approve
662,Q_REATTEMPT_001_012,Weak Emotional Stability During Reattempt Preparation,CAREER_GROWTH,"reflexive ""yourself"" — proxy reframe leaves dangling reflexive",How often do you isolate yourself from others because of preparation-related emotions?,How often do you isolate yourself from others because of preparation-related emotions?,no_change_engine_handles_reflexive,0.95,auto-approve
666,Q_REATTEMPT_001_016,Weak Emotional Stability During Reattempt Preparation,CAREER_GROWTH,"reflexive ""yourself"" — proxy reframe leaves dangling reflexive","When stress increases, how effectively are you able to calm yourself emotionally?","When stress increases, how effectively are you able to calm yourself emotionally?",no_change_engine_handles_reflexive,0.95,auto-approve
685,Q_ENDURANCE_001_010,Difficulty Building Long-Term Emotional Endurance,DISCIPLINE_HABITS,no 2nd-person pronoun (nothing to reframe to 3rd person),"Compared to last year, how much harder does maintaining emotional consistency feel now?",,missing_anchor_needs_authoring,0.2,manual-review
701,Q_COMPARE_001_001_v2,Weak Emotional Recovery After Negative Comparisons,SOCIAL_EMOTIONAL,"reflexive ""yourself"" — proxy reframe leaves dangling reflexive","After comparing yourself with others, how emotionally stable do you usually feel?","After comparing yourself with others, how emotionally stable do you usually feel?",no_change_engine_handles_reflexive,0.95,auto-approve
705,Q_COMPARE_001_005_v2,Weak Emotional Recovery After Negative Comparisons,SOCIAL_EMOTIONAL,"reflexive ""yourself"" — proxy reframe leaves dangling reflexive","Even after comparing yourself with others, how hopeful do you remain about your own future?","Even after comparing yourself with others, how hopeful do you remain about your own future?",no_change_engine_handles_reflexive,0.95,auto-approve
717,Q_COMPARE_001_017_v2,Weak Emotional Recovery After Negative Comparisons,SOCIAL_EMOTIONAL,"reflexive ""yourself"" — proxy reframe leaves dangling reflexive",How often do you remind yourself of your own progress instead of only comparing with others?,How often do you remind yourself of your own progress instead of only comparing with others?,no_change_engine_handles_reflexive,0.95,auto-approve
731,Q_MULTIEXP_001_006,Difficulty Handling Pressure from Multiple Expectations,CAREER_EXPECTATIONS,no 2nd-person pronoun (nothing to reframe to 3rd person),How stressful does balancing multiple expectations feel emotionally?,,missing_anchor_needs_authoring,0.2,manual-review
742,Q_MULTIEXP_001_017,Difficulty Handling Pressure from Multiple Expectations,CAREER_EXPECTATIONS,"reflexive ""yourself"" — proxy reframe leaves dangling reflexive",How often do you remind yourself to focus on realistic priorities instead of trying to satisfy everyone?,How often do you remind yourself to focus on realistic priorities instead of trying to satisfy everyone?,no_change_engine_handles_reflexive,0.95,auto-approve
769,Q_OUTCOME_001_019,Weak Emotional Detachment from Competitive Outcomes,MOTIVATION_VALUES,no 2nd-person pronoun (nothing to reframe to 3rd person),"After receiving emotional support, how much easier does it feel to move on from setbacks?",,missing_anchor_needs_authoring,0.2,manual-review
781,Q_MOCKCONF_001_006_v2,Difficulty Maintaining Confidence During Low Mock Rank Phases,EMPLOYABILITY,no 2nd-person pronoun (nothing to reframe to 3rd person),How stressful do low mock rank phases feel emotionally?,,missing_anchor_needs_authoring,0.2,manual-review
792,Q_MOCKCONF_001_017_v2,Difficulty Maintaining Confidence During Low Mock Rank Phases,EMPLOYABILITY,"reflexive ""yourself"" — proxy reframe leaves dangling reflexive",How often do you analyze low mock scores constructively instead of emotionally criticizing yourself?,How often do you analyze low mock scores constructively instead of emotionally criticizing yourself?,no_change_engine_handles_reflexive,0.95,auto-approve
801,Q_SOCIAL_001_001,Difficulty Handling Emotional Pressure from Social Media Toppers,SOCIAL_EMOTIONAL,"reflexive ""yourself"" — proxy reframe leaves dangling reflexive","While seeing toppers or highly successful students on social media, how emotionally secure do you usually feel about yourself?","While seeing toppers or highly successful students on social media, how emotionally secure do you usually feel about yourself?",no_change_engine_handles_reflexive,0.95,auto-approve
816,Q_SOCIAL_001_016,Difficulty Handling Emotional Pressure from Social Media Toppers,SOCIAL_EMOTIONAL,"reflexive ""yourself"" — proxy reframe leaves dangling reflexive","When social media comparisons affect you emotionally, how effectively can you calm yourself and refocus?","When social media comparisons affect you emotionally, how effectively can you calm yourself and refocus?",no_change_engine_handles_reflexive,0.95,auto-approve
817,Q_SOCIAL_001_017,Difficulty Handling Emotional Pressure from Social Media Toppers,SOCIAL_EMOTIONAL,"reflexive ""yourself"" — proxy reframe leaves dangling reflexive",How often do you remind yourself that social media usually shows only the best side of peoples lives?,How often do you remind yourself that social media usually shows only the best side of peoples lives?,no_change_engine_handles_reflexive,0.95,auto-approve
819,Q_SOCIAL_001_019,Difficulty Handling Emotional Pressure from Social Media Toppers,SOCIAL_EMOTIONAL,"reflexive ""yourself"" — proxy reframe leaves dangling reflexive","After receiving encouragement from supportive people, how emotionally better do you usually feel about yourself?","After receiving encouragement from supportive people, how emotionally better do you usually feel about yourself?",no_change_engine_handles_reflexive,0.95,auto-approve
831,Q_LIMITEDATT_001_006,Difficulty Handling Pressure of Limited Attempts,DISCIPLINE_HABITS,no 2nd-person pronoun (nothing to reframe to 3rd person),How stressful does preparing with limited attempts feel emotionally?,,missing_anchor_needs_authoring,0.2,manual-review
835,Q_LIMITEDATT_001_010,Difficulty Handling Pressure of Limited Attempts,DISCIPLINE_HABITS,no 2nd-person pronoun (nothing to reframe to 3rd person),"Compared to last year, how much more emotionally pressured do limited attempts feel now?",,missing_anchor_needs_authoring,0.2,manual-review
841,Q_LIMITEDATT_001_016,Difficulty Handling Pressure of Limited Attempts,DISCIPLINE_HABITS,"reflexive ""yourself"" — proxy reframe leaves dangling reflexive","When pressure about limited attempts increases, how effectively can you calm yourself and continue preparing steadily?","When pressure about limited attempts increases, how effectively can you calm yourself and continue preparing steadily?",no_change_engine_handles_reflexive,0.95,auto-approve
842,Q_LIMITEDATT_001_017,Difficulty Handling Pressure of Limited Attempts,DISCIPLINE_HABITS,"reflexive ""yourself"" — proxy reframe leaves dangling reflexive",How often do you remind yourself that consistent effort still matters more than fear of limited attempts?,How often do you remind yourself that consistent effort still matters more than fear of limited attempts?,no_change_engine_handles_reflexive,0.95,auto-approve
