concern_id,concern_name,canonical_type,match_tokens
CONCERN_ACA_1034,Evaluate Skill Relevance Across Industries,Capability,evaluate relevance across industries evaluate relevance across industries cross-industry mapping display label capability evaluate relevance across industries whose concern category deficit-state cross-industry mapping topical overlap 00
CONCERN_ACA_1302,Personalize Student Intervention Pathways,Problem,personalize intervention pathways
CONCERN_ACA_1357,Overdependence on tuition centers,Problem,overdependence tuition centers
CONCERN_ACA_137,Negative Self-Talk During Preparation,Problem,negative self-talk preparation
CONCERN_ACA_152,Eliminating Wrong Options,Problem,eliminating wrong options
CONCERN_ACA_1664,Revising Effectively,Problem,revising effectively
CONCERN_ACA_1705,Following Complex Instructions,Problem,following complex instructions
CONCERN_ACA_1726,Numerical Fluency,Capability,numerical fluency
CONCERN_ACA_1728,Scientific Observation Skills,Capability,scientific observation
CONCERN_ACA_1737,Sleep Disruption,Problem,sleep disruption
CONCERN_ACA_1767,Dependence on AI Tools,Trait,dependence ai tools
CONCERN_ACA_1793,Refusal to Attend School,Problem,refusal attend school
CONCERN_ACA_1834,Child Following Influencer Culture Blindly,Problem,child following influencer culture blindly
CONCERN_ACA_1862,Excessive Dependence on Coaching Centers,Trait,excessive dependence coaching centers
CONCERN_ACA_1886,Child Forgetting Instructions Quickly,Problem,child forgetting instructions quickly
CONCERN_ACA_1887,Child Unable to Stay Without Internet,Problem,child unable stay without internet
CONCERN_ACA_1897,Child Avoiding Responsibility for Mistakes,Problem,child avoiding responsibility mistakes
CONCERN_ACA_1906,Child Becoming Hyper-Reactive to Feedback,Problem,child becoming hyper-reactive feedback
CONCERN_ACA_1911,Child Feeling Mentally Exhausted After School,Problem,child feeling mentally exhausted school
CONCERN_ACA_1926,Child Becoming Emotionally Detached During Conversations,Problem,child becoming emotionally detached conversations
CONCERN_ACA_1938,Following Instructions,Problem,following instructions
CONCERN_ACA_1982,Breaking Down Complex Problems,Problem,breaking down complex
CONCERN_ACA_2065,Remaining Calm During Viva/Orals,Problem,remaining calm viva orals
CONCERN_ACA_2202,Handling Students with Weak Real-World Application Skills,Capability,real-world application real-world application real-world application deficit display label capability real-world application whose concern category deficit-state real-world application deficit topical overlap 00
CONCERN_ACA_2210,Supporting Students with Weak Information Processing Speed,Problem,information processing speed
CONCERN_ACA_2211,Students Who Avoid Clarifying Doubts,Problem,avoid clarifying doubts
CONCERN_ACA_2347,Students Panicking During Examinations,Problem,panicking examinations
CONCERN_ACA_2426,Students Feeling Academically Directionless Despite Performance,Problem,feeling academically directionless despite performance
CONCERN_ACA_2470,Breaking Down Complex Problems,Problem,breaking down complex
CONCERN_ACA_354,Build Practical Competence Independently,Capability,practical competence independently practical competence independently independent competency display label capability practical competence independently whose concern category deficit-state independent competency topical overlap 00
