bridge_tag,concern_count,classification,rank,candidate_family,domain,family_signal_count,similarity,shared_tokens,example_signals,relationship_path
ACADEMIC_COGNITIVE,140,GREEN,1,"learning_processing_signals","Cognitive Intelligence",40,0.2932,"comprehension concept retention process cognitive conceptual","Applied Learning Effectiveness | Conceptual Processing Depth | Stable Comprehension Under Complexity | Continuous Learning Optimization | Processing Stability Under Pressure","ACADEMIC_COGNITIVE -> Cognitive Intelligence -> learning_processing_signals"
ACADEMIC_COGNITIVE,140,GREEN,2,"learning_consistency_signals","Learning Intelligence",40,0.2772,"subject revision study dur learn practice","Long Cycle Learning Endurance | Continuous Learning Identity | Sustainable Learning Persistence | Exam Preparation Consistency | Self Disciplined Learning","ACADEMIC_COGNITIVE -> Learning Intelligence -> learning_consistency_signals"
ACADEMIC_COGNITIVE,140,GREEN,3,"comprehension_signals","Learning Intelligence",40,0.2454,"understand comprehension concept subject conceptual abstract","Advanced Theoretical Comprehension | Conceptual Abstraction Comprehension | Abstract Concept Comprehension | Conceptual Precision Understanding | Integrated Framework Comprehension","ACADEMIC_COGNITIVE -> Learning Intelligence -> comprehension_signals"
EXAMINATION_STRESS,119,GREEN,1,"learning_resilience_signals","Learning Intelligence",40,0.2667,"academic exam study after dur slow","Repeated Failure Endurance | Sustained Learning Grit | Growth After Academic Adversity | Long Term Learning Commitment | Academic Persistence Strength","EXAMINATION_STRESS -> Learning Intelligence -> learning_resilience_signals"
EXAMINATION_STRESS,119,GREEN,2,"evaluation_anxiety_signals","Performance Intelligence",80,0.251,"exam result hyper anxiety assessment fear","Performance Freeze Response | Cognitive Blankout Under Pressure | Chronic Evaluation Stress Accumulation | Memory Recall Blocking | Competitive Assessment Instability","EXAMINATION_STRESS -> Performance Intelligence -> evaluation_anxiety_signals"
EXAMINATION_STRESS,119,GREEN,3,"academic_confidence_signals","Learning Intelligence",40,0.2504,"academic exam classroom competitive assessment recall","Long Term Learning Confidence | Growth Mindset Learning Confidence | Problem Solving Confidence | Failure Recovery Learning Confidence | Analytical Learning Confidence","EXAMINATION_STRESS -> Learning Intelligence -> academic_confidence_signals"
ACADEMIC_IDENTITY,87,GREEN,1,"direction_signals","Career Intelligence",40,0.2903,"career lack weak direction professional unrealistic","Chronic Career Ambiguity | Lack Of Career Vision | Lack Of Professional Alignment | Fragmented Professional Identity | Lack Of Career Structure","ACADEMIC_IDENTITY -> Career Intelligence -> direction_signals"
ACADEMIC_IDENTITY,87,GREEN,2,"purpose_alignment_signals","Motivational Intelligence",40,0.2694,"purpose meaningful passion career mean satisfaction","Purpose Reinforced Resilience | Meaningful Adversity Tolerance | Existential Resilience Strength | Alignment Under Pressure | Authentic Career Alignment","ACADEMIC_IDENTITY -> Motivational Intelligence -> purpose_alignment_signals"
ACADEMIC_IDENTITY,87,GREEN,3,"career_clarity_signals","Career Intelligence",20,0.2569,"career purpose confusion direction unrealistic professional","Career Direction Confusion | Fear Based Career Selection | Career Decision Avoidance | Career Identity Fragmentation | Future Role Uncertainty","ACADEMIC_IDENTITY -> Career Intelligence -> career_clarity_signals"
LEADERSHIP_OWNERSHIP,80,GREEN,1,"professional_confidence_signals","Career Intelligence",80,0.2914,"professional workplace organizational review confidence handl","Professional Identity Resilience | Professional Mastery Confidence | Professional Self Belief | Professional Identity Confidence | Crisis Management Confidence","LEADERSHIP_OWNERSHIP -> Career Intelligence -> professional_confidence_signals"
LEADERSHIP_OWNERSHIP,80,GREEN,2,"practical_exposure_signals","Employability Intelligence",40,0.2319,"exposure workplace organizational professional stakeholder scal","Holistic Workplace Readiness | Practical Professional Readiness | Project Execution Exposure | Practical Problem Solving Exposure | Professional Accountability Exposure","LEADERSHIP_OWNERSHIP -> Employability Intelligence -> practical_exposure_signals"
