concern_id,behavior_statement,observability,human_realism,distinctiveness,actionability,total,accepted
CONCERN_ACA_1019,feels drained and disengaged from {task},5,5,4,5,19,true
CONCERN_ACA_1019,reacts strongly to small setbacks,5,5,4,5,19,true
CONCERN_ACA_1019,shows visible discomfort during {task},3,2,2,3,10,false
CONCERN_ACA_1034,repeats the same approach despite poor results,5,5,4,5,19,true
CONCERN_ACA_1034,avoids learning new approaches to {task},3,2,2,3,10,false
CONCERN_ACA_1034,repeats the same mistakes with {task},3,2,2,3,10,false
CONCERN_ACA_1049,feels unsure of where they fit at {setting},5,5,4,5,19,true
CONCERN_ACA_1049,reacts strongly to small setbacks,5,5,4,5,19,true
CONCERN_ACA_1049,avoids building professional relationships,5,5,4,5,19,true
CONCERN_ACA_1050,doubts their ability to handle {task},5,5,4,5,19,true
CONCERN_ACA_1050,freezes when a problem has no obvious answer,5,5,4,5,19,true
CONCERN_ACA_1050,shows visible discomfort during {task},3,2,2,3,10,false
CONCERN_ACA_1062,ignores feedback meant to improve {task},5,5,4,5,19,true
CONCERN_ACA_1062,struggles to make progress at {setting},3,2,2,3,10,false
CONCERN_ACA_1062,avoids tasks tied to career growth,3,2,2,3,10,false
CONCERN_ACA_107,worries excessively before {evaluation},5,5,4,5,19,true
CONCERN_ACA_107,crams the night before {evaluation},5,5,4,5,19,true
CONCERN_ACA_107,shows visible discomfort during {task},3,2,2,3,10,false
CONCERN_ACA_1086,lets their contributions go unnoticed at {setting},5,5,4,5,19,true
CONCERN_ACA_1086,struggles to set direction for {peers},5,5,4,5,19,true
CONCERN_ACA_1086,struggles to make progress at {setting},3,2,2,3,10,false
CONCERN_ACA_109,avoids the hardest {task},5,5,4,5,19,true
CONCERN_ACA_109,shows difficulty with {task},3,2,2,3,10,false
CONCERN_ACA_109,avoids tasks related to {task},3,2,2,3,10,false
CONCERN_ACA_1108,avoids building professional relationships,5,5,4,5,19,true
CONCERN_ACA_1108,struggles to make progress at {setting},3,2,2,3,10,false
CONCERN_ACA_1108,avoids tasks tied to career growth,3,2,2,3,10,false
CONCERN_ACA_112,struggles to organize {task},3,2,2,3,10,false
CONCERN_ACA_112,needs prompting to keep up with {task},3,2,2,3,10,false
CONCERN_ACA_112,lets {task} slip without follow-through,3,2,2,3,10,false
CONCERN_ACA_1136,gives up after the first mistake,5,5,4,5,19,true
CONCERN_ACA_1136,reacts strongly to small setbacks,5,5,4,5,19,true
CONCERN_ACA_1136,struggles to bounce back after setbacks,5,5,4,5,19,true
CONCERN_ACA_1162,repeats the same approach despite poor results,5,5,4,5,19,true
CONCERN_ACA_1162,lets their contributions go unnoticed at {setting},5,5,4,5,19,true
CONCERN_ACA_1162,struggles to make progress at {setting},3,2,2,3,10,false
CONCERN_ACA_1168,feels drained and disengaged from {task},5,5,4,5,19,true
CONCERN_ACA_1168,reacts strongly to small setbacks,5,5,4,5,19,true
CONCERN_ACA_1168,shows visible discomfort during {task},3,2,2,3,10,false
CONCERN_ACA_1174,avoids the hardest {task},5,5,4,5,19,true
