issue,concern_id,concern,bridge_tag,domain,persona,severity,priority,domains,concern_count,curated_questions
concern bridge_tag has NO curated questions (leak to fallback),CONCERN_DOM_1,Adapting to College Academic Structure,COLLEGE_ADAPTATION,College Adaptation,Campus Student,High,P1,,,0
concern bridge_tag has NO curated questions (leak to fallback),CONCERN_COL_2,Self-Directed Learning Skills,EMPLOYABILITY_ACADEMIC,Employability & Academic Readiness,Campus Student,High,P1,,,0
concern bridge_tag has NO curated questions (leak to fallback),CONCERN_EMP_27,Collaborating in Team Projects,COLLABORATION_OWNERSHIP,Collaboration & Ownership,Campus Student,Medium,P2,,,0
concern bridge_tag has NO curated questions (leak to fallback),CONCERN_EMP_29,Financial Independence in College,LIFESTYLE_ADJUSTMENT,Lifestyle & Adjustment,Campus Student,Medium,P2,,,0
concern bridge_tag has NO curated questions (leak to fallback),CONCERN_EXA_63,Building Practical Team Collaboration in Projects,COLLABORATION_OWNERSHIP,Collaboration & Ownership,Campus Student,Medium,P2,,,0
concern bridge_tag has NO curated questions (leak to fallback),CONCERN_CAR_82,Research Orientation for Higher Education,ACADEMIC_CAREER,Academic & Career Readiness,Campus Student,Medium,P2,,,0
concern bridge_tag has NO curated questions (leak to fallback),CONCERN_SOC_118,Time Allocation During Competitive Exams,EXAMINATION_READINESS,Examination Readiness,Competitive Aspirant,Critical,P1,,,0
concern bridge_tag has NO curated questions (leak to fallback),CONCERN_CON_138,Test-Taking Strategy in Competitive Exams,EXAMINATION_READINESS,Examination Readiness,Competitive Aspirant,Critical,P1,,,0
concern bridge_tag has NO curated questions (leak to fallback),CONCERN_EXA_166,Attempt Strategy Decisions,EXAMINATION_READINESS,Examination Readiness,Competitive Aspirant,High,P1,,,0
concern bridge_tag has NO curated questions (leak to fallback),CONCERN_CON_168,Transition from Learning to Testing Mode,EXAMINATION_READINESS,Examination Readiness,Competitive Aspirant,Medium,P2,,,0
concern bridge_tag has NO curated questions (leak to fallback),CONCERN_EXA_184,Last-Minute Revision Effectiveness,EXAMINATION_READINESS,Examination Readiness,Competitive Aspirant,Medium,P2,,,0
concern bridge_tag has NO curated questions (leak to fallback),CONCERN_EXA_196,Revision Completion Before Exams,EXAMINATION_READINESS,Examination Readiness,Competitive Aspirant,High,P1,,,0
concern bridge_tag has NO curated questions (leak to fallback),CONCERN_CON_261,Identifying Core Skill Gaps,SKILL_DEVELOPMENT,Skill Development,Skill Development Learner,High,P1,,,0
concern bridge_tag has NO curated questions (leak to fallback),CONCERN_STR_318,Adaptability to New Learning Technologies,ADAPTIVE_LEARNING,Adaptive Learning,Skill Development Learner,Medium,P2,,,0
concern bridge_tag has NO curated questions (leak to fallback),CONCERN_LIF_323,Building Competency Through Collaborative Learning,COLLABORATION_OWNERSHIP,Collaboration & Ownership,Skill Development Learner,Medium,P2,,,0
concern bridge_tag has NO curated questions (leak to fallback),CONCERN_COL_324,Real-Time Skill Assessments,EXAMINATION_READINESS,Examination Readiness,Skill Development Learner,Medium,P2,,,0
concern bridge_tag has NO curated questions (leak to fallback),CONCERN_EMO_350,Adapt Learning Strategies During Failure,ADAPTIVE_LEARNING,Adaptive Learning,Skill Development Learner,Medium,P2,,,0
concern bridge_tag has NO curated questions (leak to fallback),CONCERN_COM_370,Technical Assessments,EXAMINATION_READINESS,Examination Readiness,Early Career Learner,High,P1,,,0
concern bridge_tag has NO curated questions (leak to fallback),CONCERN_CAR_380,Workplace Collaboration,COLLABORATION_OWNERSHIP,Collaboration & Ownership,Early Career Learner,Medium,P2,,,0
concern bridge_tag has NO curated questions (leak to fallback),CONCERN_COM_410,Handle Professional Conflict Constructively,COLLABORATION_OWNERSHIP,Collaboration & Ownership,Early Career Learner,Medium,P2,,,0
concern bridge_tag has NO curated questions (leak to fallback),CONCERN_EMO_424,Cross-Functional Collaboration,COLLABORATION_OWNERSHIP,Collaboration & Ownership,Early Career Learner,Medium,P2,,,0
concern bridge_tag has NO curated questions (leak to fallback),CONCERN_COM_434,Manage Workplace Priorities Without Supervision,OWNERSHIP_ACCOUNTABILITY,Ownership & Accountability,Early Career Learner,Medium,P2,,,0
concern bridge_tag has NO curated questions (leak to fallback),CONCERN_CON_448,Awareness of Long-Term Financial Planning After Employment,FINANCIAL_READINESS,Financial Readiness,Early Career Learner,Medium,P2,,,0
concern bridge_tag has NO curated questions (leak to fallback),CONCERN_STU_1356,time management before exams,ACADEMIC_READINESS,Academic Readiness,Academic Counsellor,Medium,P2,,,0
concern bridge_tag has NO curated questions (leak to fallback),CONCERN_COM_463,Explaining Career Gaps Professionally,CAREER_TRANSITION,Career Transition,Job Seeker,High,P1,,,0
concern bridge_tag has NO curated questions (leak to fallback),CONCERN_CAR_465,Transitioning Into New Industries,CAREER_TRANSITION,Career Transition,Job Seeker,High,P1,,,0
concern bridge_tag has NO curated questions (leak to fallback),CONCERN_THI_476,Switching Careers Midway,CAREER_TRANSITION,Career Transition,Job Seeker,High,P1,,,0
concern bridge_tag has NO curated questions (leak to fallback),CONCERN_EMO_482,Position Transferable Skills,CAREER_TRANSITION,Career Transition,Job Seeker,Medium,P2,,,0
concern bridge_tag has NO curated questions (leak to fallback),CONCERN_DIS_488,Handle Technical Assessments Under Pressure,EXAMINATION_READINESS,Examination Readiness,Job Seeker,High,P1,,,0
concern bridge_tag has NO curated questions (leak to fallback),CONCERN_MOT_496,Rejoining Workforce After Career Breaks,CAREER_TRANSITION,Career Transition,Job Seeker,High,P1,,,0
concern bridge_tag has NO curated questions (leak to fallback),CONCERN_CAR_505,Explaining Frequent Job Changes Professionally,CAREER_TRANSITION,Career Transition,Job Seeker,Medium,P2,,,0
concern bridge_tag has NO curated questions (leak to fallback),CONCERN_CON_510,Understanding of Industry Salary Benchmarks,FINANCIAL_READINESS,Financial Readiness,Job Seeker,Medium,P2,,,0
concern bridge_tag has NO curated questions (leak to fallback),CONCERN_CAR_517,Building a Strategic Long-Term Career Narrative,CAREER_PLANNING,Career Planning,Job Seeker,Medium,P2,,,0
concern bridge_tag has NO curated questions (leak to fallback),CONCERN_CON_522,Reposition Experience for New Job Markets,CAREER_TRANSITION,Career Transition,Job Seeker,Medium,P2,,,0
concern bridge_tag has NO curated questions (leak to fallback),CONCERN_EMO_534,Position Career Breaks Positively,CAREER_TRANSITION,Career Transition,Job Seeker,Medium,P2,,,0
concern bridge_tag has NO curated questions (leak to fallback),CONCERN_LIF_538,Returning After Maternity or Caregiving Breaks,CAREER_TRANSITION,Career Transition,Job Seeker,High,P1,,,0
concern bridge_tag has NO curated questions (leak to fallback),CONCERN_EMO_550,Build Credibility in New Domains Quickly,CAREER_TRANSITION,Career Transition,Job Seeker,Medium,P2,,,0
concern bridge_tag has NO curated questions (leak to fallback),CONCERN_LEA_553,Balancing Pragmatic Choices with Career Aspirations,CAREER_PLANNING,Career Planning,Job Seeker,High,P1,,,0
