family,count
confusion_signals,35
perfectionism_signals,32
withdrawal_signals,25
integrity_under_observation_signals,18
professional_ethics_signals,17
social_responsibility_signals,17
complexity_handling_signals,16
consistency_of_values_signals,16
cognitive_stability_signals,15
ethical_conflict_resolution_signals,15
decision_signals,14
reasoning_signals,14
confidentiality_respect_signals,14
clarity_signals,12
judgment_signals,12
mental_flexibility_signals,12
problem_solving_signals,12
strategic_thinking_signals,12
ethical_self_regulation_signals,12
responsiveness_signals,10
evaluation_anxiety_signals,10
conflict_response_signals,7
decision_execution_signals,5
structure_signals,2
listening_signals,1
