domain_id,domain_name,domain_purpose,primary_focus,key_behavioral_scope,example_signal_families,core_risk_areas,intervention_orientation,longitudinal_importance,adaptive_runtime_importance,relational_bridge_tag
DOM_001,Emotional Intelligence,"Understand emotional regulation, emotional instability, resilience, and emotional overload",Emotional functioning,"Fear, anxiety, shame, overwhelm, emotional recovery","fear_signals, overload_signals, confidence_signals, shame_signals","burnout, anxiety escalation, emotional collapse",emotional regulation and resilience coaching,Critical For Recovery Tracking,Critical,ADJUSTMENT_COPING
DOM_002,Cognitive Intelligence,"Measure thinking quality, clarity, reasoning, and decision cognition",Mental processing,"Overthinking, confusion, clarity, future uncertainty","clarity_signals, confusion_signals, decision_signals, overthinking_signals","decision instability, cognitive paralysis",structured thinking and prioritization support,High For Trajectory Prediction,Critical,GENERAL_CONCERN
DOM_003,Behavioral Intelligence,Track execution patterns and behavioral consistency,Behavioral execution,"Avoidance, procrastination, withdrawal, participation","avoidance_signals, execution_signals, withdrawal_signals","disengagement, chronic avoidance",behavioral activation and accountability systems,Critical For Progression Analysis,Critical,GENERAL_CONCERN
DOM_004,Motivational Intelligence,"Measure drive, ambition, persistence, and energy sustainability",Motivation and engagement,"Burnout, persistence, growth orientation, drive","burnout_signals, persistence_signals, aspiration_signals","disengagement, low persistence",motivation rebuilding and growth activation,Critical For Engagement Analysis,High,GENERAL_CONCERN
DOM_005,Social Intelligence,Understand interpersonal confidence and peer influence,Social functioning,"Peer comparison, belonging insecurity, approval seeking","comparison_signals, belonging_signals, validation_signals","isolation, social withdrawal",communication and peer resilience coaching,High For Adaptation Tracking,High,GENERAL_CONCERN
DOM_006,Executive Function Intelligence,"Evaluate planning, organization, and execution reliability",Operational discipline,"Planning, prioritization, task completion, consistency","planning_signals, structure_signals, organization_signals","productivity instability, execution failure",productivity systems and execution coaching,Critical For Employability Tracking,Critical,DISCIPLINE_HABITS
DOM_007,Identity Intelligence,"Understand self-concept, self-worth, and purpose clarity",Identity and self-perception,"Self-belief, purpose clarity, identity confusion","self_belief_signals, purpose_signals, identity_clarity_signals","identity instability, self-worth collapse",self-awareness and identity strengthening,Critical For Personality Progression,High,GENERAL_CONCERN
DOM_008,Adaptive Intelligence,Measure adaptability to uncertainty and transitions,Adaptability and flexibility,"Transition handling, uncertainty adaptation, flexibility","adaptability_signals, flexibility_signals, transition_signals","rigidity, transition breakdown",adaptability and transition support,High For Future Readiness,High,GENERAL_CONCERN
DOM_009,Performance Intelligence,Evaluate functioning under pressure and competition,Competitive performance,"Interview stress, evaluation pressure, execution anxiety","performance_pressure_signals, interview_signals, achievement_signals","performance collapse, anxiety escalation",exposure practice and performance coaching,Critical For Placement Prediction,Critical,GENERAL_CONCERN
DOM_010,Resilience Intelligence,Measure emotional recovery and endurance after setbacks,Recovery and endurance,"Bounce-back ability, persistence after failure","recovery_signals, coping_signals, endurance_signals","relapse risk, chronic collapse",resilience development and coping enhancement,Critical For Recovery Forecasting,High,ADJUSTMENT_COPING
DOM_011,Career Intelligence,Evaluate career direction and employability alignment,Career cognition,"Career confusion, role-fit awareness, professional identity","career_clarity_signals, employability_signals, direction_signals","career paralysis, employability instability",career coaching and exploration frameworks,Critical For Trajectory Prediction,Critical,CAREER_READINESS
