bridge_tag,questions,construct,status,confidence,candidates,reason
"ACADEMIC_BEHAVIOR",475,"LEARNING_APPROACH",HIGH_CONFIDENCE,0.85,"","token ACADEMIC → LEARNING_APPROACH"
"ACADEMIC_CAREER",225,"",REVIEW_REQUIRED,0.5,"LEARNING_APPROACH|CAREER_CLARITY","multi-construct: LEARNING_APPROACH | CAREER_CLARITY"
"ACADEMIC_COGNITIVE",618,"",REVIEW_REQUIRED,0.5,"LEARNING_APPROACH|CRITICAL_THINKING","multi-construct: LEARNING_APPROACH | CRITICAL_THINKING"
"ACADEMIC_COUNSELLING",40,"LEARNING_APPROACH",HIGH_CONFIDENCE,0.85,"","token ACADEMIC → LEARNING_APPROACH"
"ACADEMIC_DECISION",25,"",REVIEW_REQUIRED,0.5,"LEARNING_APPROACH|CRITICAL_THINKING","multi-construct: LEARNING_APPROACH | CRITICAL_THINKING"
"ACADEMIC_EQUITY",50,"LEARNING_APPROACH",HIGH_CONFIDENCE,0.85,"","token ACADEMIC → LEARNING_APPROACH"
"ACADEMIC_GROWTH",125,"LEARNING_APPROACH",HIGH_CONFIDENCE,0.85,"","token ACADEMIC → LEARNING_APPROACH"
"ACADEMIC_IDENTITY",225,"",REVIEW_REQUIRED,0.5,"LEARNING_APPROACH|SELF_ESTEEM","multi-construct: LEARNING_APPROACH | SELF_ESTEEM"
"ACADEMIC_OPERATIONS",38,"LEARNING_APPROACH",HIGH_CONFIDENCE,0.85,"","token ACADEMIC → LEARNING_APPROACH"
"ACADEMIC_PERFORMANCE",225,"EXAM_PERFORMANCE",HIGH_CONFIDENCE,0.95,"","exact-override → EXAM_PERFORMANCE"
"ACADEMIC_PLANNING",50,"",REVIEW_REQUIRED,0.5,"LEARNING_APPROACH|EXECUTIVE_FUNCTION","multi-construct: LEARNING_APPROACH | EXECUTIVE_FUNCTION"
"ACADEMIC_READINESS",50,"EXAM_READINESS",HIGH_CONFIDENCE,0.95,"","exact-override → EXAM_READINESS"
"ACADEMIC_REFLECTION",25,"LEARNING_APPROACH",HIGH_CONFIDENCE,0.85,"","token ACADEMIC → LEARNING_APPROACH"
"ACADEMIC_RISK",100,"LEARNING_APPROACH",HIGH_CONFIDENCE,0.85,"","token ACADEMIC → LEARNING_APPROACH"
"ACADEMIC_TRANSITION",100,"COLLEGE_ADAPT",HIGH_CONFIDENCE,0.95,"","exact-override → COLLEGE_ADAPT"
"ACCOUNTABILITY_DEVELOPMENT",50,"",UNMAPPED,0,"","no behavioural construct token in [ACCOUNTABILITY,DEVELOPMENT]"
"ACCOUNTABILITY_REFLECTION",40,"",UNMAPPED,0,"","no behavioural construct token in [ACCOUNTABILITY,REFLECTION]"
"ADAPTABILITY_COACHING",75,"",UNMAPPED,0,"","no behavioural construct token in [ADAPTABILITY,COACHING]"
"ADAPTABILITY_GUIDANCE",50,"",UNMAPPED,0,"","no behavioural construct token in [ADAPTABILITY,GUIDANCE]"
"ADAPTIVE_DEVELOPMENT",40,"",UNMAPPED,0,"","no behavioural construct token in [ADAPTIVE,DEVELOPMENT]"
"ADAPTIVE_DIAGNOSTICS",40,"",UNMAPPED,0,"","no behavioural construct token in [ADAPTIVE,DIAGNOSTICS]"
"ADAPTIVE_GROWTH",40,"",UNMAPPED,0,"","no behavioural construct token in [ADAPTIVE,GROWTH]"
"ADAPTIVE_LEADERSHIP",125,"",REVIEW_REQUIRED,0.4,"SOCIAL_CONFIDENCE|COMMUNICATION|GOAL_ORIENTATION","theme LEADERSHIP → SOCIAL_CONFIDENCE/COMMUNICATION/GOAL_ORIENTATION"
"ADAPTIVE_LEARNING",275,"LEARNING_APPROACH",HIGH_CONFIDENCE,0.85,"","token LEARNING → LEARNING_APPROACH"
"ADAPTIVE_REFLECTION",40,"",UNMAPPED,0,"","no behavioural construct token in [ADAPTIVE,REFLECTION]"
"ADJUSTMENT_COPING",565,"STRESS_MANAGEMENT",HIGH_CONFIDENCE,0.85,"","token COPING → STRESS_MANAGEMENT"
"ALTERNATIVE_CAREER",40,"CAREER_CLARITY",HIGH_CONFIDENCE,0.85,"","token CAREER → CAREER_CLARITY"
"ANALYTICAL_DEVELOPMENT",50,"CRITICAL_THINKING",HIGH_CONFIDENCE,0.85,"","token ANALYTICAL → CRITICAL_THINKING"
"ASPIRATIONAL_CLARITY",40,"GOAL_ORIENTATION",HIGH_CONFIDENCE,0.85,"","token ASPIRATIONAL → GOAL_ORIENTATION"
"ASPIRATIONAL_DEVELOPMENT",40,"GOAL_ORIENTATION",HIGH_CONFIDENCE,0.85,"","token ASPIRATIONAL → GOAL_ORIENTATION"
"ASSESSMENT_INTELLIGENCE",75,"",UNMAPPED,0,"","no behavioural construct token in [ASSESSMENT,INTELLIGENCE]"
"ATTENTION_REFLECTION",75,"ATTENTION_REGULATION",HIGH_CONFIDENCE,0.85,"","token ATTENTION → ATTENTION_REGULATION"
"BALANCED_REFLECTION",40,"",UNMAPPED,0,"","no behavioural construct token in [BALANCED,REFLECTION]"
"BEHAVIOR_CORRECTION",39,"",UNMAPPED,0,"","no behavioural construct token in [BEHAVIOR,CORRECTION]"
"BEHAVIORAL_AWARENESS",250,"",REVIEW_REQUIRED,0.4,"CRITICAL_THINKING|SELF_ESTEEM","theme AWARENESS → CRITICAL_THINKING/SELF_ESTEEM"
"BEHAVIORAL_GROWTH",40,"",UNMAPPED,0,"","no behavioural construct token in [BEHAVIORAL,GROWTH]"
"BEHAVIORAL_REFLECTION",40,"",UNMAPPED,0,"","no behavioural construct token in [BEHAVIORAL,REFLECTION]"
"BEHAVIORAL_REGULATION",40,"",REVIEW_REQUIRED,0.4,"IMPULSE_CONTROL|EMOTIONAL_REGULATION|EXECUTIVE_FUNCTION","theme REGULATION → IMPULSE_CONTROL/EMOTIONAL_REGULATION/EXECUTIVE_FUNCTION"
"BEHAVIORAL_STABILITY",50,"",UNMAPPED,0,"","no behavioural construct token in [BEHAVIORAL,STABILITY]"
"CAPABILITY_DEVELOPMENT",25,"SKILL_AWARENESS",HIGH_CONFIDENCE,0.85,"","token CAPABILITY → SKILL_AWARENESS"
"CAREER_ACADEMIC",40,"",REVIEW_REQUIRED,0.5,"CAREER_CLARITY|LEARNING_APPROACH","multi-construct: CAREER_CLARITY | LEARNING_APPROACH"
"CAREER_ALIGNMENT",50,"CAREER_CLARITY",HIGH_CONFIDENCE,0.85,"","token CAREER → CAREER_CLARITY"
"CAREER_AUTONOMY",25,"CAREER_CLARITY",HIGH_CONFIDENCE,0.85,"","token CAREER → CAREER_CLARITY"
"CAREER_BRANDING",36,"CAREER_CLARITY",HIGH_CONFIDENCE,0.85,"","token CAREER → CAREER_CLARITY"
"CAREER_COMPETITION",40,"CAREER_CLARITY",HIGH_CONFIDENCE,0.85,"","token CAREER → CAREER_CLARITY"
"CAREER_DECISION",40,"",REVIEW_REQUIRED,0.5,"CAREER_CLARITY|CRITICAL_THINKING","multi-construct: CAREER_CLARITY | CRITICAL_THINKING"
"CAREER_DEVELOPMENT",40,"CAREER_CLARITY",HIGH_CONFIDENCE,0.85,"","token CAREER → CAREER_CLARITY"
"CAREER_ECOSYSTEM",40,"CAREER_CLARITY",HIGH_CONFIDENCE,0.85,"","token CAREER → CAREER_CLARITY"
"CAREER_EXECUTION",25,"CAREER_CLARITY",HIGH_CONFIDENCE,0.85,"","token CAREER → CAREER_CLARITY"
"CAREER_EXPECTATIONS",200,"CAREER_CLARITY",HIGH_CONFIDENCE,0.85,"","token CAREER → CAREER_CLARITY"
"CAREER_EXPLORATION",40,"CAREER_CLARITY",HIGH_CONFIDENCE,0.85,"","token CAREER → CAREER_CLARITY"
"CAREER_EXPOSURE",50,"CAREER_CLARITY",HIGH_CONFIDENCE,0.85,"","token CAREER → CAREER_CLARITY"
"CAREER_FLEXIBILITY",40,"CAREER_CLARITY",HIGH_CONFIDENCE,0.85,"","token CAREER → CAREER_CLARITY"
"CAREER_GROWTH",675,"CAREER_GROWTH",HIGH_CONFIDENCE,0.95,"","exact-override → CAREER_GROWTH"
"CAREER_GUIDANCE",40,"CAREER_CLARITY",HIGH_CONFIDENCE,0.85,"","token CAREER → CAREER_CLARITY"
"CAREER_IDENTITY",75,"",REVIEW_REQUIRED,0.5,"CAREER_CLARITY|SELF_ESTEEM","multi-construct: CAREER_CLARITY | SELF_ESTEEM"
"CAREER_MAPPING",40,"CAREER_CLARITY",HIGH_CONFIDENCE,0.85,"","token CAREER → CAREER_CLARITY"
"CAREER_PLANNING",25,"",REVIEW_REQUIRED,0.5,"CAREER_CLARITY|EXECUTIVE_FUNCTION","multi-construct: CAREER_CLARITY | EXECUTIVE_FUNCTION"
"CAREER_PREPAREDNESS",25,"CAREER_CLARITY",HIGH_CONFIDENCE,0.85,"","token CAREER → CAREER_CLARITY"
"CAREER_PRIORITIZATION",25,"CAREER_CLARITY",HIGH_CONFIDENCE,0.85,"","token CAREER → CAREER_CLARITY"
"CAREER_PSYCHOLOGY",125,"",REVIEW_REQUIRED,0.5,"CAREER_CLARITY|MENTAL_HEALTH","multi-construct: CAREER_CLARITY | MENTAL_HEALTH"
"CAREER_READINESS",1000,"CAREER_READINESS",HIGH_CONFIDENCE,0.95,"","exact-override → CAREER_READINESS"
"CAREER_RECOVERY",40,"",REVIEW_REQUIRED,0.5,"CAREER_CLARITY|RESILIENCE","multi-construct: CAREER_CLARITY | RESILIENCE"
"CAREER_REFLECTION",40,"CAREER_CLARITY",HIGH_CONFIDENCE,0.85,"","token CAREER → CAREER_CLARITY"
"CAREER_RISK",40,"CAREER_CLARITY",HIGH_CONFIDENCE,0.85,"","token CAREER → CAREER_CLARITY"
"CAREER_STABILITY",40,"CAREER_CLARITY",HIGH_CONFIDENCE,0.85,"","token CAREER → CAREER_CLARITY"
"CAREER_SUITABILITY",40,"CAREER_CLARITY",HIGH_CONFIDENCE,0.85,"","token CAREER → CAREER_CLARITY"
"CAREER_SUSTAINABILITY",40,"CAREER_CLARITY",HIGH_CONFIDENCE,0.85,"","token CAREER → CAREER_CLARITY"
"CAREER_TIMELINE",40,"CAREER_CLARITY",HIGH_CONFIDENCE,0.85,"","token CAREER → CAREER_CLARITY"
"CAREER_TRADEOFF",40,"CAREER_CLARITY",HIGH_CONFIDENCE,0.85,"","token CAREER → CAREER_CLARITY"
"CAREER_TRANSITION",25,"CAREER_CLARITY",HIGH_CONFIDENCE,0.85,"","token CAREER → CAREER_CLARITY"
"CHARACTER_DEVELOPMENT",40,"",UNMAPPED,0,"","no behavioural construct token in [CHARACTER,DEVELOPMENT]"
"CLASSROOM_ADAPTATION",40,"",UNMAPPED,0,"","no behavioural construct token in [CLASSROOM,ADAPTATION]"
"CLASSROOM_ENGAGEMENT",75,"",UNMAPPED,0,"","no behavioural construct token in [CLASSROOM,ENGAGEMENT]"
"COGNITIVE_AWARENESS",25,"CRITICAL_THINKING",HIGH_CONFIDENCE,0.85,"","token COGNITIVE → CRITICAL_THINKING"
"COGNITIVE_DEVELOPMENT",40,"CRITICAL_THINKING",HIGH_CONFIDENCE,0.85,"","token COGNITIVE → CRITICAL_THINKING"
"COGNITIVE_EMOTIONAL",150,"",REVIEW_REQUIRED,0.5,"CRITICAL_THINKING|EMOTIONAL_REGULATION","multi-construct: CRITICAL_THINKING | EMOTIONAL_REGULATION"
"COGNITIVE_MAPPING",40,"CRITICAL_THINKING",HIGH_CONFIDENCE,0.85,"","token COGNITIVE → CRITICAL_THINKING"
"COGNITIVE_REFLECTION",40,"CRITICAL_THINKING",HIGH_CONFIDENCE,0.85,"","token COGNITIVE → CRITICAL_THINKING"
